spend 	 stay wife anniversary . check upgrade harbor - view room , find chocolate wait us & quot ; happy anniversary & quot ; note ( tell special occasion make reservation ) . room spacious , spotless , look brand new , quiet - could hear noise room hallway . hotel quiet weekend - 's busy week weekend 's nice place get away . dine hotel 's restaurant pleasantly surprised get free dessert account special occasion - front desk communicate restaurant anniversary . think nice touch . room service breakfast next morning overlook statue liberty ellis island perfect way start day . highly recommend . 
 Nov 26 2009 	 nice location good service although low mht quick midtown 	 great service , good breakfast center , superb hotel gym , great view statute liberty , quiet ( may like since store nearby work ) . nearby FDR drive take 44th east side within 10 minue ( $ 20 cab ride ) recommend hotel low manhattan midtown . stay many midtown hotel middle action will take Ritz downtown anytime . great front desk staff .... checkout include women loan Jamaica property pleasant superb job ! 
 Nov 23 2009 	 could not ask well hotel ! 	 go New York girl weekend . hotel GREAT ! short subway ride away everything far enough away enjoy quiet away excitement noise get Times Square . stay suite sleeper sofa two double bed . also two bathroom perfect we ! four we much room . master bathroom huge big walk shower tub . everything clean almost perfect . thing odd coffee maker room . call coffee maker morning coffee , cream sugar . room microwave mini fridge seem odd coffee maker room . staff friendly always greet we smile . must mention * * * ANDREW * * front desk ... make trip PERFECT ! constantly greet we make sure everything need check departure . one main reason continue stay hotel . thank Andrew ! ! 
 Nov 14 2009 	 FANTASTIC VIEW SERVICE HOTEL ! 	 never stay Battery Place ; always stayed midtown uptown . great part City ! stay many Ritz around USA internationally ... top ! care like longtime guest welcome back . View Harbor unmatched . go back . 
 Nov 10 2009 	 Service style great downtown location -- worth try ! 	 Ritz Carlton live standard . location quiet , nice , near water Battery Park ; walk boardwalk catch slice pizza . hotel near 1 train W / r train entrance -- 3 subway stop north SOHO / Chinatown . also grocery mart one block north , case forget anything . hotel large elegantly styled . * Patrick * front desk helpful room available early check - in . room spacious double view city slight view river . bathroom large seperate bath tub -- keep clean stay . order room service breakfast muffin bagel , delicious , service prompt . finally , reserve room online ritz 's website month advance able secure deal price $ 200 credit towards food beverage stay . help seal deal NYC trip year . would certainly recommend hotel base overall service room . location may seem far Times Square / Midtown -- ride subway not mind downtown locale . 
 Nov 10 2009 	 Cleanliness Issues . service orient . 	 find tear sheet bed mess carpet . try clean mess make carpet wet smelly . give we disposable slipper wear upgrade bath soap apology . unsuccessful getting room freshen post travel nap . make bed presentable visitor evening . expect RC ! 
 Nov 4 2009 	 Perfect two UK girl enjoy NYC first time 	 love RC Battery Park reason : * huge room - two double bed ( perfect ! ) room four ! * View Statue Liberty - perfect wake . world - beat view , fact * excellent room service * quiet room quiet hotel quiet location . great cab everywhere want hotel sleep ! * great ' bath'room ( shower - problem we ) * great room service * nice bar , mohitos sublimeWe could complain minor thing like : * expectation tip every turn . * know * be british ( invariably mean ! ) , call hold door open lady good manner , something require payment * lack taxi available howl gale pour rain * amount spend taxi get nightspot , eatery touristy bit * cab driver not clue go . guess spoil London black cab driver ' ' Knowledge ' exam . we love big apple - business manage take lot touristy thing , lot shopping . avoid Century 21 cost , def go Top Rock awesome view . , gorgeous hotel , right . 
 Nov 2 2009 	 great hotel shame location 	 return NY great stay Ritz Carlton , describe , clean friendly , staff remebere child 's name incredibly kind , apart slight plumbing issue ( toilet regularly blocking ) could fault hotel service . we stay son love Statue Liberty want able see room next trip stay Midtown . jetlagge child crack dawn be not enough area , many taxi take get we anywhere , one plus incredibly quiet night . if business Wall St area would not hesistate stay we far away want 
 Oct 26 2009 	 Excellent Harbor Views 	 room spacious manhattan hotel bellhop always helpful bag tracking taxi . view Statue Liberty Battery Park & quot ; Harborview & quot ; room excellent . do & quot ; bed breakfast & quot ; plan . $ 40 / day extra , receive breakfast buffet two free valet parking ( ballpark $ 120 / day value ) ? 's excellent value . disappointment Spa . treatment decent , full - service spa would expect Ritz . be basically two treatment room next fitness center . place relax treatment ( sauna / steam room / pool / etc . ) . be like treatment less expensive full - service spa . 
 Oct 18 2009 	 clean friendly hotel beautiful room 	 stay RC mid Oct , ( walk NYC 's wet Oct many year ) , late holiday year , short 4 night stay NYC . say location great , yes partially correct , want hotel constant hustle bustle big city close hand , pick another NYC hotel midtown Broadway . want really good hotel 20 min MTA reach Broadway etc , RC Battery park great location . the hotel really clean room large average & quot ; big city & quot ; hotel . staff friendly attentive , onlly drawback cost drink / snack either hotel mini bar . you find review trip forUlysseys BarGeorges DinerHarrys Bar Restaurant 
 Oct 15 2009 	 Big Nice room - Bit far Midtown 	 First GREATS : - room large NYC standard . size would get Ritz anywhere else.- Bed comfortable - Room Hotel clean- Security good hotel- nice fitness center- water , room view river Statue Liberty ( telescope close viewing ! ) - flat screen tv good channels- Quieter section Manhattan- walk distance Financial Center World Trade Memorial ( construction ) - also walk distance China Town ... bit hike , walk good- Bartender friendly gracious- Hotel staff freindly helpful . great Concierges , Bellmen , Front Desk , Cleaning Staff , Restaurant . - Town car readily available- around good serviceslight con : - $ 20 cab ride Central Park area . not try subway , definitely cheaper.- much area Manhattan , close ferry Statue Liberty Ellis island.- much nightlife area Manhattan , 's make quieter area.- one restaurant one bar close 10 1030pm . ( room service great though ) - real ' shop ' hotel . small sundry closet behind concierge.- spa small , pretty book weekend.- cell phone service bad area ( & amp ; ) nice , clean friendly hotel good service . Ritz Central Park much nicer active , be also much expensive Ritz . business hotel . would certainly recommend , next visit would probably stay close Central Park area , be spend time . tip : Statue Liberty = Book crown access ticket Statue Liberty far advance travel sell . Harbor Cruise = WORTH ! small luxury yacht ' Manhattan ' www.sail-nyc.com . leave Chelsea Harbor , short cab ride away . ulysse Pub = also short cab ride , might able walk . nice pub open late . Central Park Rides = Hire bike rickshaw guy . make stop along way offer much thorough tour horse carriage . barney = go . 5th Avenue - cool multi - floor shop restaurant top . cathedral = go many . architecturally beautiful reading history neat . 
 oct 8 2009 	 Telescope Statue Liberty luxuary 	 amazing stay fine location . make sure room face water ! telescope point statue Liberty . must want impressed quality . make sure get breakfast ! 
 Oct 8 2009 	 Excellent Service Beautiful Surroundings 	 Service decor lovely . close Battery Park attraction , include walk path Hudson River . safe neighborhhood . interesting street performer day front Statue Liberty attraction . restaurant hotel excellent . good restaurant surround neighborhood include excellent go bagel breakfast food . 
 Oct 1 2009 	 Nice Hotel poor location 	 girlfriend spend 5 day NYC find hotel nice term comfort decor enjoy stay there . the hotel service could well , ' really anything complain request deal promptly satisfaction , staff ' particularly friendly check ' ask ' enjoy stay everything satisfactory , feel poor hotel stature . staff seem generally cold sombre . the cleanliness room ' great , ' go far say dirty , ' clean standard . elaborate , bathroom nice clean , bed clean neat carpet vacuum , tv thick dust glass window filthy . surface wipe quickly , e.g . glass top desk dust still coffee ring obviously need damp cloth remove . lamp clean base thick dust towards top . also first day Air Conditioning faulty , engineer come fix problem , make mess carpet clean filter . luckily morning maid bit fluff etc filter seem turn various place rest week . ' obvious room clean daily , definitely rush time . however room lovely , bed nice comfortable , LCD tv probably 37 " ( although dusty ! ) bathroom also lovely lovely big bath separate shower cubicle . one thing irritate we stay UN Summit lot UN dignitary stay hotel . mean go airport style security ( bag x - rayed , empty pocket , metal detector ) every single time want enter hotel . become tiresome end week . security man also rude abrupt , however mixture NYPD agency , employee hotel . main reason ' recommend hotel ' way term usual holiday requirement bar restaurant . take quite long time get hotel say Times Square area . mean end go morning staying day , prefer come back say 5 6 pm freshen go evening , possible hotel far away . think hotel business orientate holiday . the thing make even bad hotel restaurant room service expensive ! e.g . $ 13 bowl cereal ! 
 Sep 29 2009 	 Clean Comfortable 	 Great Place stand businessexcelent location . 
 Sep 23 2009 	 good business hotel pleasant staff ' wow ' factor .. 	 husband work nearby wall st week stay . decide fly weekend join first wedding anniversary . overall standard hotel would expect five star : polite discreet staff , quality furnishing , course , exceptional cleanliness . see would popular spot business traveller look decent hotel . bed particular amazing - extremely soft lucious pillow soft sheet . however , ' m afraid say not fall love hotel , felt slightly lack personal touch ... example , see review many people lucky enough upgrade / wine etc celebrate special occassion . instead , chocolate - dip strawberry leave husband arrive hotel start business trip ( 4 day expect arrive ) . although gesture appreciate , show bit lack attention detail ... attention detail differentiate exceptional hotel good one . overall , thought great business hotel , vise NY family love one , hotel similar cost probably bit ' wow ' factor .. 
 Sep 17 2009 	 Perfection 	 's near impossible fault one night stay Ritz Carlton . surprised start upgrade city view room harbour view suite . truly magificent room , superb appointment gunbarrel view Statue Liberty . ' m still sure manage , pleased choose . a special thank concierge manage get we book otherwise pack Pastis restaurant , really help top wonderful final night New York . highly recommend afford price ( good discount around right however ) one - off splurge beautiful hotel . 
 Aug 30 2009 	 Room View 	 stay hotel five year ago return stay downtown since . live nearby suburb , need want central midtown location , part city regular basis . we stay explore low third Manhattan nearby Brooklyn . reason , hotel perfect choice we . Battery Park City great area stay , harbor view room hotel really worth extra money . view great enjoy watch endless parade boat traffic . course , view many famous site also wonderful . even Jersey City skyline across Hudson River become impressive look . room ninth floor perfect . would recommend much low avoid museum building locate hotel water . as hotel , nice property corporate / business feel . room good sized deluxe marble bathroom include separate shower , tub , water closet . décor dark wood mute color comfortable furnishing . overall , hotel good shape . we breakfast day 2 West , hotel restaurant . ambiance nice nothing special . food pretty good service decent . restaurant locate ground level overlook street . nice bar outstanding view fourteenth floor close three month . one provide reason inquire would reopen . sure owner good reason close area one nice feature hotel , big loss guest . nice gym view level remain open . we pleasure stay four Ritz Carlton hotel year one least friendly staff . everyone nice enough , people helpful , overall staff provide level professionalism friendliness ' find Ritz Carlton hotel . as location , may convenient location tourist , lot see low Manhattan vibe different Battery Park City . like little resort area Midtown short subway ride away . beautiful view , great sunset , walk promenade may make worth effort . 
 Aug 29 2009 	 great way spend 25th wedding Anniversary ! 	 stay celebrate 25th wedding Anniversary want special place . get ! mention stay special day need dinner reservation . concierge top notch ! get we special table Mario Batali 's Del Posta . return surprised find bottle champagne room wait we lovely card . order romance butler bath $ 120 beautiful rose petale cover bath rose candy mention sensuous bath ! location great short walk Bowling Green subway short ride uptown . also take taxi door man call one quickly uptown $ 7 plus take short route avoid traffic . Battery Park nice stroll sit watch harbor overlook Statue Liberty ! safe area , police presence frequently . the room harbor view room upgrade we , view harbor overlook statue liberty . get north corner room , would recommend north window could open curtain construct build next door , loud 5 pm stop til 8 am next day . make sure request high room floor 5 north side . be nice large bath , separate bath marble shower separate toilet area , bath large NYC hotel room ! can not wait come back ! 
 Aug 24 2009 	 great service beautiful hotel food fantastic ! 	 stay two different occasion . weekend rate great deal . also get $ 100 bar / food credit use fantastic . room beautiful spacious , view overlook water . service impeccable . disappoint long sky bar , turn event room . definitely locate away downtown , do not mind , take taxi everywhere . 
 Aug 20 2009 	 luxury 	 treat well , moment drive . Harbor View room Club Level . club ( lounge ) entitle wine , cocktail , snack , sandwich , hor devre throughout day . Ms. Wendy nice , courteous attentive . tipping mention , however , something llike Club . view great usual , telescope window , catch topless bathing beauty park across way , add attraction , ' m sure european aware unleash one breast financial district NYC sunny friday afternoon illegal , shame , lol . bed like ever experience , comfort 's high . check person ask special occasion , tell fiance 's birthday . return afternoon bottle wine ice lovely letter fiance ' , nice touch Ritz Carlton , much appreciated , sweet gesture . return course , love place . hate leave . 
 Aug 18 2009 	 satisfy 	 family decide last minute summer getaway NYC . availability room limit explore option decide Ritz Carlton Battery . turn excellent choice . weekend rate Ritz par less hotel chain Manhattan . reason location . property , not familiar New York City , far tip manhattan financial district . personally , prefer quieter weekend location enjoy early morning walk waterfront beautiful park view Statue Liberty . subway block away midtown rather quickly not see issue . want immediate access major museum , theater , central park , etc . be go get here . checkin flawless first impression lobby common area positive . service impeccable would expect everyone courteous helpful . room spacious generous sized bathroom . bed extremely comfortable room spotlessly clean . impression one modern elegance . complaint accomodation . overall , great hotel lot offer leisure traveler . take chance something little way not likely disappointed . definitely not would stay . 
 Aug 15 2009 	 Perfection 	 first stay NYC first Ritz property neither disappointed . service outstanding room lovely . feather bed luxury ! want NYC offer , yet relax environment beautiful view , stay ! several metro stop within walk distance well Wall Street , ground zero , Battery Park , pier harbor tour , etc . taxi service always right front well . fabulous restaurant nearby tribeca worth mention : Aquagrill Scalini Fedeli . will back ! 
 Jul 27 2009 	 Perfect every way 	 wife stay hotel last night New York honeymoon . pay little extra presidential suite completely overwhelmed perfect level service general quality around hotel . staff polite would bend backwards help . room far well ' ve stay alongtime . view overlook Statute Liberty amazing addition telescope room add touch class . hotel perfectly locate Battery Park easy access local shop famous Century 21 shopping bargain palace . hotel around 5 minute walk New York Stock exchange Ground zero . downside recently close roof top bar pool minor thing grand scheme hotel . 
 Jul 21 2009 	 Wake view Statue Liberty 	 go city see Broadway show get hair do Nick Arrojo 's ( Wear ) hair studio spend night Ritz . wake view Statue Liberty amazing ! bed comfortable . room bit small , good size New York City . 
 Jul 21 2009 	 absolutely great hotel ! 	 hotel great , check rather fast staff member take we room unload baggage show we around . 4th floor Liberty Suite great view room spacious , comfortable full great feature . also include Club Lounge always stay Ritz Carlton rather disappoint one unlike other also disappoint food around , complaint . staff friendly great place anyone want luxury rather reasonable price ! 
 Jul 14 2009 	 excellent service nice room 	 hotel continue Ritz standard . staff excellent , helpful friendly . rooom well appoint comfortable . club level room nice get coffee pastry quickly.great hotel , nice location , great staff 
 Jul 13 2009 	 great deal awesome hotel 	 value hotel outstanding . service excellent big clean . leary stay battery park , afraid would far family activity . perfect . quiet place unwind full day . statue liberty view must . within walk distance lot attraction take cab / subway rest . food outstanding service decor . bed super comfortable hotel quiet night . 
 Jul 7 2009 	 nothing less would expect 	 live Ritz Carlton name term service amenity . request high level room well harbour view . room 4th floor , although technically harbour view , need strain find water beyond museum across street . 
 Jul 6 2009 	 GREAT HOTEL SUPER - FRIENDLY STAFF 	 stay Ritz - Carlton Battery Park 7/4 . NYC firework . could make well choice . accomodation amenity excellent , exactly would expect Ritz . impressed staff . every employee encounter friendly , smile provide great service . thank especially Cynthia Hazel housekeeping well entire valet bellman staff . 
