incompetent 	 book room Texas Station attend & quot ; stay play & quot ; soccer tournament Vegas . make reservation month advance tell could confirm two room adjacent family 6 ( 2 adult , 4 young child ) . , could call morning check - in . course , tell morning check - in possible . surprise ! check 7PM ' lucky ' get two room floor . how possible make simple ( would seem ) arrangement beyond I . it be like 3rd rate establishment little extra compete traveler . the room similar would find hotel 20 year ago . casino bland sad . nothing interesting within walking distance . ok anyone without kid that s like stay night push button smoking . 
 Nov 9 2009 	 really inexpensive : Fair / Okay 	 want reiterate other state . look inexpensive place stay Las Vegas , visit friend see desert sight . Got Priceline . good deal $ 25 per night ( plus nasty extra $ 15 per night charge ) . not expect real clean place price . gambling , multiplex . 's right Wal - Mart shopping eat . 's easy get around . be also right next another Casino / Hotel / Complex . , $ 15 extra charge nasty , stay two night total $ 80 great . 
 Oct 7 2009 	 good bad 	 trip Vegas stay day hotel / casino . location hotel off - strip , course need car get around . room okay ( free safe - locker ) bathroom ( lot soaps / shampoo ) spacious . pool small , hand casino really big ! ' m really positive , can not mention downside . roomrate really low ( weekend go ) . okay place stay buck day . 
 Sep 19 2009 	 $ 15 resort fee go $ 25 room rate sound ? ? ? 	 book hotel Priceline - show check hit $ 15 per night resort fee . resort fee give privilege local toll free call use horrendously slow internet ever experience . nothing else say hotel - advertise rate line strip location hotel Vegas - 3 star pull back door trick resort fee hotel even close offer anything give value fee . Shame Texas Station - Avoid hotel ! ! ! 
 Sep 16 2009 	 Smoky Run Located Unsafe Area 	 hotel locate run bad area North Las Vegas . feel unsafe . smoke bad casino area busy night . hotel seem attract low life people North Las Vegas . Buffet 3 scale 10 . internet service computer room stable . prepare charge $ 14.00 service fee top room rate . service fee internet news paper . room rate cheap hotel Vegas . 
 Sep 4 2009 	 ok well value . 	 need North Las Vegas , Texas Station clean comfortable room many amenity . plus : clean comfortable room , movie theater , bowling alley , food court , steakhouse . minus : long walk , bell service , room service , flaky internet connection , tv channel , overprice . & quot ; resort fee & quot ; add bill , stretch imagination place & quot ; resort . & quot ; rate suppose pre - negotiate company actual rate fee charge varied day day apparent reason . get well deal , unless really need North Las Vegas 's reason stay . 
 Aug 31 2009 	 would rather stay Sing Sing 	 filthy room , crummy service , charge add credit card without permission , A / c 1950 . anywhere , please .... steakhouse great . slay elsewhere . 
 Aug 6 2009 	 Good Value Money 	 stay likely stay . strip away downtown . check - in prompt friendly . room bathroom basic , clean large . since visit family , stay 1 night . 
 May 15 2009 	 pleased room .. nice clean large room 	 stay Texas Station 12 night pleasantly surprised room . room HUGE clean . bed comfortable call extra pillow housekeeping bring right away . bathroom large oval tub lot hot water good water pressure . everything need room . safe valuable , iron ironing board , hair dryer , shampoo etc . Maid service great job keeping room clean . pool nothing special basic pool towel provide music pool . cardio room several machine tv . casino huge well slot . love bingo hall ( think good chance win ) buffet good except seafood night good crab leg cafe good . eat several time . husband go movie inside casino say threater nice . food court bowling alley . thing like add resort fee $ 12.95 per day onto rate . not bother tell . ask say high speed internet , line pass restaurant , free newspaper coupon hotel . never see anything worth extra $ 12 . , enjoy stay pleased 
 May 6 2009 	 pass ... 	 first trip vegas ... stay texas station due decent sale ... positivesdecent roomnegativesroom provide smelled smoke - issue new one trouble free ... surprised 15 $ day service feebuffet low qualitysketchy patronslocation really middle nowhere ( vegas suburb require hefty drive action strip ) next time , ; stay strip 
 Apr 23 2009 	 work great clean room Restaurant Building 	 Easy Freeway , clean , Quiet , nice bed , three restaurant good food 
