first 	 boyfriend book hotel , realize open Spring 2009 . stay King Deluxe corner room , absolutely stunning . service first class staff professional polite . hotel also mere 8 - 10 minute walk St. Paul Old Montreal . breakfast buffet also impressive top quality food service . would definitely stay return Montreal . 
 Great Value 	 stay weekend wife , hotel location pretty amazing , right near downtown core . get pretty much anything within walking distance . got great deal flight West jet . hotel still construction pool open yet , room fairly large , quiet well decorate . bathroom also nice , high end finish . overall great room value , would def . stay . 
 Nov 12 2009 	 couple new hotel hiccup great value beautiful room . 	 good rate city $ 75 per night . brand new hotel - everything clean . room beautiful ( great bed bedding , large , well appoint , excellent bathroom ) , buffet breakfast great , public space lovely . gym good in - hotel gym ' ve see - equipment state art . downside staff communication not seem good - front desk give we coupon bar ( Club close ) bar staff ; seem know . in - room movie not place yet - annoying travel kid . would first choice next time go Montreal rate right . great location , - couple block harbour one direction , couple block St. Catherines . 
 Oct 10 2009 	 Overvaluedvery poorly manage not Westin 	 stay Westin Montreal two night labor day weekend . hotel somehow crowd although ask high floor room check around 1 pm , not able find room high 3rd floor . obviously get waken early morning since lot traffic noise come St - Antoine st . Staff reception total disapointment , rude , indolent would not speak french ( feel comfortable speak french ) . also , check - in room , check sheet make sure new ( always ) find red stain look like lipstick . also get surprised ask bathrobe delivery man , 7 second knock door , get room although disturb sign door , show well manage hotel ... plus side , bring ( two request ) , nice dog bed pet ( 30 $ night ) . bed also comfortable . limited selection room service . will not return .. 
 Oct 8 2009 	 Brand New Clean Good Location 	 stay Westin 3 night early August . brnad new clean fresh . staff try top b helpful open glitch ... still enjoy it . the buffet breakfst great location good . right across convention center short walk old street Old Montreal 
 Oct 8 2009 	 centrally locate hotel great Breakfast ! 	 excellent stay hotel . room clean & amp ; spacious . breakfast buffet generous delicious . architecture pool right main entrance cool ... kid love ! complaint new , thing not work ( hot tub ) staff , although accommodate , not fully together yet . sure , thing run smoothly . 
 oct 1 2009 	 Good Luxury Hotel Excellent Location 	 Excellent modern hotel center Montreal , edge old town short walk city center shop . have great room , nice view Mont Royal . clean , modern , spacious , comfortable bed , well equip bathroom , cable tv , AC , etc . see gripe staff , seem fine I . I can not vouch price not pay not eat hotel . 
 Oct 1 2009 	 Brand New -- comfortable 	 everything would expect new Westin property . perfect business travel , even though 10 min taxi ride downtown couple getaway . service personable . room brand new fresh . hotel comfortable pleasant . excellent room service breakfast . get yogurt parfait fruit platter -- heavenly . bathroom modern clean . go people find open ! 
 Sep 15 2009 	 amazing bed ! lousy front desk personnel 	 great location , clean , renovation do , good bed hotel ' ve stay ... ' ve stay many ..... helpful front desk people , especially one guy ... want extend stay one nite rate not like condescend tone speech ... smile ... say need cab one woman ask flag one street .... ask porter bellboy outside helpful call cab ... even recommend restaurant go ask .... much much friendly call & quot ; friendly staff desk & quot ; ..... nice korean lady part - time lifeguard personable also give idea food ..... oh internet 49 cent minute ! ! ! forgot mention , clean lady nice even fold daughter 's clothe leave sofa ! ! 
 Sep 11 2009 	 still underconstruction 	 stay Le Westin Montreal 9/4 9/5 . really look forward stay place hear hotel place bland new , really enjoy stay Westin hotel live Japan . however , miserable night Le Westin Montreal . first , check , porter lose wife 's jacket bring baggage room , never admit claim left car . wife go & quot ; lose find & quot ; find . turn porter drop jacket hallway somebody find . second , hotel still construction . ton tool everywhere . pool look good , change room ready . shower locker . water cold could not stay 10 minute . third importantly , service awful . come back pool room shiver cold want take shower room , could find bath towel . ask room service bring , never come . make call room service three time ( wait 2hrs ) make bad , hot water come out . so send email complain , get auto email reply say & quot ; give extra starwood point inconvenience & quot ; . decide never ever choose Westin next trip . 
 Sep 8 2009 	 Great Location - Nice Hotel 	 husband spend three night new Westin Hotel Montreal . bad review new hotel , would like say nice experience . room spacious bed bathroom truly & quot ; heavenly & quot ; . not line breakfast , check , valet . , ' m assume issue work . additionally , location perfect . walk anywhere city . centrally locate . negative would pool . small cold . 
 Sep 8 2009 	 give Westin Chain Bad Name 	 get really good price Westin , probably b / c trouble attract customer w / all problem . can not get basic thing right like refill coffee service , cup bedroom , say , hot water ( none 2 day -- compensate w / a day free parking least ) . staff seem apologetic nice , can not anything fact hotel strangely build ; get cheap rate , will short tower , escalator ride .5 mile away everything ; fact be busy enough sustain bar stay open ; hotel middle sterile part city , part city feel look surprisingly dead . one great thing : bed heavenly least , part , quiet . 
 Sep 8 2009 	 Great Service Response problem 	 stay Westin bed fabulous . service blip , time hotel staff handle everything extremely well . definitely kinks work feel time fabulous hotel . make sure eat hotel restaurant Gazette dinner . fabulously delicious dinner . appetizer mushrooms polenta excellent . 
 Sep 6 2009 	 great new hotel 	 despite report poor service recently open hotel decide try satisfied Westin Hotels elsewhere . we thoroughly enjoy hotel . service excellent ... problem all . the room large side usual Heavenly Beds Shower . location perfect outskirt old city . ( back entrance enter directly old city ) .Buffet breakfast include . plenty eat high quality . fruit outstanding . locate conveniently Metro car want avoid Montreal 's horrific traffic congestion . 
 Sep 2 2009 	 beautiful hotel wonderful service great value ! ! ! 	 August 11 - 14 , 2009 - husband recently go train Montreal . kid tag along- age 13 , 5 , 4 week old . choose Westin base new thought kid would like pool ( glass bottom panel allow look entry way hotel ) . open special $ 209 per night include valet parking breakfast 4 we . ( think hear price buffet breakfast alone around $ 20 per person , deal quite saving ! ) room- walk room 16th floor , think beautiful . oversized hotel room , 2 heavenly bed ( comfy ) , large desk , 2 chair side table . lot room 5 we move . view huge window city . gorgeous view ! drape window block much light kid sleep awaken 930 every morning . would think dark stay drape pull night time - good thing , peep sun morning ! bathroom large large walk shower . vanity granite overall lighting bathroom bright . bad thing not refrigerator yet . bellman say would get place dresser drawer cabinet . place clean housekeeping accomodate . service - not speak french concerned heard may problem we . , everyone friendly us city well hotel speak decent English . trouble get laptop connect free high speed , front desk helpful connect we people get work . within 5 minute able access internet . also , concierege helpful pointing area interest good route get there . the location- hotel within walk distance pier 4 block away Notre Dame Basilica . metro right across street . hotel locate Old Montreal . the pool- although small , great kid . also 2 & quot ; hot tub & quot ; side pool , water soooo cold , like small pool . kid would shower get warm run get pool . never find problem heater , construction still go build close pool area . Construction- hear construction noise 9 never evening . problem we . Parking- valet parking ! think $ 20 per day , include package . take 5 minute we get car need ! quick service . Restaurant- 4 5 star restaurant wonderful breakfast buffet everything could want . omelet well ! room service expensive , not always ? good food though 30 minute wait . dinner good receive coupon buy one entree get 1/2 second along kid eat free coupon check . still spend $ 40 tip include , delicious food excellent service restaurant pretty empty 7 pm . overall impression - even though nice hotel , lot family . would never know though hallway quiet ! seem though one ( see neighbor go room time ) . picky taste hotel stay one definitely meet exceed expectation . would recommend hotel everyone would stay ever go back Montreal ! ! ! 
 Sep 1 2009 	 's ready -- good sleep ever 7 am fire alarm 	 free night new property . read review , worry figure hotel construction would . basically . room spotless , brand new , etc . great mattress . get quiet room face another building . location great Congress convention center -- otherwise would bit walk winter . one complaint -- fire alarm drill 7 am ! run downstairs find test fire system 7 am . PS hotel mini bar food sale room . also , own Westin . HIGHLY RECOMMENDED 
 Sep 1 2009 	 beautiful new hotel across convention center 	 hotel decor really lovely room large ! ! get Montreal sea leg however would comment equi - distant Old Montreal St. Catherine , really super close either ( 15 - 20 minute walk ) . really locate super conveniently across convention center interest we . say , hotel value fantastic breakfast amazing ! ! ! hotel busy type traveler great job accommodate need . good feature : large lovely clean room wonderful breakfast hip urban environment . 
 Aug 30 2009 	 Champagne Hotel Beer Budget 	 get back 4 day Montreal . Le Westin still little construction , see thing none impact stay . travel wife 4 yr daughter . book standard king room bring inflatable mattress we little one . however one end . room large average brand new clean , nice double shower bathroom . stay lot hotel cost alot near nice . great location block Notre Dame Church , do not eat hotel follow recommendation eggspectation around corner , breakfast really good . do eat Le Pyrennes , carriage ride guy take we ride recommend place horrible . the Bad , bar close 12 night , pool little cold . 
 Aug 30 2009 	 worderful hotel # 1 choice Montreal 	 family four spend 4 night July love hotel . somewhat skeptical previous review pleasantly surprised . service location , hotel great choice . staff extremely helpful room spacious , clean nicely decorate . arrive 5 hour drive , suppose drop rental car airport . young man greet we suggest drop location near hotel , would save 45 minute drive taxi fare return hotel . call company make arrangement . meet later lobby give we wonderful restaurant suggestion . turn food beverages manager hotel . goes show much effort put service , food beverage manager pitch wherever need . location hard beat . walk everywhere long day daughter enjoy glass bottom pool . unique indeed . we highly recommend hotel visit Montreal . 
 Aug 26 2009 	 ready Prime Time 	 time , say 6 9 month , facility may ready service . wouldsugg try another property . starwood member , usually select Westinwhere available outstanding service provide . however , hotel isfar high standard Westin . many problem hotel difficult know begin . rarely ever write critical review Westin Hotel . facility great po - tential ready prime time . open far early inadequate training staff , completion work progress , poor design . several previous review mention difficulty encounterede.g . , poor concierge service , lack adequate staff , inconsistent service , long wait togain & quot ; access & quot ; car even pay $ 25 night parking . wife Ilove Montreal Quebec , appreciate people culture ; hotel doesnot give good first impression wonderful city . travel Quebec pleasure often never disappoint . management really need takenote serious way need meet . receive apology hotel poor service , fine will not & quot ; cut & quot ; address . while staff deal pleasant well could underthe circumstance , smile kind gesture need meet service . at point , would recommend hotel friend . perhaps another 6 to12 month , hit miss , facility may ready & quot ; prime time & quot ; . 
 Aug 26 2009 	 great location lovely service clean room perfection ! 	 barely get back Montreal could not wait write review . Service- amazing , always polite helpful . concierge give we map everywhere anything . valet parking helpfull . Rooms- Lustrious bed , comfortable pillow , bi - lingual station plasma tv , extremely spacious . Location- Le Westin locate smack center attention . restaurant within walking distance . close Subway fast travel . far one elgant relax hotel ' ve ever stay . 
 Aug 24 2009 	 Le Westin Montreal well ! 	 get back spend two night Montreal newly open Westin . fantastic ! greet door pleasant parking valet whisk car away , another valet carry luggage hotel . hotel lobby breathtake decor throughout , include restaurant , bar room . every staff member encounter speak flawless english make we feel welcome . go back ! 
 Aug 24 2009 	 nice building good location quite finished . 	 stay three night early August . everyone helpful hotel locate convenient location Montreal . brand new hotel somewhat trendy well design . several problem come stay . first not refrigerator every room . order one front desk take . put we waiting list never receive fridge . also wireless internet break floor . could not find disturb sign constantly bother cleaning staff . pool build rather small . heater pool break stay general pool area nice . I would not stay hotel unless 100 % certain problem fix . 
 Aug 21 2009 	 fabulous location clean pleasant stay would not stay anywhere else upon return Montreal 	 boyfriend bit hesitant book hotel reading review incompleteness , elevator malfunction , etc . , end book standard room , king size bed , two night / three day mini - vacation Montreal . one well experience travel . begin , location WONDERFUL . walk one way , Old Montreal / Notre Dame Cathedral , walk way , downtown , right Sainte Catherine street . seem max 20 minute anything everything . extremely high standard dining , every restaurant go ( within comfortable walking distance hotel ) outstanding . GPS bring we right entrance hotel Sainte Antoine street , car valet . book hotels.com , since bring copy confirmation email , check - in easy . receive two key 15th floor . upon arrive room , please simple , elegant decor complete flat screen tv , ihome speaker / clock radio . two night say bed one comfortable bed ever sleep . everything extremely clean new ! bring juice beverage hotel bit surprised find mini - fridge . however , call concierge ice bucket bring promptly employee . end make drink colder even quick , end work nicely . $ 142 night , super comfortable , clean , great location . would great businessman well would great family vacation . would stay return Montreal ! HIGHLY RECOMMENDED ! 
 Aug 19 2009 	 terrific stay Great Location 	 recently stay week hotel attend conference Palais de Congres across street . the hotel also easy walk distance Notre Dame basilica Old Montreal . thank husband 's Starwood Gold status , upgrade club lounge level . ( also sign great pre - pay deal , every night half - price . ) room fantastic : comfy bed , double - head stall shower , good blackout shade . workout facility open provide various machine , plus pool . sign hotel still complete workman around day ( although not hear morning ) elevator malfunction couple time . however , would highly recommend hotel : room great staff helpful friendly . 
 Aug 18 2009 	 great spot wonderful bed 	 arrive late meeting . fortunately , greet lobby car take promptly valet parking . check , go room , change back street 15 minute . everyone polite , courteous efficient . feel like stay friend . room new , bed comfortable food hotel restaurant excellent . hot Montreal ( ! ! ) room nice cool . excellent location reach car visit old city . definitely stay . excellent Westin hotel . Wife agree . 
 Aug 18 2009 	 nice stay still ready 	 excited stay new Westin property Old Montreal . still seem bit work leave make invite hotel experience . style nice , like grand entrance glass bottom pool . room fairly spacious well appoint , nice bathroom glass door shower comfortable Queen - size bed . tell hotel ready yet : lack signage ! ! idea get room ! hotel big feel like maze ! two & quot ; tower & quot ; hotel -- rear tower . get room , need climb escalator restaurant / lounge level , find elevator -- several . first bank elevator try , near escalator , bring open unfinished space definitely floor . look like unfinished convention office space , strangely unrestricted curious lost guest . return lounge level , security guard approach instruct go another hall find correct elevator . floor , also notice number room sheet paper tape door room number , box material ( light bulb , sign , etc ) sit around . try find pool / fitness room , involve go elevator lounge level , walk lounge area , go another set elevator tower . , signage , guess elevator floor pool . travel tip ... Metro across street Palais des Congres . also park half hotel charge parking . eggspectation restaurant around back hotel , get good breakfast lunch fraction hotel 's restaurant charge . aside problem experience -- overlook ' ve explore figure everything -- staff polite helpful question issue could not resolve . would like see place look like another 6 - 12 month , issue ( hopefully ) correct . 
 Aug 13 2009 	 Westin okay still problem . 	 previously post , still fridge room , hardware dresser fall elevator main tower slow . main problem elevator morning evening ( around dinner time ) weekend . 3 elevator service main wing , even thou floor not big , elevator always busy . week day not problem elevator . snack shop lobby little offer go front desk pay item . real turnoff , especially long line guest wait register . also , ice machine floor , call operator someone bring ice . 20 minute , call ice . another 10 minute go , finally , ice arrive . the pool fitness center open , still work need immediate area ( i.e . bathroom ) . overall , room nice clean . not wait long check location great , close Old Montreal , hotel still issue need work . 
 Aug 11 2009 	 great location great staff overall let - down 	 great location & amp ; great staff - friendly helpful . thing spoil overall experience hotel control staff . whoever design hotel design another one . first , drive - in drop - off area small - put 3 big car taix , urself traffic jam . much well park temporarily street unload - kinda defeat purpose stay luxury hotel . check - in checkout time , despite valet / bell boy work flat , still take 50 min get car carpark . come on Westin , pay $ 26 valet - least provide service . matter valet / bell boy lazy ( not ) , matter well system . go checkin checkout counter - expect longggggg queue & quot ; peak & quot ; hour . express checkout solve part problem.2nd bad design : room another tower back , haul luggage lobby lift escalator one floor , haul 100 metre another lift , haul floor.3rd bad design : king bed room tiny hardly room move . trying squeeze much furniture stupid . switch 3 - 4 light room still provide adequate lighting - guess people like room dim . light surround ensuite bathroom mirror nice stupid - glarey eye . everything use room genuinely good stuff though , linen toileterie heavenly bed . room also well - make morning . , be pay much , would expect much . so , overall , 's good hotel , will not go many little thing add spoil overall experience . similar price , heap option around town . helpful smiley staff make day , go ahead stay . 
