warn 	 hotel book room try relocate hotel several mile away , case 13 mile away middle nowhere . 
 Nov 25 2009 	 perfectly descreetly situate hustle bustle Oxford Street . 	 visit Berkshire last week would concur cut . price wise expect 4 star hotel tick box term location , room size , bar restaurant . not leisure facility , would want hyde park stone throw away . good hotel definately go back 
 Nov 23 2009 	 Better London Hotels decent rate 	 travel London time year rarely stay hotel frequently dissapointe . generally London hotel one star much compare star level country unless budget allow stay absolute good , completely overpriced compare good hotel country . recently stay Radisson Edwardian Berkshire Hotel likely stay next time London . centrally situate fairly decent standard . make sure book room King Size bed make sure get small room . staff also helpfull . 
 Nov 15 2009 	 . 1 choice everythime will travel London 	 Excellent location , friendly yet professional service staff . 
 Nov 1 2009 	 Great Location Nice Hotel 	 Clean well appoint hotel , room small side nicely furnish . free wifi bonus . one elevator working order 3 day stay disappointing otherwise would certainly stay . 
 oct 22 2009 	 room may little small location convenient service superb recommend . 	 locate right Oxford street , convenient stay business centre London . room little small , appart lift working , service superb staff friendly . 
 Oct 20 2009 	 go 120 pound shop around 150 . 	 Radisson , spend much time describe good . deliver quality expect chain . also necessary consider standard room give serious thrill . serious minus room noise Oxford street start early finish late . shut window not help horn car hear clearly . window side entrabce ( towards Oxford street , side street ) first floor , probably ask something quiter . experince area 150 find well option ( check Mandeville hotel review ) . 120 Radisson become good choice . 
 Oct 6 2009 	 fantastic location great service 	 fly night Bahrain London shower BA arrival lounge not think would allow occupy room . imagine surprise check 9 a.m. tell could go right room want ! room big , window open , ample need . difficulty locate electrical outlet could charge laptop cell phone , minor inconvenience . hotel right across street Bond Street Station central line Underground . despite busy neighborhood , still peaceful night 's sleep . stay business consider fantastic location appreciate amenity afford . definitely stay . 
 Oct 5 2009 	 Perfect 	 Though arrive early , immediately allow occupy room . receptionist staff friendly helpful . even welcome phone message leave need help . free wireless internet available immediate use . location , can not well , right Oxford Street , next Debenhams , yet , noisy . unlike similar star - rate hotel London , room spacious comfortable . hotel lounge bright comfortable , . simply love Hotel , perfect . 
 Sep 23 2009 	 fantastic customer service 	 service amazing recent stay hotel - staff friendly accomodate refreshing change hotel London ! location perfect - right opposite bond street tube 5 min walk oxford circus . room pleasant , good quality furnishing , good shower , comfy bed - thing would add freeview channel would good thing add tv facility . food really good standard - steak sandwich ( would highly recommend ) room service breakfast follow mornig fantastic . waitre red curly hair particular nice helpful constantly scan room see next guest could help . all - great hotel ! 
 Sep 23 2009 	 really enjoy quality service receive stay 	 high quality serviceflexibility Availiability requirement 
