let 	 budget hotel budget hotel . bad hotel ever . depressing . upkeep . shower appliance come hook . stain carpet . personal unfriendly / demoralized . think want get rid budget crowd altogether . leave one night . favor go well hotel nearby . 
 Nov 13 2009 	 unbelievably tranquil luxurious 	 get back Beijing yesterday can not rave enough ! ' m 20 year old stay room old aunt two young cousin ( 12 ) four we fall love plethora chinese western breakfast assortment ( fresh safe fruit buttery homestyle croissant traditional american bacon egg hash brown ) tranquil luxurious enviornment . staff beyond helpful attentive . bartender hotel bar beautiful funny comforting . favorite Kitty , Lily , Zheng , Melody ! hotel right across Louis Vuitton , Chanel , Cartier , Burberry , etc . 's snow , unbelievably magestic ! stay 5 day 4 night find every moment hotel , dining room , pool absolutely FABULOUS ! ! hotel offer enough western tradition never mask chinese culture . option go back would weekly ! ! everything clean , organize make relaxation get massage lay infinity - like pool beautiful . opportunity visit Beijing absolutely make point stay hotel ( new part would recomment ' ve never see old room ) least one night . absolutely worth every penny ! ! ! 
 Nov 11 2009 	 good location wonderfull breakfast ! 	 mistake occur booking , problem , up - grade 3 great room , 2 , suite ! place truly enjoy Beijing , breakfast great , foreigner CHINA , need get good breakfast do not know might find appropriate food ! Beijing cold walk hotel , feel like heaven , great service ! 
 Oct 21 2009 	 great location date stuffy room 	 husband live China come Beijing parent visit Canada . arrange private tour cit book Novotel Beijing Peace . could ask well location , walk distance Forbidden City Wangfujing Night Market ( snack street ) shopper , Louis Vuitton Burberry stone throw away . lobby large grand look like would expect 4 star hotel . reasonably quick check , head room 15th floor , room fairly large corner room spectacular view star start fad ! room date bad carpet , uncomfortable well use love seat brass glass table straight 80 's . bathroom disgusting ! ! ! toilet seat old yellowed fixture ancient decrepit . top room stuffy hot window open . room A / c able turn fan get air move law lucky . husband go front desk complain air conditioning get different room parent tell hotel book room available . also tell room hotel A / c time year like hotel Beijing ! ! ! please , first trip Beijing stay countless hotel season , not give we crap ! negotiate law move new room - well still A / c room stank smoke even though non smoking floor . next morning head delicious buffet breakfast include stay . food good buffet selection abundant . hostess bring we seat friendly enough many chef cook wait staff need serious customer service training . half finish breakfast able get someone bring we coffee even seem like bother . look like none wait staff happy , move slowly never smile . I would also like say cost internet room outrageous 150 rmb 24 hour ( although exclusive hotel ) .Anyways , long story short - stay hotel future would recommend anyone . 
 Oct 18 2009 	 Superb location / comfortable accomodation / great breakfast 	 ' m fan Novotel find location fully meet expectation . clean , comfortable , quite room excellent breakfast buffet . concierge helpful navigate destination city . negative consistently grumpy breakfast buffet employee serve food coffee grimace . 
 Oct 14 2009 	 almost 4 point shame service bad lobby disgute ... 	 ' m stay often hotel business year ago , property extremly bad disgute room , refurnishment room really well do regard value , Novotel Peace good deal Beijing quite good choice ... ok , focus service , be still average staff good english smily . always impression disturb need something . staff reception could try think decide work hospitality industry cause 's hard see ... restaurant buffet breakfast , not even expect smile & quot ; good morning & quot ; not forget hot drink self service cause ask , could make unhappy ... concierge , need & quot ; tip & quot ; city restaurant , highly recommend refer & quot ; Lonely Planet & quot ; anyway , understand choose hotel quality service probably location middle city 20 minute walk Forbidden City easy access shopping sightseeing ; good value cause room renovate spend bit stay executive level cause bathroom bit date standard deluxe room , one Executive room brand new large shower comfy ; good design room , modern zen , different expect find Novotel ; acceptable size room make stay third person absolutely possible buffet breakfast offer good yummy selection sweet salt dish ( crèpe really good friend veggie delicious ... ) .However , room nicely decorate , lobby still renovate look like century often ugly flower arrangement dirty old sofas lounge . hope management thinking re - designing lobby cause first impression guest check ... due excellent room incredible value money , property close 4 point lot thing improve , let us say hotel recommandable nothing amazing ... 
 Oct 10 2009 	 great location 	 stay couple night attend conference Beijing . Novotel well locate , close big ticket sight . hotel meet standard would expect chain . buffet dinner relatively expensive Beijing standard , probably affordable & quot ; chinese cuisine & quot ; option within walking distance . 
 oct 9 2009 	 comfortable base Beijing 	 stay Novotel Peace three night , first leg seven city tour China . after pass strict swine flu check Beijing Airport arrive late morning hotel . the hotel large , impressive lobby wide staircase centre . time visit , huge mooncake display table centre lobby . having stay several Novotels UK , completely different league . room large , two double bed floor ceiling window offering view along busy road run outside hotel rooftop Beijing . the bathroom little tired perfectly adequate . there separate room internet use , two free computer available ' first come first serve ' basis lobby area towards lift , however almost always use . breakfast include price vary , cater nationality . lobby bar expensive quite comfortable relax hard day 's sightseeing . we eat Square restaurant , also ground floor , last night , tasty Nasi Goreng Club Sandwich . as mention reviewer , situation Novotel perfect . ten minute walk Wanfujing Street evening food street , serve exotic Sheep 's Testicles Sheep 's penis ! hotel organise taxi one evening take we Houhai Bar restaurant area write pad chinese name Novotel present taxi driver return trip would never understand we otherwise . I would recommend Novotel anyone visit Beijing . addition obvious sight Tiananmen Square , Forbidden City , Summer Palace , Hutongs Great Wall , make effort visit Temple Heaven south city . get early entertain hundred local singing , ballroom dancing , play musical instrument practise tai - chi - definite highlight Beijing trip . 
 oct 1 2009 	 bit disappointment 	 be search affordable hotel within walk distance heart city , Novotel Peace bad choice price not expect much . lobby deceivingly well - furbish soon be show room , would little disappointed . first three day twin room . pretty good sized room oddly shape , face backstreet , bad , must plumb problem part carpet wet time . not complain barely room , 3rd day , half room soak ! receive note reception say would like reassign us & quot ; upgrade & quot ; room 12th floor . do long time ago also complain . nuisance pack stuff move last evening know would re - pack next day . & quot ; upgrade room & quot ; twin - queen room nice view surrounding mould live bathroom condition bad first room . besides room , facility service meager & quot ; ok & quot ; . swimming pool accommodate two serious swimmer , breakfast ( include price room ) pretty expensive Beijing standard ( 15 Euros per person ) although variety food great , would get well deal local restaurant . service ? not quite much besides organize tour overprice . mom pay 600 rmb driver take we Great Wall Ming Courts . sorta regret later driver always rush we . decide go option first place avoid hectic tour . one word advise : take whole day Summer Place . 's worth get easily taxi . check option take ferry zoo . my mom decide would split week 's stay Beijing first stay traditional Hutong courtyard hotel 15 minute city center move conventional hotel swimming pool travel convenience . knowledge Beijing stem travel guide internet site not really know layout city . although Novotel Peace really close Forbidden City ( 20 minute walk ) shopping district Wangfujing ( 5 minute walk ) , Hutong ( Ji House Courtyard Hotel : www.jihousecn.com ) , situate close Gulou much well place stay term sight seeing nightlife . give we authentic feel Beijing , whereas wangfuje area over - price , over - westernize , exciting . however , second day stay Novotel , discover lot small , wonderful local boutique behind hotel great shopping . Verdict : would likely try another hotel next time . price right ( pay 50 euro per night really cheap ) , not plan spend much time hotel , sure , be bad option . 
 Sep 29 2009 	 Unbelievable service value ! 	 fantastic stay Novotel Peace . great location , close wangfuje shop snack street . walk distance Forbidden City Tiananmen . room clean comfy , nice furnishing . finally , concierge beyond fantastic . friendly , courteous , go beyond make sure taxi driver know exactly go ( go unusual place ) . also quickly easily arrange car Wall popular spot fairly standard price . really great place ; would recommend anyone . one note : pay internet room , free wifi lobby also two computer lobby general quick use . 
 Sep 26 2009 	 LOCATION ... LOCATION 	 book hotel read somewhat positive comment site , locate map .... well , find location near perfect .... hotel face Peninsula ( wich Bank China international ATM basement floor ) , Lee 's Garden Hotel , etc ... feel ` ` western '' athmosphere aera , wich bad ... kinda allow digest easily somethime - intense sightseeing day ... 's entire trendy shopping aera minute away , fantastic shopping center 10 min walk hotel , numerous great restaurant ; range Pizza Hut South Silk Road ( wich highly recommend ) ... Forbidden City 15 - 20 minute walk , ( north gate , mistaking ) , would suggest take cab ( 10RMB ) , keep energy inside city , since there s already lot walk stand still inside city ) ... temple Heaven couple minute away cab hotel , etc ... there s nice tea shop next hotel ( can not miss waterfall - tea pot outside ) ... avoid first since afraid get scamme , actually , compare Xi tea shop , price reasonable ... first check - in , locate we west - wing . first thing notice ridiculeous walk distance lobby room , awfull look carpet wait 4th floor hall .... look like toilet floor room leak spoil carpet ... way ... room renovate , quite lot storage facility ... bathroom nice , separate glass - shower unit . trip Xi , relocate we east - wing , corner room , room , although bit aged , huge , nice corner wall - window , etc ... breakfast brunch ridiculeously overprice , internet free not mind stand people wait back , read e - mail ( 2 screen ) . want tu use business office , cost 3RMB / minute internet ... bad probably service .... be not expect unforgettable consumer service China ( offence ) , since hotel proudly french - own , seriously think teach staff friendly .... guess tall - french dude seem manager busy talk China 's car - price bell - boy talk care business ... , really location make great deal we , since rest kinda forgettable ... 
