boutique 	 special atmosphere , moment welcome friendly professional staff happy help request matter small . Hotel Rex great location near action ambience special load personality character often lack multinational hotel . normal room small , brightly decorate eclectic style . big day San Fran wonderful relax bar glass complimentary wine - Fridays string quartet follow jazz ensemble ! ask room high level senstive traffic noise . 
 Fabulous ! 	 stay Hotel Rex four night early November . check staff extremely helpful friendly find staff high calibre . deluxe double double room find plenty big enough even case lay floor . bed comfy shower wonderful . would ' ve like coffee maker room complimentary tea coffee available bar area morning . also , miss complimentary breakfast . Cafe Andree , next door , serve breakfast quite pricy comparison local restarant . complimentary wine evening great though ! hotel great location , block Union Square cable car station adjoining street . hotel staff great recommend tour restaurant . would recommend Lori 's diner breakfast great coffee Puccini Pinetti dinner . overall , would recommend Hotel Rex stay wonderful city . 
 Nov 26 2009 	 stay ! 	 nice place stay . room large enough 2 . great location near Union Square , Nob Hill public transportation . polite helpful staff . love complimentary glass wine evening free a.m. coffee . travel SFa couple time year , definitely stay . perfect place travel alone , rate much well large hotel . 
 Nov 26 2009 	 dirty SMALL NOISY ` ` BOUTIQUE '' 	 Hotel Rex almost ruin honeymoon ..... ` stayed & quot ; boutique & quot ; hotel room 316 last week possibly bad experience american hotel . the problem lousy service start check : front desk officer check every detail passport US Visa full five minute , use even small flashlight check possibility fraud : never treat US hotel illegal immigrant passport fraudster even Joie de Vivre Hotel ( Erwin Hotel , stay later ) treatment much nice . the room terrible : extremely small , force move luggage ( 2 medium suitcase ) everytime want use bathroom . almost decoration , , old ugly closet , window cover dust crack bathrub floor cover plastic adhesive . morning decide check nearby hotel find least three hotel much well room similar price worth extra buck . decide check Rex change hotel , last surprise & quot ; Rex Experience & quot ; : room clean noon ( housekeeping request door since 8 ! ) . 
 Nov 25 2009 	 stay like feel grandma 's guest room 	 pick Hotel Rex base high Tripadvisor rating . well , surely disappointed . room bathroom tiny . green blanket bed look old worn . towel incredibly rough feel like old rag . room minimal decor . Aside LCD tv screen , room really feel like old grandma 's guest room . people might call charming , find charming way . advertise wine reception , consist one glass table wine . SF boutique hotel different bottle wine choose even cracker cheese . would not go way come back & quot ; wine reception & quot ; consist one glass cheap table wine . would not attend know . would pick another boutique hotel hotel . 
 Nov 21 2009 	 fabulous location boutique hotel 	 recently stay Rex 3 night highly recommend hotel . Dave barman friendly informative , direct we Grand Cafe Geary St dinner one evening superb . great food , service build beautiful incredibly well price meal . location hotel excellent , short stroll Union Square easy access transport . room small really store suitcase bathroom tiny get quite stuffy time . despite love hotel free glass wine bar evening lovely way start night . small , intimate boutique style hotel . 
 Nov 18 2009 	 exceptional quality economy near UnionSquare 	 Hotel Rex gem . decor original , customer service exceptional , room rate highly reasonable . Panache value - conscious visitor . I book reservation three week advance reunion classmate ( 15 ) . hotel choose reputation , location , value , friendliness pet . not disappoint fact exceed expectation . dog care exceptional ( cockapoo can not wait return see Jeff reception ) . charming lobby ideal drink dinner . group memorable intimate dinner hotel 's Cafe Andree ; server attentive accommodating . all classmate rave experience Hotel Rex . 
 Nov 18 2009 	 Charming 	 husband , 2 adult child family member stay 4 night . bed comfortable hotel relatively quiet . important we ! order room service breakfast one morning food okay . downside ice machine floor get ice front desk . the hotel charming quaint , eclectic setting ! terrific location restaurant , store cable car line within walking distance . love certainly stay . 
 Nov 17 2009 	 Small Boutique Hotel Lots Charm 	 wonderful 3 night stay Rex Hotel . Bay Area resident , decide stay hotel San Francisco avoid long morning commute conference attend city . this hotel perfect location block San Francisco Union Square shopping district well short 10min walk Financial Dist . 15min walk Powel Station BART train stop ( 20 min bag hand ) .I love nice old early 1900 's building totally refresh flat screen tv , alarm clock iPod docking , marble bathroom . however , build still retain 's old world charm . 
 Nov 14 2009 	 great boutique hotel excellent location 	 family stay Hotel Rex visit sister San Francisco . 's charming hotel great staff . room large quiet . decor fun , old - fashioned trendy time . Breakfast Cafe Andree downstair tasty service fast . great location , convenient Union Square whatever city amenity need . Valet parking responsive whenever need car . good pug dog Max , lounge one chair reception area owner work desk . would highly recommend hotel anyone want stay center downtown without large corporate - type hotel . 
 Nov 12 2009 	 Hotel Rex Great Choice 	 really love decor . kind art deco / library theme go pretty light fixture choice color shelve old book lobby . room small fit we fine . extremely clean bed , though small , comfortable . location we perfect . close enough walk BART Powell Station , Chinatown , shopping , dining , Union Square . leave car behind form transportation available nearby : taxi , bus , trolley , BART . think get really reasonable rate four - day stay . warning : use hotel website book room make sure call confirm . 
 Nov 12 2009 	 worth Staying 	 Rex Hotel cute boutique hotel San Francisco ' Union Square . hotel locate great location many eat shopping place close . also close City ' mass transportation system . even hustle business city , room quiet night . hotel staff excellent . helpful , courteous professional . plan return Rex Hotel . 
 Nov 11 2009 	 exceptional location 	 girl friend 's 60th birthday celebrate San Francisco , first time . Hotel Rex well expect . quiet quaint , truley boutique hotel . many amenity wish spend time . staff helpful give we direction destination suggestion get . , always plus hotel give robe slipper use . 
 Nov 11 2009 	 love Hotel staff location lobby resturant great 	 Rex mega hotel big inpersonel lobby staff sterile room . Rex character , imformative friendy staff , great location walk around City ffrom . think big living room lobby like . smallish elevator hotel general always remind place stay Europe thet enjoy . 
 Nov 11 2009 	 Nice hotel great location 	 Staff friendly hotel comfortable . hotel locate one block Union Square convenient everything . 
 Nov 11 2009 	 Perfect location fantastic guest service lovely room . 	 second stay Hotel Rex . would highly recommend anyone travel within San Francisco . hotel one block Union Square quieter hotel right square still easily accessible great shopping , trolly car , etc . evening wine happy hour great way meet new people relax busy day . 
 Nov 11 2009 	 cozy boutique hotel near Union Square 	 ' ve stay Rex several time year keep return . location can not beat -- near Union Square block Powell BART station , direct train airport $ 8.10 . room visit small , comfortable , bit dark , face another building . lobby cozy pleasant -- free coffee morning glass wine offer afternoon . Friday singer group talente high school musician provide chamber music . staff friendly helpful -- check Maximo 's . 
 Nov 10 2009 	 one complaint complain lot 	 world promise deliver , Hotel Rex exceed expectation every level . wife 6 month pregnant Rex make sure always comfortable even upgrade room . exactly one would expect quaint boutique hotel . service friendly sincere , none McDonalds & quot ; great day & quot ; drone . room clean , comfortable quiet . would recommend anyone without hesitation . 
 Nov 10 2009 	 ultimate ` ` San Francisco Story '' 	 Hotel Rex personal choice recommendation year ( 8 ) business , pleasure visit city . quaint accommodation , personal attention detail staff , perfect location activity , fabulous dining always leave feel like would not choose location . & quot ; San Francisco home & quot ; . 
 Nov 10 2009 	 First Class Hotel 	 Dear , anyone go San Fran seriously consider hotel , reccomende friend stay I m glad ! little wine reception night great , also offer free wifi that s fast reliable ! hotel exceed expectation boutique focus detail ! ill back Feb 2010 john 
 Nov 10 2009 	 Great Valu Great Area ! 	 stay REX last 4 5 visit San Francisco - would not stay anywhere else . location ( Union Square ) perfect shopping , hop cable car , good food , lot good people watch . the lobby almost like private club , cozy quiet . also , block cable car . over year stay several SF hotel , since find REX 's like home . 
 Nov 7 2009 	 GREAT LOCATION 	 hotel really well locate Union Square please Fisherman 's Wharf instead . however , arrive admittedly tired feel dark poorly light inside . the staff efficient always . the major put thing find decor floor corridor power drab orange , combine continual smell would describe Old Peoples home air freshener ! together heat nauseating . room ok , wardrobe one leg high other one end , therefore lopside easy cool room , time heat stifle , without opening , difficulty , sash window . back , view sort . the telephone also operational either could vital emergency . attach cafe fine watch , well add tax bill employee health insurance payment add bill . question itthe waiter imply routine time whole 2 week California charge ! probably would try hotel location visit could not bear smell corridor . 
