rather 	 business find Junior suite like flat London ! spacious , clean , amazingly comfy well . food good chef serve lunch pride , staff friendly well . location good restaurant nearby , stroll Tube station , locate one London 's survive georgian terrace . 
 Nov 21 2009 	 good hotel - price right 	 get last minute book much reduce rate - need place central London sleep night . first - off offer small , pleasant room overlook garden , husband concern security fire escape outside window , quickly efficiently give alternative room . well decorate retain character original townhouse , room spacious luxurious feel . return form night early hour really good night 's sleep super comfy bed . room also well sound - proof incredible black curtain - could do clock though , idea night day ! ! good - air - conditioning make comfortable stay . 
 Nov 10 2009 	 will never go back 	 book Hotel one night way California . soon arrive , concierge show we nice room suppose , , tell we stay room increase rate choose .... obviously refuse stay wanted room rate select , give we room underground smell really bad . claim ask another one , tell we full . really bad service really bad marketing Hotel use travel lot stay really nice hotel . thank God go , great time friend forget incident one night , definitely will not back . 
 Nov 7 2009 	 terrible experience 	 suppose stay several week , yet give , small room tiny half - closet , nowhere store clothing luggage . ask big room , refuse give comparable corporate rate . I decide check . 's morning staff kindly offer junior suite , perfect -- rate pay . change room , quite happy . well , night , get call front desk , suddenly say staff & quot ; misunderstanding & quot ; manager , rate would actually almost 100 pound PER NIGHT offer morning . how incredibly rude unprofessional , hotel hardly great , right across street noisy , shabby youth hostel ! check immediately , head Hotel Russell two block away -- offer modern SUITE , LESS pay tiny space Beauchamp . much well , far nice staff , zero hassle . 
 Oct 28 2009 	 great location friendly kinda clueless service 	 great location -- quiet street , right around corner British Museum , walkable West end Oxford Street , well tube . room nice , surprisingly large , although suppose get -- suppose two bed three people ( two adult child ) instead one bed ( comfortable ) pull - out sofa ( could hardly uncomfortable ) . room clean , though , attractively decorate . never able get internet work , people suppose come help we ' right away ' show hour later , least take bill without fuss . breakfast bit disaster -- get proper place setting , despite numerous visit different wait staff ( friendly , look bit lose ) , half buffet miss give time ( coffee one morning , milk another , one croissant , etc . ) definitely worth pay , event , case include . dining area sunny pleasant , obvious blank / nick spot wall spot light picture must previously , sure go . overall place winner location , size room , cleanliness , price ( least pay , website ) , not expect much term service breakfast ( although staff friendly , tolerable -- perhaps lot new people ? ) 
 Oct 17 2009 	 lovely treat 	 Beauchamp crack little hotel smart street line hotel chain , around corner Holborn underground opposite Bloomsbury Square Gardens secure carpark . ( experience , especially like classic car ) . stay 2 night initially room 211 floor second floor little wonky bed hill , move 301 huge ! big comfy hotel bed ' ve stay fantastic bathroom rainfall shower . beware get bed breakfast rate though , get catch . attraction easily accessible Holborn tube station somehow manage spend 4 hour army museum find great french restaurant Covent Garden , Chez Gerard . fully recommend going see War Horse New London theatre Drury Lane , even Queen think great . 
 Sep 6 2009 	 lovely central hotel 	 stay room 302 good size room lively bathroom . staff helpful , park right outside well free 6.30 evening 8.30 morning . 24 hour WIFI tenner be not bad either 
 Sep 1 2009 	 enjoyable 	 relaxing weekend trip . room small , esp . seemingly dozen overstuff pillow . otherwise , clean comfortable . good location , close subway museum . full price , probably good value , ok get good discount . 
 Aug 10 2009 	 great value money 	 stay imperial hotel russel square rate would rate beauchamp ( part grange hotel ) way .. pro - great location ona quiet side street russel sq ( 10 min walk tube stop ) , modern room wifi access ( charge ) , tea / coffee maker , fresh towel good complimentary continental breakfast ... con - small queen ( fit six footer lenghwise ) shower head close end bathtub wherein u almost stick wall get ure head shower ... 100pds night double think bargain london n def stay . 
 Jul 3 2009 	 worth money 	 wind long european trip decide splurge Beauchamp 240 GBP . know area well interested see renovation . huge disappointment -- shower tap adjust without extreme force ( demonstrate attendant ) , toilet handle break , towel clean . really appal overall . also bug bite prior arrival make wonder allow dog room ( basement room whose location right next cellar staff get bottle ) . save money go one local place . 
 Jun 28 2009 	 Pleasant hotel convenient location 	 second stay , time one night stopover catch Eurostar . good location , within walk distance king Cross / St Pancras ( 1/2 hour backpack ) . room clean modern bit small side . felt fine one night maybe bit small long stay . also find bed rather small 5 ' 4 & quot ; . continental breakfast include price ( £ 69 ) service good . pay check - in not problem . receptionist also ask could charge £ 50 credit card incase want charge anything room . say thank , would pay cash check - out . certainly stay next time pass . 
 Jun 21 2009 	 would enjoy actually give room 	 book hotel Laterooms look forward stay read review . sadly arrival tell & quot ; due maintenance issue & quot ; would relocate nearby sister hotel , Grange White Hall Hotel frankly date tired . annoyingly another couple arrive Beauchamp almost time we offer room straightaway lead believe happen room buy discount rate . finally offer room sister hotel accept give get late missing evee London , notice people send Beauchamp similar problem . frankly do not believe maintenance issue likely could fill room great rate . happy read Tripadvisor review happy obviously know nothing replacement hotel offer ! 
 May 31 2009 	 gorgeous hotel amazing location ! 	 stay two night weekend perfect ! check smooth free upgrade room overlook garden ( room 307 ) . room little small , everything could need . huge comfy bed , lot wardrobe space , safe , tea coffee , great bathroom bath shower , widescreen LCD tv load channel lot besides . we complimentary continental breakfast first day , ok . would not pay £ 16 charge , put way ! one hing breakfast room quite small bit stuffy . feel could not talk loud small quiet ! hotel road many hotel grange group ( Clarendon , Buckingham .... ) superb location . would say price , good location ' ve ever London hotel .. Minutes lot shop , bar restaurant 10 minute walk near tube station . just idea - check , would advisable ask room garden view face street even basement . not think would nearly pleasant . 
 May 2 2009 	 impressive hotel - minor service issue 	 check quite late evening business book superior room ( hotel low category ) - room small , fact compact indeed . impressed smal plasma tv screen room welcome comfortable . order room service dinner arrive quickly though pretty poor - staff speak English well finish place tray outside door remain next morning . breakfast also room good well present - though cup / mug coffeee major issue use one room . view onto garden back hotel luxury London - sleep well hotel quiet location - hotel London suffer traffic noise refresh one not , .On check Manager present make sure order ask stay - seem really care go well . stay quiet night think , restaurant bar empty quiet indeed throughout . room great , bit small though would certainly stay . 
 Apr 21 2009 	 stunning hotel wonderful break 	 book room online website , find location perfect , romantic weekend boyfriend . arrive give complimentary upgrade executive suite . room seclude gorgeous garden view . service friendly time . book hotel , read review website other decide write one , say wonderful experience would recommend other . area british museum , russel square park , waitrose renoir cinema- show movie like , usual commercial choice . covent garden leicester square walking distance . even pop oxford street shopping . I would highly recommend hotel , stay many hotel london , hilton park lane- wonderful pricey , small pleasant hotel paddington decide beauchamp perfect hotel . intimate , friendly , great decor . 
 Apr 20 2009 	 Fantastic ! 	 book Hotel well advance website get consider reasonable price location . on arrival upgrade executive room . make deal even well value . spacious room amenity could wish . bed huge everything clean . we continental breakfast include room rate provide good choice food good quality . also coffee bar one evening nicely serve biscuit . the staff pleasant efficient . must mean Grange Hotels must treat staff well . would hesitate return Hotel would recommend small chain Hotels anyone visit London 
 Apr 16 2009 	 could not fault hotel service excellent 	 stay Beauchamp Easter find upgrade executive room clean tidy . service excellent even dining area staff pleasant . the thing would say stay room 012 reception area tile reception hear trolley suitcase wheel across get quite annoying . parking bit problem quite expensive outside hotel warden keen . 
 Mar 27 2009 	 Fantastic 	 stop Beauchamp January 2009 1 night excellent . book via laterooms.com get great rate , get find have upgrade executive room absolutely fantastic . fab location Central London theatre . there park onsite use NCP end road , although expensive , secure . overall , brilliant hotel . 
 Mar 15 2009 	 good seem 	 since hotel describe detail previous reviewer , would add fw comment personal perspective . first , normal room ( cheap London standard , since price go bit ) quite tiny - certainly London even Paris standard . clean nicely furnish , lobby , two feature room make want come back . first windows pseudo - traditional style not close ( * * get guillotine - type window actually shut ! ) , room front quiet certainly drafty . problematic bed short - tall unusually , miss maybe 15 - 20 cms . outright unhealthy , make contraption make luggage table pillow . work , one want pay 100 - 120 Pounds night . ask big bed ( = normal - sized one ; not bed - length problem year , travel quite bit ) , tell long one available high category , would anothr 30 Pounds . reason short bed apparently big one fit small room . consider supply bed one actually sleep primary duty hotel ; one not . , stay hotel , see neighborhood full compete establishment none , seem , book ? well , able check room first , first time life , pay front - idea , find policy highly sketchy . normal , strongly suggest hotel design make money usual way ; find really troubling , see , good reason . say check , come meet UCL around corn full business regalia , certainly look reliable imagine . say , hotel nice - sized , pleasant , modern , well - locate , staff partially friendly . bad provide essential service structure highly strange pay - up - front system . would next time definitely go somewhere else . 
