love 	 love Art , sculpture , bed / room , restaurant , pool , service , vive , peace . love sexy , romantic feeling place . spa open stay would really perfect . stay Hotel 2 month really love feel really comfortable satying . adult place sensual painting hotel sculpture . vive , look feel place scream passion romance . casino place great quiet , healthy peace relaxation . 
 thankful restaurant close 	 Artisan website give false impression actual property . stay hotel attend son 's wedding . Maria , wedding planner , staff organize handle detail . hotel disaster . maintenace problem . party four room . problem encounter room door become unhinged bathroom door would close . light bulb miss one work 40 watt make room dark dreary . Shower water would turn , water closet would stop run . call front desk ask maintence issue . maintence duty . hotel locate near expressway prepared hear car truck loudly accelerate night long . drywall drop hallway ceiling several room door & quot ; red & quot ; stop order Las Vegas Inspectors state room could occupy . learn upon arrival restaurant use Private Dining Room close two month . communicate son daughter - in - law prior arrival . probably BEST . book evening dinner wed two wonderful restaurant strip . make wedding . tolerate Artisan . staff try , receive backup Management Ownership . be like bleed hotel revenue put investment back . interesting bar . rating Wedding Chapel , strip restaurant = a+ Artisan= D- suggestion : stay strip , save cab fare , enjoy well lit room maintence perform . 
 Nov 9 2009 	 blind lead blind 	 know check see friend front desk need new room hole punch wall , AC Unit luggage cart collapse bed experience would similar . give room friend stomach flu tell staff need & quot ; get [ -- ] room & quot ; check stay another friend . my real issue artisan hold $ 576 pende debit ( sure get number ) 4 day also charge $ 386 ABSOLUTELY nothing . finally find error claim correct . 3 day later still yet issue credit . overdrawn account cancel debit card error . sometimes happen Vegas do not stay Vegas . other complaint include improper bedding , ridiculous room service fee , old rickety elevator , faulty dangerous electricity , cold pool , broken phone , wait 10 minute someone come front desk , bad wi - fi , oh accuse smoking room try charge $ 250 later correct say another guest . I work hospitality industry . understand hotels low budget people rotten people business business . 
 Oct 26 2009 	 SAVE trip never never never stay ............. dirty gross 	 husband stay hotel three night hopeing would get well ( ! ) stay Stratosphere thought would nice time gaming nice quite day pool lunch drink ( 15th ) checking go well . Got room think go perfect ... open fridge old food smell bad . ask clean 6:30pm ( cke early 12 ) still . talk personally say wouod clean . ok next day want relax pool nice dish still day b4 tell we restarant close day ( construction ? see worker work ) order food form local resterant . clean figuring would . go room clean ... go town get back still clean ask clean 7 pm . next day ( still stay idk ) leave morning go Grand Canyon 5hr drive another 5 back . get room 12 am ROOM CLEANED .... key work . one problem talk almost everytime get elevator . would never tell anyone place stay . worst ever . thing work parking even need . could park car walk 50 foot door . still wait talk someone stay room charge . door room say charge $ 300 night would pay $ 10 . call health department BBB . issue hotel save trip not stay ! 
 Oct 25 2009 	 stay Far away - Bogus charge 	 long short place dump staff rude . the place dirty bed pool . give shoddy towel mixture newish ( stain ) actually torn . the staff pick 's thing floor , not actually clean room chemical actually watch room . Disinfectant anybody ? there . they also full RAP nightclub friday & amp ; saturday night , staff yell complain sleep hear music full room . they also charge parking , wait end .. nice change . 
 Oct 21 2009 	 bad experience wedding 	 stay Artisan Hotel Wedding , bad experience hotel front desk manager complete b -- -- , rude , keep word . room service awful cold food suppose hot . happy bad do not care do not believe refund . alot hide charge bill $ 500.00 tell we . want nice time go . bad beautiful hotel however idea , customer service , would better hotel 6 . swimming pool ice cold . careful valet charge plus want tip everytime leave . wedding wedding run someone else great ! HOTEL SUCKS ! ! ! ! ! ! ! ! ! ! want BAD expererience GO . PROMISE . good LUCK 
 Oct 19 2009 	 great place hangout 	 hotel might one cool place without muesum . picture everywhere include ceiling . soon walk stop look everywhere include take everything move far . front desk staff informative property offer . love property gamble free . large casino walk slot bar top . room clean bed not want get morning comfortable . lounge good dj 's play weekend . line get not pay . unheard town . come back stay without doubt . 
 Oct 13 2009 	 keep receipt ! 	 never stay hotel . though cute spooky , offer comfortable bed , great bar awesome music , also like charge credit card thing never authorize . keep receipt . way would able prove suppose charge $ 15 drink , $ 45 , use valet parking 3 time , 5 . stay twice Artisan time problem extra charge . check credit card statement even 6 month – periodically surprised see small amount ( $ 10 - 15 ) charge hotel $ 270 charge 3 night stay even near Las Vegas . 
 Oct 12 2009 	 not ever stay ! 	 check go room family settle daughter notice used condom , mind five know touch thing not belong , thank god ! fast check , family check ! wed hotel rest family stay well . extend family terrible experience . truly floor & quot ; swinger community & quot ; choose place ! strongly recommend one else ever stay ! truly bad area ! dope deal around place , prostitution overall enviroment safe death trap ! please keep family friend safe stay waste money ! 
 Sep 7 2009 	 not stay ! ! 	 stay & quot ; hotel & quot ; good friend 's wedding . change room twice ( first time shower KNOB turn ) , finally end room much dust ceiling fan , look like fur . everything break , duct - tape filthy . service hostile non - existent . example , member party ( bride , get married hotel ) call room service morning wedding , ask come downstair get food . say could not , person phone asked & quot ; ? & quot ; . continental breakfast , pay $ 4 cup ofcoffee , can not go outside get anything , locate barren wasteland , opposite side highway strip . surround construction , 's LOUD bar / nightclub first floor clearly hear way 5th floor . it charm Bates Motel element danger one would associate trip third world country . 
 Jul 24 2009 	 even check .. manager personnel terrible 	 pay reservation upon arrive hotel ask Credit card check .. unfortunately forget home despite offer put cash deposit refuse check . left get another room hotel strip . 
 Jul 24 2009 	 Vow Renewal Artisan - May 11 2009 	 may bit long wind , maybe future bride marry appreciate . okay - ' ve read almost review hotel book wedding ( renewal ) . apprehension , read people ' experience hotel . discuss Artisan chapel wedding coordinator , Maria . part hotel management , Masterpiece Weddings , put mind ease bit . Maria pleasant , friendly , eager assist answer question . research , area , input past bride Artisan , feel comfortable enough give deposit . fyi : be get marry - good way reach Maria phone . take long time return email . first good : day ceremony walk see hotel decor awesome , releive see 's dark spooky cave other mention . perfectly fit 1940 's theme . meet officiant , David Poire , actually owner hotel . say absolutely fantastic job performing ceremony . not feel rush , heartfelt . chapel much charming lovely online pic . truly one beautiful Vegas chapel ' ve see . package price can not beat get ; almost good true . note chapel non - gaming hotel , allow recognize register actual church - plus we . upon arrival , Maria greet hello standard & quot ; look beautiful & quot ; bride . lovely dozen rise bouquet exact color want wait bride 's room . Kudos florist . bad : really & quot ; bad & quot ; , bride need stress already big day . Maria ask 5 minute get copy reading give week prior , officiant misplaced . { yike ! } course not bring & quot ; spare & quot ; - somehow turn ; crisis avert . sister come dressing room tell Maria allow freeze - dry rose petal altar/ step - one send make sure would okay use . { aargh } spend $ 150 , said & quot ; oh yes ! ! & quot ; LOL turn think fresh petal - top thing , would note freeze dry , would ' ve forget little detail . straightened help son - crisis # 2 avert . next be tell need & quot ; pick guest & quot ; would like record ceremony . dvd include package , never mention one guest would need & quot ; work & quot ; wedding . kind strange , luckily friend not mind , great job . also , ceremony , Maria tell photographer - right front guest - & quot ; make sure get gratuity ! & quot ; bad form opinion . need make photog aware , be fine , tacky bit rude front family friend . lastly , sister post - ceremony drink bar , Maria walk say , & quot ; whose clean petal ? ! ? & quot ; sister , get drink , look blankly . son offer job , otherwise $ 20 fee sweep petal . none issue enough ruin day , rather stressy thing happen . not even know issue day ceremony , nobody want tell day . overall - convenience , style , service , gorgeous chapel , recession - friendly package price , give grade solid b . would recommend ? yes would . 
 Jul 11 2009 	 hate PLACE ! ! ! ! sketchy around ! 	 important business meeting plan Friday noon creative staff ( approx 7 ) reserve room & quot ; MASTERPIECE SUITE & quot ; night . upon arrival late evening check - in reservation could find system mysterious reason could not check masterpiece suite put standard room night assure would straighten 8 am staff meeting next day . after long Artisan Hotel staff meeting wait , call twice response still meet around 10 am go inquire move room time noon staff meeting find & quot ; MASTERPIECE SUITE & quot ; take night 3 am ( apparently deny so - call empty suite ) screw system ! needless say , charge card ( less expensive room stay & quot ; MASTERPIECE SUITE & quot ; ) wait remove immediately check relocate meeting last minute . top could offer rent & quot ; MEETING ROOM & quot ; $ 150 oppose usual $ 200 fee . do not stay horrible experience bed SLEPT ( standard KING ROOM BROKEN DOWNWARD SLANT ! ! 
 Jun 22 2009 	 Hotel ok ! 	 stay 1 night , hotel really ok . kind dark , spooky place , beautiful , artistic way . pool small nice , great leisure . room also dark , clean nice . bathroom dark . great bed ! problem 's bit far Strip not car staff recommend take taxi come home late night ( 20 $ mandalay bay Artisan , tip include ) . hotel hard reach public transportation . , problem . 
 Jun 18 2009 	 Hostel / Creapy Crack House 	 Husband attempt stay soon find good place go unless look & quot ; companion & quot ; night crack house . first bad experience pull freeway location little sketchy , check recpetionist bazar mumble thing people sex night walk around naked . go room already occupy two people snort cocaine , feel bad dream . leave stay different Hotel feel safe . top horrible experience receptionist steal credit card number yes know beacuse genious pay cell phone bill ... spend $ 3900 . learn poor mistake not stay . 
 Apr 23 2009 	 love theme amazing time ! ! 	 I m local boyfriend want find hotel get away night look online find artisan LOVED photo decor hotel book inclusive package ! LOVED stay room unique creepy ! LOVED lounge/ bar resturaunt wonderful well . decide stay plan drink eating would highly suggest get inclusive package include breakfast lunch dinner well open bar get well money worth ! ! would totally stay @ hotel love everything complaint servise well far resturaunt Monday night slow amazing do not understand people complain valet love always park valet anyways ! would recommend try hotel 
 Oct 20 2008 	 Got married ! 	 could not find well place wedding ! hotel amazing . find Artisan online lasvegasmasterpieceweddings.com package price right . dvd picture , everything work great ! ' m glad site like trip advisor guide we right direction . originally select another place wedding . glad read review go Artisan instead ! thank ! 
 Oct 19 2008 	 warning ! ! Credit Card Fraud 	 WARNING ! ! stay Artisan Las Vegas May 2008 submission grappling tournament . book tthrough Travel Worm get reasonable price $ 51.00 per night two night ( Fri Sat ) . 21 Sept 08 credit card charge $ 433.81 Artisan . call Artisan clear matter manager state Travel Worm go bankrupt charge card could get money . immediately call Travel Worm 's corporate main office Las Vegas tell ( Travel Worm ) bankruptcy go bankrupt . evidently first call Travel Worm problem . Travel Worm take info ask email info would take care . since try call Artisan get manager voice mail . add ... Atisan also make pay refundable deposit ( hotel Las Vegas ) never refund back ... 
 Sep 28 2008 	 love corky hotel 	 fiance decide go Vegas 3 pm Friday . look online last minute deal find hotel , $ 200 3 night . picture web look quite nice hotel offer pool , always love . go arrive late Friday night . staff super friendly valet front desk ( note : Valet Parking ) . room picture . regular size room bathroom quite small , functional . the lobby wall ceiling display hundred paint reproduction , atmosphere quite dark artsy ( though spooky ) could quite feel set vampire movie . quite interesting say least good way . hotel bar , quite & quot ; happen Friday Saturday night experience . cosmopolitan crowd come ... swimming pool area lovely wonderful day bed , able lounge afternoon . also offer small chapel , take plunge . hotel locate strip take 3 minute near big casino . this place nice surprise might back ! 
