nice 	 take kid NYC Thanksgiving holiday nice stay Belvedere . staff helpful room nice size four people . hotel locate couple block Times Square , Rock , Macy be got see sty midtown . rate reasonable compare hotel area . would recommend hotel look reasonably price , well cared hotel . 
 GREAT ! ! ! ! 	 nothing negative hotel bad good .. could way soft ... .. Location AWESOME .. 2 - 3 minute Time Square ( walk ) .. clean big room , nice Bathroom , quit .. place we next elevator bit loud .. go 10 minute get another room without problem , Valet parking reasonable 43 usd .. great experience .. sure return . 
 Nov 26 2009 	 great time around . 	 convenient location , standard double / double huge NYC standard , helpful staff , overall wonderful time . 
 Nov 25 2009 	 Loved Belvedere 	 great location , clean comfy bed . hard thing find NYC one hotel . pay little extra upgrade executive room plenty space enjoy microwave fridge . bathroom great size large mirror room great size closet . elevator little bit slow never wait 2 3 minute one . room back hotel hear fire truck occasionally light sleeper problem . 's probably exhausted night really not matter . stay sure ! 
 Nov 22 2009 	 nice central hotel 	 hotel situate near Times Square . room big litle bit noisy outside . concierge front office ware efficient . lot place surrounding breakfast .If stay ask high room . 
 Nov 20 2009 	 good place stay 	 stay 5 night would stay . pay extra deluxe room put top floor ( 17th ) . good view room spacious ( hear unusual NYC ) . microwave , fridge , coffee maker , tv , phone etc . bathroom small side perfectly adequate . bed huge ! room clean staff helpful . location good - near everything choas Times Square . concierge helpful would recommend buy theatre ticket ( go discount ticket booth direct theatre ) price seem expensive . however buy City Tour please get price . nice hotel real criticism . 
 Nov 19 2009 	 good experience 	 great location , helpful staff , nice comfortable room , would definitely recommend stay 
 Nov 15 2009 	 great choice much research 	 spend long time internet searching hotel review choose Belvedere , thank everyone take time record personal experience , really helpful . visit sister States four day together NYC , want fun hassle free . belvedere perfect - short walking distance theatre , Times Square Central Park , restaurant row well comedy club late night jazz bar . neither we familiar city , great base explore from . the staff friendly helpful every encounter go way answer question make thing easy possible we , include extend check - out time . I choose executive double double room spacious extremely comfortable two people , clean tastefully decorate magnificent marble bathroom full well design feature . though expensive , price seem equivalent hotel look . people comment noise not experience - maybe not anything noisy go around we . 11th floor back hotel keep window open time , external noise certainly not problem . fact window could open big draw card I . the bad say default room temperature 74F hot . not huge drawback since temperature easily control in - room thermostat , seem great waste energy ( important consideration opinion ) reduction least couple degree would acceptable would save hotel $ $ $ annual heating cost . I want say thank everyone Belvedere helping make stay NYC pleasant , would not hesitate moment recommend hotel other . 
 Nov 4 2009 	 3rd stay - successful ! 	 ' m lucky enough travel New York almost every fall - like go color change catch show Theatre District . ease , like stay Midtown West , although area generally congest quite loud . Belvedere use Midtown 's well - keep secret . since 's & quot ; discovery & quot ; , rate increase significantly , however , location convenient , make difference able walk many destination , therefore save cab , subway bus fare ( unless be head downtown ) .Due flight delay , arrive hotel late . price guarantee Travelocity match cost print estimate provide desk clerk ( estimate much high ) . gentleman register we manually enter Travelocity price computer without question , confirm rate . registration ( even mistake ) take less 15 minute . overall , day night desk staff , bell staff concierge ( although incredibly busy ) accommodate . at hour , get elevator breeze . elevator quite small , busy weekend like ( Halloween NY Marathon ) , hotel book travel floor , slow . trick : service elevator end hall . use regularly go use lobby elevator go up . our first room 10th floor , street side . handicap room . due increase size accommodate handicapped guest , microwave , refrigerator , coffee maker safe be jammed small space little room hang anything . closet room . everything build low ( great wheelchair ) lot space . experience extraordinary noise ( be New York 's loud ) . like hang clothe , follow morning request & quot ; non - handicapped & quot ; room , accommodate immediately without attitude . be give & quot ; double & quot ; 6th floor . ' ve travel world even & quot ; coziest & quot ; room NY generally large room ' ve Europe . new room & quot ; kitchen & quot ; closet . plenty space move around , even & quot ; stuff & quot ; place . ( 3 adult woman ) . complaint - bathroom small one short shelf sink . toothbrush / paste , carry & quot ; bag & quot ; back forth I . also , modern hotel , tv small , however , not go ny watch television problem . not use internet connection phone ( ) . room stock coffeemaker , microwave , small fridge , separate sink , iron ironing board . guest give option sheet towel replace daily . housekeeping staff friendly . item go missing . bed second room bit firm , sleep well enough . could put cot room due fire restriction two adult woman double bed - bit crowded . from Belvedere easily walk Theatre District , Restaurant Row , Times Square , Radio City Music Hall , Rockefeller Plaza , Central Park Lincoln Center . 's long walk Grand Central Station , Macy 's Empire State Building , doable . 3 month ago , turn Broadway & quot ; walk district & quot ; 45th 48th Streets - great walking traffic . be plan drive area , prepare massive traffic 7th Avenue , day night . for dining treat , try Otto Enoteca Pizzeria near Washington Square Park - delicious , affordable italian compliment Chef Mario Batali . 
 Nov 3 2009 	 Perfect Location Convenient 	 check Friday evening thing happen fast .. much go area , Halloween , preparation NYC Marathon . staff friendly personable . not dine hotel since many option 9th street ( Hell 's Kitchen ) & quot ; Restaurant Row . & quot ; room small , however well extremely clean . definitely return recommend hotel friend family ... 
 Nov 3 2009 	 great choice 	 happily surprise everything hotel , good sized room w/ king bed , desk & amp ; dresser , easy chair & amp ; ottoman , flat screen tv & amp ; coffeemaker , fridge even amicrowave ! ! ! usual bathroom amenity + bathrobe , large closet w/ safe . clean friendly , helpful staff . thing lack public meeting space library sit area ( rooftop garden would perfect ! ) .wonderful location Restaurant Row , Hells Kitchen & amp ; grayline around corner , Times Square & amp ; many Broadway show within 1/2 mile . restaurant really enjoy Ruby Foos innovative Asian , Ellens Stardust Diner , good food , Fantastic entertainment & amp ; Da Marinos wonderful experience ! 
 Nov 3 2009 	 Perfect location theatergoer 	 happy Belvedere ' ve hotel NYC . mobility problem , & quot ; hopping & quot ; onto bus subway real issue . ' m also New Yorker : struggle get around , feel lose lot time , everything seem wildly overpriced . tough audience , many way cranky hard please ' m NYC.So Belvedere , originally choose combo price location , nice surprise . desk staff helpful , bell staff great , breakfast nook nice ( two small stair , warn ) location fabulous . within walking distance ( ! ) many fine theater restaurant kind . leave front door , Hell 's Kitchen leave . lot great restaurant . Theater District around . small necessity available : drugstore need one , several nice inexpensive coffee shop lunch . concierge good suggestion dinner , pay attention description look for . the room much big expected price NYC hotel . immaculately clean , maid service thorough entire visit . bed super condition , comfortable . bathroom great , except bit odd layout . we try brazilian restaurant hotel , accord eavesdrop elevator , 's bit pricey good . my gripe , other mention , elevator constantly busy . elevator hall ( somewhat less busy ) . not big deal . good time be already talk go back next summer , stay belvedere possible . 's first time ' ve slight urge RETURN NYC hotel . think say . 
 Nov 2 2009 	 Awesome Hotel 	 sister stay Belvedere twice , love time . nice , reasonably price hotel great location . close Times Square Broadway , yet close loud . room times nice clean . bed great . nice little convenience shop nearby grab snack breakfast . hotel close restaurant row many option eat . staff friendly helpful . 
 Nov 1 2009 	 absolutely disappoint 	 husband choose hotel vacation due several good review post , end absolutely disappointed . room small noisy , could hear noise come street also hallway room ( wall thin AC attach window duct tape ) ; besides , receive unwanted phone call everyday even though specifically ask disturb . personnel helpful employee rude we . moreover , find hidden internet fee account ( charge we internet not use ) , make we suspicious reliability . location good . 
