tad 	 cautious hotel convert terrace house , since sound transmission every footfall room Pimlico ( Belgrave Road ) tourist class hotel year ago keep awake night . academy sure request top - floor room advance arrival -- read many other suffer heavy footstep upstairs neighbor , ' m glad grateful grant one ( pretty uncharming clerk repeat could & quot ; guarantee anything & quot ; ) . interior storm window effective reduce street noise . will briefly list strength -- location , location , location , near lot interesting restaurant , shop , British Museum , University London . decor charming , , reviewer already say . weakness center attention detail . ask twice light bathroom sink repair . bottled water miss last day . neither coffee packet replace three - day stay . tiny bar soap ( shape frog ) never replace , fine shower amenity ( shampoo , conditioner , body wash ) . drain bathroom smell , second day wakeup call come 40 minute late . last night attic exhaust fan whir noisily . front desk staff polite undertrained . book room hotel web site would highly recommend book Kayak another consolidator , pay american dollar , currency . ( dollar decline badly end pay $ 233 per night tiny room . ) would certainly stay Bloomsbury would try Hotel Russell . 
 Nov 2 2009 	 Excellent stay London 	 review rave enough hotel . perfect . service excellent friendly . understate luxury quality throughout hotel . beautiful decor . stay one night business , sorry spend comfortable peaceful hour . 
 Oct 23 2009 	 Fabulous 	 stay Acedemy last year Christmas Sister experience individual mishap rather spoil stay . say service staff professional . check , Manager speak personally advise would like welcome back hotel ' experience mean be' . at time honestly think ' year right ' offer great deal suite thought would give another go location fantastic . almost one year Iater , promise honour give great deal suite inlcude romance package visit London celebrate Husbands ' birthday . time experience totally different . staff still charming room much much well . lovely large suite huge comfy four poster , sofa , mini bar , tv etc . also plate chocolate cover strawberry , vase 24 pink long stem rose ( take home still live room ) full size bottle champage . first morning also fantastic cook breakfast bed . the bathroom quite opulent marble sink , huge see well day , although perfectly functional spotlessley clean . the general decoration befit old style property ' m glad not modernise ' boutiquey ' way seem become boutique hotel uniform . the hotel smack bang middle everything , covent garden etc . location can not beat , reason feel full price £ 170 per night large suite middle city great value money . romance package usually cost £ 55 include chanpagne , rose , chocolate breakfast bed absolute bargain ! ! ( many chain hotel give tiny box thornton chocolate half bottle champer . ) would deffinitely stay next time visit London . would ensure , however go suite rather standard room really small . 
 Oct 1 2009 	 little gem 	 hard fault hotel . request quiet room mine overlook courtyard garden fountain . location , Gower St minute Soho , China Town , theatre rest great . staff lovely , plenty space room , good bathroom , delicious breakfast , give high cost london hotel , think cost ( laterooms.com ) fine . 
 Sep 25 2009 	 lovely surprise 	 stay 1 night whilst attend function London . really surpise hotel - service desk friendly efficient , room well appoint although think vent close bed sooo comfortable not spoil sleep . 2 minor thing - hairdryer room shower wall mount break . minor would probably stay . 
 Aug 28 2009 	 ` ` excellent location good service '' 	 book suite worth extra space . room well appoint comfortable . go regular room seem bit crowded . 5 night , well worth able bit living room , speak . service good helpful front desk . breakfast delightful well worth -- bit pricey , convenient make relaxed start day . location excellent easy get around foot -- cab , underground . definitely would stay - suite , however . mention & quot ; carry luggage room & quot ; relatively narrow stairswell , be true , will gladly you . I book Expedia get good rate -- seem well could received hotel site directly . however , book several month advance could change close date . 
 Aug 27 2009 	 Charming 	 charming well locate , cozy helpful staff . standard room tiny however spotless , suite well sized , charming living room garden . worth , repeat . 
 Aug 25 2009 	 slip small thing ..... 	 ' ve stay Academy book time around three night price two offer leisure , short business meeting . the deal also include free room upgrade third night , subject availability . know regular room fairly compact due nature hotel convert 18th century building . despite , find comfortable cosy time exception . but , reputation hotel would like retain , 's pity slip thing . complimentary water available first night arrive , next day room clean , none leave room , ask send , not ask . additionally , one bath towel leave room room clean follow first night . also , arrive late Friday , decide breakfast send room follow morning . fill order form , hung door handle outside next morning wake await breakfast . 10 minute time due arrive , check outside door handle , sure enough order form fill night still . go breakfast room instead , staff great . reception apologetic fail order front , not happen . we return hotel late afternoon second night nothing say us room upgrade . , not ask reception , . even , immediately tell subject availability . ask upgrade room available , tell hotel pretty much full . ask room upgrade , tell suite & quot ; really want move & quot ; . , help bag helpful Jason . point , , not ask upgrade - pre - empte we make point inform we could upgrade night . , be one offer deal - be keen fulfilling , bother ? also , upon check , receptionist charge we euro credit card , despite inform want bill sterling . assure would , not , mean pay little bit - much , , poor service execution would hate think hotel ulterior motive rather simply poor staff training . anyway , still like hotel , 's pity thing hit miss . location great , hotel danger stage distant future remember ' great hotel ' , slowly transform run mill one , due largely service standard . 
 Aug 25 2009 	 lovely place ! Great Service ! 	 say ? thank Academy Hotel wonderful weekend partner two friend ! book online two room Academy hotel London little concerned read previous page will find many negative review place . stay Academy hotel wonderful ! book two standard room good price consider fact hotel central London close everything ! British Museum short stroll away ... arrive al 10.00 store luggage late afternoon come back tour central London , find upgrade room free beautiful suite ! ! ! could believe eye enter room ! large room flat screen tv , airconditione , sofa , large closet safe , minibar , clean comfortable bathroom amenity like shampoo , conditioner , bath foam , bath robe ... classical music play radio . noise come street room , comfortable bed , free tea , coffee , cocoa , apple ... friend need plug converter available minute deliver directly room . previous review people complain rude staff front desk service general . stay every person staff meet hotel kind helpful . store luggage arrive leave . help we planning trip Kew Gardens ... extremely kind always reply smile ... find rude unfriendly staff review talk . maybe lucky , not think . Great Job ! will back ! 
 Aug 14 2009 	 Good Location good breakfast ........ 	 bedroom locate 5th floor good news relatively quiet bad news natural light limit . agree last two reviewer small bathroom extras company make issue hit miss . room clean 3.30pm one day two complaint ratione room clean 8 am 5 pm good enough . turn service mineral water joke , first day knock come room 4 pm romm 1 hour di leave minera water . day 2 rfoom clean plus turn without we even go room . day 3 already say even basic turn never happen . hope recvpetionist happy take £ 360 we would ask we pleasant stay etc , nothing complaint come trip advisor . great shame would like visit hotel due location good breakfast room tto small little natural light . bathroom reviewer comment well comment accurate 
 Aug 9 2009 	 good location terrible bathroom 	 location draw we hotel , Bloomsbury near Euston station / tube station , close British Museum , etc . however , be good job not plan spend much time hang round hotel room ! check - in fine , lovely lobby area , tastefully decorate stylish . show room third ( top ) floor . room small clean comfortable enough , look like website . see bathroom , not know whether laugh cry ! previous reviewer note , bathroom minuscule basic equipment shoe - horn . basin size postage stamp , turn tap noise emit pipe . shower not new not great , not linger . not dirty , yellow age exactly pretty . air conditioning unit not work either room boiling ( nb : even though August , not particularly warm god help people stay hot weather ) . rang reception send someone look . promptly , someone ( one regular staff would see carry bag , maintenance person ) come room look unit say nothing could fix . , though , fan outside want - would swelter otherwise . bring fan make think already know air con not work room previous people also complain . hope get round fixing ! advertise free water not materialise first night either . be little thing like make feel bit let , be difficult know would recommend hotel . overall , nice place character good location . would say stay be plan spend much time room make sure air conditioner working 's summer be top floor ! 
