` 	 past week stay Sutton Place Hotel downtown Chicago . attend medical conference location hotel , within walk distance & quot ; Miracle Mile & quot ; , downtown Lakeshore make perfect location . & quot ; stay many Chicago 's fine hotel , many typically price well level Sutton Place Hotel . never stay fine hotel Chicago . comparison , medical conference hold & quot ; Five Star & quot ; hotel , five minute walk distance Sutton Place . several room & quot ; Five Star & quot ; hotel guest fellow physician . fact stay & quot ; Five Star & quot ; hotel several time past , yet without question Sutton Place Hotel finer , opinion , respect . Sutton Place Hotel 's price one quarter & quot ; Five Star & quot ; hotel . place Penthouse Suite Sutton Place , perfect view , room spotless . room service attach restaurant / bar excellent . hotel offer business center guest able use internet free , allow leave laptop home . valet parking rate , hotel validation , good deal . would HIGHLY recommend Chicago traveler , business pleasure stay Sutton Place Hotel . 
 Nov 20 2009 	 Best Staff EVER 	 stay week extremely impressed staff , make probably good hotel stay ever . second day , doorman greet we NAME come go remember little detail say go . concierge friendly super helpful , arrange nice tour get we awesome seat musical . room small , floor - to - ceiling window make feel much big . enjoy chocolate cover strawberry wait we get room . separate tub ( huge ) shower nice , . restaurant good food suprisingly reasonable price . hotel location fairly good ; able walk place , mostly take cab . overall , though , 's staff make Sutton Place top notch . 
 Nov 19 2009 	 Location location location * 	 Perfect location - close everything ( first - timer Chicago ) right distance away ( couple block ) & quot ; busy street & quot ; .Doormen friendly , staff good , room decent , hide surprise - business centre free internet access guest ! also sign Sutton Place loyalty club , give we free wi - fi , one 5 night stay ( bonusing ) , already enough point redeem breakfast buffet 2 ! really great value take advantage & quot ; room sale & quot ; pricing offer Sutton 's website . 
 Nov 18 2009 	 Great Place 	 nice hotel . Chicago conference great location downtown area . lot shop great restaurant . 
 Nov 11 2009 	 friendly welcome staff great location 	 husband book hotel priceline - name price get great deal ( less 1/2 price ) , worried might treat differently other pay full rate , , really enjoy stay . check - in check - out treat like special -- upgrade lake view room floor ceiling window 2 wall , great view.we room service 1 night -- food perfect , service quick professional -- impressed , sorry not dessert well soup main course ! ! ! portion huge could fit ! ! staff helpful polite , room clean , nicely decorate , large . business centre useful check email , although 2 monitor wait one occasion occupy . charge printing -- something see hotel stay trip -- want print boarding pass 's free 's fine . hotel situate close shopping lot nice restaurant nearby -- try pancake house breakfast one morning -- -very good , busy expect wait table enjoyable , second morning go corner bakery -- great porridge ( oatmeal ) tea ! ! , good value . it be short stroll lake mitchigan , take red line downtown , overall hotel ideal would love return day , staff fabulous 
 Oct 16 2009 	 Great Location 	 Chicago marathon arrive hotel tired long flight London , tell reservation . staff desk , although pleasant inexperienced customer service . eventually sort miss dinner reservation even offer complementary drink bar . bad start aside , could fault hotel . room spacious clean bed extremely comfortable . complementary tea coffee serve lobby every morning nice touch . doorman extremely pleasant atall pushy tip . could find well location whole Chicago . five minute walk shoreline , lovely beach scenic distance start magnificant mile . immediately opposite two fabulous restaurant , Hugo 's Frog Bar Gibsons Steakhouse , pricey worth quality food . hotel bar , wiskey great selection cocktail wine atmosphere great mixed crowd young old alike , atall stuffy . I would definately recommend hotel definately stay next time Chicago . 
 Oct 15 2009 	 Nice hotel great location would definitely go back 	 friend stay Sutton Place watch friend run Chicago Marathon . excellent begin end ; super - helpful reception staff , beautiful room great view , really comfortable bed , soak tub , blaze hot shower place also incredibly quiet . easily get around walk subway Pancake House across street cheap , cheerful good food . also check german tea shop street . great experience . 
 Oct 13 2009 	 Excelelnt Location Ambience 	 recently stay hotel first visit Chicago . locate 1 1/2 block Lake Michigan also shop area . look like residential neighborhood convenient everything : transportation , sightseeing , great restaurant . rate reasonable staff superb . 
 Oct 5 2009 	 Great Place within walking distance everything ! 	 Husband stay travel Chicago business . agree would absolutely stay . locate heart great restaurant district . shop , ate go sightseeing without need car taxi . room clean comfortable . lot space ! ! would recommend hotel friend family . 
 Sep 29 2009 	 Location great watch hidden charge ! 	 leave hotel $ 211 bill arive home $ 241 charge account . call manager , predictably send accounting department long work . can not recommend hotel employ tatic . 
 Sep 24 2009 	 wonderful experience 	 reside Sutton Place Hotel visit Chicago 10 day vacation . hotel feel like home away home . bed comfortable soak big jacuzzi tub every chance get . corner room overlook Pancake House view Oak Beach Lake . late riser staff understanding , bother clean room . luckily day night cleaner , sometimes never leave room late afternoon , lazy day . room feel like apartment stereo speaker add amenity . read book would put stereo background music sunlight gleam room relax . disturbance experience slamming door housekeeping staff . would suggest use door stop constantly enter exiting room servicing . apart Friday night happy hour Tavern Rush , room reasonably quiet . solo traveler find area around hotel safe feel comfortable walking night . since many popular restaurant area , get busy traffic people evening great people watch . beach Mag Mile 2 3 block away , 10 minute walk well convenient lakefront exercise shopping . enjoy double decker bus trolley tour , twice , can not see good Chicago one day ! Lakefront Bike Roll tour evening Architectural Boat cruise favorite , tour interesting informative . people encounter friendly helpful , meet lot nice people , cab driver , sale staff shop State Street , tour guide solo traveler various tour . although visit Chicato 10 day , still much experience , therefore shall return . big thank Chicago forum , advice pre planning stage trip priceless . Sutton Place advertise 48 hour promotion sale , therefore book corner room $ 110.00 per night , plan trip Chicago , check hotel website promotion daily , get lucky regret ! 
 Sep 21 2009 	 Fabulous Hotel 	 thoroughly enjoy stay Sutton Place . bed excellent pillow close everything . across road Original Pancake Parlor . could find well place breakfast . downside hotel cost parking , apparently pretty much standard Chicago . park rental car Airport $ 8 day catch train town easy . 
 Sep 13 2009 	 perfect stay chicago 	 wonderful friendly hotel . can not praise staff enough bellboy reception efficent smiley.nothe much trouble recomende restaurant book tour . room clean bright choose corner give lake view . could possibly refurbish little bit 90 staff make . 
 Sep 10 2009 	 Fantastic ! 	 bad thing hotel free parking parking offer $ 45 1 day ! front desk polite helpful checking ; bellman consierge helpful sort direction help find attraction . room great comfortable bed ; good bit tub , far . bathroom deck stool sit put makeup , also phone . location ideal , fantastic restaraunt within vacinity locate next magnificent mile . also easily able walk navy pier . 
 Sep 9 2009 	 Fantastic experience 	 moment arrival time departure every service recieve excellent . everyone entire staff professional helpful . room excellent , clean comfortable exciting view city . what say location - well location everything Hotel . could easily walk cab nice restaurant , Miracle Mile shopping Chicago River Bike Tours Boat Tours . it would difficult pick like good stay pressed say dining immediate area . 
 Sep 9 2009 	 first class service moment reach property ... 	 judging way greet would think give we Penthouse Suite . 's treat every guest be Penthouse . our room great ; clean , decorate nicely . service excellent begin end . Sandro manage front desk fantastic ! handle extra night stay professionalism warm smile . leave , tell we visit stop say hello . nice touch ... feel like staff Sutton Place Hotel really care experience . mention location ? hotel prime property heart glitzy fine dining people watch area know Rush Street . step away Tavern Rush , Hugo 's , Gibson 's , LuxBar , Carmines , Morton 's , Whiskey Bar . walk two block east , be lakefront . walk two block north , be busy stretch nightlife Chicago ( Division Street ) .I would definitely recommend hotel friend family . 
 Sep 4 2009 	 Great Location 4star hotel 	 pro : great location , comfortable bed , excellent price $ 95 nightly , within walk distance everything , quiet area near Rush streetcons : small hotel room , small lobby , dull room color , actually room need remodeling , impress bathroom room , definitely 4 star hotel ; list 3 maybe 3 half star expectation would different . 
 Sep 2 2009 	 Great Hotel 	 get priceline rate $ 110 per night , please hotel especially price . get one small room separate shower , not really care . bed comfortable , clean , nice flat screen tv . service hotel amazing , everyone friendly make feel welcome . one note -- stay many different area Chicago 's downtown , definitely swanky Gold Coast neighborhood . Felt underdressed time . great hotel great price . 
 Aug 26 2009 	 nice hotel excellent location 	 room comfortable , beautiful quiet staff helpful , location ( smack Rush Street across gibson ) excellent . cd player , minibar dress gown nice touch . get $ 99 / night special , otherwise rarely stay place nice ! critique wi - fi internet ought free charge place like , tv / cable need upgrading . 's 21st century , folk , hotel pricy neighborhood Chicago , ought satellite HDTV basic cable standard tv ! 
 Aug 22 2009 	 great location Excellent service 	 stay Sutton Place Hotel three night teenage child . please overall service . bed comfy , roll - away bed adequate , furnishing room feature , beautiful bathroom ( glass shower stall separate extra deep bath tub ) , CD / Stereo nice . enjoy chocolate bed room clean . mostly bare white light gray wide stripe wallpaper color medium gray carpet color room bit mute taste . location terrific corner Rush Street Bellevue across Gibson Steak House , Carmine 's Restaurant , LuxBar restaurant bar . pancake House across street serve scrumptious strawberry crepe . easy public transportation everywhere . use public transportation exclusively work well 3 - day CTA pass . State Street bus stop one small block away . red line subway block walk away . convenient . easy walk Oak Street beach Lake Michigan . complimentary coffee fruit lobby morning . withing block Magnificent Mile shop well . quiet hotel . hear anyone hall neighboring room . 
 Aug 9 2009 	 Excellent round 	 stay 2 night 3 - 5th August book double queen room via Expedia . check fast , bellman friendly get great room 19th floor spacious , clean well provide term towel , amenity furniture . there cafe house ( whisky bar & amp ; grill ) food available via room service ; however location great shopping eat everything literally doorstep . we love would definately recommend anyone come Chicago 1st time . highly recommend gibson steak , pancake house breakfast / lunch , Pizano 's chicago style pizza ........ within short walk hotel . 
 Jul 26 2009 	 great location - terrible service 	 stay Sutton Place hotel past 3 night . location great shopping restaurant . room nice bed comfortable . front door man maid service courteous . problem : charge internet . charge us room service never receive could offer resolution problem . would allow late check out . I would stay . front staff terrible.expensive area . 
 Jul 21 2009 	 horrible bathroom 	 husband stay hotel July 4th weekend . hotel nice area ton restaurant soon step outside . room clean ; think staff friendly helpful . shower horrible , try close curtain shower job . showerhead keep fall . overall , okay we . would recommend hotel first timer Chicago . 
 Jul 19 2009 	 perfect location 	 Middle & quot ; happening & quot ; Gold Coast corner Maple , Rush Bellevue , step away Magnificent Mile , be ideal not want noisy hubbub directly MM still perfect spot . breakfast include be step away LuxBar Original Pancake House . fantastic meal homemade pasta bolognese sauce Marlo Maple ( ask Jeremy waiter ) . Got Lake corner room beautiful view . love . 
 Jul 14 2009 	 great family grade school child 	 okay , get great rate priceline name price , can not complain , anyway , room priceline guarantee 2 double 1 king , check 5:30 pm state 1 king room available , pay extra 25 per night one rollaway , would fit . front desk claim book 1 king , accord priceline book type bedding , guess fault anyway default could call . DH get kick head whilst sleep extra rollaway 2 night . also , miss coffee maker room , wait 0700 get coffee sit morning . early riser also EST seem early we . 25 dollar cab ride Science Industry . could walk american Girl Place Hershey Chicago . otherwise need cab . nothing else go , nice lobby , pool , adult type restaurant name & quot ; Whisky & quot ; like would take kid ! next time stay Embassy Suites , usually stay . child like tv option , either . maybe fine couple , business traveler , place family aim museum side Loop . warn , mom ! ! 
