Kicking 	 stay Wynn 3 night ( midweek ) , part package include round trip travel Newark Continental , upgrade panoramic view room , $ 700 per person . check quick 5:30pm ; request view Strip , room 54th floor ( 5432 ) , outstanding . entire wall opposite bed glass , fabulous view day night . room huge impeccable , bed , bed pillow fabulous , bathroom ( especially deep soak tub ) die . husband , sophisticated traveler , uncharacteristically silent 10 minute , blurt : & quot ; can not stay whole week ? will kick scream 's time check out . & quot ; would agree many extra charge Wynn , example , gym ( $ 30 / day ) . alternative : get exercise walk everywhere ; first get leg shape trip , pack comfortable shoe . another extra hit wallet internet use ( $ 16 / day ) . alternative : two computer printer Fashion Show Mall 's food court ( 3rd floor , next Currency Exchange ) : online check - in print boarding pass $ 5 . continental breakfast : Starbucks , across Strip Fashion Show Mall , place . ( mall open 10AM , Starbucks outside ( ground level ) open air cafe open arrive , blearyeyed , 7AM , delicious coffee muffin two cost $ 8 , less half pay Wynn ) . Grand Luxe Cafe casino Palazzo ( next door ) excellent reasonably price menu , huge portion will need share . favorite show : Le Reve ( Wynn ) ; get day half price ticket Fashion Show Mall ( near Starbucks ) , start 10AM . go early . 
 Great restaurant 	 good : restaurant excellent price fair eye . room layout nice . nice lengthy pool allow good swimming . room 52nd floor great view . bad : room could use touch uop 4,5 year . door close airtight - lead noise due underpressure different AC system . addition , noise come AC weekend ... could hear night club 52nd floor ! please note everything cost extra : - internet 14 usd/ day- Gym 30 USD/ day- Shoe shine 6 usd/ pair- ... aware book . might get great room rate , hotel pretty expensive . 
 not stay ! 	 resort joke . pay everything daily . pool towel rent , gym outrageous go . never stay . great shop though , concierge terrible , none resteraunt good . 
 nothing special robotic help corporate attitude . pretty look end . 	 3rd 4th stay Thanksgiving holiday . return hotel . kid stay Wynn , wife Encore . visually stunning service , cleanliness food quality disappointment - well use . another big corporate hotel . employee complain hotel cut back $ 100 birthday gift well perk . could see disdain work face . monotone voice expressionless face morning Terrace cafe manager checkout person take almost 45 minute correct bill $ 63 overcharge - place opposite hospitality last stay family . 
 Nov 25 2009 	 Excellent ... expected 	 spend 6 night Wynn work attend Global Gaming Expo , manage arrange girlfriend join , sort turn half - work , half - leisure trip . overall , Wynn excellent , anticipate . work asset management industry cover stock casino compaine , familiar room ammenity offering pretty much everything Las Vegas . Wynn , despite year old , still one nice place Strip . Encore obviously little new design distinctivly upper - class asian gambler , may may suit taste . location Wynn pretty far north CityCenter opening December , & quot ; center mass & quot ; Strip shift south . yes , walk pretty much anywhere Strip , 100 + degree heat cold night middle winter , Wynn and/or Encore leave feel little detach action . still , may want . the room rate Wynn ( like almost every resort Las Vegas ) come dramatically , somewhat pain hear people complain regard extra fee . & quot ; normal & quot ; rate Wynn since open well $ 300 $ 400 range book room $ 200 get $ 50 resort credit pretty nice . deal extra $ 15 internet $ 30 gym . fact , without charge little fee , resort would even serious trouble would cut back real service would notice even . grant , check line Wynn bit long use few waiter restaurant , overall really luxury property arguably good LV , even factor Bellagio , Venetian / Palazzo , possibly CityCenter . great dining ... money spare , definitely check Alex Wynn . 's Chef Alessandro Stratta 's place spectacular . also try Daniel Boulud Brasserie great location overlooking & quot ; Lake Dreams & quot ; price pretty fairly . room great ... clean good condition , albeit bit small Palazzo . really can not go wrong price charge 4 5 star room . 
 Nov 24 2009 	 WYNN - PERFECT 	 stay Wynn one night . originally plan 2 night downtown hotel change see downtown really suit taste . received Resort King room 31st floor strip view . absolutely love way hotel decorate . many color , picture really justice . casino wide open , smoky other . think service excellent everywhere , bell desk check dealer restaurant staff . pool area look lovely though really cold enjoy . room nice - sized , comfortable king - sized bed , spacious bathroom . love . 
 Nov 23 2009 	 Wynn Executive Suite * WOW * 	 book Platinum American Express Card Travel Services automatically upgrade Executive Suite . whoa ! absolutely stunning . stay suit Plaza NYC , Penninsula NYC , new Trump Hotel Chicago , Bellagio ... , far nice good quality suite ( along Penninsula ) . two lovely enormous bathroom large sitting/ bed area . room 5602 face golf course . everything stay perfect . bedding , cleanliness room , pretty decor ~ it top shelf . problem noise whistle air conditioning vent anything previous poster mention . one discovery husband make door right next room lead adjacent hallway Encore . use & quot ; secret passageway & quot ; save we much time want go casino , shop spa . spa lovely . Corey give amazing facial highly suggest one book . clothe optional spa people wear bikinis ... wish remember bring bathing suit . positive stay Tower pool area reserve people stay suite ( although nobody check key ) key allow we get short line buffet etc . way , use & quot ; secret passageway & quot ; happy choose stay Wynn Encore . Encore hallway tacky peach color room look average . hard time decide side stay happy choose Wynn . husband stay Wynn next late great hotel open ... American Express amenity ! 
 Nov 23 2009 	 SUCKS DAILY INTERNET FEE HOTWATER FEE ... RIDICULOUS 	 disappointed . daily internet fee , hotwater feeextra fee high floor though prepay hotel ( advance book online ) recommend hotel expensive extra ! ! ! add , noise issue room insulation hear adjacent room ! ! ! 
 Nov 20 2009 	 Extravagant ! 	 hotel beautiful , one new strip noticable . suite stay luxurious certainly get pay . pool lovely get around 3 pm sun tend dissapear behind another building . restaurant beautiful something everyone . especially nice restaurant call Tableau breakfast Tableau potatoe soooooooo good ! ! ! gripe pay use Gym consider pay stay might think would include think roughly $ 25 per day . overall absolutely beautiful , would definitely recommend everyone would definitely stay . 
 Nov 19 2009 	 awesome 	 complaint would $ 14 / day charge wifi $ 30 / day charge use gym / spa facility . amount one pay stay , service include . , place oasis strip . Quiet ( kid sight ) , elegant , sexy . room large comfortable . return trip Vegas , would first place would consider . 
 Nov 19 2009 	 Upscale comfort beautiful hotel 	 like everyone else , like nice clean comfortable hotel respond need . choose Wynn price low ever , & quot ; never & quot ; go one top venue . room standard 6th floor , look TI Trump . clean bed comfortable . eat elsewhere part ( Canonita Grand Canal Shoppes next door venetian nice casual dining canal - side view young man 's proposal gondola ride . ) get late show one night , grab something deli next casino ..... horrid ! greasy , dead cheese , yuk . buffet nice breakfast . receive $ 100 credit could use various thing ... casino Garth Brooks ticket , vague allowable . could better transparency accounting credit . want spend , would take charge pass $ 100 mark , thing would show bill ck . word , not get itemization . feel buffet , drink , awful uneaten deli order get we $ 100 credit ok , not fight check , happy . once tv remote stop work , tech room within 3 minute call , happen well midnight ! well do ! bottom line , treat . however , would like tell folk GO room upper floor Flamingo . stay one year ago newly renovate . feel room nice one Wynn , bathroom TV , remote drapery ipod dock etc . also splendid room $ 60 , centrally locate . 
 Nov 19 2009 	 enjoyable stay small exception .. 	 Wynn Resort one week stay end October . mail level hotel absolutely gorgeous , room hand noisy dirty . resort room 14th floor face strip / roof top . could car outside , next door neighbor , well door slam night long . pool area nice , good luck get lounge chair ! need hire pool staff help customer find lounge . enjoy Le Reve ( show ) , wonderful . location Wynn favorite , prefer central . one thing love restaurant , dinner SW steakhouse great , well japanese restaurant Encore , good . taste Wynn allow enjoy prixe fix meal certain price . next trip try new tower Caesars . 
 Nov 18 2009 	 incredible hotel 	 first trip Vegas stay incredible Wynn Hotel . 's bill resort hotel not kid ; excavate beach ! room huge , waterfall beautiful , pool invite love fact cabana . gambler people watch worth go lounge casino . shop like something would see Rodeo Drive New York . expensive ? incredibly . worth ? every pennyp : hate fact not get coffee maker room . heck want get dress prettied go cafe coffee first thing morning ! really , 's bad thing come , be nothing ! 
 Nov 15 2009 	 great hotel expensive extras 	 hotel fabulous room one nice ' ve ever stay . get great rate , hard time convince staff check check honour $ 25 room credit room rate promise . luckily write . promise upgrade never happen .. view Lake Dreams receptionist tell we turn non - existent - view roof main strip . room though spacious great bathroom , towel amenity . amazing robe bed linen . slipper though , surprise about . we noise issue - wind tend whilst gap available , like air - con vent also connect ( locked ) door . constant whistling annoying . also annoying 30 second thing fridge - scared even put water case get charge ! breakfast buffet well worth endure queue - one good ' ve ever . place not appeal - expensive . maybe cheap , pay nearly $ 4 bagel seem excessive . also excessive wi - fi charge - free internet cheap give presumably pay one - off connection . the negative step relative luxury room see people badly dress short shirt main casino - feel like go 5 star 3 star straightaway . guess can not anything that . we would stay though - luxury bed bed linen ! 
 Nov 14 2009 	 ' ve arrive ! ! ! ! ! ! 	 stay Wynn Resort three night amazing ! ! ! ! ! upgrade panoramic View room 58th floor face golf course , good view ever . right 18th hole waterfall view . room incredible . I work hotel business sale / reservation ' ve never see great service hotel . every employee seem helpful irritated ask question . loved restaurant Strata even Buffet . atrium buffet gorgeous . resort room heavenly . huge bathroom cloud like bed really feel like ' you ' ve arrive ' . trip come home whole bedding set . buy 2 pillow , comforter , sheet . expensive , damn good ! ! ! ! love play casino . play slot , play new Monopoly Bonus slot , cool graphic , combine old spinning slot video graphic . get many bonus round within second . fun ! ! ! ! want relax hotel everything , Wynn perfect location , especially Encore near . all - in - one resort . treat relax stay . * * * oh one tip- shopaholic not pass Esplanade shop ..... leave big dent Black AMEX ... yike .... adore Louis Vuitton 
 Nov 13 2009 	 Luxury comfort strip . 	 might large room bathroom ever stay . soak tub fabulous long hard day mile walk strip . luxury product amenity room make feel like queen staff could not nice . 
 Nov 11 2009 	 comfortable 	 room north tower one comfortable bed ever .. pillow wonderful , room clean .. pool great .. everyone work desk clerk housekeeper gaming room polite attentive ... excellent value price .. 
 Nov 10 2009 	 First Class Service way 	 husband , 5 couple please stay Wynn Nov. 2nd-5th . check wonderful give room 53rd floor panoramic view city . room big -- pillow , comfortable bed two sink bathroom , along make area seat , . couch table . bathroom flat screen tv along tv bedroom swung wall well view . detail leave . service wonderful -- check , concierge ( Adam great ) , towel worker pool accomadating . we LOVED bar water fall show every half hour -- -fabulous dinner Daniel Boulud 's . amazing escargot ever burger stuff foie gras short rib . husband say good sea bass ever have . the complaint extra $ 30 day charge gym . one either . also go pool early sun go behind Palazzeo Hotel around 2 . , though , great experience would definately stay . 
 Nov 10 2009 	 top - notch issue 	 wife mix business / leisure trip Vegas stay leisure half trip . quite impressed Wynn . overall excellent experience , couple fault . give Wynn 4 star smoke noise . Most area ( outside room restaurant ) fill cigarette smoke . fortunately past guest actually obey non - smoking room policy , hallway -- especially -- casino floor borderline unbearable . even pool enough people lounge around smoking make unpleasant walk around enjoy otherwise magnificent resort . secondly , room quite noisy . noisy neighbor , outside noise . able get corner room ( regular king room check ) mid - floor ( 18th ) noisy due Encore 's outdoor nightclub . ironically noise issue magnificent floor ceiling window . since corner room , two full wall window . call front desk around 1:30am bring couple pair ear plugs ( charge ) , nice . earplug dull noise enough get sleep . stay Saturday night would expect mid - week would not get noise issue quite bad . otherwise room exceptionally nice . roomy ( sure corner room big ) , bed firm comfortable , bathroom spacious large soak tub shower ( powerful showhead ) . room clean throughout front desk responsive . in - room snack mini - fridge system automatically detect item remove , room good ' ve get to bring kid ( ) . kid pretty much discourage around resort anyway . we go Terrace Pointe Café late afternoon snack seafood salad bottle bubbly . initially order Roederer minute server come back say . initially suggest half bottle Perrier - Jouet Fleur since similar price point full bottle Roederer ( actually nice since server would ' ve suggest next full bottle ) . since want full bottle go ahead get full Perrier - Jouet -- , be Vegas , right ? come back minute later , embarrase , explain also Perrier - Jouet . ask could wait minute could find bottle somewhere else on - property . problem , not really hurry . Seafood salad good , load lobster , crab , shrimp -- perfect balance three . restaurant decor nice rest staff friendly helpful . at night , go see Le Rêve . show amazing showroom equally nice . 's big circular showroom literally bad seat house . we also sign player 's club . line really long take 10 minute . staff person deal friendly efficient . get $ 10 match play slot worth ( although give back ) .The casino floor busy day night . go Encore meet friend show . hundred people wait line get nightclub two resort -- would later realize noise come from . lot high - end shopping available main floor hallway link Wynn Encore ; include Ferrari / Maserati dealership ( ' m cheap pay admission look car ) , Cartier , Dior , Louis Vuitton , etc . there cool light show reflect pool ( Lake Dreams ) right front Parasol bar . pretty neat show cool bar hang see . self - parking garage side casino floor hotel registration drag stuff fair distance upon check - in . upside self - parking close resort elevator not far go leave . overall nice hotel ' ve stay Vegas , definitely place current moment time . even though smoke noise pretty bad , would still recommend everything else top - notch . 
 Nov 10 2009 	 Unbelievable ! worth every penny ! 	 ' ve stay 5 star hotel none even come close Wynn Hotel . service outstanding . everyone really care comfort concern . willing drop get whatever want whenever want . Casino not loud like hotel , make stay much enjoyable . need ring clang go constantly anyway ? whole setup hotel make easy find anything want . self park garage close elevator make easy access enter exit hotel ease . garage set amazing parking breeze . music not loud trashy like hotel . pool dream . room mind boggle gorgeous glass enclose shower separate bath , two sink vanity seat , separate toilet room . even nightlight beneath sink night time use without turn bright light . love much not want leave . 
 Nov 10 2009 	 average 	 couple thing Wynn . inconsistant show i d room key red card . Sign red card recieve 2 free buffet get 400 point card easy . think hotel nice not think extraordinary . buffett price jump weekend watch . also take taxi airport make sure go paradise road take highway . Got take $ 30 ride hotel vs. $ 15 back airport . also not feel dumb cart luggage casino get elevator , everyone see lot people luggage . overall staff friendly enjoy stay . Liked mall across street . 
 Nov 10 2009 	 good hotel ! ! ! ! ! 	 HI stay fron nov 3 till nov 6 . book great deal excutive suite.when arrive 4 pm tell we friend room´s weren´t ready . tell tired upgrded parlor suite ! ! ! ! ! ! ! ! ! ! ! ! ! oh god ! ! suite amazing ... big .. bathroom go , bar .. living room huge plasma .. room well ! ! bathroom huge bathtube , shower 2 sink table makeup .. walk closet ! ! ! great thing say wynn . satff friendly hotel smell amazing . ! ! ! see LE REVE show super like KA ... take lomo drive around hotel nice ... question glad help ! ! ! 
