great 	 check check fab time Ny Ny - location central hotel ' ve stay new book . great room ( newly refurbish ) relatively low floor view unimportant casino bar great fun . lovely little coffee shop use bagel coffee breakfast round past starbuck piano bar . place buzz 24hour know not sleep 4 day visit . 
 great casino great people - not stay hotel 	 arrive Thanksgiving day San Diego , need family getaway ( say get away family : - ) book priceline put $ 90 four star well hotel , not lot choice hotel , price come back NY NY . read previous review online , want come open mind , prepare bad hope well ! arrive hotel , front desk extremely nice . not long line relatively painless . read previous review room , opt upgrade nice room $ 10 per night say remodel . enter room , like , way 4star hotel thank goodness upgrade . however , room noisy , every thirty second think hear roller coaster . imagine hear coaster Space Mountain pull , exact sound . call front desk ask time roller coaster stop run tell 11 pm . fine not plan room day , want make sure would able sleep . however , phone , bag arrive bellman informed roller coaster hearing , elevator shaft . ask move . accomodate . room ( moment write ) . room quieter , still hear elevator shaft . speak people work hotel , tell would not stay one room either & quot ; think design hotel room & quot ; . aestetecs ( sp ? ) , attempt remodel well state , update room . four star hotel Las Vegas strip - miss boat . new hotel go , getting completely revamp , afraid NY NY room look feel old Statue Liberty . popcorn ceiling , parquet panel armoire ( really , would think ? ) hideous bedspread look worn . sorry long write - up room , want let know expect stay . live forementione , good shape . the staff friendly throughout hotel , casino restaurant . absolutely would recommend gambling hear want play crap blackjack . table limit morning $ 5 11 am move $ 10 , depend busy . compare many 4 star hotel , great want play low limit . hotel minimum experience $ 15 friendly . huge shout Calvin Craps table , never miss bet chat everyone up . the nightclub ok , line . think indication economy location . club Encore hot spot Vegas time . NY NY hotel end strip , Excalibur , ideal location I . and , can not forget , LOVE LOVE love duel Piano Bar . go three night always fun ! always meet fun people really enjoy variety music . btw- ' m huge roller coaster fan , get talk go . sooooo much fun . however , everyone line agree not worth $ 14 per person . travel family , add quickly . in summary , recommend come NyNy little gambling duel Piano bar . , many GREAT deal strip , stay another hotel want peaceful night sleep . 
 great place stay . 	 nice location strip , many nearby attraction . hotel clean , nicely decorate , many thing . 
 great location okay price in - room coffee maker 	 stay NYNY , Las Vegas Halloween 3 night follow . excited 25th floor view diappoint . room clean modern , however bed uncomfortable . the air condite heat quick adjust comfort level bad part room probabaly reason stay return Vegas room coffee maker . call request one tell available . ( course could purchase pot coffee room service $ 9 plus $ 3 service fee ) . pool hot tub area clean entire casino . lot amenity site italian restaurant hotel excellent ! ! 
 Nov 21 2009 	 ok hotel good price 	 stay NY , NY part package deal Allegiant Air . price pay , satisfactory place stay . check - in quick friendly 2 pm Sunday . first room 7th floor rollercoaster plus strange noise keep we awake . next day move room 26th floor great view mountain extra charge . quiet fairly spacious . thing not like hotel include extremely noisy lobby fact coffee maker room . also , charge $ 3.00 per day telephone , even though never use . restaurant ok , pricey . fish chop irish pub exorbitantly price $ 20 - later find could meal one small village restaurant much less . eat one breakfast one dinner italian restaurant one dinner mexican place enjoy . location little far south would like . return Vegas , would probably choose slightly quieter place towards middle strip . 
 Nov 19 2009 	 Average stay take advantage 2 $ 99 Zumanity coupon . 	 first - time visit Vegas , not know expect photo hotel site . 28th floor Park Avenue room lovely distant view mountain near city . high give we grandiose view western part Vegas roller coaster far we . also keep city noise down . check quick friendly room clean roomy . Location strip convenient . my beef : free wi - fi internet . unacceptable . no coffee machine room . unacceptable . noise : poor sound insulation room hallway . unacceptable . Il Fornaio restaurant : eat twice , dinner one breakfast . dinner seafood pasta dish so - so , bland price . hand , granola breakfast menu outstanding make weak coffee . service average nowhere good service get second morning breakfast buffet Chin - Chin . really surprise I . gambling : way smoky , be non - smoker prepare inconvenience smoke casino area mid - afternoon late night . gross . * cough , cough * . improved ventilation would appreciated , seperate smoking / non smoking area . well yet , make non smoking . actually gamble LESS smoke . hey , save buck ! would stay ? probably ... go save money Zumanity show ( good fun , btw ) 2 $ 99 special . next time , would go elsewhere . 
 Nov 18 2009 	 Fun Casino not stay New York New York 	 small hotel room ever see luxury hotel . 's like Microtel motel ! 's bad & quot ; upgrade & quot ; Park Avenue room ( even verify two people phone ) . small room ? ? fair however , hotel unusual design spectacular facade . guess room like . king room two bed large . MUCH worse : hear roller coaster room ! 14th fl regular interval hear coaster -- really annoying . fun casino might want stay elsewhere . 
 Nov 17 2009 	 would rather New York City ! ! 	 yes glitz somewhat glamour , overall would rather sunny beach fresh air ! ! Hotel ok , smokey casino hotel go thru , room good could hear roller coaster annoying , least stop 11:00pm , however airport noise non - stop ! eat three restaurant , expensive food fair .... & quot ; bar times square & quot ; highlight dualle piano excellent , talented alot fun . Coyote ugly definitley young , ready get drunk crowd , also small inside ! ! would go back hotel ? dualle piano probably will not go back Vegas anyways ! MGM & quot ; Emirl 's & quot ; excellent food , expensive worth ! 
 Nov 17 2009 	 annoying hotel charge everything 	 ' ve stay Vegas time stay NYNY hotel . pick hotel cheap many other conveniently locate . hotel big hotel strip . okay really annoying thing infuriate . fact , totally feed honest . first , free parking , get room arduous task suitcase . park self park area ; lug case car ; get elevator walkway ; walk walkway ; get esculator ; fight floor slot machine poker table ; get line check ; lug case back casino get one elevator floor room ( anything 20 + ; walk corridor corridor get room . find coffee make facility ; addicted coffee ; find outrageous check best western motel microwave ; coffee machine ; fridge etc pay reasonable rate yet much expensive hotel not get coffee maker force leave room , back elevator ; casino one coffee shop medium coffee cost $ 5 - ridiculous . notice Wallgreens across strip sell coffee maker $ 18 - would find first day would buy coffee maker . , free wi - fi . instead pay $ 15 24hour . , comparison Best western stink . hey , hotel roller coaster great . , $ 14 one ride simply outrageous . be ridiculous . make bad guest hotel not get sort discount . hate money grab ' trap ' fall strip . I will not stay , , will make sure get good value insist well facility ( will get ) . 
 Nov 16 2009 	 New York New York 	 hotel beautiful . really enjoy everything roller coaster dining ... Gallagher 's Steakhouse incredible ! ! would definitely stay hotel . 
 Nov 14 2009 	 not like hide resort fee . 	 register first arrive New York , New York , make sign paper charge $ 10.00 & quot ; resort fee & quot ; . rip . try refuse , say casino charge . still not make o.k . also say mentioned line book .. hide . say fee ammenitie would otherwise available . give choice . give couple free drink , newspaper , 20 % ice cream , ability print boarding pass , maybe couple miner thing . gambling machine tight . 
 Nov 14 2009 	 great hotel even great player club card ! ! ! 	 Vegas many time time take wife . check around midnight check fast . not room request time check call morning upgrade afternoon room 21st floor . face MGM great . hear nothing even people next door live ! ! sure people say abou thin wall . 5th time stay NYNY player club card give great rate weekday weekend . one thing dissapointe buffett short walk monte carlo buffett GREAT ! ! ! stay many hotel buy NYNY earn loyalty . pool bad go around 1 - 2 pretty busy hey 2 - 3000 room hotel expect . 
 Nov 13 2009 	 new year day stay 	 Awesome hotel . affordable . really cool layut shop , restaurant casino 
 Nov 13 2009 	 great place stay - forget casino floor . 	 come overnight stay continue next location trip . pull main entry bell person meet we straight away manage pile bag cart . check easy grab bite eat head night tour strip Fremont Street . book couple package ( promotion time trip ) get quite thing 2 1 coupon book . breakfast Il Fornaio restaurant . great place eat first thing morning ! ! ! retail area kind ole ole . also dark lobby area take away uniqueness look lobby . room nice , get Park Avenue Deluxe room part upgrade . bell service helpful duty . baggage delivery prompt even 11 pm night . one bellman morning help we weigh bag business center get bus shuttle stop location . drape really block light noise street airport . forget use PC 's really expensive . charge $ 3 phone connection even not use . internet access extra top that . book hotel direct via priceline want get good deal . 
 Nov 12 2009 	 great hotel- nice experience 	 new york , new york nice - registration woman pleasant - wait ( arrive Tuesday 2p ) -- reserve basic room arrive upgrade $ 10 / night extra - view main street / the room nice /very clean - big bathroom- pleased -- definitely stay -- -- -we eat Irish Pub downstairs one nite - food good -- -- -and get chance see Jersey Boys , great show 
 Nov 12 2009 	 fantastic hotel young crowd 	 stay week end June ( 24th-01st July ) girlfriend . 4th trip vegas first want make sure hotel would great base alright location . the room thouroughly clean daily , good size . stay park avenue deluxe room view MGM grand , rollercoaster , Tropicana . 17th floor rarely struggle get elevator / lift quickly . another nice thing room Bose Ipod dock . would like flat screen tv really fuss since spend little time . 's true decor could well hardly outdate / run . bed comfy never notice noise come room near we ( contrary people comment thing wall ) . shower pressure great . thing note room never hear lift rollercoaster - probably high floor opposite end hotel lift really position comment people complaint they . check fast ( wednesday afternoon 2 pm ) woman helpful friendly . staff general hotel excellent willing help need anythingthe casino great nice way finish night night . slot fairly generous ( $ 150 $ 1 bet ! ) . cocktail waitress come round often ifyou tip dollar drink even fast tip ( generally tip $ 5 two drink ) . partner mean high roller get $ 75 room service bill compe player club even though do not really gamble much money . spend hour casino $ 20 drinking much like . trick we stick low end slot bet minumum . never expect win anything walk away put always unexpected ( welcome ) bonus.mixe feeling poor . good side atmosphere , good bar , nice jacuzzi , lot sun lounger . side , do not get sun till 11 time get busy . also music play bit repetitve . overall like able plug Ipod , sip cocktail , close eye , recover constant hangover peace . food hotel mixed bag . steak house ( gallagher ) truly excellent good value . never eat ESPN kinda place . village eatery great - especially Deli 50 's style diner burger place ( near rollercoaster ) cheap easy quick fill do not want bother restaurant . must person think pizza place overrate since always huge queue . also , avoid buffet place morning remind leave chinese food . nightlife hotel among good Vegas . cayote great , nine Fine Irishmen favourate bar Vegas . the live band entertaining ( listen play ' seven drunken night ' , find clip youtube ) . do not bother bar times square can not offer opinion , apply Rok nightclub . 24 hour bar overlook casino great view watch drink price ! overall , love hotel . always atmosphere perfect young couple , lad , girl holiday . want quiet place vegas , stay elsewhere place full life . location be not great opposite MGM grand monorail stop easy access rest strip . 
 Nov 10 2009 	 Themed Hotel right action Las Vegas 	 stay hotel time year great base explore Las Vegas strip . go Sunday - Thursday get great deal ( keep away weekend Angilinos arrive ! ! ) . pay $ 60 / night strip view room Sunday Thursday inc . hotel much like othe Strip hotel , excellent facility bit clinical , although check girl pleasant . breakfast include , hotel restaurant bit expensive , eat either Einstiens Bagels , Denny 's road . room good size clean . hotel situate right good part Strip , good location . 
 Nov 8 2009 	 Nice hotel average pool 	 stay four night skyline room . hotel huge room nice clean . not like pool , however , limited shadow ( almost sun anymore 4 pm ) pool close 6 pm . spend time pool important part stay , not stay ! furthermore casino , restaurant hotel good ! hotel provide free parking garage . 
 Nov 7 2009 	 amazing value Strip 	 friend recommend NY NY good hotel Strip , certainly ring true we . research hotel stay Vegas want something comfortable good location could see much Vegas possible short 2 night stopover . book website discover & quot ; Couples Package & quot ; price cheap room ( skyline think ) , include free upgrade Strip View room , 2 free drink , 2 1 breakfast one cafe , 2 1 rollercoaster voucher ( pretty good rollercoaster go around hotel cost $ 14 per person normally ) , $ 25 retail credit use 2 1 spa voucher ( not get time use ) . also promote cheap price tour Vegas sight not really see need definitely essential use get deal . look map hotel may appear one end thus away concentrate spot Strip , find definitely close enough walking distance attraction . on check - in guy great - polite professional , go voucher include use , give we detailed direction get hotel room essential 4 tower slot machine everywhere block sign may . great first impression . whilst may flashiest hotel Vegas room fine casino , bar dining . consider half price hotel around NY NY definitely worth consider next time go Vegas . 
 Nov 5 2009 	 right strip nice big room 	 good hotel right strip , everything could wish doorstep , hotel massive exception . suppose one add benefit roller coaster run around ( vegas eh ) , personal highlight pool bar serve alcoholic slush , prepare brain freeze .... oh another thing , you re go get married vegas , right reason ! , review might well be not fact Vegas hold strange memory ! ! ! 
 Nov 4 2009 	 Breathe Oxygen Bar Scam 	 please beware oxygen bar Vegas , really try sell massager return money try take back even day ! tell return policy purchase unit say return not even sell anything else get store credit . stick witt stupid little hand hold massager work ! 
 Oct 30 2009 	 Loved hotel - one easy navigate strip 	 short 2 night stay usually not long enough even find way around mega hotel strip New York , New York design way room elevator casino not wind long , unending hallway find casino like other . staff nice helpful . machine little tight seem like strip . obvious economy affect hotel strip . nearly much traffic usual almost every hotel break escalator . room comfortable spacious . tv lineup little short go Vegas watch tv anyway ? ? highly recommend Zumanity show ! make reservation online buy one , get next $ 25 think great deal hotel guest get 2 $ 99 order ticket show , would call hotel directly see might well rate . ask difference say already purchase discount would not anything- $ 15 difference still little annoying . 
 Oct 27 2009 	 awesome time ! : ) 	 stay hotel awesome ! ! great hotel stay play ! room average bathroom important VIEW make ! view face MGM . surround hotel lot billboard remind time square NYC ! staff great accomodating . casino fun machine kind girlfriend : ) restaurant good eatery depend preference . location also great convenient casino strip . NY NY great choice make definitely stay highly recommend ! 
