after 	 customer - orient hotelvery low service levelboor reception 
 hotel brilliant ideal theatre break 	 friend stay theatre break . hotel clean , staff helpful , room comfortable , breakfast superb . could not fault thing . great location tube cram fair amount sightseeing short time . london aquarium , natural history museum harrod name either short walk tube ride away . nice pattiserie couple minute away tesco 's express . tube less minute away .It good stay early 2010 couple night another theatre break . I would recommend hotel anyone . 
 expecto Holiday Inn 	 arrive 23,30 hour could recommend restaurant decide go Tesco , limited choice hingry carenext day rang bell 8,00 hour clean room , nice waken earlyevery day give we candy bar two bottlet water whic nice touch . all , normal chain hotel nice location ( close chelsea , 45 minute walk Picadilly ) , back find anthe close picadilly well price ... 
 Great Price Terrific Location 	 stay Kensington Forum October , visit London mother . room two double bed surprisingly roomy , consider small hotel room previous trip London . the room quiet , clean , bed pillow comfortable , service adequate . service issue speak , be overly - friendly hotel . ( expect Holiday Inn . ) location absolutely wonderful . number coffee shop small restaurant nearby , well grocery store mall next hotel . pick apple fruit , add coffee muffin / pastry cafe . subway within one block hotel , could not ask convenient . well , good weather , walk everywhere ( probably average 10 kms day ) . be nice neighbourhood safety concern . our main focus book look low price good location . absolutely find Kensington Forum would hesitate stay . . .or recommend friend . 
 Nov 20 2009 	 Good Value - Excellent Location 	 stay 2 night complaint . arrive 11 , room ready . lobby large , lot seating available . desk staff friendly helpful . room good size Europe - clean throughout . bed comfortable . concierge desk call room ask need information assistance . location ideal travel city via Underground . gloucester station practically next door . elevator Piccadilly line ( from / to Heathrow ) - one level . walk one flight stair luggage . convenience 3 major Underground line station terrific . lot small cafe , restaurant , pub within block two . would definitely stay . 
 Nov 16 2009 	 Excellent hotel prime location 	 stay birthday weekend , say , 2 minute walk Gloster RD tube station , 10 minute walk museum . lobby large tidy , ask room city view get one tenth floor messing . room plenty big enough clean tidy , bed comfordable . staff freindly helpfull , breakfast top draw , virtualy everything think plenty . stuff 4.30 afternoon ! bargain price £ 250 2 night include return rail North Wales . 
 Nov 16 2009 	 Good Location Horrible Service Disgusting Procedures 	 husband stay 1 year anniversary trip October 29th- November 1st . first foremost , good , yes good location , block away Gloucester Road Tube Station . also , concierge helpful . bad ... first , walk restroom door break . , take towel not bother bring we back end night , call get towel wait 45 minute , walk downstairs argue wait another 20 minute . also , go lay , guess , sheet RED hair . ' m brunette husband . walk yet argue let know , say LEAVE NOTE ORDER change SHEETS , CHANGE WEEK ! .. disgusting ! ... make sure leave note , will lay week old sheet . 
 Nov 9 2009 	 great location 	 Love Holiday Inn use Priority point one night stay . previously stay road Crown Plaza would not hesitate come back . huge Hotel friendly staff . room typical holiday inn bathroom could done update spotless . around corner Gloucester Rd tube plenty pub restaurant nearby . breakfast hotel good waiting queue . would def stay . 
 Nov 5 2009 	 improve experience - would happily stay 	 stay Holiday Inn Kensington Forum last Christmas eight day vacation . time , find hotel satisfactory sole exception check - in process ( detailed review stay include site ) . however , guest check - in experience bad last time hesitate booking trip . convenient location competitive rate finally sell we repeat visit . when arrive check present similar problem last visit . ( room ready , promise room later time , etc . ) give detailed account last experience desk clerk immediately get management involved help we solve problem . ten minute , give two hotel room little difficulty . room ( single bed ) positively huge european standard . bed perfectly comfortable , ample desk space work bathroom much big expect . friend give two bed room considerably small , like mine , clean stocked necessity . if be look full - service experience , still hotel . almost nothing include stay ( breakfast , phone use , internet , etc . involve additional charge ) room clean relatively good condition ( flashy stylish standard , however ) . want safe , comfortable place stay , would certainly consider hotel . poor check - in last time , feel like staff go way make sure happy stay . also opportunity check hotel gym trip roomy useful . open 24 hour 's also convenient schedule . the location hotel 's good feature - two block tube line run major attraction . also trouble catch cab hotel entrance night , necessary . overall , good stay would happy recommend hotel other . 
 Nov 3 2009 	 Excellent Choice 	 friend spend 2 night hotel , highly recommend . early check - in allow & quot ; smoking & quot ; room , entirely acceptable , hallway faint smke odor . room relatively spacious ( consider european property ) , bathroom amenity outstanding . window open , able enjoy outside air , . mini fridge not cool properly , notify front desk , immediately remedied . hotel merely around block / corner Gloucester tube station , stair might problem traveler . waitrose ( grocery ) lot dining choice immediate vicinity . will never regret choice London ! 
 Oct 26 2009 	 not take CAT 	 save grace hotel , friendly staff location Kensington . as note review tube station corner , plenty amenity close by . explore area find plenty pub eat reasonable price . room hotel small , double bed . hence comment leave cat home room swing one . when hotel full , last weekend breakfast restaurant big enough handle guest . guest take continental breakfast option usher make shift , restaurant one conference room . 
 Oct 26 2009 	 par 	 get back trip warn future traveler hotel . book double travelocity pay advance , might problem . find personnel less accomodating case rude . room tired peel wallpaper although renovate recently . room 13 & quot ; tv five year old least . water pressure shower / tub much trickle tub sink slow drain . towel quality kin lower price / status hotel motel . common across Europe small room small double . pay advance would look well hotel , complaint never resolve satisfactorily . see many tour group hotel Japan , China Europe seem receive warm reception . short disappointed hotel . the positive location , block Gloucster Rd . tube station Waitrose supermarket . shop well within walking distance although exchange rate horrendous . enjoy time visit site go back hotel . 
 Oct 26 2009 	 everything need probably much would like 	 stay 2 night late October 2009 . hotel enormous , part chain , know exactly expect . public area fine bland , room comfortable slightly cramp , location good tube bus little ' distant' . check - in pain - free limit - mention breakfast time , room departure time ( importantly ) operate lift . room card ( good idea ) instruction would useful . the hotel clean throughout , breakfast ( Continental british ) good wholesome . overall , fair value money - basically expect . fair expect little bit ? 
 oct 22 2009 	 comfortable bed 1 - minute walk Tube 	 hotel 1 - minute walk Gloucester ( pronounce Glahster ) Road Underground station ( call Tube ) . even though address state Cromwell Road , hotel entrance actually face Courtfield Road . go Holiday Inn around corner Cromwell Road wrong one . , Heathrow take Tube Gloucester Road , walk stair , turn right ground level , turn right Courtfield , walk 1 minute hotel right . walk lobby hotel , turn leave Courtfield Road will hit Gloucester Road 1 minute later . KFC ( Kentucky Fried Chicken ) , Pret Manger , Tesco Express right Gloucester Road . also pub nice restaurant be expensive , least Americans . Tesco Express good grab ready - make sandwich , chip ( call crisps UK ) , pastry , cookie ( call biscuit UK ) , etc , perfect take lunch breakfast go . go Tesco morning buy croissant pastry , take back room eat freshly brew tea . room electric tea kettle tea cream provide . 
