rude 	 second time short hotel . will not come back ! state other , would hard pressed find well location . also , room clean tiny . tiny ok 's expect , complaint there . on occasion however , staff less helpful . accentuate fact simply know much English . eastern european accent clearly shine , problem English stretch beyond basic vocabulary . sadly , doesn't . this make conversation difficult , open misunderstanding galore . also , never offer extra be suppose IPrefer member ( even ask ) . not bother try explain expect ' ve promise thing book , 1 ) understand 2 ) seem simply care anyway . 
 mixed feeling 	 hotel location make several inconvenience ! put ' spare ' room first 2 night : small washing table , bed corner room shower design disabled person . also bad smell come airco . finally get well room : spacy bit noisy . tv set small need binocular watch tv . breakfast disappointing breakfast staff unprofessional . Wifi available extra cost , find strange expensive hotel like . say : be locate close shopping street Bond Street Underground station make disappointment . 
 Nov 21 2009 	 great hotel ` ` wine amateur '' 	 great hotel great location nice european international staff . the restaurant also good italian touch lunch price true bargain ? stay away breakfast : price outrageous , lunch 's many otherwise normal item 4 - star hotel extra - charge top . well go will find nice cafés nice breakfast offer quarter price . another little surprise : hotel staff true wine amateur . leave room pretty full bottle great australian wine count next evening . big surprised almost empty return room . otherwise good place stay . 
 Nov 18 2009 	 lovely hotel 	 return London . stay Mandeville hotel suggest us friend . check internet expect much usually look different close . surprised find exact picture arrival even well point . ok , room small know hand mind . , heart London , can not expect find spacious room unless willing pay good money . everything clean modern , fluffy new towel , good decor good service . concierge ( Ian Madi ) make stay well always service smile positive attitude towards request . would go 
 Nov 17 2009 	 lovely boutique hotel 	 website picture true reflection hotel . lovely clean , smart delapidate anyway . staff friendly . Breakfast , though continenta , l excellent choice . situate well shopping , theatre , restaurant etc . small minor point , tea coffee facility room . half happy . room service supply £ 3.50 . expense inconvenience . 
 Nov 15 2009 	 Excellent Boutique Hotel 	 London many so - call 4 star hotel . London one overpriced city Europe pay lot nasty experience . unlike many capital city even chain hotel often variable quality certainly price . ' delight come across hotel substantially different norm , Mandeville . ok , get good rate £ 150 include VAT service Laterooms.com . Mandeville ' location good . hop skip jump Bond Street end Jermyn Street heart London ' West end - good 10 min walk Oxford Circus tube station . however , set hotel apart mainstream theatrical decor modern twist great standard service everyone doorman reception clerk deliver . hotel treat name rather number . even telephone operator greet name ! staff uniformly friendly unlike London hotel seem genuinely . room great . certainly compact , nicely freshly decorate furnish comfy bed , desk well light bathroom ' shortish ' , perfectly adequate bath ( ' 6 ft 1 in ) excellent shower . full english breakfast steep £ 22 ( London ) , freshly prepared order every breakfast . fresh orange juice , yogurt , fruit salad tasty pastry complete picture . altogether excellent one night ' stay . would hesitation recommend Mandeville friend business colleague place stay London . 
 Nov 12 2009 	 Nice hotel 	 close Oxford street , restaurant , Bond street tube , Mark & amp ; Spenser , Selfridges etc 
 Nov 10 2009 	 Disappointing 	 location , be sufficient . be tall person , will scrape head entryway tiny elevator . firedoor , bathroom . claustrophobic hallway guest room . superior room ( one queen size bed ) 10 foot wide . view small lcd tv bed unless superhuman eyesight . bathroom door clouded glass completely compromise privacy . drawer unpack belonging closet small shelf . Staff ( except doorman ) speak English second language usually . particularly friendly either , doormen wonderful ( especially Richard ) . concierge attendant accomodate . find main desk staff aloof . coffee / tea maker room , clock / radio , ice bucket drink / snack machine . Minibar super - wealthy , not open ! positive : bed comfortable , room bath clean , towel good soap good . 2 block Bond Street tube station . lot cafe nearby breakfast . skip room service price prohibitive . be small person alot money , hotel might suit . lovely victorian facade hide ultra - modern chilly interior . 
 Nov 5 2009 	 Appauling service - unbelievable noise level 	 stay Mandeville many time .... never . first time check one ( tiny ) basic room . despite problem fit tiny bath ( tall ) reasonable sleep . check hotel conduct business room morning . prove impossible . 9.30am noise loud shout ( often strong language ) emerge corridor . follow 3 hour loud bang drilling shout . hotel start build work . call reception 3 occasion tell work hotel take priority ' conduct business room meeting room ( fully booked ) . could continue book conference call , morning waste . addition appal noise rudeness reception attempt leave room find lift occupy maintenance man deliberately occupy lift 15 min . call reception mobile explain unable walk stairs luggage heavy . tell would make sure lift become free . workman ride lift without pause . result 15 minute kidnapping , miss train connection . checking complain meet bland response hotel telling could not works check would not get work do time . upon write hotel receive run mill apology nothing compensate loss business , time , stress aggravationSo Mandeville compensate guest 's stay severely dissrupte . hotel London price range offer much well service attitute . previous comment rude staff lack attention customer care spot . never stay go back pay little bit extra much well quality stay hotel . Goodbye Mandeville 
 Nov 2 2009 	 gorgeous hotel great staff can not complain ! 	 partner stay deluxe room one night lovely experience . door staff helpful friendly , check smooth . one thing bear mind give two room key , one put electricity meter type thing next door , not tell we downstairs , walk around dark 5 minute try find switch etc ! hotel decor expect ; gorgeous , ambient light everything clean new looking . go bar evening champagne cocktail , partner ask barman something creamy whip one menu , seriously good cocktail ' ve ever ! whole experience luxurious friendly time . one tip book hotel somewhere like myboutiquehotel price hotel website expensive . 
 Oct 26 2009 	 ok nothing special 	 manage book queen size room Friday night husband . choose hotel review honest quite mistaken . hotel clean good location room small , slipper dress gown tea coffee facility . order pot tea two room cost £ 10 . leave luggage concierge whilst check spend day London go back collect lose brand new coat ! expect service London 4 star hotel . 
 Oct 20 2009 	 good overall impression 	 travel London business usually stay around Marylebone area central hectic . stay number hotel around say 150 pound internet rate great option . one probably say & quot ; room could big & quot ; , standard double room room bathroom plus meter half around bed . stay previously Durant 's 's around corner much much big room something like 200 pound Durant 's everything show investment do year prefer stay Mandeville . staff helpful manager answer question . first time London obvious like & quot ; find bond street & quot ; require expertise . eat hotel evaluate food . eat outside part experience city area around hotel present lot opportunity . check Providores . bit pricy ( 20 - 25 pound big breakfast ) really really great place . room quiet unlike example Radisson Oxford street ( bit less expensive pretty much term room quality ) . consider window main street second ( first say England ) floor assume room quiet . two thing bother me- soft water . know shower water not wash away soap ? theoretically hotel neighborhood recall issue . - rather slow elevator see ' m quite satisfied experience since go detail find issue . consider review please remember usually use hotel ammenitie fitness center , parking , room servie , etc , say anything they . I think stick hotel key choice London . 
