trendy 	 like traveler , scour web guidebook great advice come hotel stay . expecially crucial booked room Priceline ( case ) . want correctly set expectation prior arrival . instance , really get small room mindset check Hudson . arrival : hotel not sign . sure look pic website know be going come via subway train . small line check - in front desk staff great job keep everyone move . one important woman ( trendy i - think - I'm-20 - but - i - am - really-45 ) feel compel jump front & quot ; ask question & quot ; course attempt jump line . go ! yay front desk . make joke take pity we get we high level room face atrium . : - ) score ! room : ok . know . be small . 's end world . unpack stuff . organize plenty room . not throw stuff room . will need sit toilet sideways take turn bathroom .... good part ? incredible water pressure roomy shower plus comfortable bed . not come New York hang hotel room ? well , shower bed top notch . do . husband sleep like log Queen size usually challenge . think really pillow . noise : try get room 6th floor . street noise . 's ny . buy freaking Tylenol PM 's big deal . big issue nightclub . be loud . loud popular . therefore Floor 6 , probably hear . join fun get something knock . location : say real estate .... superb location . subway close get need go quickly . walk Columbus Ave visit Natural History Museum really enjoy . great shop , bar restaurant al way . lots dog local give nice neighborhood feel . be great 24 hour diner pizza place right corner 58th 9th . open late . enjoyed stay much . appreciated think design work go place . staff friendly except one woman carry clipboard look like deer headlight ask question check .. overall good bet . even well one score Priceline . 
 great explore Manhatten great party 	 hotel 30 second walk Columbus circle south west corner Central Park - great location . room small , New York hotel room budget small . despite size room , comfortable , clean good ( compact ) en - suite facility . lobby area hotel two bar . popular . rather noisy night noise affect room upstairs . this hotel great base explore Manhatten , great party well . 
 Nov 26 2009 	 Great Hotel ! 	 stay Hudson Hotel 5 night read lot bad review please hotel . room clean although small , big expecting . perfect location within walking distance Times Square 5th Avenue . great stay would definately reccommend ! ! ! 
 Nov 25 2009 	 Great Hotel Great Location 	 spend 3 day Hudson Hotel highly recommend ! room clean , ( bit small ) bed comfortable hotel great mix trendy urban chic . lobby fun interesting , expose brick ivy wall ceiling . front desk concierge staff polite accomodate . housekeeping staff , always smile say good morning . gym well appoint good equipment friendly staff member . location excellent close subway line , easy trip rockefeller center , central park , lincoln center , upper west side . add plus proximity Time Warner center great shopping , restaurant course great Whole Foods - for early morning juice ! great value compare NYC hotel previously stay ! definitely recommend hudson ! almost forgot , Hudson Bar , chic loungy kind place enjoy drink . 
 Nov 24 2009 	 tiny room - GREAT price 	 sign outside = difficult find : walk three time without find entranceenormous lobby nearly light hectic music foregroundtiny room : - nearly could get toilet turn around bathroom- impossible two people without continuosly step way- bang door - loud neighbourhood night -- - case want room little space pay much : pay plus $ 68.86 25 % room one night , edde $ 244.81 ( weekend low ) 
 Nov 22 2009 	 beautiful lobby tiny room 	 hotel unmarked front , inside absolutely goregous lobby entrance area . bellman front desk staff helpful . room trendy clean exceptionally tiny . even bathtub toilet minature . Hallways dark do not love . stay one night issue room loud , etc . would return , price would probably pick hotel little space . 
 Nov 22 2009 	 totally sleepless night ! 	 take husband NYC birthday 1 - night getaway . get good promotional price room , reason would choose hotel know front room quite small pretty big pricetag . , however , nice place funky characteristic room size major issue not plan spend lot time . size - relate problem bathroom small husband ( 6 ' 4 & quot ; ) could barely use toilet ! anyway , would fine , hotel 's location great . major problem put 10th floor room overlook 57th St. subsequently sleep entire night . despite 10 floor , room poorly sound - proof could hear every car go , ceaseless amount car horn beep night long . add occasional ambulance police siren group people yell eachother hour , sleepless night really put huge damper NYC experience . choose stay , absolutely insist atrium - face room one high , and/or check first see noise level seem attempt go sleep ! disappointing . 
 Nov 20 2009 	 Trendy ! 	 stay week visit fiancee business . location Hudson hotel super convenient Columbus Circle , Central Park Time Square . hotel super trendy modern . quite refreshing change typical Holiday Inn . hotel mark outside difficult find . valet service superb . upon enter hotel , long neon green escalator impressive lobby - all expose brick glass cover ivy . hotel quite exclusive bar access hotel privilege card receive upon check . hear without card , be tough get unless dress well . week Victoria Secret model stay town fashion show . needless say ... bar quite busy . skip : a. ' m big drinkerb . look like vickys modelc . intimidatedthe floor hotel dark drab communist block gray . find stylish enjoy decor . room small ... yes true ! ! ! people : NYC ! ! ! ! ! ! pay space ! ! ! feel room size completely appropriate stay standard room build 1 person ( fault since surprised honey visit .. expect ) . inside room wood panel . bed modern comparable european hotel . enjoy . hate american hotel bed Americans complain think ridiculous ( american ! ) . absolutely love glass wall separate room shower . allow fun peep show ! also light room fantastic . fun figure many way turn . road noise outside awful . truck honk constant noise night . also , wall paper thin . way properly close door slam ... therefore loud slamming door night . also , light hallway bright room . overall , fun experience cool hotel allow super restful night 's sleep . 
 Nov 19 2009 	 ' ve stay nice hostel 	 bad hotel experience ever . would definitely recommend business travel . would recommend people want spend little time possible actual room party . hotel lobby bar , every floor smell like pool ( not think even one hotel ) . light hallway shine crack door , top sheet bed , mini bar , tv mount mirror , window shower room . bad part front desk corrupt file usb drive . 
 Nov 16 2009 	 stay ! 	 hotel lovely lobby excellent location . decor nice Library Bar Hudson Bar welcoming . however , three night put three room trying find one livable temperature . first room start 60 degree fix . 86 degree would get cool . heating / cool unit blow hot air matter thermostat set . next room heating / cool unit would work . turn thing would make loud clanking noise night . leave move we new room next day . room 74 - 78 degree heat . try turn AC , air luke warm nothing cool room . also , room top floor much large . however , water bathroom rust colored time turn . shame location terrific really like go space . find something reliable look , end , concept worth unreliable service lack comfort . 
 Nov 15 2009 	 tiny cramp need renovation 	 hotel , ' m sure , design hip chic . maybe . however , border shabby feel tired worn . room like postage stamp . ' m 6 ' 2 & quot ; hand hit ceiling change shirt . low platform double bed foot two around bed constitute size room . water stain ceiling , toilet paper window suppose open operating . elevator tiny , long wait check constitute half hour wait one . recommend avoid hotel viable option . 
 Nov 15 2009 	 bring Torch ! 	 v trendy v dark ! meet lot fellow brit grope way round wall . particularly amuse library - dark read ! good location near columbus circle point view work would not rush back . 
