Roomy 	 stay room one standard room ( free upgrade ) . room super roomy , various furniture feel comfortable . remember great view cityscape night spotlessly clean bathroom . forget pjs sleep really comfy robe . 's also free wifi room lobby . elegant room , staff super nice . locate right near market street - pretty good base go explore city . 
 Nov 12 2009 	 Fabulous ! 	 love everything Tea Service excellent ! 
 Nov 11 2009 	 Excellent location 	 beautiful historic hotel middle downtown . block away chinatown good shopping close BART . room nicely furnish , although little small . street noises could heard room . hotel service excellent breakfast buffet good . 
 Nov 11 2009 	 bad stay 	 bad customer service around . the employee strike incessentally pound drum whole time management offer ear plug . the room clean properly , get harrase go hotel . 
 Nov 10 2009 	 step four point 	 check day . fond memories hotel , yet seven year visit unkind Palace . 's dire need makeover . hallway seem dirty , room old musty , bathroom outdate . one night business stay 's fine , anything else would advise look elsewhere . go St Regis although pay hundred dollar well worth . 
 Nov 8 2009 	 Beautiful hotel - small room 	 beautiful classic hotel around long time . do great job keep hotel . however , old , room small . gym could also use upgrading . really enjoy stay think staff attentive . 
 Oct 19 2009 	 beautiful hotel great location front desk staff need improvement . 	 room spacious clean , bit noisy . hotel old need new window . location convenient . front desk mess reservation several time bill wrong . overchanger $ 400 . credit back error amount . 
 Oct 16 2009 	 Nice Hotel 	 stay business hotel old style . room clean well proportion . damper experience noise room next door shower morning . bar hotel small pack night . locate 1 block conference centre , central . 
 Oct 16 2009 	 Plush Classic Charm . 	 beautiful hotel , look exactly photo official website . lobby beautiful , garden room chandelier glass ceiling . swimming pool lovely unwind in . great location . want feel like treat everytime step hotel stay . gold marble regal . do not eat hotel breakfast can not review that . overall vibe look hotel absolutely beautifull real treat come back long day sightseeing . definately would recomend friend , sister , parent etc etc . 
 Oct 13 2009 	 beautiful hotel rich history 	 stay Palace Hotel recently thoroughly enjoy . hotel quite beautiful inside beautiful ceiling , architectural detail decor . nice bar ( Pied Piper ) relaxed enjoy drink dinner . room ( king ) not huge bathroom , not matter we , plently room need . bed linen comfortable everything clean . high ceiling room crown molding add nice touch . comment make room hotel caliber , find towel quite substandard . would expect large , plush towel ( provide terry bathrobe ) instead small kind rough . 's negative thing say . the bellman attentive well staff . two minor issue call maintenance : although say window able open , could not get open . call help ( 10:00 night ) maintenace person room within 5 minute help ( ! ) like fact window open enjoy fresh cool air air conditioner . next day notice refrigerator not seem work mention front desk leave breakfast . promise get someone fix right away - time return breakfast , work properly . flight late evening day check bellman happily hold luggage day could still enjoy sight San Francisco . BART right outside hotel door , could not easier convenient get airport sight BART line . quite convenient walk Union Square , North Beach China Town , several time . would definitely stay without hesitation ! 
 oct 9 2009 	 Great Family Hotel Downtown San Francisco 	 stay Palace Hotel brief trip San Francisco love time . indoor pool tremendous hit , downtown location . love window look city , close number restaurant public transport . hotel lovely , staff courteous attentive , room spacious . 
 oct 8 2009 	 Old World Elegance 	 Palce Hotel everything hope . hotel piece history , beautiful staff great . 
 oct 8 2009 	 beautiful hotel room service ( concierge valet ) lack 	 good point : proximity waterfront attraction , beautiful historic hotel , clean room , small functional fitness center . not - so - great : 1 . parking fee exorbitant like downtown hotel . 2 . wall thin . could hear people conversation next room people hallway sound like right outside door . 3.service bad -- concierge : try use concierge 3 time 3 unpleasant experience . call ask bus take hold couple minute , tell come desk , wait 10 minute , run time leave . second third try unsuccessful well . bell service : feel like bellman rude give gratuity . overall : get great price hotel , well worth . beautiful , centrally - locate hotel . french boulangerie street delightful . 
 Oct 8 2009 	 elegant pricey 	 stay business trip nice , kind date . service great , bit pricey side . 
 oct 8 2009 	 best night 's sleep ! 	 clean , comfortable luxurious hotel . be old , appreciate charm . bed comfortable not want get morning . complaint internet access -- spotty unreliable . 
 oct 8 2009 	 Nice Old - Style Hotel 	 first walk front entrance hotel , first thing see grand dining room high glass ceiling huge chandelier hang middle . whole hotel 1930's-1940 's feel . hallway wide room ( least one ) high ceiling . room size decent . bath bit small nothing fancy . bed ok , Heavenly Bed Starwood property . room face Market Street , little noisy , not bad . get one not face Market , would probably advisable . location great Union Square block away along shopping want . Montgomery Street station BART / MUNI corner , convenient take BART airport walk right station walk right hotel ( $ 8 BART ride much cheap cab shuttle ) . historic streetcar line also run market stop right outside want take Wharf . not car , can not speak parking , garage right across street next good little sandwich counter ( will see line door ) . overall service great . doorman front helpful , pushy like . location key busy area middle action . 
 Oct 3 2009 	 Gorgeous Hotel ! 	 take wife favorite hotel b - day . ' ve twice . first visit wedding night give we free upgrade great room . second time celebrate anniversary surprise we free champagne chocolate cover Strawberies room . last time eat hotel three different occasion time surprise free birthday dessert complete sparkling candle . needless say experience service great . the common area hotel incredible . space west coast like Palace 's Garden Court . also love Pied Piper Bar . the room nice extravagant , although upgrade room nice . clean plenty room two come nice large flat screen t.v . wall tend bit thin imo . ( think couple room next we honeymoon , know mean ) location excellent . leave car BART station take train Montgomery Station pop right front hotel . short 3 block walk Union Square ton shopping , restaurant theater . yes , park expensive Palace SF ! parking expenxive everywhere ... $ 45 - $ 50 norm SF . however , Hearst Garage behind Palace park car around $ 20 . garage open 24 hour one cheap SF pretty secure . the Palace gorgeous , not miss ! 
 oct 2 2009 	 one nice hotel experience ' ve ... 	 go San Fran friend long weekend excursion Wine Country . get killer deal suite , could not pass . consider Westin Market Street , get much big room Palace little . go trip , start style . roll transfer hotel SFO , bellman kindly snap picture . check - in easy . the room ... huge . view Montgomery Street , ton room 4 us lounge . sauna break , downside ... long line coffee morning . pool nice roof . love nice hotel one main reason : lack child ! pool hot tub vacant . maid unseen , , arrange mess clothe every day ... nicely train , appropriate tip later . like : understate elegance , location , price , size suitedislike : line coffee stream tourist lobby also scamme aforementioned coffee . overall : San Fran institution . large hotel , memory serve . worth visit , drink coffee lobby , haha 
 Sep 21 2009 	 poor service Palace Hotel disappointing 	 want stay historic Palace Hotel since couple free SPG weekend free night use . ' ve stay SPG hotel San Francisco . check terrible - end wait 15 minute line one person work front desk . one would help . platinum member , use get free upgrade room least put top floor view . give honeymoon suite ph Las Vegas suite look La Ramblas Barcenlona - total 180.At Palace Hotel , give room view , one inside room . room bland , nothing luxurious . since free weekend stay , guess not complain much since would . also know notice one select floor get paper , know not many platinum status member stay hotel . find SF 49er dinner former owner Eddie night . see former 49er star kinda make day . the maid staff bad . even leave good tip first night . use shampoo , conditioner , soap replenish . platinum guest , not even get another free bottle water . cheap hotel ? ? ! ! gym quite small not even provide water . least Westin SF give ppl working bottle water , place . the atrium nice admit . thing hotel go name stay recommend . plenty fine hotel SF stay . disappointed service room quality . 
 Sep 20 2009 	 good hotel great value 	 Palace nice hotel . great location . within short walk Ferry Building , Union Square , Chinatown . also , across street Montgomery St. BART station , make easy get airport travel East Bay . room , enormous , nicely furnish clean . now downside ... hotel high opinion . sure , nice hotel . ballroom incredible , charge $ 30 average breakfast outrageous . concierge scoff ask inexpensive dinner option seem uncalled . $ 100 security charge leave credit card week stay completely unnecessary , especially not tell ask authorize it . in end , good hotel probably well maybe even get room view . 
 Sep 20 2009 	 may look like Palace surface 's far go . 	 ' m Starwood Platinum Preferred Guest ( also Platinum Marriott Rewards ) , stay fair share hotel . opportunity use 3 free weekend night San Francisco , decide Palace Hotel ' ve already experience Westin , W Sheraton ... St. Regis not available . want give Luxury Collection chance . upon check - in , upgrade available . not mind stay standard room , room hardly meet & quot ; standard & quot ; & quot ; luxury & quot ; hotel . room unpleasant odor ( mildew , mold , perhaps ) . regardless fact turn temperature 70 , thermostat never drop 72 still feel like 75 . also alley view . cellphone reception awful - internet barely work . have see similar complaint room temperature reception review ... wish would listen ! ! ! contact morning manager hear front desk attendant room get cool 72 degree . manager say would send engineering right away . come 90 minute wait room . return 3 hour later , indication whether would come anything do . walk front desk evening manager information , look find nothing could temperature . call SPG see could move different hotel , option night . SPG contact Palace Hotel say could try different room . way downstairs get new key bump couple door open try adjust temperature room warm . kindly inform good get . upon inspection new room - Deluxe Room high floor - find odor also feel cool ( close true 72 degree ) . relocate . downside , room connect door next room could hear conversation room . able stuff towel significant gap beneath door , help . the next day wake thinking could tolerate stay last three night . positive feeling quickly fade attempt use fitness facility find key would open door . go back front desk , find key still active door open . say would security meet gym . try key several time , another patron open door . inquire whether trouble getting say door little tricky . hindsight , also remember guy front day trouble open door . wait security reiterate door tricky . know door work time , would not fix ? reach final straw get back room later day sightseeing neither room key would open room door . apparently front desk attendant switch room not due dilligence ensure program two remain night . go straight room call SPG transfer another hotel . top , front desk attendant informed SPG agent would charge $ 100 early departure . steam finish explode ear tell SPG agent would walk back downstairs speak front desk attendent . agent put hold allow Palace front desk attendent drop line . come back say have decide waive $ 100 fee - favor 3 consecutive day problem . if interested experiencing legacy Palace Hotel , might suggest simply stop , walk around lobby perhaps even visit bar / restaurant . pay room , unless appreciate warm bedroom , possibly odor mildew / mold not mind POOR SERVICE ! oh ... say something nice hotel ... really nice pool , window . individual tv monitor cardio equipment , 3 elliptical 3 treadmill , get early will stick bike . 
 Sep 20 2009 	 excellent location pricey 	 much deliberation hour spending trip advisor 's review page , finally decide palace week long trip great deal hotels.com website . the palace historical hotel date . excellent location want explore San Francisco . 5 - 10 minute walk union sqaure shopping powell street cable car . Montgomery BART station right outside hotel escalator bring right next market street enterance hotel , want take BART train SFO airport , problem . do . also muni underground place bus f - line street car Fisherman 's wharf right outside hotel . the room decent size reasonable amenity safe , tv , iron board , toiletry , bath robe tea coffee making facilite complimentary water bar small bottle arrival . go lobby every morning complimentary hot drink hotel stay provide service room facility . room service cost ridiculous mini bar fridge available room . internet charge ridiculous room hard wiring computer . recommend go lobby free wi - fi . the conceirge advice hit miss friendly . free online check service next conceierge desk lobby nice touch . didnt time use restaurant bar site swimming pool / gym can not comment those . do recommend cafe attach hotel market street breakfast open 7 day week . lot eatery breakfast / lunch within block hotel week since closed weekend guess financial district . overall great location reasonable service . would recommend ae stay San Francisco . 
 Sep 19 2009 	 PALACE SAN FRANCISCO not expect LOT Free Night ! 	 check one great legend hotel North America & quot ; Palace & quot ; . stand front hotel Concierge check , advise room ready upgrade available . hotel extra amenity park $ 48.00 per night rental car ! ! room terrible view back alley four poster bed fact three poster ! advise Starwood member trying get kind amenity luxury collection include Grand Hotel Rome , Planet Hollywood Vegas Palace San Francisco , forget ! hotel recognize Platinum member seemingly cold front desk . desite elegance beauty hotel lobby restaurant , free night stay end cost $ 205.00 include Parking , Room Service , Breakfast tip around . 
 Sep 17 2009 	 affordable style great location . 	 Palace Hotel great base visit San Francisco short walk ride almost anywhere . really enjoy stay , place sense character history , presumably build earthquake . good part – ridiculously cheap price ! pay less 240 pound three night Expedia , slightly upgrade ' superior ' room . say , good consider room , would wealthy use bar restaurant . need sort eat place outside . the room particularly spacious , two comfortable bed plenty storage space , nicely furnish . notice deficiency housekeeping note reviewer . downside lack internet access , really 20th century . say hefty charge internet room , mention room guide receptionist talk deny exist . suppose wifi reception area ' get connect people seem trouble . we use Hearst parking centre mention elsewhere , would well car . montgomery stop right outside vintage streetcar , bus etc road , tram Bart . cable car five minute away , although get early avoid queue . in summary , great hotel great city . 
 Sep 15 2009 	 practically live hotel 	 work consult firm San Francisco , would stay Palace work week almost full year . hotel always clean , staff helpful , room service fantastic , dining area elegant food fabulous . choice hotel pick one give everything need even though company pay , price in - line even bit less hotel area . reason hotel around 100 year . 
