small 	 hubby take advantage mile night away kid . location amazing right middle 5th ave shopping , ton restaurant , walk distance many area u enjoy walk , hello nyc.the room r small doubt r modern , clean , quiet . U hear people hallway . I see room fancy NYC hotel r rundown noisy bliss . staff r nice . parking indoor lot ( right side ) 46th 5th 6th ave u get discount stay hotel . 
 Nov 24 2009 	 ok 	 price , hard beat location hotel . room smallest ever city & amp ; stay many place . clean , quiet , convenient . 
 Nov 22 2009 	 good enough 	 small hotel . 6 room per floor . small hotel room ever . king bed take space . one night , matter . room cleanpicke hotel location . near show see restaurant go . free breakfast adequate . small lobby . busy.no parking site . 
 Nov 18 2009 	 smallish clean conveinient 	 title sum . not another hotel compare , meet need . 
 Nov 9 2009 	 unexpectedly great property 	 normally stay much upmarket property Holiday Inn Express time decide take risk well - locate price property happily surprised . lobby breakfast area quite cramp , staff friendly professional . lot choice breakfast , include yogurt , pastry ( lot lot pastry , not eat ) , banana , oatmeal ( instant ) , pre - make omelette ( , appealing ) , hot beverage , milk juice . free computer ( include internet ) printer low level ( staff describe & quot ; business center & quot ; ) , convenient print boarding pass , etc . free wifi hotel well . room small otherwise perfect : nicely efficiently fit room sort premium touch : in - room coffee maker ( include green tea ) , heavy wooden hanger wardrobe , good lighting room , mirror desk , comfortable bed soft linen , tv lot lot station ( include foreign language ) . bathroom immaculately clean beautifully fit ( small ) , great water pressure pretty much instant hot water supply . full array toiletry , offer complimentary item ' ve forget ( would forget razor , pick one front desk , also offer shaving cream not need ) . two elevator , bit crush late afternoon , least fast be . noise people hallway , otherwise quiet . 
 Nov 1 2009 	 wonderful place stay NYC 	 impressed hotel - let we check early leave late - staff incredibly friendly accomodate ( Randy bellboy helpful not appear expect tipping every time see enjoy job impressed ) . spacious suite 10th floor - overlook office block quiet absolutely spotless . location perfect sightseeing . free internet access low ground floor breakfast bonus . everything else say review - certainly return hotel ! 
 Oct 8 2009 	 Perfect Location two girl town ! 	 take daughter surprise 5 - day trip NYC 16th birthday . actually get reservation Holiday Inn Express Priceline , really good deal . LOVED stay hotel . location absolutely perfect - right 5th Avenue sightseeing shopping . right distance Empire State Central Park . really close subway line . room small - not NYC ? - nicely furnished , clean comfortable . free hi - speed allow we blog whole trip ! staff friendly helpful - city snobbery sight ! truly wonderful time . easy see everything get everything hotel . could easily stop drop purchase change clothe activity . would stay ever travel NYC , unless course win lottery afford Plaza ! : ) 
 Oct 6 2009 	 fantastic value Excellent location 	 first time visitor New York stay hotel one week . free breakfast include convenient . hotel also free internet . hotel close time square , visitor information center , local bus tour company , subway system Broadway theater . also within walk distance 5th avenue shopping , UN , Chrysler build Grand Central station . front desk staff helpful . 
 Sep 20 2009 	 ok 	 book hotel rave review post tripadvisor . upon arrival , receptionist quite abrupt friendly . seem new yorker meet adopt sort nature . room give near emergency fire exit stair . room smell like cigarette . request non - smoking room tell staff say non - smoking room . tell smell , replied 100 % guarantee request . want move new room non - smoking staff would allow move . offer & quot ; spray & quot ; room get rid smoke . end happen . give try ask non - smoking room leave . room small . toiletbowl clean properly come , quite clean . good cable tv good . continental breakfast fantastic much space eat . food scrambe egg , sausage , boil egg , yoghurt , cereal , toast , bagel , pastry etc ... free internet many people hotel , wait age two computer . difficult sleep near fire exit , hear door slam quite bit near elevator hear many noise . hotel expensive New York , would suitable alternative would go price pay 240 dollar night . would try find another hotel . 
 Aug 30 2009 	 Awesome hotel would definitely stay 	 hotel perfect location .. close Times Square , Rockefeller Center , Grand Central etc . travel 3 college friend never feel unsafe area time . staff always greet we smile helpful . ask towels desk , deliver almost immediately . nice continental breakfast morning , food option continental breakfast ' ve . room little small side , expect NYC , sightseeing majority time anyways . bed comfortable room not noisy . be interested nearby bar / pub , 3 4 nice irish pub hotel Times Square . ever go back NYC definitely stay . 
 Aug 20 2009 	 convenient everything 	 hotel great location see many attraction Manhattan . close Times Square , Rockefeller Center , shop 5th avenue . attraction short subway taxi ride away . hotel typical HIE clean room , free internet , free breakfast . difference , note reviewer , room pretty small lobby area fairly small . problem get table morning breakfast , breakfast area roomy normal HIE hotel . staff helpful friendly . overall , find great hotel price absolutely fantastic location long weekend vacation away kid . 
