ok 	 ok hotel need somewhere crash , near anything useful except metro market . staff helpful , area dodgy . 
 Nov 3 2009 	 bad hotel come ? 	 confirm hotel classic . room service good put money house keeping . price charge room high want get . management ashamed . 
 Nov 2 2009 	 nice Clean Hotel Near Metro 	 travel Delhi group tour India Delhi Agra Jaipur Jaiselmer . Hotel Classic nice clean hotel good facility . serve well smile staff . hotel near metro station lift useful old person like we . 
 Sep 30 2009 	 Loved Classic Hospitality 	 Hotel Classic Classic mean . planning cancel trip India due disturbance India Owner Jitendra Chadda help email assured take care we . happy believe . make trip easy make trip confirm . pickup person always smile ( annoyed Cusom person Airport ) take care luggage . room clean basic amenity . upgrade executive room third floor extra cost surprise we . breakfast good room . wifi complementry lobby find useful . would return next month way back . 
 Sep 7 2009 	 Excellent Stay 	 visit India 's city last 2month . hotel comfortable memorable experience . pick Airport Air condition Car give upgrade room arrival . service good . hot shower work early morning ( Surprising Indian Cities ) . even breakfast serve 5am request . location good food joint nearby . lot shop also . overall experience excellent . thank management . 
 Jun 20 2009 	 Bad experience 	 book hotel internet see good review arrival uncleaned room give request front desk tell wait 2 hour shift room problem . last solve problem . experience bad room service good . front manager polite good service zero . my experience bad even manager approach put good review hotel agree give discount .... 
 May 5 2009 	 could clean great location metro 	 arrive middle night pick taxi ( read two chap someone 's small car unnerve we little ) arrange hotel prior arrival wasa lot less hassle try deal mayhem airport midnight . stay two night find staff really helpful service great , room service pretty much time night day . constant bollywood blaring reception tv little offputting 3 o'clock morning nothing compare rest noise Delhi . room quite large table chair sofa well . bed large quite comfortable , sheet not clean ' ve ever see not help not realise suppose remove wierd pillow case get bed . bathroom bite grim , grimmer hotel stay India fortnight stay . major bonus hotel middle slightly quieter surburban district 5 minute walk nearest metro station , Westerners easy , cheap , least hassle method get round . area pack shop , restaurant one department store see . metro close perfect . although separate ( boy one line , girl another ) X - Ray scan prior embark everytime certainly interesting method security doubt passenger would tolerate Tube . probably well value perhaps slightly clean hotel , first time visitor India find easy , hassle - free , ok value money , good service , good english communication , ideally situate initial foray Delhi . 
 May 4 2009 	 Loved Hotel N Staff 	 good Clean Budget Hotel Market Area Koral Bugh . beed reffere friend visit last year . nice experience . staff friendly . 
 Mar 6 2009 	 great two woman travel alone 	 pick airport spot , man placard name wait we , hustle bustle Delhi airport abonus RS900 arrive safe hotel , also book day tour Agra Jaipur , RS850 each . a / c bus , mostly Indians tourist board bus , good time joke much extra westerner pay visit monument . hotel clean comfortable bed occationally hot water , fair get 5 am go trip . breakfast room dining room , nota problem , couple time meal evening , good , indian restraunt round corner modern food court . area hotel make we feel afraid walk evening , sometimes get back trip till midnight . staff real jolly gang could enough help we , book local taxi take we round Delhi day probably good way see thing Delhi . I e mail owner couple month prior visit , meet like meet old friend . hesitation recommend hotel , quiet retreat busy noisy city Delhi . 
 Mar 3 2009 	 stay Delhi 	 Hotel refer we common friend . place book Expedia crosschecke review foud satifactory . pick Airport request hotel give room 3rd floor request mail . hotel central locate , clean , near metro tube station . nearby Mcdonald blessing we . Hotel Manager arrange tour we Agra Jaipur . we love stay recommend friend surely . 
 Feb 17 2009 	 Bed bug 	 stay one night prior return home ...... whole appearance shabby however prepare rude awakening bed bug ... large bed bug . complain front desk tell would move we next day useless since leave . bring bug spray ' clean ' bedding fact look even dirty . no breakfast include honest have really doubt standard hygiene food preperation ... therefore call room service . its cheap hotel well find price area . 
 Feb 14 2009 	 nice clean hotel great location 	 location convenient metro - 5 minute walk busy shopping street bring hustle bustle road metro station , be 3 stop Rajiv Chowk Connaught Place . 's internet terminal lobby wi - fi .The staff fabulous , always eager help friendly need indian SIM card cell phone . duty manager send assistant foot 9 pm escort we necessary document get card . the pickup promise take hotel take 30 minute . greet reception nicely check . facility write Reviews . must try Breakfast Bed ! ! ! ! ! 
 Feb 4 2009 	 grungy hotel 	 really quite expensive grungy little hotel . location fairly central close metro 's . room look pretty tired , tv poor reception complimentary breakfast . arrival long trip go get bed find sheet duvet cover really dirty stain . phone ask clean sheet sheet staff bring bad one already bed . go several set sheet look clean one find similar state blood stain , greese spot and/or hole . gave look several set & amp ; open brand new set we . IRs 2811 ( approximately US $ 60.00 ) expect clean sheet . 
 Jan 26 2009 	 superbly site classic 	 traveller , arrive middle night , not see much . part stay arrange hotel pick we airport , save huge amount time & amp ; hassle . next morning find safe & amp ; friendly Karol Bagh . hotel clean & amp ; functional , nothing flash . however , make stay memorable helpfulness staff hotel 's location . go street & amp ; turn right 's good , cheap , vegetarian restaurant . Turn leave & amp ; 's 24 hour ATM accept foreign card ( handy take forever change money bank ) . go street & amp ; be thick Karol Bagh market buy anything & amp ; everything cheaply . turn leave metro station end street . see lot city easily inexpensively ( 11 rupee Red Fort ) . 
 Jan 17 2009 	 worth 	 nothing really wrong hotel well price . the room clean , tv , hot water , etc . the staff fine - although send get rip buy SIM card friend . airport pick good MUCH cheap . charge 900 inr , get easily 300 INR . 
 Jan 16 2009 	 offer WiFi way advertise ! 	 one reason like sound hotel review say WiFi access good . however , arrive say could access internet lobby . lobby small seating area next reception desk , practically block main thoroughfare hotel . this inconvenience , value add . comfortable certainly appropriate 5 - 10 min use . 
 Dec 25 2008 	 Clean Affordable Hotel Bustling Delhi 	 Clean Hotel Busting Delhi . cheap find give reviw . ; port p ; ok . staff help guide city vision Jaipur . provide hot b ; fast Room early morning . happy book hotel . 
 Dec 22 2008 	 Perfect Hotel Short Visit 	 Nice Hotel Market Place Koral Baugh . worried agent choice hotel arrive India . worry vanish arrive Hotel Classic . Agent make perfect choice require clean costly room . hotel extremely clean . staff cheerful reply query Agra . group 7 person come Taj Visit . provide choice breakfast bed want breakfast anywhere else . dinner also good . visit return trip . 
 Nov 23 2008 	 GREAT START trip ! ! ! ! ! ! ! ! ! ! ! 	 great Great Great . start Tour Excellent . book hotel watch review hotel . expect organise indian tour could much easy . request Airport pickup midnight hotel offer pickup US $ 20 instead US $ 25 list website . prompt reply confirm . Maduu Hotel Pickup person wait we A / c Car . room show website . Carpets Wifi Lobby - free . Indore call hotel thank . definately visit hotel way back US . 
