good 	 room clean pretty big NYC standard , tv , hair dryer , additional blanket first necessity available . negative note : see several reception staff , friendly , generally prepared give information sort . overall purpose tourism main need reasonable confy room , be right place . 
 Nov 19 2009 	 great place internet 	 get room hotwire get great deal . be convenient large room . complaint room internet connection inconvenient , still three star hotel ! think would good place stay business . fact husband go lobby get wireless connection since work . 
 Nov 17 2009 	 Great Location huge room great value ! 	 one good hotel ever stay ! room huge , two queen size bed ( although pay two twin bed ) , big couch , two table , full kitchen , big bathroom . room big apartment hometown . great value money . clean , quiet , even free internet ten utensil . 
 Nov 10 2009 	 convenient location 	 hotel convenient location Grand Central 42st Street . room big view EMpire State . staff friendly . bad side : poor phonic insulation ( yes driver use horn lot NY ) last day find bottle cap bed wonder overall cleaning effort . 
 Oct 17 2009 	 Heat 	 wife stay many time , mostly love . drop ball big time week . heat entire hotel three night , temperature outside reach 30 's . freeze . another guest tell lock door break hotel fix next morning ; room , stay another room . inexcusable . great place , problem . 
 Oct 12 2009 	 great location terrific value kitchen real bonus . 	 three block Grand Central Station , less 10 minute walk Times Square , make location central . suite clean spacious . kitchen great , save money dining . would definetly recommend . 
 oct 8 2009 	 clean hotel great area . 	 spend 4 night Murray Hill East Hotel . love location : close lot restaurant , transportation , shopping . hotel clean . nice furnishing . staff friendly helpful . downside : bed uncomfortable , bathroom door would stay closed , lots street noise night , wireless internet lobby , 
 oct 8 2009 	 great spacious reasonable price 	 savvy Hotel NY can not beat price location . neoighborhood like set quiet . room kitchenette perfect small child constantly want something snack . would recommend hotel ! 
 Oct 6 2009 	 Great Hotel 	 really nice hotel , large room kitchenette like coffee maker , close everything Manhattan . Great Restruants 3rd Ave . would stay . staff great . 
 oct 1 2009 	 great location great price ! 	 amount pay hotel , actually shock see get . we kitchen , fridge , stove , microwave dishwasher ( not even dishwasher home ! ) . king size bed , well pull couch . couch not comfortable , expect pull couch . the staff friendly helpful need direction place . Grand Central Station right around corner . empire State Building 15 - 20 minute walk hotel . Times Square distance . the thing would change offer WIFI whole hotel , rather front lobby . I would defiantly stay get chance go back NYC . 
 Sep 29 2009 	 great hotel close NY attraction 	 hote fabulous . stay 7 night late September 09 . kitchen great , feature small fridge , oven cook top , well utensil . room massive , lounge area , separate bedroom bathroom . hotel clean service staff efficient . laundry room , although not use . gym small ever 1 person use whilst problem . 2 treadmill , weight machine , bike , stepper hand weight . wireless internet available lobby , although quite time trouble connect . would absolutely stay hotel reccommend traveller want visit Manhattan . 10 minute walk Times Square 5 minute Grand Central Station . love ! 
 Jul 19 2009 	 great location 	 wife spend week two year ago . location hotel really great , easily walk many Manhattan attractoion . be also close Grand Central . the hotel bit worn , hey , travel NY stay hotel room ? ! room big small kitchen , say ' m pleased stay . 
