good 	 Novotel London West prefect location travel around London , hotel good link Heathrow . access car ideal m4 close large car park site , excellent value car park London . the room spacious lovely modern décor add cosmopolitan feel hotel . surprisingly city location close main road peaceful night sleep , could hear hustle bustle rare find London . new restaurant bar area ideal business traveller leisure traveller big improvement hotel . stay number time Novotel London West must say service also wonderful would recommend hotel . 
 weekend Novotel London West 	 clean , tidy modern . friendly helpful staff . meal ridiculously expensive poor value money . would definately recomend tuna salad Shame since let hotel . 
 hammersmith good hotel 	 Hotel room nice improved shower wifi , new restaurant much nicer modern 
 Nov 23 2009 	 Loved hotel 	 great hotel , easy get motorway easy parking . also tube station min walk great need go centre London . the hotel recently refurbish lot well use , reception area bright airy brand new apple computer get 20mins free . bar resturant area good modern , love single booth resturant single traveller get tv watch enjoy meal . breakfast excellant load choice , dinner get 2 option buffett la carte excellant to . bedroom well equip overnight stay - superior room would definatley recommend love walk shower . have stay lot time great stay time service excellant . only thing miss big hotel health / swimming pool facilite site .. 
 Nov 22 2009 	 improve renovation 	 business hotel get exactly pay , nothing nothing less ! great location though close Hammersmith tube station . bit 80 's feel , major renovation whole lobby restaurant area fresh modern . helpful staff reception restaurant . 
 Nov 17 2009 	 great corporate event 	 conveniently locate stone 's throw Hammersmith Tube stop , definitely corporate friendly hotel . never fan food UK , pleasantly surprised quality calibre newly renovate restaurant locate adjacent lobby . guest room simple clean ( standard universal Novotel room experience many even furniture match across ocean ) - good short corporate stay . 
 Nov 17 2009 	 nice enough homely . lacked character . 	 week stay recently , be nice enough . clean comfortable . nice big double room . typical hotel decor . carpet need refit though corridor . air con , heating . tv OK . internet expensive £ 13 / night compare other could not say . speedy check - in . food nice , good range breakfast . dinner good quality . meet one english member staff , other Polish East European , make less friendly . spoke Polish extremely rude , especially restaurant . maybe concept friendly different . smile hello would not go amiss . busy guy cheer bit ! guy seem cheery american guy ( Jason ? ) reception . oh , ready lot police siren 's police station . quiet enough . 
 Nov 11 2009 	 good hotel ... enjoy stay 	 stay one night attend conference . room good size .. large London hotel room stay . bed comfy linen / towel spotless . breakfast superb extensive choice taste great hot buffet lunch . would recommend hotel buisness area en route Heathrow . concern go read various review guess people hard please ! experience / stay positive one . 
 Nov 10 2009 	 good service room match 	 Novotel Hammersmith good locate , next tube station Hammersmith . , year ago . service -personal get even well , room show sign wear . drain need fixing , thing like cable missing reason one charge possible watch tv.breakfast include prize year ago - room cost , breakfast come additional 17.50 ! around corner Hammersmith , one get hearty english breakfast super Cafe Latte 3,50 GBP . new internet area , four place , great monitor ! constantly order people stand line , wait , everybody get 20 minuit , maybe could cut half . child pc play . the staff attentiv friendly . obviously enjoy work . 
 Nov 7 2009 	 like Faulty tower - never stay hotel ! 	 book pay full 4 day B & amp ; b week visit . book online direct hotel executive room advertise free WIFI service . service key factor decision stay hotel hold internet marketing conference . upon arrival give small room match online photo bathroom hand hold show bath consider inapproproate executive room £ 150 per night . eventually move executive room match online description . every morning breakfast queue due inadequate table number guest . every morning 15 20 minute wait table . almost everyone comment long wait communal area lift . wait 20 min breakfast queue first morning provide room number told not pay , refuse entry breakfast area . despite inform breakfast staff pay ask call reception , refuse . tell go reception resolve ! . embarrassed front queue wait quest . wait reception 20 min whilst large party booking . reception staff apologise polite promise inform breakfast staff pay breakfast . I return breakfast area tell wait side queue reception call confirm pay . 5 minute later show table tell eat receive confirmation reception . news 10 min later ask reception call . - forget ! tell could breakfast finished return till area . late seminar quick tea , return till area inform staff dash would back tomorrow . despite staff 's insistant stay leave attend seminar ground floor . conference phone reception room inform matter resolve . next day thing happened - queue , tell pay , refuse entry , refer reception , back queue . upset ruin breakfast . UNBELIEVEABLY fiasco happen four consecutive morning despite daily reassurance various reception staff room detail change confirm pay breakfast . fourth morning question breakfast member meet first morning ! apology give reception ok will inform staff . APPALLING CUSTOMER CARE ! although executive room advertise free WIFI case . unable access internet room 4th morning despite support call reception . hotel guy advise could not use WIFI plug via hotel mouse minimum fee £ 7.99 per hour . ( cheap long ) rarely complain show bad ! hope Manager read aware lack WIFI internet access 20 min breakfast queue alienate customer ! EX CUSTOMER 
 Nov 1 2009 	 Shabby room Clean ! 	 stay Novotel London West two night Thursday Friday November 2009 . hotel reception / business suit quite modern , however , room date look little shabby keep clean . buffet breakfast Friday morning acceptable , Saturday morning buffet breakfast cold , obviously less staff working weekend service poor . save money get breakfast elsewhere load place eat Hammersmith £ 17.50 could Fillet Steak breakfast ! ! Overall Novotel London West business hotel must get Star Ratings business facility surely ' base standard room . 
 Oct 30 2009 	 good communal area shoddy room 	 Nice bar restuarant etc , room artexe plasterboard could hear next door turn page book ! food , value , etc overall ok will look bit hard next time . 
 Oct 29 2009 	 big room ... 	 hotel nice big room , locate nearby train station Heathrow , short 5 minute walk station . nice breakfast - buffet , shock experience prise internet - access kind hotel price room high . 
