Outstanding 	 hotel apartment building convert hotel . corner apt 19th floor . feel like tru new yorker ! , there s restaurant 26th floor terrace well . awesome experience ! I m definitely stay . 
 friendly staff 	 not stay Beekman awhile , decide give try reasonable rate . staff helpful polite , along maids doorman also . nice quiet side town . wonder adjoining restaurant close , nice plus . take advantage complimentary breakfast Top Tower fabulous overlook East River . definitely return . 
 Nov 25 2009 	 brilliant location lovely hotel 	 stay Oct 09 4 night . give junior suite include fridge , cooker microwave . room lovely , decor fine . location excellent , 8 min foot Rockafella center . small restaurant cornor shop directly across street may need . restaurant top floor beautiful view , eat one night , food price similar home price , drink little pricey . discover since own Anglo irish bank , run well bank worry ... 
 Nov 24 2009 	 satisfied traveler ... hope return 	 book Beekman hotel much search agonizing price versus value . I book thru Travelocity get fantastic deal . way hotel , phone Beekman ensure reservation complete Travelocity . hotel inform Travelocity , fact , make reservation ! , hotel assure ... although travelocity unable complete even basic function , Beekman would look family make sure take care . well , finally get travelocity complete reservation Beekman call less 30 second later let know set . when arrive , 2 hour early , hotel front desk ( Michael ) tell room ready could check immediately . ( WOW ) .the room spacious clean whistle ( people use phrase ? whistle REALLY standard clean ? ) carpet furnishing outdate worn ... certainly unclean unusable . price pay , would stay tomorrow . doorman ( John ... man ) , friendly helpful . give we alot great advice eat get around . room incredible view . never see type vermin accuse other . feel completely safe bed ABSOLUTELY comfortable ! overall , good experience comfortable room . look forward return . 
 Nov 17 2009 	 slide Downhill rapidly 	 wife stay Beekman quite time past five six year . happy trade location room size shabby decor tired carpet . however , last two time year convince we give place . tell hotel provide room heating unless outdoor temperature 50 F ( sound like tenement rule ) . doorman never door ever appear , outside smoking . in - room tea alowance one teabag three packet sugar daily . trash bin empty daily rest housekeeping service prefunctory . guest leave room service tray dish next elevator door stay two day ! ! 
 Oct 27 2009 	 tired spacious 	 friend book hotel Thomas Cook . want twin room kitchen Beekman Tower provide . however , mention although & quot ; request & quot ; twin room , - request not friend phone hotel direct soon would make reservation ensure twin room . three twin suite accord receptionist specific request 's worth phone confirm . when get receptionist twin book original booking - turn queen suite . cancel leave we twin booking without fuss . our room not ready 3 pm stow luggage go quick walk room ready 3.30pm . the suite ( 3L ) large air conditioning switch , right end holiday , quiet . aircon / heating room work well indeed . aircon outside lounge window issue . however , get use pretty quickly not room much . bedroom front hotel quiet . as guest mention , furniture carpet tired ' m rather glad case since mean space affordable . newly furnish may price bracket 's location excellent . part town quiet still close Empire State Building ( easily walkable ) etc . room perfectly clean . 
 Oct 19 2009 	 poor old beekman 	 ' ve stay Beekman many time year always overlook air shabbiness like size room genteel feel hotel ; be always remind we big unfancy New York apartment . three - night stay room 11d persuade we give tired old Beekman year . ' ve never see hotel furniture bad condition , scratch scrape look find thrift shop . ( 's exaggeration . ) Beekman 's carpet always little threadbare , room rip stain least 10 year past replacement . bathroom blind bent twist someone try rip . bathroom frightening -- moldy shower curtain , toilet seat wrong shape toilet , grunge everywhere look . front desk folk fine , housekeeping hit miss . ( clean someplace still look dirty be do ? ) nearly $ 300 night . 's shame . beekman wonderful building good location , owner , Luxe Group , invest critically need renovation will not go back . 's shame . 
 Oct 5 2009 	 Shabby tired overpriced 	 hotel cost $ 300 per night would expect price . see certain Art Deco charm room look though not decorate since early part 20th century . dark dingy room , old shabby furniture , sticky carpet , crack tile , cobwebs . plus side large room ( like mini - apartment really separate double bedroom , small kitchen living room dining room table , sofa ( pull bed ) tv . bizarrely so - call ' fully equip ' kitchen full - size gas cooker oven grill pot pan cook utensil . , however , fridge microwave manage microwave mug water make tea ! toaster coffee machine also supply . for hotel market business visitor surprised in - room internet access . business center second floor pay 30 cent minute use internet . there fairly well - equip gym over - price restaurant 26th Floor ( maybe worth drink admire view make sure eat elsewhere ) . 
 oct 2 2009 	 stay beekman unless like mice rat room ! 	 stay Beekman Tower 19 26 Sept. 09 horrible hotel experience ever . first room 4th floor , rat eat gift chocolate . mouse could caused havoc . second room 8th floor , bath tub drain poorly take shower stand pool stagnant soapy water . one night read bed , see two mouse run around bedroom floor . third room 16th floor , toilet run constantly , rock hard bed miss top mattress blanket . move another hotel run mouse , ' m sure would appeared long . addition , one morning one drop run water hotel . check , hotel place credit card hold not release four day later . thank goodness carry another card . hotel also try charge no - show one night 's accommodation additional reservation , would start day check out . the hotel 's response usual & quot ; ' m sorry & quot ; . never manager available . credit , bath tub fix couple day , free breakfast voucher offer compensation rat lack water . several reminder get 20 $ compensation chocolate demand compensation yet another room infest mouse , one night 's accommodation charge waive . still , consider room charge particular week 500 $ /night change room ( = pack & amp ; unpack ) several time help hotel staff , compensation clearly unsatisfactory . nutshell : hotel currently infest mice rat . plumbing problem overall shabbiness make hotel substandard . beekman use cosy hotel perfect location business traveller . . sad see decay . 500 $ night - even New York City - traveller right expect whole lot . 
 Sep 21 2009 	 good low cost option Midtown Manhattan 	 hotel situate intersection 51 St. 1st av . Midtown Manhattan . although quite centre Manhattan place relatively close main attraction New York offer include ; UN headquarters , grand central station , empire state building 5th av . attraction around 20 minute walk away . nearest subway station ( number 6 green line ) 10 minute walk away mean often quick walk take subway . willing walk whilst New York hotel offer good compromise cost location . slightly old unable walk far probably good hotel you . in term room , clean relatively large price . pay around £ 90 ( $ 150 ) night kitchen breakfast stall , sofa , queen - sized bed en - suite bathroom . although decor slightly outdated nothing damage break . staff friendly helpful . even give we free Wifi duration stay , although usually $ 10 per night . internet fast reliable . , 3 star hotel , hotel offer good value money . apart proximity subway little grumble . be budget wish save significant sum money compare hotel close 5th Av Times Square may place . 
 Sep 19 2009 	 beware annex room dirty noisey carpeting shabby . 	 stay Beekman approx . 10 time last 5 year . previous ( 9 ) stay main building okay -- - clean , quiet , nice room money charge . however , last visit 3 night August reserve room use Travelocity 's website . price lot cheap Beekman 's website ... know -- hotel place next - door annex . really call house horror . room nightmare . carpeting threadbare actually cut ( ie . bleed need bandage hydrogen peroxide ) bottom foot carpet tack strip come carpet entrance bathroom . room dirty , carpee filthy , extremely noisey street traffic especially cheap airconditioner unit stick wall , not bad enough , elevator keep dinge night long -- wall thin noise echo room . first night 3 , purchase pair earplug nearby Dwane Reade . wonder , change room -- - try . however , claim book . sure rate thru Travelocity really reason refuse change room . also , 3 night prepay , non - refundable since stay bad place ( small village Tibet , Mexico Costa Rica ) remain rather waste last 2 night prepayment . warn wise traveler -- - Beekman might seem like good deal time main building -- - lot junk room inventory could ruin vacation . purpose visit pleasure rather business , careful hotel . 
 Sep 16 2009 	 wonderful place stay 	 second year visit New York also second time stay Beekman Tower . location great . street UN short distance Theater District . transit authority bus stop across street front door . staff wonderful . room always clean . one note .. new hotel not expect . 
