Great 	 sister , mother , sister - in - law end stay hotel book priceline.com naming price . book room priceline.com , single bed , would work we , call hotel ask upgrade room two double bed , trouble time . call two day leave make sure set reservationist say still fine two double bed upgrade fee . when arrive , wait almost hour check - in & quot ; glitch & quot ; priceline.com reservation . apparently reservationist suppose upgrade room 10 room two double bed entire hotel . manager , Chris , come straighten everything , although say go & quot ; take care & quot ; person tactful I . they two , small , elevator reach hallway , dark narrow . amazed bellhop fit baggage cart elevator ! end take stair multiple time wait long elevator . we please see hotel step Time Square make convenient get everything ! personally , think good thing hotel . we need ice time find almost amusing not one ice machine entire hotel ! call room service every time need ice ( complementary ) .there fridge room , store leftover employee fridge , inconvenient . check leave , leftover make back we . think put different spot . oh well , Little Italy husband back home . overall , experience hotel average . main reason would return location . , would recommend hotel long people know pay location basic amenity hotel . 
 Skip . 	 book room two people third party website . Room confirm appropriate two adult ... & quot ; king , queen , two double . & quot ; hotel give we room one double bed say want second bed could pay extra $ 200 . reservation third party site non refundable , definitely feel like bait switch . try get sort , hotel staff extremely unhelpful ( fact , could not even get ahold anyone - get transfer least 4 time becuase one would pick keep getting kick back main operator . ) frequent traveler NY guarantee far well hotel far bettter price , vicinity . skip one . 
 Nov 23 2009 	 Location Location Location 	 hotel different . lobby trendy nothing would expect outside black building . service great - friendly helpful . room extremely small . fact alittle claustrophobic . two people could fit pass end bed time . clean bed comfortable . Location EXCELLENT - 1/2 block Times Square . loved aspect irish pub Pig Whistle next door . air conditioner noisy view window awful . bar downstairs turn full blown nightclub til 4 am . hotel become extremely noisy late night . sleep like rock be good . 
 Nov 23 2009 	 Enjoy ` ` stay '' 	 would recommend & quot ; Stay & quot ; base two night stay . arrive around 9:00 p.m. , loud music play throughout lobby area . first impression , lobby clean nicely decorate . check - in process inefficient . one man work juggle check - in , phone , question staff . hotel two elevator , fit three people luggage uncomfortably . I stay hotel NYC expect room spacious . , room exceptionally small . keep 26 & quot ; suitcase desk place fit . keep toiletries window sill , bathroom counter - sink , toilet , shower . full - size bed comfortable , definitely fit two people . hotel limited number double bed room ( tell 8 ) . information disclose booking process . second night , try schedule wake call , one pick phone front desk . , would recommend stay . 
 Nov 10 2009 	 thief 	 find short hispanic hotel employee room Friday August 28 , 2009 afternoon room door bolt inside . repeatedly knock door sheepishly open door let we . leave act little scared . report desk clerk next morning . hotel try charge we $ 112.00 drink take refrigerator room , never use . refuse sign bill drink clerk tell we someone would get back we , never . drink miss hotel employee probably steal . hotel charge credit card drink try get charge remove Capital one credit card account month . contact State Attorney Generals office New York Ohio incident . employee hotel speak english may illegal . 
 Nov 8 2009 	 look booking stay 	 good thing hotel location . rest disappointing ... 1 - the room toooo small , even NYC standard . could barely fit lugagge ( 2 medium - size , two carry - on ) . closet , hanger wall ... strange ... 2 - the wi - fi ` work room . go lobby ; 3 - the duvet dirty ... notice use duvet cover , really disgusting ; 4- ammenitie ` L'occitane describe web site ; 5 - front desk nice , let hold phone 15 minute transfer call room ; 6 - what club ? ? ? wait elevator really drunk people wait use bathroom ( lobby ) . unless willing spend night , situation may really uncomfortable ; well , could get long , sum , get much well stay hotel area . 
 Nov 5 2009 	 great hotel would ` ` stay '' ! 	 impress hotel , staff . everyone helpful friendly . great service concierge . room spacious compare NYC hotel room comfortable king size bed . issue toilet plug 2nd night upon allerte front desk take care immediately . one can not beat location ! would definitely & quot ; stay Stay & quot ; . 
 Nov 4 2009 	 start well -- - end badly 	 commend stay hotel pricing , amenity , staff , location . last day , wonderful experience . however , last day , go put jewelry room safety deposit box use code use entire stay . return evening , code long work call front desk resolve . send tech open safe cash credit card still , jewelery . attentive apologetic helpful -- - first . tell see someone would turn , question ask . email correspondence 3 week , nothing . situation yet resolve long respond phone call email . upshot : hotel overall great value money -- not leave anything value room safe ! ! ! ! ! 
 Oct 30 2009 	 room get small NYC 	 friendly staff , unique lobby bar area , block Broadway Time Square . , oh room NYC possibly get small , hope , hard turn around room . walk forward back . 
 Oct 27 2009 	 happen checkout 	 stay Hotel 8 night enjoy stay . room small comfortable . as sure imagine 8 day stay New York inexpensive . check hold place credit card ensure would able pay bill . problem . problem however arrise check credit card debit hold account remove . phone hotel speak & quot ; Jemala & quot ; ( sure spelling ) say problem bank sort . problem bank South Africa . run short money fund block money transfer South Africa finish trip . bank SA say stay Hotel must remove hold . I depart hotel 8 October - 27 October hold still credit card . email hotel receive response . 
 Oct 26 2009 	 amazing romantic weekend 	 friend organize birthday get - away 40th amazing . concierge work plan everything last detail . coordinate rose room well include chocolate cover strawberry . friend not thougth make dinner arrangement sit night - concierge take care everything - get we amazing restaurant - tell birthday occasion , treat special desert . fabulous . room great . aspect service excellent . 
 Oct 23 2009 	 small hot noisy room great bar .. 	 seriously , review tell need know . the reception bar great . 's end . clean well present , 's primary reason hotel normally sleep , not allow well . Air Conditioning specific room , ( great ) however be loud turn . 
