good 	 hotel reasonably price 3 - 4 star hotel find great location Forbidden City , Shopping , Food , T - Square , etc . standard room small / medium size functional . nothing fancy . would recommend include breakfast room . large selection food beverage price . quality selection little well go early restaurant fill move convention room . the phone internet available convenient little pricey need make lot call use internet alot . staff friendly / helpful need exchange rate reasonable change dollar , etc conveniently concern . hotel location big plus . close alot tourist , shopping , food , night market enough away main tourist / travel area could enjoy local flavor . 
 Nov 10 2009 	 bad 	 reserve room one high floor view . look toward Forbidden City , however , matter . room clean comfortable . satisfied . 
 Nov 8 2009 	 good value 	 good location near Forbidden City . stay suite executive floor one bedroom , one living room big bath room good value also include breakfast buffet either executive lounge coffee shop . 
 Nov 7 2009 	 look elsewhere - deserve 4 star 	 room tired badly need complete renovation . tile crack bathroom . ceiling chip paint flaking . air con work either hot cold depend season . report room hot , housekeeping arrive open window ( let smog noise ) saying & quot ; fix & quot ; . air con work cold time year . wobbly table executive breakfast area . non smoking room available put stale cigarette smoke smell . the main reason take hotel view overlook Forbidden City pay extra . able see 2 day numerous garbage dump run dwelling . yet see Forbidden City . hopefully tomorrow might big day . on plus side staff try helpful good . breakfast acceptable . 
 Nov 4 2009 	 recommend 	 room clean . big - sized bed , nice area , friendly people , 
 Nov 1 2009 	 hot water work tv 	 i´m stay 6 night executive floor third day Beijing , snow 6 hour . heavy snow , snow . ( I´m Sweden understand mean real snow . ) ... come back hotel long day town , really feel like curl bed nice hot shower , watch movie . well , first noticed tv wasn´t work call assistant manager hotel learn snow , ENGLISH channel wasn´t work .... however , chinese work fine .. , strange ... , figure , allright i´ll nice hot shower , warm maybe tv work . so get shower learn hot water . fumingly P - O´d finish cold shower call assistant manager ask h - ll hot water didn´t work . blame snow since ask really four star hotel one star hostel , try convince hotel Beijing problem highly doubt since high rate hotel town strongly doubt would ever let guest shower cold water snowy day . but , fair , service fast efficient . want solve problem supposingly what´ keep succeed chinese system also language barrier . Most staff speak english would lie say go majority . can´t understand yet meet someone conversation say yes maam certainly , matter , snow . one probably read manual though ... : ) hotel comfortable , away home , nice bathroom hot water , tv actually work Airconditioner work . ( AC doesn´t work either problem small cold outside ... however , heater doesn´t seem work either try ... hmmm ... bed Kingsize hard comfy . Forbidden City view nice too . i´m stay though . 
 Oct 27 2009 	 Perfect hotel holiday Beijing 	 Printed name Hotel Chinese - large writing - airport taxi many taxi driver read small print . stay executive floor near elevator . not hear noise - staff welcome one day forgot get room clean happy come clean 6 pm whilst happy hour . 5 - 7 pm serve fruit , cake little savoury + tea , coffee juice complimentary . also breakfast include wonderful . we two friend ( female ) travel without partner important feel safe . hotel serve purpose . major shopping street - although busy manage get twice 5 night stay . taxi fare everywhere 20 yuan staff make sure look . special thank Rachel executive floor Apple porter desk . lovely girl always ready help . thank wangfuje Grand - delight central Beijing really enjoy cultural site shop . 
 Oct 6 2009 	 price right internet 	 hotel fabulous location , amongst many hutong explore close cultural sight city . great food nearby taxi 's easy get right hotel . staff , overall , helpful , friendly prompt . room reasonably price , think mostly get pay . frustration , however , prevent we recommend place anyone . room need deep cleaning . bed clean , surface & quot ; clean & quot ; need surface . furniture carpet need shampooed replace , wooden piece scuff . also microwave room , make referigerator somewhat pointless . big room amenity think would internet access . staff mostly speak fairly good English , big frustration would guess meaning rather really listen . morning leave , want confirm flight departure time ( would easy internet access ) , tight schedule try go get breakfast check get airport , ask lobby could check internet flight time , apparently translate need ticket ( not know ) , send ticket office . think strange , wait available , ask could check flight time internet want see itinerary sheet keep look airline call , reiterate would take matter second hop computer check , keep look , write number call . repeat , not hotel internet guest ? direct desk opposite , proceeded also look itinerary ask could look quickly , type info . computer , call airline , whose line busy say could maybe call afternoon check , flight leaving ! begin lose mind point say , , not internet , finally get response , , & quot ; oh yes , 2nd floor business office . & quot ; go 2nd floor , find internet go cost ridiculous sum . needless say , massive waste time leave right away flight since time breakfast fittere away people pretend know ask . say not understand , would well . 
 oct 2 2009 	 great location good service okay hotel 	 hotel well locate want see sight , shop check night market . staff Concierge desk excellent helpful arrange car sight Great Wall . find Concierge desk generally much cheap tour operator also locate hotel . side , despite request smoking room , mix smoke non - smoking room floor air rather unpleasant . food hotel expensive lot less expensive good restaurant area . room definitely need face lift , particulary carpeting . spend month tour China whole , like hotel , despite room improvement . 
 Aug 26 2009 	 Excellent ! 	 highly recomment ! nice hotel . great room . good breakfast . stuff talk English ( important China ) , walk distance shop Wanfujing street . centre Beijing easy move around taxi foot . good value ! 
 Jul 26 2009 	 not expect 4 * price good 	 perfectly situated Wangfujing Street . perhaps 5 * website quote good 4 * hotel hotel well run , one . immediate service arrival front desk bag retrieve taxi exit lift bell boy wait deliver room . room clean reasonably spacious major city standard . buffet breakfast , western asian food , egg request etc impeccable service . pick hotel central location fulfil requirement . ' couple hundred metre walk come pedestrianise part wangfuje Street particularly interesting walk brief . couple shop 711 type supermarket yard away . enter pedestrianise area right street night food stall . food mostly serve skewer stick . food good really fast food eat walk , stall seat . couple open seating area wangfuje Street beer , soft drink cup tea . first taste China hotel yes , rumour hard bed true . bad though get use quite quickly . avery comfortable day stay . 
