fine 	 return hotel 's excellent central location splendid slightly colonial feel . typical modern luxury hotel . time not quite meet previous expectation . courtyard restaurant close , staff seem interested fawn one gain tip ( except clean staff lovely ) price ( recession ) seem even excessive . nonetheless , still quite fine stately feel , not mind pay premium . 
 Nov 19 2009 	 wonderful pampered stay Ritz ! ! ! 	 mom , sister stay 5 night may , heavenly ! ! ! suite Club Floor really look we . nice club floor yet experience . drink , food , cookie , candy , could go , FAB ! ! ! ! not get chance afternoon tea , will go back . love hotel , will not stay anywhere else ! ! ! try four season love way , room service well ! ! ! 
 Nov 16 2009 	 luxurious convenient hotel good service . 	 stay 4 night last week standard room provide high floor ( 7th ) corner room view street - noise issue . check - in smooth quick , even 1 pm , 2 hour normal check - in . small box chocolate card room belate birthday . almost 2 - year old we , note time reservation ( want crib rather king bed since sleep we ) . receive king bed , think nice , special amenity kind baby , property provide . bellman bring luggage quickly offer time window baby - proof handle remove ( opted ) .The minibar stock full typical drink , small drawer contain item play card , panty - hose , spare undergarment , jelly bean , nice pocket - size map area , available sale . would like mini - fridge instead , cost $ 25 / day . nice coffee / tea kit provide complimentary ( usually ) restock turn - down service , happen every evening . in - room internet available via ethernet desk , via Wi - Fi however wi - fi work room . connectivity access point easy , router beyond IP acquirable . big deal we since use notebook desk , suppose call would resolve issue point . enable private / secure internet - sharing via Wi - Fi laptop provide iPhone fast connectivity 3 g ( although 3 g seem work well around city ) .The Business Center near meeting room operate contract audio - visual company . available 24 - hour room - key payment credit card , staff day enter , rather sign say contact operator assistance , assume would staff page . equipment include 3 pc ( MPC - brand , new ok ) , mid - size color - capable copi , multifunction device fax machine . laptop station also available get online via ethernet printing via usb parallel . rate comparable luxury hotel ; workstation rental 75¢/minute 10 - minute minimum , print $ 1 / page b / w $ 1.75 color , copy 30¢ less depending volume , fax $ 5 / page domestic . separate PC printer available provide complimentary hotel airline boarding pass printing . we rent car hotel via concierge quite convenient . rather pay $ 70 / night parking fee ( never see parking lot ) , rent return car day . even last minute notice , concierge able obtain car we within hour . use Hertz , provide cc license , complete paperwork sign contract car deliver wait front entrance . walk , show contract doorman , car right waiting . return , make sure car dinge , etc . , take contract , be do . highly recommend rent car least day fly drive Golden Gate , drive Lombard street , even cruise wine country , afternoon . Taxi $ 45 include tip SFO , well r / t rent car hotel day . rental $ 85 Mustang convertible ( not specify car except request standard car ) .A friendly helpful doorman one repeatedly call we last name stay . big deal , know important Ritz . hand , almost everyone say hello passed make we feel welcome . we mostly eat , drink Lobby Lounge , & quot ; raw night & quot ; offer variety oyster , shrimp , crab ( everything raw ) . leave camera accident , nice server hold we security standard procedure . concierge leave message room one call deliver room hotel manager . good honest staff appreciate course . we enjoy heated pool one day , well much heated jacuzzi . one family 3 use time go , around 4 pm . full access locker room private locker , nice shower , etc . adjacent fitness center share locker room . the bathroom nice , spectacular . separate shower stall room require AAA 5 - diamond standard . nice shower , none - the - less , nice Bvlgari amenity . slipper robe room . bathroom scale also room , important convenience want weigh luggage within airline weight restriction . large enough lighted closet good supply hanger include iron ironing board build - in free safe . tv modern dvd player cabinet well game controller pay game . find channel describe hotel outlet service , find write sample menu description hour restaurant , etc . maybe miss ? free daily delivery Wall Street Journal USA TodayOverall , nice stay . super & quot ; wow factor & quot ; part , everything positive include staff . convenient nearby shopping , restaurant , cable - car , etc taxi always wait . good exercise hill shopping dinner especially push stroller ! 
 Oct 25 2009 	 nice luxury hotel heart San Francisco ! 	 recently stay 3 night Ritz attend conference hotel ; overall experience good . feel good value rate give attend conference . real complaint street noise could hear hour day . 3rd story room locate along steep busy Pine Street . believe windows single pane traffic noise issue . try get either high floor get room away Pine Street . otherwise hotel pretty much would expect high end property . also hotel bottled water , soda , beer mini bar expensive sure stock prior arrive . 
 Oct 21 2009 	 stay couple night - Excellent Hotel 	 Fantastic Hotel , good location San Fran sightseeing 
 Oct 13 2009 	 wonderful stay . 	 can not ever go wrong Ritz - Carlton . dinner Dining Room great nice quiet atmosphere , lunch Lobby Lounge nice , food . it hard eat outside hotel food good . usual staff always helpful . 
 Oct 12 2009 	 Spotty Service - Ritz Carlton Standards 	 stay Columbus Day long weekend disappointed service . mind , be still good compare large chain hotel , be definitely ' ve come expect typical Ritz Carlton . to start , valet duty evening never offer get cab . would help everyone else dollar bill hand ; tip receive good service , not believe something expect . valet rude never greet I . housekeeping spotty well - bottle water Kleenex replenish left note . bathroom sink area clean daily could still see water stain . even turndown service night item place differently music play night other . the gym basement . 's small stuffy . recommendation go run outside . hill come back hotel provide enough cardio day . 
 Oct 8 2009 	 bad service moment drive 	 can not believe fine hotel franchise would inferior service family experience stay . though furnishing beautiful good thing hotel . valet flustered job incredibly rude manager little make stay well . leave hotel stay Marriot Portland service amazing . would recommend hotel anyone . 
 Sep 26 2009 	 expect 	 stay one night - typical Ritz Carlton experience - excellent staff , well train welcoming - stay Club Level - Club level lounge nice - lovely snack day , great place relax day sightseeing - room nice , though little ' chintzy ' - comfy bed enough pillow dozen bed - bathroom nice size - shower nice , Bulgari toiletry ( small thing , nice touch ) - plenty towel - location good , union Square , though top steep hill.i check early late flight - hotel problem use Club Lounge day - concierge friendly , help find ticket ball game without use rip ticket broker - small touch that s people come back RC chain 
 Sep 22 2009 	 Crème de la Crème 	 Ritz ! San Francisco 's fine . life can not get well . a stately exterior -- beautiful elegant interior -- ambiance shout & quot ; exclusive luxury . & quot ; 's Ritz . guest warmly greet upon arrival well - train , attentive staff offer glass champagne , favorite beverage -- thoughtful . everything perfect beginning end . ambiance service meet every expectation . can not wait return . 
 Sep 20 2009 	 great outstanding area . 	 avoid repeat much information already offer many review already publish . additional 2¢-worth . stayed one week 1 - bed suite r - C SF September 2009 . located top one SF 's challenge hill , RC SF away much city centre 's noise . , like , middle age take toll , maintain dignity ascend hill cable car : stop right hotel . good point : hotel immaculate : spotlessly clean , everything well - maintain , largely tastefully decorate ( though perhaps much yellow use guest room . ) welcome friendly over - rehearse way usual top - class US hotel . assistance bag offer , name use throughout . room good size , well lay , apart couple criticism outline , perfect stay . club lounge excellent idea , offer 4 food & quot ; presentation & quot ; ( buzzword , mine ) throughout day , include excellent breakfast offer concierge service . less good : room slight foody odour . never work cause . on one morning , workman clamber roof 07:20 ! top floor , noise highly intrusive . complaint management lead immediate offer reduce bill one night 's room charge tax . impressive . other negative minor : Wifi free poor reception ; colour yellow over - use room ; Bose iPod dock living room match bedroom - anyone still carry cd ? often tang cigar smoke one corridor . on whole , comfortable , relax surprisingly well - price stay . qualm recommend hotel . 
