incredible 	 bad possible thing happen we hotel . not discover spa morning checking . almost cry . incredible . please , go soon check . would amazing way end day day Beijing . the bed firm linen amazing . sleep well age . also bad get early go Great Wall . concierge arrange English - speak guide driver take Wall ( anywhere ) much money . even though not get sleep much well worth it . we also want Peking Duck Beijing guide book recommend & quot ; make China & quot ; restaurant hotel . bit skeptical usually hotel restaurant suck - maybe be USA . notice lot hotel restaurant Asia multi - starred really superb . anyway - Peking Duck & quot ; make China & quot ; phenomenal . everything else menu . also get couple really spicy dish awesome . Beijing enormous . thought could walk Forbidden City , square , reality not close . taxi cheap . one day cab like 30min like $ 3.also , pollution Beijing disgusting . really can not see two block . the Grand Hyatt one nice , comfortable hotel ' ve ever stay . great place come back explore Beijing . 
 Nov 24 2009 	 Nothing Special 	 stay Grand Hyatt one night business . check subpar since long queue one staff member look total front desk . go request get somebody else speed check process . room average . basic Grand Hyatt would expect much update room . room bathroom clean . location great . 
 Nov 13 2009 	 outstanding service great location room get little date though 	 impress Grand Hyatt . outstanding location China Avenue close number business . tianaman square , forbidden city Silk market close . impressed staff . find every person meet interact friendly , courteous . strong English skill helpful question . morning buffet great way start day great mix chinese western food available . request king bed initially could not accomodate check front desk staff helpful put large suite room rate . much push end . only small down - side room little date ( least 6th floor , sure might renovation ) . bed 's comfortable bathroom quite nice big negative , feel little old . clean meticulous . give rate quite reasonable though , sure would want pay update . I would highly recommend hotel . 
 Nov 13 2009 	 Top Notch Hotel 	 stay Grand Hyatt Beijing 6 night October 28 November 3 . choose hotel location , previous review , fact could get family suite 23 year old daughter could space . disappointed . make arrangement hotel meet us airport .. meet walk international flight , help custom immigration , whisked & quot ; back & quot ; door wait car . upon check ask would like upgrade Regency Club decide go . excellent choice ! breakfast day , use internet , concierge service , evening enough food make light dinner complete wine , beer , champagne , coffee tea . several evening tired head not want pay hotel restaurant . service excellent .. could get use : ) room perfect . 2 bathroom , 2 bedroom , living room kitchen area ( utensil guess must upon request ) . corner room quiet . spa pool area wonderful . massage great . hotel helped arrange tour guide driver we Great Wall ... David great hire privately next day well . eat 2 restaurant . meal good .. first night upstairs casual location noodle dish well know restaurant make China . pre - order Peking Duck . good . peke Duck excellent restaurant fun seat close enough watch cook . Regency Club concierge arrange driver back airport greate helpedt ocheck - in , arrange Hyatt Regency Hangzhou pick we end ...... ready wait door ! ! ! never feel special hotel . yes , expensive , do not ' usually travel way , worth trip . highly recomme hotel . 
 Nov 9 2009 	 Outstanding Service Beijing Grand Hyatt Staff ! 	 five week China Southeast Asia trip plan two year . sign group land tour China cruise thru Southeast Asia . schedule three extra day Beijing independently get jet lag , visit sight cover group tour , shop Pearl Silk Markets . normally , avoid large american hotel foreign country . prefer small , local hotel , B & amp ; B ' , inn - mingle meet resident country . however , know China , would huge disadvantage read speak Mandarin . careful research , choose Beijing Grand Hyatt Hotel . excellent choice Grand Hyatt meet travel need . first – Grand Hyatt ' staff , ( doorman , reception , telephone operator ) , speak excellent English . ' ugly Americans ' expect entire world speak understand English , find Asia deal many visitor west . taxi ride Beijing Airport 35 minute uncomfortable silence . luckily , print name address hotel Chinese . hotel helpful provide Chinese / english business address card write Chinese , tourist site want visit . hotel cater western businessman tourist , everyone come contact good grasp English language . spend three week tour China , hotel ( 5 star hotel ) staff member fluent English . might one two member fluent , off - duty , game charade ensue . easy convert currency , ask extra towel pillow , eat hotel restaurant make common request . Grand Hyatt staff member friendly , seem anticipate need . one cloudy morning , ask doorman think would rain later day . say would check . leave return weather forecast hotel umbrella say could use day . fee , name request hotel room number collect . genuine concern make visit pleasant occur stay . second – room large . hard , king size bed , armchair ottoman , mini bar , refrigerator room . room worthy 5 star . hotel 825 room , hotel feel immense . third – hotel major Beijing boulevard , sit way back traffic , hear traffic noise . location two block Forbidden City close central Beijing tourist venue . large upscale mall beneath hotel , hotel locate one end wangfuje Pedestrian Shopping Street . plentiful shop restaurant around hotel . convenient wangfuje subway stop locate hotel . fourth – check hotel web site room special . able sign " stay 2 night pay 1 " special Hyatt Hotels run time . upper floor ' club ' room , breakfast two include . eat breakfast buffet western , well asian choice . include egg , bacon , sausage , mushroom , egg , omelet , cereal , chinese dumpling , noodle , rice , duck , fish , chicken , congee , soup , fresh fruit , pastry , juice , coffee , tea . great deal , breakfast alone cost $ 40 US / person . try get breakfast include room rate . care eat expensive hotel restaurant . final comment – chinese government dictate currency exchange rate . therefore , rate available hotel rate available local bank . hotel charge fee convert money , airport exchange center charge fee . hotel exchange rate much high get USA . exchange many US dollar chinese currency ( yuans ) , need save receipt . receipt proof exchange money China . however , reconvert yuan back US dollar hotel , do @ international airport leave China ( pay fee ) . Grand Hyatt currency exchange service front desk convenient change money need front desk , instead look bank ( especially weekend 8 day national holiday October bank close ) .Two free bottle water bring room daily , since tap water potable . use brush tooth long swallow . purchase additional bottle water small grocery store oriental Plaza Mall underneath hotel . China different voltage system USA . Grand Hyatt offer voltage system . suspect reason hotel ' clientele mostly western visitor . the hotel claim fantastic indoor swimming pool . never see pool . tired tour Beijing . comment it . we would highly recommend Beijing Grand Hyatt friendly staff , location , ambience , hotel amenity . bravo job well do ! 
 Nov 8 2009 	 great hotel great location 	 first trip Beijing , elect hotel organize car collect airport . really good move - meet plane , escort passport control & amp ; customs use VIP channel special car - park limousine wait . would definitely recommend anyone travel mainland China first time , taxi driver not always much English . hotel location great , 5 - 10mins walk Forbidden City ( visit ! ) reception process perfect : although bag pick car take concierge , queue check - in last almost 10mins , two three staff handle customer . luxury hotel never wait like . get desk , tell Club Room mean needed check upstairs Club Floor , bizarrely without escort would able get elevator key - operate . guy front desk come , mean presumably even long wait anyone behind try check . bad planning , anyone ? since hotel arrange car , know due arrive , happen meet hotel , could escort straight upstairs . room nice - mini - suite , living area separate sleep area slide screen . internet access expensive , something resent since ' m certain everyone stay need hotel cheap . I not get much chance use leisure facility , unfortunately , although in - room massage pretty good . the chinese restaurant excellent - vast array dish include Peking Duck , everything cook perfection . ' m tell 's one good Peking Ducks Beijing . Breakfast Club lounge also fine . drink lobby expensive - something like rmb 120 ( $ 20 ) glass wine . 
 Nov 5 2009 	 Perfect every way ! 	 great central location , incredible hotel . pool , spa , fitness center , food -- perfect . elegant worth stay . stay executive level breakfast , drink , appetizer ( enough dinner ! ) internet compe . well worth . 
 Nov 2 2009 	 Good Hotel Good Location 	 hotel great location within walk distance Tian'an Men Square Forbidden City . even close wangfujing night market . staff mostly helpful friendly albeit language China frequently problem . room decent size ( family suite ) although decor get little date . restaurant also good swimming pool leisure facility fantastic . highly recommend . 
 Nov 2 2009 	 check be not pain ... 	 stay Grand Hyatt 4 night last month . great hotel . location great ( mile Forbidden City ) , plenty shop around , silk market 10 min away cab , restaurant solid - read people say ehy be not cheap ... 5 star hotel really expect ? concierge good get group last mintue dinner reservation service housekeeping room dine also great . everything point 5 star review ... would be not check . book non - smoking king arrive tell have not reserve non - smoking room do not avaliable . long story short ... 15 minute push back ... well non - smoking king . accept mistake make ... exact situation also happen colleague mine trip . long short ... would stay . would not expect 100 % hassle free . 
 Nov 2 2009 	 Suites - go Club floor ! 	 hotel two type suite - world apart ! renovate suite Club floor ( 17 18th ) - modern , well appoint , comfortable , pleasant stay . thoroughly enjoy time . suite floor ( 16th floor ) date original opening hotel circa 2001 - wear , feels date pleasant . well worth pay additional charge Club floor ( approx USD50 ) , enjoy daily breakfast all - day refreshment . 
 Oct 30 2009 	 stay else ... 	 LOCATION- 10min walk Wangfujin ( shopping area ) , 20min walk Tianmen Forbidden Palace ... ask ? - Malls connected hotel dinner high - end shopping . SERVICE & amp ; staff- good , friendly ... ROOM / TOILET & amp ; CLEANLINESS- room clean- bed comfortable , sleep real well ! - cleanliness bathroom great , amenity supply . provide bath salt tub . food- Selection ok , local western - Food generally tasty ... others- in - door pool impressive , bring along swim suit . kid would love it . RECOMMENDATIONGreat hotel ... stay else 
