Dorchester 	 ouir second time Dorchserter get yo room bottle champagne . show around room make feel welcome . 
 Nov 17 2009 	 Afternoon Tea - wonderful memorable experience 	 although not actually stay Dorchester , lovely experience traditional afternoon tea think well write review ! much research want afternoon tea pick Dorchester one good value money could find ( pay , well good ! ) . lobby warm invite Christmas tree well decorate . also get check bathroom - private elegant . anyway , absolutely love whole afternoon tea experience . waiter friendly charming , bent backwards help we . see we look confused map , come assistance give we helpful direction destination . two three us vegetarian think Dorchester cater really well need , offer simple yet delicious variety meat meat - free option satisfied . sandwich offer least three time serve honey yoghurt parfait thing welcome surprise - delicious . scone high quality clot cream , jam marmalade delicious . french pastry not taste ( pastry person , 's , appreciate ) perfectly present . ambience wonderful like appear website . signature Dorchester blend also fantastic . think service brilliant , make feel like movie star totally welcoming , professional yet approachable . pay 33.50 pound per person think memorable experience take forever ( certainly next time ' m London ! ! ) . worth every penny . 
 Nov 9 2009 	 Next will probably charge electricity 	 dorchester iconic british hotel . ' ve stay many time . can not beat Mayfair location right across Hyde Park . lobby lovely perfect spot enjoy cocktail beautiful english tea . dollar time low staying Dorchester become prohibitive . say , decide bite bullet , spend ridiculous sum stay feel comfortable . almost three thousand pound night show & quot ; Dorchester Suite & quot ; . 's little snug ( 800 sq . foot ) nicely decorate comfortable . fresh flower welcome back note manager . 's return Dorchester : 20 pound charge per day per computer every room suite . seven day . math . find ridiculously short side tacky . London visit least dozen 5 star hotel see could find suitable replacement . truth tell suite show beautiful suite Dorchester . several besides considerably low price one HOTEL CHARGED INTERNET . end week check Dorchester tell desk clerk happy internet charge . apologize say 's frequent complaint management willing change . suggest negotiate charge next visit would probably cut price half . ask would cut fee half time say could not . thanked tell would not next time . year loyal patronage idiotic charge straw break camel 's back . book next London visit Stafford . almost thousand pound less per night ' m stay beautifully decorate suite large Dorchester Suite yes , come free internet . be also terrific location fabulously cozy charming bar staff meet could nice . good , will not feel like schmuck spend lot money feel fleece . 
 Nov 3 2009 	 absolutely Fantastic 	 come back night Dorchester . problem whatsoever staff helpful hotel bedroom beautiful . deserve every star . 
 Nov 3 2009 	 excellent round 	 spend half term family London . despite fact arrive drag suitcase underground , warmly welcome none suppose snobbery suggest previous reviewer . two great interconnecting room , complimentary champagne chocolate . great position attend show west end , even paparazzi wait outside return evening - but wait we ! definitely stay visit London . 
 Oct 25 2009 	 want good service location client thank event ? Book Penthouse Suite - remarkable 	 use Penthouse Suite private function celebrate achievement four outstanding individual field ( partner ) present award . simply good service experience UK . private balcony complete fountain view across iconic London skyline breath take . many place could give guest type experience . very grateful outstanding staff memorable evening . 
 Oct 24 2009 	 ' m sure hype 	 Good hotel ' sure hype about . summary : · good location West End · great bed sheet · spotlessly clean · friendly front desk doorman · overall decoration room need freshen up · Room Service food ' good · breakfast ok long way 5 star term food ambience . a good impression , hotel spotless , nice lobby , doorman helpful . reception staff pleasant . I book superior queen room stay 1 night business meeting , ' big room ' bad give ' stay long . room relatively good condition couple bulb ' replace bed comfortable sheet fantastic , quite bright nice B & amp ; tv . air con vent face bed people may necessarily like . bathroom good condition marble everywhere however bath / shower feel tired plus rubber mat bath shower good felt date ' sure ' terribly hygienic really . Nice Floris toiletrie great towel . when enter floor lift feel like transport back type 1950 hotel term décor , good way . combine room like chintz love . chintz 1980s Laura Ashley way . ' feel elegant bygone era , simply old really like visit elderly relative house . I order room service , took slightly long say would , ' fuss hey 5 star expect within 30mins tell ' . ' bad part though . feel food ' particularly good . order prawn past dish , frankly prawn well overcooked like bullet overall bland . desert ' much well . ' bore detail suffice say ' much well less establishment . after room service go bar say personally look like 1980 night club , lot black bright light , ' much personally people may love ' Dorchester . however final nail Dorchester coffin breakfast next morning . room service previous evening decide go breakfast , hold Dorchester Grill . Mmmm ' large virtually windowless room , tarte , gold , tartan large flower display . feel like eat breakfast well decorate conference , lack ambience . think hit home particularly 7.30am . frankly feel quite depressing room breakfast ' feel right . perhaps would ok evening ' convinced . however ' certainly good place breakfast , waiter serve food , promptly get wrong . ' complain , ' see point . scramble eggs smoke salmon taste bland give lighting speed arrive order ' believe make egg order also come across presentation . compare Connaught , fabulous breakfast room fantastic breakfast , near good . overall find Dorchester experience quite odd , want love , end feel sorry . need freshen someone need overhaul catering . give price ' rather stay London hotel . 
 oct 22 2009 	 Slight Disappointment 	 stay last month really look forward stay last weekend book weekend stay birthday present mother . come check trouble start . pay Solo card ( debit , pay one month previously ) tell uncertain manner extra £ 200 per night would deduct card security purpose refund exit . shock angry say least . student , understand pay debit card good option hotel treat like ridiculous . mother type rack huge room service bill , dress well , not exactly look like shady type . protest extra charge mention previous stay 5 week early poo - pooed tell record card system . ridiculous exact card pay . agree pay cash , matter apparently forget about . the room lovely , although beige carpet pretty badly stain , sort thing expect hotel hold reputation , bar everything else immaculate . the rest stay wonderful , breakfast perfect , spa luxurious . on checkout however , problem resume . make pay room check assume would problem check , would drop key , tell £ 220 would refunded card : deduct knowledge permission . whole debacle top noticing room service charge bill completely incorrect . , chap check beside we wrongly charge entire dinner one hotel 's restaurant . hotel whole beautiful terribly romantic . service whole superb , many staff helpful friendly . experience slightly mar trip start hope , slight shabbiness room carpet not quite meet expectation . also , first night room adjoin thin wall three subject hour bad ' when Harry Met Sally ' impression ever come across , complete bed bang wall - quite want listen mother although sound rather negative , hotel one favourite definitely back near future although think may pay another card 
 Oct 19 2009 	 not expect stay night club - tell we 	 ' ve stay Dorchester . largely hotel deliver term standard 's accommodation amenity read detail numerous review elsewhere . however one thing really surprised stay past Friday . stay room # 130 1030pm 130am pretty loud function host ballroom downstairs . noise loud enough prevent we go sleep - honestly pretty loud ! eventually phone Night Manager 1230pm first not know talk , advise noise towards & quot ; upper end acceptable range & quot ; monitoring , offer we change room . thank offer , not want get dress , pack move time night ( especially leave next day anyway ) . think problem sound proof ballroom , recommend ask high floor available . main gripe never inform function going take place could not avoid . great hotel standard price . 
 Oct 12 2009 	 ` ` fantastic Stay 	 Booked hotel Wife 's Birthday bring kid along interconnect room .. great stay have . the service moment work fantastic doorman polite professional , Reception Staff smile want smooth check - in . they congratule wife Birthday without even mention .. nice touch ! ! .We walk room receptionist room layout explain .. bag also arrive smile porter . their welcome card chocolate wife .... nice little touch .. bottle bubbly order wait chill ! ! .My kid find cookie room ! ! ... food great China Tang really nice dinner great menu lot choice vegeterian .. treatment room great relax staff really professional smiling .. stay many hotel around world really fussy great experience we ! ! ! .. would recommend hotel anyone . 
 Oct 3 2009 	 Fourth Stay -- -heavenly ! 	 ' m sorry reviewer unpleasant experience Dorchester . ' ve stay hotel 3 time year , one time 2005 . find hotel fabulous several reasons:1 . customer service attentive welcoming . time ( contrary perception critical review post website ) receive perceive second - rate treatment simply arrive taxi . doormen bellhop extraordinarily accommodate . perhaps guest prior review bit unhappy modest mode transportation , ' ve never perceive Dorchester staff concern . 2 . public area spacious beautiful -- replete amazing flower arrangement . room large ( small approximately 346 sq . ft ) . , website states , & quot ; inherently British & quot ; -- modern technology antique , plush furnishing . bathroom cover beautiful marble , bath tub large hot bath ready less two minute ! impressive bed -- heavenly bed ever sleep . sheet pillow feel like creamy butter . gift shop sell pillow -- tempt buy . ' ve read Dorchester bed consider luxurious London -- ' m believer . 3 . front desk staff consistently warm , friendly , professional attentive . matter look upon arrival follow 11 hour flight casual attire , staff always provide warm welcome make feel home . additionally , last visit , concierge spend one hour attempt track concert ticket number leave ticket home . fantastic.4 . dorchester often offer great week - end rate , breakfast include . overheard one guest state usually stay Hilton , stay Dorchester hotel offer competitive price . breakfast delicious indulgent , offer variety egg , cereal , meat , toast array warm , baked muffin . can not say enough wonderful experience Dorchester . reason , continue return . ' m return December ! 
