fantastic 	 stay 4 night thanksgiving . hotel absolutely fantastic- room super clean spacious everything high quality- bed really comfortable bed nice soft . bathroom also really nice- big complimentary toiletry great- neutrogena get replace every day . staff sensational- know answer question get place , good deal shop , stand parade etc . even flyer 3 different price option go traditional thanksgiving dinner . bugbear someone knock door attempt come room 9 am day leave ask check out- seem ridiculous hopefully change future guest . stay though without hesitation fantastic time . 
 Nov 23 2009 	 Great Hotel Great Location . definately Stay 	 stay Hilton Garden Inn Chelsea 5 night November absolutely brilliant . great central location attraction especially Madison Square Garden wife watch Metallica . five minute walk . as locate street Avenue fairly quite night . would liked stay hotel locate Avenue . far noisy . the hotel year old everthing pretty much brand new . 20th floor King Evolution City View Room Breakfast . could ask well . room well space everything need . bed amazing . our breakfast perfect everything need get start day . pay £ 130 per night breakfast book directly Hilton . there subway end street purchase metro card less $ 10 ride day . Penn Station locate Madison Square Garden train take straight Newark Airport $ 15 . take 20 - 30 minute . easy . make sure check ' Real New York Tours ' absolute must great sight seeing day New York . ask Luke . whenever come bak visit stay hotel hotel only . well do Hilton . 
 Nov 23 2009 	 nice perfect 	 Hilton Garden Inn Chelsea excellent review Tripadvisor one big reason choose . would describe hotel quite nice excellent.+ nice helpful staff+ clean new hotel+ nice view 23rd floor+ microwave fridge+ close metro stations+ large bed large room solo traveller - location ideal , need take metro go Statue Liberty Central Park . would prefer location next visit even though hotel ok . - daily cleaning do 4.30pm - bathroom sink break fix ( look elegant ) - check day cleaning personnel come ask 3 time leave ( first one 9am ) - hotel breakfast rather expensive quality good could be- promise gym open 24/7 actually open 6am every morning 
 Nov 9 2009 	 Great experience start finish 	 moment arrive early flight Chic get ny 9:30 - front desk staff wonderful marking start great experience . able accomodate way early check room could unpack , settle get ready 12:00 appt . front desk staff assist dinner reservation , special request helpful tip place go within walking distance . great location right heart FLower District easy access Madison Square , Penn Station , Meat Packing District , Chelsea - fun place explore not first trip NY - Pasti 's dinner great thank Natasha - car pickup arrgts get back airport prompt make perfect end quick wonderful trip . able save $ $ $ shop Whole Foods nearby - store food item refrig room - even microwave . room clean comforable - would definitly stay - 
 Nov 8 2009 	 love hotel 	 small hotel chelsea area nyc . little thing mean lot . air conditioner work well . room ideally plan big picture window nyc bulding nice bathroom counter elongate shower curtain . comfortable room . 6 room per floor . nice staff seem genuinely interested well . nice small bar breakfast area . small lobby mirror fountain two elevator . would definitely stay . hotel small enough help seem capable handling come way . good choice trip nyc . 
 Nov 8 2009 	 brilliant hotel superb location 	 wonderfully situate hotel , friendly staff , surprisingly large room tastefully decorate . within minute 's walk subway station safe night . 
 Nov 7 2009 	 Awesome ! ! ! ! ! ! good hotel New York ....... 	 great location Macy 's , Time Square Empire State Building - twenty minute walk hotel . would reccommend anyone would certainly stay . quite , great city view ( 23rd floor ) , exceptionally clean ! 
 Nov 1 2009 	 great stay ....... Great Location 	 stay 3 night attend concert MSG . room small clean . noise issue . front desk helpful . subway locate block . perfect location we , 1st time NYC . would definitely recommend hotel , would certainly stay without hesitation . can not wait go back ! ! ! ! 
 Oct 29 2009 	 Great Hotel ! 	 love hotel . locate 28th street think great far hustle bustle Times Square far enough away get away noise night . subway end street really handy . lovely cafe / deli 7th Ave great breakfast . room large huge bed nice sized bathroom . clean daily . hotel clean could not fault . one concern elevator . 2 sometimes long wait get one . ok 5th floor good be 20th floor . also gym computer facility well small shop bar / restaurant . 
 Oct 21 2009 	 small clean 	 Sydney Australia , stay 4 night October . family 4 2 dbl bed room . find small cramp luxurious big & amp ; affordable resort style hotel offer Vegas & amp ; Anaheim budget dictate keep price $ 200US per night pre purchase via internet week early . arrival walk Penn St bus station check 30mins early advertised time . hotel locate W 28th St walking distance Times Square ( approx 20mins ) . catch subway Wall St Statue Liberty ferry find station close hotel . good cafe & amp ; diner everywhere NY well find Bread Factory cafe locate 470 7th Ave ( 35th St ) . breakfast 4 around $ 35 really must try spaghetti dinner , good . mention early room small 4 people clean . bed crisp & amp ; clean pillow Hiltons comfortable . budget $ 100US per night something like Affinia Madison Sqr Garden would ideal location bit close Times Square etc . need work budget hotel meet requirement clean comfortable & amp ; safe night 's sleep . besides extra walk 28th St Times Sq allow see fabulous ny . 
 Oct 21 2009 	 small clean Comfortable Room Great Location 	 like : - location ( walk distance many attraction , 1/2 block subway , 1 - 2 block restaurant shop ) - room ( typical smallish NYC room microwave , fridge , hi def tv , coffee maker ) - cleanliness ( concern ) - bed ( comfortable ) - attentiveness staff front deskcould improve : - cost ( NYC ) - housekeeping 's attention detail ( forgot replace coffee tissue , front desk fix problem quickly ) - wireless internet ( free , weak connection occasionally get drop ) bit crowd two us room two queen bed luggage , not spend great deal time room . overall , recommend hotel . 
