good 	 enjoy stay excelsior , undergo renovation . offer upgrade renovate Jr Suite back hotel instead reservation regular King room face Museum . however , smell new furniture carpet problem spouse , ask move old room . people would happy renovated room , new tv , new furniture . unrenovated room nevertheless nice , spacious clean . although want view , end ' m happy not get . room back quiet , hardly street noise , sleep well comfortable bed . staff pleasant , nice breakfast buffet 2nd floor offer $ 12 per person , beautifully furnish room . the adjoining restaurant ( separate ownership ) nice bar lobby . the location excellent . lot taxi pass 81st west side 79th St roadway across Central Park . also subway downtown corner . a pleasant walk across Park Met Guggenheim , across street Natural History Museum Planetarium . many good neighborhood ( non touristy ) restaurant nearby . great shopping west Broadway ( , gear New Yorkers , tourist , plus ) .Prices excelsior seem reasonable comparison hotel close midtown . we would certainly go back . 
 shame well - locate hotel run - down dimly light grumpy staff boot . 	 stay four night Excelsior could ideal . endless wait crowd elevator ( one broken entire stay ) , whole $ 450 room single overhead light , door handle fall interior door , un - vacuumed hallway new carpet lay , unwelcome staff ( housekeeping except ) . place ripe full makeover ! 
 good marathon hotel - skip be town something else 	 like title say , run ING New York City Marathon pick hotel 2 reason : price 's proximity finish line . Disliking Times Square want stay . sure be close start line bus ( be assign one ) morning that s . move hotel : lobby small beautiful woodwork furniture outdate enough room sit . 2 couch 2 chair . room small clean well keep nice view . really like bathroom 's country charm . bed super comfy - important be run marathon- blanket cuddly . dislike : small light hallway peered door night : like sleep nightlight ! since door right next bed , hear other door open closing . overall , price , find well hotel NYC . ' m say 's terrible , ' m say be well . be run marathon , hotel ten block finish line appreciate get room relatively quickly chaos finish line . hotel price really climb marathon weekend appreciate 300 $ price tag . happy running ! see finish line ! ! 
 Nov 24 2009 	 great place great location 	 stay early October , great time year two young boy excelsior . review site amazingly accurate . decor bit date , room large . people nice . upgrade we suite , lack great view . honest , simply thankful upgrade . travel 7 4 year old , space welcome . convenience location fantastic , subway , coffee shop food walkable . 
 Nov 24 2009 	 short stay 	 staff helpful overly friendly . room large enough , situated room without good view , least nice big window ! room not mini bar fridge bit annoying want keep water cool heat . location great , central enough get anywhere city use subway walk lovely Central Park Natural History Museum . whatever not breakfast hotel , be rip find starbuck many cafe block away around Amsterdam Ave . 
 Nov 18 2009 	 great view location limit amenity 	 pro : lucke room great view - priceless NYC , especially excellent rate get room . note book on - line service Expedia - get available day check . meet basic requirement , eg one two guest , might get queen twin . staff polite helpful . room small great NYC ; clean comfortable picture wall . fantastic Upper West side location , stone 's throw Central Park , right top Natural History Musem . con : hot stuffy room smell heavily new paint - could not face shut window fresh air even fan full blast . probably could ' ve change not want risk lose awesome view . mini - bar . breakfast $ 12 complete total rip - off - one donut leave , bad cereal , dry bread machine coffee - not ! starbuck nearby plenty walkable breakfast spot . one curt unpleasant receptionist somewhat marred overall impression especially check - out . still , bottom line great hotel would definitely return . 
 Nov 17 2009 	 Bed Head central 	 front desk employee desperately need training gratiously greet guest provide pleasant costumer service stay . housekeeping staff valet complete opposite ..... helpful accommodating . room incredibly heavy bedroom odor ... ie ... bed head ! ! spray perfume pillow block odor . YUCK ! ! ask new pillow front desk abruptly tell could find extra closet . guess ... pillow closet pillow replacement provide inform front desk pillow closet . the bathtub half full water time finish shower . YUCK ! ! , hairdryer joke ! die minute ... suggest take ! hot room ridiculous ... November ! couple elevator we say think steam bath night satifation front desk remedy situation . head ! ! look lodge ! will not regret ! ! 
 Nov 14 2009 	 Great Location 	 stay 3 night enjoy stay . hotel beautiful staff friendly helpful . even though like stay , would recommend avioding room 304 . room spacious clean view block awning window . also window unit would helpful heat summer . bathroom clean amenity need however hot become unbearable shower . location perfect . across street Museum Natural History ( 3 minute walk ) , less 5 minute walk Central Park . starbuck around corner enjoy World Coffee morning . 10 minute away ton resturant Amsterdam Ave . choose . Time Square $ 10 cab ride Metro station end block . love neighborhood feel would stay .. 
 Nov 7 2009 	 great stay New York 	 much enjoy stay Excelsior Hotel . one block subway Central Park . location great two mile madness noise Times Square . hotel locate quiet area block away great restaurant usually dine local . also , block away Natural History Museum . upgrade Suite . nice probably close 500 square foot . room comfortable bed , nice furnishing . also kitchenette consist toaster oven , sink , microwave fridge . room clean update appropriately . staff friendly goal please guest . overall , would highly recommend hotel . simply put , ever go back New York , excelsior Hotel would first choice . 
 Oct 27 2009 	 one block Central Park three great bagel - could ask ? 	 pick hotel partly base positive review site , not lead astray ! hotel Upper West Side residential , leafy area ; nothing beat take early Sunday morning stroll Central Park see local walk dog , jog cycle round park . Zabar 's deli three block away , coffee shop attach . hotel nice - staff friendly helpful , room clean bed comfortable hotel bed ' ve ever sleep . yes , location bit main drag want nightlife , easily go downtown subway cab . great museum though . week Hallowe'en , great see stoop decorate pumpkin skull . one quibble - breakfast little limited , food serve bread product ( great range though - bagel , rye , doughnut , roll ) dry cereal ; piece fruit carton yoghurt would welcome ! 
 Oct 23 2009 	 okay room Great Location 	 room quaint old fashioned , clean tired small . arrive check tell reservation cancel . check computer , tell reservation still stand . married give room 2 single bed . tiny . bathroom even small amenity ( shampoo etc ) offer . when make reservation August , make clear want queen double bed . tell hotel fully book nothing could . happy stay 4 night , rate inexpensive , know , anniversary trip . check twice next day ( day anniversary ) able find we room double bed would move luggage . glad next room signficantly big . bathroom big toiletry . I not like shower / tub plastic curtain arrangement find fairly standard hotel stay America . the bellhop , Mark friendly , desk staff unhelpful and/or warm friendly . concierge particularly could not less interested help print boarding pass confirm airline departure time shuttle confirmation . seem annoyed interrupted newspaper reading . the hotel great location Upper West side nice clean place stay . literally 2 3 min walk nearest subway station , extremely convenient good thing hotel . 
 Oct 19 2009 	 good location okay service okay room 	 location good , center right next subway stop central park . opposite side busy shopping area . service hotel friendly okay . nothing special , bad either . room fairly small 2 bed could place close , care sort item . AC work , bathroom adequate . plenty restaurant area eat good food . 
 Oct 19 2009 	 SCAM rate ! beware ! ! ! 	 check online rate hotel 's website call hotel 's reservation line make booking . phone booking rate high rate website ask could offer we low rate reflect website , tell yes . specifically tell phone email confirmation send we would reflect high rate , need worry front desk would note tell honor low internet rate . check , tell would charge high rate either & quot ; take find another hotel & quot ; reservation manager DAISY general manager IVAN WEINER . even give name reservation agent speak ask verify represent we say go . choice stay since elderly couple travel want hassle trying find alternative hotel move luggage . incidentally rate website day check show low rate yet refuse honor . dismal , rude service . scam rate . beware ! ! 
