RCA 	 nice place stay Central London price .. 2 - 3 min walk Lanchaster Gate Tube Station .. 
 dirty . 	 Paddington Hotel & amp ; Royal Court Apts building . review also post Paddington Hotel Tripadvisor page : recommend anyone right mind stay hotel - period . even though conveniently locate tube park - 5 - 8 minute walk , hotel go major renovation hotel . renovate room . friend stay two night , want cancel reservation entirely would not allow . would charge we 1 night stay cancel reservation . stay 1 night , will charge two night - twist sale positioning . frustrate , stayed require 2 night cancel third night make completely new reservation somewhere else . hotel room disgusting , kitchen room . room dirty look like roach probably infest place . hotel staff welcome either . willing move we big room pay ridiculous rate , ask see first . horrified upgrade room . well room . save money , time worry whether hotel room turn okay book somewhere else . would not stay - would not recommend anyone unless clean act - staff & amp ; room quality . 
 Nov 22 2009 	 Value location 	 stay week . second stay hotel . hotel renovation working update room public area . 1 bedroom renovated room first floor street side . unit clean well furnished . furnishing IKEA , nicely decorate brown black . bed firm comfortable . pillow bit flat , bed 2 pillow . bathroom fully tile two large mirror , large tub handheld shower . wall thin - typical Europe , road traffic rush hour , add new window heavy drape cut noise , cold light . the lounge include fully equip small kitchen 2 burner stove , microwave fridge . table 2 chair , sofa large tv DIrect tv . staff helpful courteous . hotel 3 block Paddington , 1 block Hyde Park 1 block Lancaster Gate underground station . safe neighborhood . two market Paddington Station , many small restaurant area . suggestion - bring shopping bag two convenient shopping . deluxe , London location price right . return hotel . 
 Nov 8 2009 	 good location cheap 	 place bit old , good price , pay cheap price do not expect much , make seem good . everything room work , service every day , feel welcome clean . close station reasonably easy find . 
 Nov 6 2009 	 Fantastic Geat location reasonable price stay 	 apartment fabulous , Hilton , middle road holidayer would highly recommend . we book pay online prior arrival , upon arrival staff helpful , room studio apartment , ideal two we , reasonably high expectation Royal Court exceed all . it clean , everything work nicely decorate . great location , 3 min walk Tube 2 min bus stopnice public lounge areahelpful friendly staffwireless access lounge areakitchenette roomdownside ... front hotel , could hear road noise , ( pretty quiet road though , night problem ) even mid October , room quite warm . the room apartment fabulous , next trip London base here . very HIGHLY RECOMMENDED ! 
 Oct 30 2009 	 worth 	 hotel good location , room kitchen , nice . however , front desk staff rude unfriendly . wall incredibly thin ( common old building europe ) mean woken night people , , next we . pillow lumpy bed hard uncomfortable . would stay . 
 Oct 30 2009 	 Excellent value location 	 partner stay London March 09 week . spend age Trip advisor trying find good deal . I book Hotel 's website get apartment weekfor first time traveller , do not know expect . plane arrive 5 am catch train city , 5 min walk paddington station staff Front desk lovely give we room even though check time be not another 8 hour ! location good bit short walk main train station . take we 30 min walk buckinham palace there . the staff happy help we question always smile face - really put we ease get ! . room basic kitchenette save we alot money meal time . definatlely place budget minded would definately go back would recommend anyone . Tip - book , ask room back hotel ask renovate room 
 Oct 18 2009 	 not stay ask see room pay 	 Disgusting . first room try put filthy , size closet , ratty grease stain curtain , carpet linen . second room not well . desk clerk not care not understand repeatedly say want clean room . stupid pay full look room . renovate room , end stay extra 100 pound ( cut deal , would lot ) . even renovate room joke . cheaply furnish , leaky window could enjoy people smoke right outside , herd cow living never sleep . ready move another place not want waste half day 5 day trip . people meet stay Copthorne Tara , love , pay half much . good thing place location , right next Hyde Park , Paddington train station embankment tube . 
 Oct 18 2009 	 basic accomodation excellent location 	 location royal court appartment excellent sight seeing trip london , near tube station 5 - 10 minute walk away central line , train every couple minute . number bar restaurant 15 minute walk away , 1 stop tube day pass . the apartment pretty basic , clean enough staff really friendly helpful . look cheap place stay london place perfect ! 
 Oct 13 2009 	 good ...... 	 great stay however room service well day towel equipment change ask reception . also tell we safe inside room not find problem use safe reception ask receptionist open daily . otherwise great . 
 oct 8 2009 	 great family teenager 	 two - bedroom apartment great family ( mom , dad , 3 girl : 17 , 14 , 12 ) . kitchen everything need make breakfast after - theatre snack . room , small , large enough , give everyone opportunity privacy need . carpet bit worn , appliance date , not matter . daily housekeeping service , plenty towel , friendly front - desk staff , free internet access . well locate , safe neighborhood near restaurant , store , Paddington Station . 
 Oct 8 2009 	 smelly .. do not visit till refurbishment finish .. 	 arrival ask pay visit upfront ... go room see ! ! ! .. really nice foyer lounge area lull believe make good choice ... do not fool ... first floor place terrible .. smelly workman everywhere .. carpet cover paint ... should not open till refit ... would worry go easter 2010 .. warn .. ! ! ! ! 
