Ideal 	 stay two night late November . arrive early , room available able check ahead advertised time . room slightly small side perfectly adequate . breakfast choice limit reasonably expect price . locate close bayswater Tube Station . find location good base visit London . plenty resturant Tesco Metro nearby . 
 Perfect connection Heathrow Underground 	 overnight stopover connect flght leave Heathrow . easily locate Underground . clean , frill , window open , quiet tree fill square . adequate need bed shower - you not travel spend time sit hotel room . 
 Nov 17 2009 	 great hotel good location nice price 	 come back 5 day stay London Hotel , experience quite nice , staff really friendly , great location near Tube Bayswater , room clean fair price pay , recently renovate room good shape . staff helpfull friendly . would totally stay next visit London 
 Nov 14 2009 	 like shower not stay 	 wife stay hotel one night couple week ago . plus point hotel reasonably price London , clean fairly close tube station . however warn staff friendly . little / no water shower morning . staff unintereste even deny knowledge problem despite fact , en route report problem , bump three different people issue . overall would recommend hotel friend would stay . hoteli read review improvement , list make improve place stay . - soundproof reduce noise slam door ( big problem ) - hand towel bathroom - tune tv station correct preset 
 Nov 12 2009 	 cheap LONDON reason ! 	 book advanced double room reasonable price London hotel look forward visit rating site positive . however , would appear get great rate downfall . put describe box room bed alone ( small double would seem ) fit room much else . bathroom small narrow also . room away room 24hr reception 1st floor stair expect could easily hear go reception guest use stair . the building work previously mention start 8 am outside bedroom window lie never go happen angle grinder go off . the location great near Circle line Hyde Park take heed book hotel especially one advance ! ! 
 Nov 10 2009 	 great value 	 stay 3 night happy choice . frilll clean , comfy bed adequate bathroom . excellent location & amp ; would stay again . minor improvement would full length mirror room & amp ; hook towels etc bathroom . 
 Nov 5 2009 	 Super Hotel 	 come back stay 4 night London House Hotel Bayswater - pleasant stay ! hotel room ( newly renovate ) 2nd floor : - good size London wardrobe , fridge , kettle ( coffee & amp ; tea providedI , hair dryer safe . Room & amp ; bathroom clean daily every 2nd day new towel . - suprise bathroom . quite big - water hot straight away even midnight . check : arrive normal check - in time . problem choice wait ( ) could store luggage . payment do move room . check - out : - check 10.30 problem leave luggage luggage room . tell many suitcase get card amount suitcase . room lock a.m. card get key get room . suitcase lock afraid one take our . breakfast : 3 gbp expect lot . many place around full Engl Breakfast . location : Bayswater & amp ; Queensway Underground 3 6 min away . Perfect Bayswater 3 stop Marble Arch . walk along Hyde Park take we 20 min reach Oxford street . Notting Hill walk 15 min away . staff : - friendly helpful . ask blanket reservation get 3 min check . still renovate place work doesn´t start 8 o´clock ok we . def stay hotel ! ! ! ! ! 
 Oct 26 2009 	 Great Hotel great location ! ! 	 spend 4 night 2 teenage child & amp ; really nice hotel . hotel recently ( & amp ; still ) re - furbished & amp ; tastefully decorate modern furnishing & amp ; decor . our room plenty big enough 4 people heap storage & amp ; comfortable ( especially bed , great linen & amp ; duvet ! ! ) . bathroom spotlessly clean ( rest Hotel ) fantastic shower ! . breakfast basic fresh & amp ; tasty & amp ; breakfast room light & amp ; roomy . staff extremely friendly & amp ; helpful . nice lounge large tv & amp ; internet etc relax good long day sightseeing . could also use washing machine / dryer bonus . location great , easy walk Hyde Park , Harrods & amp ; many location . overall , London House exceed expectation & amp ; fantastic start holiday . 
 oct 9 2009 	 Small Noisy 	 spend 3 night hotel . room tiny bathroom barely large enough sit toilet without hit knee wall . construction & quot ; write fine print internet & quot ; . not think would bad 7:45am every day floor room shake loud . top , wall thin constant noise people room hallway keep night . try inquire room change , deal extremely rude hotel service desk clerk . hotel hostel fine exterior -- perhaps charge 20 pound night like hostel . be worth . 
 Oct 8 2009 	 great value 	 hotel , although small , clean everything wee need . less 2 block 2 tube station , bus stop , Royal Parks . front desk extremely helpful , even allow we use washing machine need emergency cleaning . I would definitely stay ! 
 Oct 1 2009 	 wonderful hotel great value money ! 	 ' ve return stay London House Hotel . fabulous . room clean , hardly noise , room right street . every day house keep service impeccible , make bed restock everything . staff really nice . first day soon get room come check everything ok , need anything . ask extra cup coffee provide immediately smile . last night also ask extra pillow . give we 2 1 bring straight room . perfect . well do . definately stayng ! 
 Sep 18 2009 	 good basic hotel ever 	 second time ' ve stay London House Hotel another excellent visit ( even well last year ) . not come look luxury . room small bare bone -- picture , basic furniture . clean comfortable . hotel locate short walk Bayswater Queensway tube station take anywhere London . street busy shopping , restaurant pub . hotel remain construction renovation , stay London sleep sit hotel room day ? really not issue . get room London House three night $ 85 night . good luck find well rate anywhere London . breakfast use free not good -- toast , dry cereal , cheese . charge 3 pound . well grab bite eat one nearby cafe . still , London House astounding value . clean , comfortable convenient . 
 Sep 1 2009 	 clean friendly value money . 	 stay hotel 3 day room 314 3rd floor - double room . pay 144 pound 2 night via Bookings.com impressed receive . arrive hour early 2 pm check - in give room straight away . room comfortable , clean quiet great view neighbouring park . staff friendly helpful . flat screen tv room well kettle tea coffee . room also small fridge keep drink snack . bathroom clean shower fully function - perhaps newly renovate . room key card entry security . complaint whatsoever . wary hotel guest considerate enough ensure door close quietly ! door spring hinge therefore care take , prone slamming . there luggage room safely store luggage day last day London . overall , impressed . especially 5 min walk away restaurant Underground train station . 
 Aug 24 2009 	 Amazing reasonably - price gem 	 familiar London Bayswater area hotel locate , get lose . encounter helpful folk London graciously help we find hotel . part hotel construction . prior check - in time , sit lounge waiting room ready could hear noise construction . luckily room far away noise . one newly renovate room . three we us bed . bathroom clean tiny ( think cute ) . unfortunately view not spectacular scaffolding outside due construction . though would without scaffold . service great . fact , check early set clock incorrectly actually hour early current time . check - in folk nice . arrange we cab service early next morning need take Eurostar Paris . hotel pretty close main road bayswater . be close lot restaurant store . manage decent dinner area well buy nice item . 
 Aug 14 2009 	 great value money 	 son stay twin room bathroom hotel 12 night problem smoke detector go room reason middle night last night . the room little small clean , newly renovate bed comfortable ; staff anything friendly helpful ; location great - close two tube station walk distance many attraction ; breakfast ( although every day ) plentiful nutritious good access internet . 
