perfect 	 hotel Strip 10min . car away MGM build Strip . side highway 15 . quiet spot relax dazzle razzle crazy Las Vegas . free shuttle bring strip take back hotel time agree frinedly driver . suite grand : living room , sleep room , bathroom fully equip kitchen . even washing machine . the hotel large swimming pool whirl pool . stay September , less 10 person pool late afternoon . much preferred colossal hotel strip hundred breakfeast swimming pool . 
 great except Internet connection 	 stay business trip month ago , base upon great review TripAdvisor . trip , poolside music go 3:00 accidentally , take front desk 20 minute get turn . room pool view music wake I . the next morning tell staff get early , prepare meeting due middle - of - the - night pool noise , refunded room charge night . the suite amazing . like new apartment . bring wife kid 11/23 - 11/25 complaint internet speed room slow time day , wire wireless , 2 different laptop . beside , everything perfect . breakfast , staff , pool / jacuzzi , . new Las Vegas home . 
 Nov 25 2009 	 great hotel strip 	 select hotel base review disappoint ! think stay strip , book hotel be glad not . hotel hourly shuttle MGM work great we . the room great , kitchen , big shower , king size bed . breakfast morning sufficient , save we spend money food , business center handy printing boarding pass , staff great , always helpful . would definitely stay come back Las Vegas . 
 Nov 22 2009 	 modern spacious comfortable accessible hotel - great value ! 	 stay last minute vacation . choose list Trip Advisor disappoint ! room far well would typically get Casino . clean , Modern , spacious . suite extremely clean good place stay entire trip . stay one night . wish could stayed long . would HIGHLY recommend . thing disappoint little really not concierege . want information show area , find little help . , staff great , food good , room awesome . spend extra 20 buck get high end suite include full kitchen washer , dryer , 2 bathroom , . shower small side . use modern flat screen tv 's comfortable living area . would nice desk , nice dining room table suffice . extremely good value ! 
 Nov 15 2009 	 superb every way 	 fantastic suite , good breaky , helpful staff . location behind strip , behind Mandalay . free mini - bus run every hour suit MGM back . use base wedding , can not rate high enough . yes could stay strip , get room price , be stick midst everything , time . place handy bit away , close airport , etc . free wifi aswell . 
 Nov 12 2009 	 Nice Hotel 	 Staybridge suit nice hotel price . room modern clean quiet toward road . problem upon check tell overbooke would put we elsewhere . proceed check people come we . upon call travel company suddenly able accomadate we . would recommend hotel spite problem 
 Nov 7 2009 	 gorgeous room fabulous staff - ideal location 	 sister stay Staybridge 3 night north american holiday . room absolutely beautiful huge . full kitchen laundry facility room , dining area , tv area ( huge couch ) , large bedroom , 2 bathroom area ( one large bath , another toilet shower ) . staff friendly extremely helpful . checkout day nearly miss flight , go way get us airport quickly complimentary shuttle . however , feel convenient place stay order explore strip . shuttle run hotel strip , run every hour , final bus come back Vegas around 10 pm . not make lot sense we consider Vegas city people would want explore night . get back hotel late night difficult taxi driver seem hear hotel . we also find little hot water room , quite frustrating want unwind nice shower bath long day . I would recommend hotel want somewhere luxuriously large stay Vegas away strip , not plan Vegas 10 pm . however , would recommend stay somewhere strip plan later - would lot easy . 
 Nov 7 2009 	 simply good place stay Las Vegas 	 wife stay Staybridge 2 night depart motorcycle road trip around Grand Canyon , return third night fly back thr uk.the room large spotlessly clean , fridge , sink , full size dish washer , coffee machine , bed size planet really good bathroom . lovely swimming pool , unfortunately not get use . free hourly shuttle MGM Grand return MGM 15 minute past hour , last shuttle 22:15 might restrict people , taxi $ 15 , find taxi driver know Staybridge ! staff helpful , able leave large suitcase hotel road trip.24 hour convenience shop stock essential . aboslutely make trip . 
 Nov 4 2009 	 Best Hotel Vegas 	 second trip Las Vegas , read review book Staybridge ! review correct . the suite fantastic . all staff helpful enough help . a free bus leave every hour drop strip , enough bright light , give hotel ring bus come pick up . remember book Staybridge suit price room , even take back airport . 
 Oct 30 2009 	 exceed expectation . 	 hotel great review disappoint . though forget exactly amenity offer , happily surprised walk room . lobby beautiful , see hotel great lobby area old , boring room disrepair . daughter wedding , 12 people wed reception room : ) full kitchen regular sized oven , stainless steel dishwasher full sized fridge . microwave , toaster , coffemaker , dish , pot , pan , dishsoap , paper towel , salt , pepper , micropopcorn , coffee , much mention . closet stackable washer / dryer , nice dining table 4 , large sofa one side lie ? can not remember call . Balcony table two chair . nice large picture window living room area , coffee table , large flat screen t.v . wall unit . bedroom king bed , ton pillow . little placard say feather pillow closet preference . bedroom door balcony well . two nightstand , dresser another flat screen t.v . clothe closet bedroom . iron board iron . bathroom : nice large tub / shower granite type tile floor . beautiful vanity area 2 sink mirror . nice lighting , flourescent . large bathroom , could access main living area bedroom . never room freshly paint modernly decorate every room . service : front desk employee excellent , ; patient , cheerful , helpful . help we direction , etc . see sign desk mention free shuttle MGM Grand regularly back Staybridge . pool area : never crowd . nice pool two jacuzzi 's surround palm tree . many chaise lounge , thick cushion , 2 3 cabana type mattress roof . BBQ grill , outdoor table drink breakfast . free BREAKFAST ! ! bacon , sausage , scramble egg , omelet ( egg type change two day ) yogurt , bread , several type fruit , juice , coffee , milk . anything could not eat ( ate room ) put fridge snack later . convenience type store right hotel . buy couple micromeal . cheap regular grocery , convenient . this easy find , mapquest bring we right . close strip , close airport . glad spend twice much stay Strip ! since close airport plane take quite often , hear other attend wedding , much quieter hotel music play loudly time . everyone come room jealous , could believe price less $ 130.00 per night . say would stay Staybridge ever come back Las Vegas . I believe exercise room , check amenity . awesome hotel , terrific value ! ! ! 
 Oct 30 2009 	 Top Quality - Incredible Value - Oasis Tranquility 	 place excellent - suites huge , modern , well design spotlessly clean . stay lot 4 5 star hotel around world , . service excellent staff friendly helpful . room face towards highway strip , bother noise all . the slight downside strip . get shuttle strip take 20 - 25 minute , include wait . not know get level quality strip though ( maybe Bellagio ) , certainly will not get quiet lobby staff remember . also price excellent - think pay 100 dollar per night . 
 Oct 29 2009 	 absolutely brilliant staff 	 Sydney Australia . stay 3 night October . initially go book hotel strip research trip advisor find one . hotel 5min drive strip & amp ; free shuttle every hour . great leave noise & amp ; crowd behind night go back hotel relax quiet night 's sleep . strip suit single couple want party night . hotel staff brilliant allow early check great suite view directly overlook strip . king bed huge queen sofa 2 teenage boy . room feature kitchen & amp ; washer / dryer great catch laundry load 4 people . breakfast complimentary & amp ; selection good . pool , business centre & amp ; gym use . parking free . shop good Las Vegas Premium Outlet ( north end strip ) . not forget register Chelsea Premium outlet website discount coupon . late flight last day & amp ; staff lock lugggage secure room day allow we lot freedom sightseeing ( drive Hoover Dam approx 60mins ) . hotel like business / corporate / resort facility yet make every family member feel home . absolutely brilliant staff & amp ; facility . stay future . 
 Oct 27 2009 	 place GORGEOUS 	 good trip Las Vegas ever . one bedroom suite huge ... staff awesome ! 
 Oct 24 2009 	 nice place stay entertain strip 	 reserve suite room 4 night . not available first night , give $ 20 credit , put we studio room . bit pain move stuff midday suite room next 3 night . part reason trip visit friend move area . nice able use gas bbq pool grill , cook oven . a / c mini fridge studio keep cycling night , not sleep well . next night , turn a / c get room night , go bed , would not cycle night . sleep much well , even bit warm . place setting 4 , able get additional plate chair breakfast room . never see combo washer / dryer ( one unit ) , figure use dryer get wrinkle clothe . wonder US manufacturer ever option ? ( akso ) would nice move clothe washer dryer : - ) 
