great 	 good location step euston station . fall pretty much endless .. starter staff rude unfriendly , heating work room absolutely freezing , tv work even though 15minute policy get problem solve time stay free .. even 3days several complaint tv never fix hey guess not get stay free . clean staff must say friendly helpful walk room willy nilly even knock .. catch towel twice . stay Ibis UK must say ibis worst ever . 
 Perfect location 	 book online get rate £ 63 night double room , room . less 50 metre Euston . room adequate short stay spotlessly clean . staff helpful . difficult ot fault , hot night air con sure summer . 
 excellent value money london 	 stay total 5 night break 3 set stay . since 5 us-2 adult 3 kid , take 2 double room . book everything online take fully prepaid option rate quite cheap day . room clean , comfortable , nice shower get pay . Centraly locate - near Euston Euston St Pancras station brlliant get around London . lot nice eatery around hotel breakfast good value money especially prepay . kid breakfast free good . interconnect room somehow trouble allocate we despite repeat request . finally inadvertently put set one night persuade open connect door . room modern other . last night think problem plumbing / sewage one room water would not go . front desk littls shortstaffe always long queue buildup checkin checkout even enquiry . but would consider major get room thing fine hotel promise do - give good value comfortable accommodation Central London book online get good rate - I even get couple night 60 + pound per night per room consider steal London ! 
 Nov 21 2009 	 great location good room nice food 	 stay short break London location perfect get around London right opposite tube . room quite small unsurprise give central location perfectly suitable clean . pleasantly surprised city noise night bed comfy . the bar nice little area sit feel imtimate modern be not busy evening . breakfast restaurant really tasty plenty choice ( contential cooked ) .The staff friendly , check quick easy really could not ask ! 
 Nov 21 2009 	 worth money .... 	 Hotel require full payment stay , incur extra charge must charge card multiple time guess . hotel internet advertise Soho ... ... 10 pound cab ride there . hotel even offer free Wifi . must pay wired internet service . cleaning staff walk towel morning shower hour checkout time . staff rather rude .... management appologize they . air conditioner seem work well ... room hot window wire open crack ventilation poor also . 
 Nov 5 2009 	 simply well 	 adore sataye Ibis euston . cleanliness , staff , location , evethe quit good . next time go London , stay , doubt ! 
 Nov 2 2009 	 frill value money 	 Location excellent come Euston spending day Bloomsbury Covent Garden easy walking distance . ibis basic clean . frill would want spend time hotel somewhere rest head take shower spot . advance book price least £ 40 well turn - up - and - pay rate . 
 Oct 26 2009 	 many problem 	 stay overnight near Euston Station . undoubtedly , location hotel superb , next station near eat place . 's two redeem feature . the airconditioning work . cold temperatute adjustment work . toilet difficult flush . next morning , could flush . problem allow exist report issue check - out . on check , wait 20 min . service poor . one hapless receptionist attend backup . there also lot noise come corridor well night . my opinion hotel lead whole chain belong . formally complain apologised . 
 Oct 25 2009 	 perfect location opp . tube 	 basic room clean . perfect location . simply comfortable 
 Oct 20 2009 	 need busy weekend stay 	 location value Ibis London Euston hard beat . stay total 3 time last 3 year make annual event . hotel right beside Euston rail / underground make ideal arrival departure also get around London underground . ok height luxury comfortable clean spend time anyway tick box good value city break . imagine would also ideal business trip location . bed comfortable despite several review contrary , fact tea / coffee make facility also soap shower gel ( dispenser wall ) provide . item provide hairdryer usually bring anyway regardless stay . only drawback need ask extra towel bath towel provide seemingly constant lengthy queue reception . 
 Oct 20 2009 	 pretty basic good value 	 stay 1 night business trip meeting nearby early follow morning . pleased get room £ 88 , cheapest ' ve manage get yet London great location right outside Euston station , 1 minute 's walk Tottenham Court Road 5 min walk British Library Kings Cross station . room good size pretty basic although adequate 1 2 night stay . like tv good size directly front bed , bed pretty firm . bathroom reasonable size room fairly clean . room hot open window cool down . there not much noise window shut pleasantly surprised general lack noise hotel , particularly hotel labyrinth corridor room . my complaint reception staff . wait 15 minute try check ( arrive 9.30am ) due slow receptionist , tell could not check 12 pm early . would day meeting want freshen ( long train journey ) drop suitcase . thinking must one room someone not sleep night , politely ask could check , abruptly tell way could store suitcase office . find rather inflexible many hotel London allow check early . 12 pm far late anyway guess catering tourist business people . anyway , warn , tolerance early check - in request ! reception staff also pretty miserable take age basic task . thank goodness express checkout put key card box ( pre - pay room ) .All good stay price , although colleague pay £ 115 room . be look something bit upmarket , try sister hotel road , Novotel Euston Road . cost £ 130 per night well quality . would say fine be go spend long time room . 
 Oct 8 2009 	 ok - bed comfortable ! 	 ok hotel - ideal Euston Station Underground ! food breakfast evening meal nothing special ok.service slow ! room 3rd floor clean tidy warm although view central core/ yard hotel - could open window get air ! 
 Sep 29 2009 	 quite basic hotel though comfortable 	 stay four night Ibis . it basic hotel , room facility ie coffee tea making , iron , though room another part hotel go clothe iron . hotel 10 15 minute walk king cross station 5 minute Euston Station . good location , though night homeless people drunk little intimidate time . live big city sort thing bother normally , guess somewhere strange perhaps make little wary . we choose hotel 's price location . travel luggage Newcastle Kings Cross want far station make easy get luggage . also price within budget time booking . reflection , would perhaps spend little choose little upmarket offering . but want frill straight forward comfort can not go wrong hotel . 
 Sep 25 2009 	 Perfect Location Clean Hotel Fair Price Bad Service Basic Facilities 	 Location perfect since Tube station many line 20 meter hotel ! hotel clean room lobby etc . price good comparison hotel . personnel enough hotel also slow , service bad since wait lot many time . friendly . room facility limit ( e.g . hairdryer ! ) 
 Sep 22 2009 	 great hotel price complaint 	 stay niece nephew ( 9 12 ) one night , fast track sight see tour london go back school treat . bit concern due review especially we arrive 9 pm plus kid make sure guareenteed room securre credit card true give room not arrive 6 pm unless securre card . right next euston great quick snack could easily pop station plenty place eat breakfast euston . hotel great clean friendly welcoming room v light clean put extra bed room still big bathroom shower fine we v clean . bar area reception v big buffet style restuarant not go either people use . find near euston near tube take we anywhere euston square tube also 5 min walk away . plus euston bus station would useful people . would never dismiss ibis hotel future . far far far well travel lodge stay . even though say frill not feel like 
 Sep 20 2009 	 Basic accomadation Central London well alternative price range 	 since last stay increase breakfast selection include cook food . 's busy transit hotel , unfortunately colleague ask room service three time , still sleep unmade bed , towel never change . not apologise , never receive reduction , without permission signature bill credit card full amount . 
 Sep 3 2009 	 frill close tube decent value 	 fiance stay hotel July 2009 London wedding . room small basic , clean practical , small closet clothe decent TV . bathroom small manageable , air conditioning , not much problem we , summer mild . could hear neighbor hallway pretty clearly , not linger room much . be pretty far big & quot ; attraction & quot ; downtown , take convenient Euston Station tube train almost everywhere go - downtown city Wales end stay . arrive couple hour check - in , drop bag , come back know rush would . able check immediately . lobby get crazy around check - in / check - out hour , avoid fine . one handy amenity phone lobby use book private cab . use service twice get across town . also computer lobby pay use , take advantage . computer never busy . definitely budget hotel , price good London fantastic , get close enough downtown London ( via tube ) without break bank . 
 Aug 31 2009 	 need central tube can not go wrong ! 	 stay boyfriend sister end May . get great value Hotels webp age pay advance . room clean , everything need Tourist Class Hotel . you literally 2 minute tube , couple bar Restaurants nearby street . quiet location safe could see . fault Hotel would recommend anyone want something central , clean comfortable . check webpage see good deal get advance . would definately stay . 
 Aug 21 2009 	 Basic . need aircon ! 	 move Ibis London Euston St Pancras terrible stay another hotel locally . check specifically ask air conditioning tell . expect able & quot ; turn cold & quot ; find small dial beside bed thermostat seem little . the room basic clean . fine night early train , arrive late train perhaps . Euston close station - not deceive St Pancras tag , 5 - 10 minute walk king Cross St Pancras bag . the wall seem paper thin , light sleeper like ear plugs require . seem lot young family accompany noise kid , noise hear ' through wall ' ! bathroom clean basic . tv channel offer big disappointment - BBC1 , 2 , ITV1 , Ch4 , five , along Sky News ' international ' channel , expect least free - to - air digital channel ! , & quot ; true Movies & quot ; churn vile tv movie vile tv movie ! oh ! make sure bring toiletry & quot ; available request & quot ; reception , fact , never available request - 3 day stay . 
 Aug 11 2009 	 great location good value 	 really enjoy stay Ibis Euston . close major station , great arive Heathrow LONG haul flight take tube .. finally reach destination , great step away hotel quick check - in ( luck ? ) .The lobby good atmosphere . miss free internet business center , pay £ 1 20min web browsing . staff friendly ( one exception , do not recall name , tall male ) . room typical ibis room , , less . two thumb complimentary coffee tea room . ( miss safe box ) . complaint would foul stench sometimes would rise bathroom drain , also fire alarm ring reason almost scare death ( wonder happen middle night ! ! ) breakfast great also good value money , although choose sometimes one many place find Euston station .. overall , recommend hotel mainly excellent location , offer good room rest day sightseeing ! 
 Aug 8 2009 	 clean comfortable pleasant stay 	 stay hotel 3 colleaugue work take sightsthe room bright clean spacious .bathroom shower bath .room clean every day , staff pleasant helpful , though sometimes trouble understanding say , speak english fine understanding oher bite tricky patience get there . the location excellant travel close Euston station . 
 Jul 19 2009 	 cancel book well offer come along 	 book Expotel stay Ibis London Euston print confirmation show guarantee late arrival . arrive check 9 pm , tell cancel book hotel fully book . instead , offer room another Ibis Hotel Earls Court ( decline ) . complain , say policy cancel booking 6 pm guest arrive . staff unhelpful could not stop smirk difficulty find . say problem . take hour locate another hotel room London busy night . unless like cast street London late night , fancy reservation transfer another Ibis Hotel less desirable location , would seriously suggest look elsewhere bed night . 
 Jul 18 2009 	 literally ... nightmare ! 	 long queue check - in . luggage store room leave unlocked . foul , sewerage smell one bedroom ( 375 ) , blood stain carpet ( 367 ) . room need thoroughly clean , especially floor . female traveller , room alone , hotel feel safe- 1 am , bed awaken man enter room keycard . shock stay room argue , despite shout leave . leave scared anything minute . get dress go ' reception ' , feel incident take seriously . talk staff member walk away serve seemingly drunk man request . come back patronise , say admin error key . put hand move away , find intimidate . return room keycard long work go back downstairs alone get work . obviously sleep , even though live large city work difficult adolescent use difficult situation . 
 Jul 17 2009 	 Good Stay 	 stay hotel July 2009 would recommend traveller need easy access national rail London underground station . room basic clean tidy staff friendly helpful . restaurant ' huge selection food well prepare tasty . I stay 1 night defiantly stay . 
 Jul 16 2009 	 Nice hotel nice staff good location ... 	 stay hotel friend week end , come Paris easy access hotel close king 's cross station . arrive hotel big queue friendly french woman lobby ask we want join free loyalty card ( ) , check quick staff reception friendly well . the room clean spacious even tea coffee room . later go bar staff nice one speak french well ! ! ! not queue morning use express check ( pay internet arrival ) .I would defenitly recommand hotel friend come back ! ! ! ! ! 
 Jul 15 2009 	 friendly staff clean 	 staff great , language barrier people skill excel beyond would normally expect extremely busy hotel . room crisp , clean actually & quot ; say tin & quot ; enjoy climate control . food quite varied . fillet steak last night , cook perfection . may buffet tonight , ' m sure ..... much choice ! ! ! ! ! ! ! do not want stay anywhere else do not think local 5 star could live customer satisfaction ................................................. Perkins - Construction Project Manager , Stratford upon Avon 
 Jul 15 2009 	 Perfect location friendly staff 	 arrive hotel friend spend week end london , check efficient quick . room expetcte budget hotell , clean confortable importantly sound proof next euston station . go shopping spree ondon come back find warm welcome restaurant bar . check , bit queue staff quick make easy check . make extra mile possibility leave luggage luggae room day know untill receptionnist give we option . could recommend hotel perfect location , professionalisme cleanliness . 
 Jul 14 2009 	 friendly hotel probably friendly Ibis hotel stay . 	 use Ibis Euston many occasion many year always find friendly welcome . bar staff restaurant staff go way helpful make welcome . the room good size , importantly , good sized work space natural light . location excellent within 50 yard Euston Stations access mainline rail service underground network . definitely recomment hotel visitor London . 
 Jul 14 2009 	 good experience . look forward go back ! ! ! 	 stay Ibis London Euston Hotel last week partner 4 day , could not expect well stay ! ! ! really helpful polite staff , receptionist , barman waiter , friendly , smile well bi - linguale helpful french partner italian . moreover , room basic clean , opinion , one important thing hotel . also , ' ve quiet surprised find experience barman could suggest we nice cocktail aperitif . location great arrive Eurostar train S. Pancras Station litteraly next door hotel not struggle transport arrival . I definitely go back well recommend friend family ! ! ! 
 Jul 12 2009 	 Big Disappointment 	 ' ve stay Ibis Euston 1987 , year build . 10 back memory cleanliness spacious room . plan summer 's trip London , Ibis one choice trust suitable base previous experience . terribly disappoint stay 10 day , record break temperature . Accor Hotels website list & quot ; climate control & quot ; first thing notice AC controller break , ask reception inform we hotel air condition ! demand solution room stuffy hot , solution electric fan bring room . second toilet will not flush well , keep flush three four time order clean . soap also scarce bathroom , liquid soap shower half fill , one small soap provide sink . one trash bin available room , one bathroom . tissue paper provide room save toilet paper bathroom . carpet floor never vacuum , housekeeping & quot ; clean & quot ; room , often find replace original towel filthy one . happen sprained ankle trip put ice least twice day ; staff bar sympathize helpful , one rude put three ice cube ask we go buy outside ! ! ! ( give fridge minibar room ) hotel reception kind brochure instruct tourist consult hotel reception concierge . concierge resort reception , every time ask information not either instruct telephone number brochure go information office ! even upon leave need order airport transport service late online instruct , ask reception desk guy tell yes late order one online ... duh ! ask alternative tell call cab , ask arrange roomy one us since four traveler four piece luggage , ask self . finally check find bill overprice , ask receptionist tell order WiFi package four time , include bill . inform two pre - pay two one suppose appear bill , realize true rectified mistake , make wonder , pay attention , not suppose mark previous payment way make customer pay not know well . funny thing audacity ask whether enjoyed stay hotel ! wrap not feel ' m get value money , good thing hotel location , really not live description Accor hotel website . keep away . 
 Jul 8 2009 	 good review ! 	 stay one night - part business meeting / part leisure . mid - week , rate £ 138.90 inc buffet breakfast think get cheap weekend . check - in slow ( can not understand take long ! ) room / facility ok basic . bed extremely uncomfortable ( like slab thin concrete give husband bad back ) toiletry facility basic - bar soap size 2 postage stamp . the one major gripe hotel ( probably man short hair seem issue ! ) not hairdryer room ! ask reception tell not enough hairdryer one . , could not wash hair next day could not dry . several people ask thing reception next day could see lot woman wet hair buffet breakfast ! know seem petty hotel inform booking could brought hairdryer . not add enjoyment stay able wash properly next day - 21st Century , much ask really . even basic B & amp ; bs provide facility . could tell hotel staff feed answer query . on plus side - get cheap weekend rate - 's good base want stay expensive touristy area plenty indian restaurant nice pub nearby . I definitely would not stay Ibis - also not help getting wake 7 am short fire alarm ! 
 Jun 23 2009 	 good choice 	 book Ibis month advance get good deal . pay advance . ideal we take Eurostar France early morning would able walk Euston / San Pancras station . able walk Madame Tussade 's get Hop - on Hop - Off bus , walk British Museum surprise 5 minute British Library . us ideal place . breakfast everymorne train station will find restaurant around area lunch dinner . not anything special . 
