wonderful 	 need stay somewhere Jubilee Line watch Tennis O2 . hotel round corner London Bridge Mainline Tube , across road Borough Market .... quiet ! reasonably sized room ... massive , well appoint everything need . staff great . stay , train Gatwick London Bridge . 
 simply good 	 Location hotel , décor quality food highly commend , however truly make stay special service give we Hotel ' wonderful staff . staff unobtrusive yet time manage always available cater every need friendly helpful way . staff London Bridge Hotel credit management owner Hotel family grateful time effort give look we stay . special service play large part make stay London memorable . many thank . 
 friendly helpful staff hotel 	 Excellent location 4 stop tube O2 . smallish well furnish room good storage flat screen tv . friendly helpful staff every dept . reception provide warm welcome . breakfast buffet good plenty choice . good London experience long time . 
 clean comfortable affordable 	 book three room four night August London Bridge hotel . two twinbedde room one double room clean comfortable . get excellent deal six people four night hotelsclick.com . the hotel situate Southbank close Southwark Cathedral lot nice restaurant bar . sure visit Borough market one morning . 's lot fresh gorgeous produce . Restaurant Vinopolis definitely worth visit real treat go Oxo Tower restaurant . view city amazing . underground around corner hotel , nice day 's pleasant walk along Thames side river . founder arm pub along river nice place stop drink . all , want see different side London ( instead W1 ) London Bridge hotel absolutely worth stay ! 
 Nov 19 2009 	 winner ! 	 second ( 10 day ) stay two year LBH . choose truly satisfied first time , LBH super location - want similar quality close central London , would pay much . small room still plenty space excessive shopping , small bathroom tub , nice toiletry White Company ( great quality - not bring shampoo ) . clean room , complimentary bottled water various magazine . free daily paper reception . great breakfast plenty choose ( though , come Denmark , would wish serve fresh bread instead warm frozen , different fresh cheese ) , warm selection tasty - sausage particular excellent ! staff friendly , especially reception / concierge helpful . breakfast staff seem bit un - experienced , overall , minor flaw . great location South Bank , easy access part London Kent train , tube bus . some noise renovate area Olympics 2012 ( www.shardlondonbridge.com ) be use live city , problem . many choice eat area - 3 restaurant hotel alone , many across street behind Borough Market . go station sandwich , cake magazine . will definitely back ! 
 Nov 19 2009 	 Excellent Value 	 stay 13th November . hotel staff service much high standard expect . room modern clean far well Hotels supposedly standard stay London many visit . Buffet Breakfast , cover full english Continental taste service provide wait staff leave nothing desire . stay Hotel next visit , provide vacancy . 
 Nov 19 2009 	 everything hotel excellent . 	 first time stay London Bridge Hotel certainly will not last ! ! staff friendly helpful nothing much trouble . lot information attraction available tube station around corner . the room lovely although little small side adequate . breakfast lovely Georgetown Restaurant absolutely excellent , have'nt taste food good , origin - style malaysian side . appeal traditional restaurant also pub / bar serve bar meal every taste cater for . we celebrate 40th wedding anniversary room upgrade courtesy hotel . the hotel rate four star certainly live not expect pay 3 star price . say , price acceptable hotel standard . I would recommend hotel anyone - overall excellence . 
 Nov 15 2009 	 enjoy stay . 	 recently return 3 night stay London Bridge Hotel , experience good one . check smooth , room clean tidy . breakfast good , plenty choice good attentive service , morning newspaper . Didnt try hotel evening dining option can not comment those . over would stay problem . 
 Nov 13 2009 	 Superb hotel ! 	 great stay ! hotel 1 minute walk London Bridge Station , easy find ! bathroom good , also plenty hot water shower . minibar good , flat screen tv room good hotel - tv ' ve ever , good signal lot tv channel . the price good 4 - star hotel ! really recommend place ! good hotel ' ve stay far London . 
 Nov 9 2009 	 great location terrifice staff 	 stay London Bridge Hotel excellent . good value ( London ) although & quot ; side river & quot ; proximity tube train station make . staff excellent Conceirge go way help we . the room clean , quiet comfortable . average breakfast . tire 5 daya . 
 Nov 7 2009 	 great value good location 	 stay twice need stay South London . ( London bridge Gatwick train cheap almost easy Gatwick express ) hotel everything need short stay- safe , iron board etc £ 100 per night reasonable London . cooked breakfast include rate hot fresh . staff helpful friendly . business long stay room little small everything clean comfortable . major building work go nearby might problem like sleep late woulld definitely stay 
 Nov 3 2009 	 Excellent hotel round 	 Stayed London Bridge hotel 2 night half term recently wife two young child . could fault service , room location . staff friendly helpful , particularly concierge advise good way get attraction . breakfast expensive face £ 14.95 per head give voucher discount £ 9.95 child free . excellent selection hot cold food . not quiet location problem night due good secondary glaze window . rear hotel quieter front . double deluxe room spacious 4 we bed comfortable . very good location sightseeing , 2 min London Bridge underground overground station . use rv1 bus time run along SouthBank Waterloo Covent Garden . would recommend definitely stay . first class hotel . 
 Oct 30 2009 	 good location O2 	 find hotel want , close train station four stop O2 .The romms clean comfortable breakfast good standard . 
 Oct 30 2009 	 Spot ! ! 	 LOT research booking trip London finally decide London Bridge Hotel . quite expensive well worth ! ! ! room ( executive king ) fab ! nice size , clean . bed comfy . 3 course dinner delicious - fruit platter desert amazing ! ! breakfast good- good choice . staff friendly helpful . location great- minute taxi Waterloo . would DEFINITELY stay again- fully intend ! ! 
