recommend 	 Hotel really suck ... outside look nice close Times Square , however , hotel deserve 4 star . its old Hotel Hotel Lobby nice , room really bad small .... mother split queen size bed , say do not double bed even King bed receive complimentary upgrade Queen Size Bed anyways .... usually give full size ... even 2 people ... find Kingsize Beds give we ... anyways , room really small dark ... room do not window etc ... get nice room , might ok ... standard Hotel 4 star ! ! 
 Nov 21 2009 	 Algonquin Hotel ooze charm elegance . 	 first trip NY .... hotel central , make life easy we . the Staff helpful courteous . we back ! 
 Nov 21 2009 	 Algonquin live expectation 	 long want stay Algonquin due history . stay one night weekend trip city couple Broadway show . hotel imagine . quite proud literary history Round Table group , show detail gorgeous lobby / restaurant New Yorker cartoon wallpaper corridor room . though reservation book via deeply discount website small room type , upgrade large room bay window two bed . bellman show we room pleasant obviously proud hotel . room decor absolutely lovely place spotlessly clean . location absolutely perfect definitely make hotel choice reasonable rate available - hard find NYC . 
 Nov 11 2009 	 Fabulous New York Hotel 	 stay 5th November 9th November shopping / site see Bruce Springsteen concert MSG . ny - stay truely memorable . amazingly comfortable friendly hotel . bed - comfortable - bliss - mention review . lovely hot shower . relax room space . NYC noisey , expect - - always travel ear plug , hey , spoil sleep time always need . would readily book Algonquin another visit NYC . 
 Nov 9 2009 	 Algonquin Hotel FANTASTIC ! 	 read review trip ; must say little nervous . well , hotel exceed expectation ! historic elegance charm absolutely wonderful . Matida ( resident cat ) greet we upon arrival ( cute , fluffy little attitude - fine . arrive regular check - in time ( 12:00 noon ) , suite ready . little disappointed wanted get settle start day . conceriage check luggage leave awhile room ready . front desk staff accommodate courteous . suite actually well anticipate ( give photo comment size room ) . suite living room pull queen size bed adjoining bedroom King size bed nice size washroom , walk closet , bathrobe , etc . etc . adjoining room twin room small , adequate . decor combination old retro , chic various book read pleasure funky print wall ( yes , may spec wall paper peel grout discolouration cleaniness really matter - maid service excellent , room keep well equip . room rate fairly good , give location ; yes drink food little pricey ( excellent ! ) . let remind .... New York City . the bartender amazing highly recommend Lemondrop Martini ( make fresh lemon juice - simply divine ) . 10++ definitely return Algonquin . 
 Nov 9 2009 	 would recommend place anyone 	 teenage daughter go long weekend trip NYC stay Algonquin . hear historic quaint . room / bathroom spotlessly clean , small , however room much , concierge , Daniel , helpful recommend nice restaurant dinner , ( pricey ) give direction shopping spot . Matilda cat ever present , make place even special . stay top floor face back , quiet evening . around , wonderful hotel . 
 Nov 5 2009 	 Great Hotel -- Great Find 	 stay Algonquin 4 day October 2009 . think hotel charming , reasonably price NYC , receive excellent customer service . bed , bed pillow perfect ! sleep like baby . think room quiet small , unusually small NYC . perfectly acceptable . location perfect . doorman polite helpful get we taxi . person carry bag extremely charming recommend signature martini bar . naive not realize expensive would -- $ 17 ! unless martini connoisseur something , warn ! not sure normal price NYC -- see price $ 14 elsewhere . eat , instead place directly next door always pack reasonably price good food . problem air conditioner check , within minute call , man come repair trouble . would definitely stay . hard find perfect place let us face , hotel NYC expensive . keeper . location perfect , service perfect , bed perfect , iron , blowdriver , Bath & amp ; bodywork bath product , great towel , quiet room , great staff ....... cat , kind place . 
 Nov 2 2009 	 great service great location unexpected extra ! 	 get back another stay Algonquin NYC , favorite hotel . never think haunted treasure ' story history . however ride elevator stay woman ( bit freaky ghost ) ask we " feel anything side hotel ? " first think earthquake ? laughingly say " round table ' haunt place . ' exactly happy bunch here – would hang around ? " remember previous stay elevator hear song head " ' Mood Love " jokingly ask aloud singing ? husband fellow passenger ' think ? ' respond negatively nut secretly enjoy communication somewhere ? ? back recent stay . lobby wait elevator , door open woman luggage exasperate . ask " get ? " respond little whimper voice " ' try get floor , 9th floor ' stop ! " laugh confidently enter elevator , make joke really haunt since regular ' ride floor see safely ! meanwhile , stop every floor – open one close – creepy , finally get 9th floor return 5th floor safely . that night sleep comfy hotel bed awaken hear noise similar move furniture ( drag wooden floor hotel room carpet ) . come suite 506 . Dorothy live someone write attempt die many time 1106 . awake alert ponder ghost hunter elevator sort respect – fear – ' fond Dorothy gang , know ' evil – ' afraid . next day lobby wait elevator , get ' tiny 7 people squeeze start singe husband ' ear unconsciously " ' feel claustrophobic simply ' near " tune " ' mood love . " later lobby dry martini Google song I - phone – convinced writer might stay – find write successful female lyricist name Dorothy Fields ! ' funny assume ' famous haunt we . could well anyone . song hit hotel many year . know ' famous die could choose would hang Algonquin New York City would first choice . 
 Nov 1 2009 	 eh will fine . 	 would not pay full price hotel , need weekend trip city : great location , good service , clean room . hotel old New York feel cater old people . room small tidy well maintain . could bad , not expect hip scene . 
 Nov 1 2009 	 Classic boutique style hotel grace luxury . 	 first impression hotel bygone elegance feel private member club . lobby art deco character big - apple charm invariably lively , all - comer revel history ambience hotel . staff friendly attentive , availability rather erratic sometimes many 5 staff around reception / concierge , occasionally one ( busy ) clerk ! need ask anything , catch - not leave another time may no - one free help ! not read much ' small / slow lift ' comment . 2 available , hold 8 people . will get floor smoothly quietly , opinion relative . go bathroom . plenty photo post show room bath , shower , etc ... easily enough floor space 1 person . guess people need ' space ' other . come room though , comment universally confirm definitely small . hotel 's site photo show large room suite , not form majority accomodation . say , large suitcase , adequately stow content store wardrobe chest drawer . still space hanger spare 2 armchair , desk bedside table , 's lot furniture . plan spend time stroll room want lot floorspace , will probably need suite . otherwise , like majority we , want comfortable , clean provide superbly locate accomodation perfect respite day be stroll around New York sight , find . want quiet room ? ask one back hotel away lift . ( New York , 12 storey hotel going offer ' view ' anything worth see room front onto street noisy 24/7 . ) help explore sight get around general , consider buy Metrocard - top card travel New York bus subway . central though , many place eat drink nearby would suggest avoid restaurant alongside hotel ( although , perhaps inevitably , recommend hotel staff ) particularly greek restaurant , overrated , pretty expensive service slow PLUS 's greek person site , whiff pretention . exception coffee shop / diner almost next door ( call Red Flame think ? ) always frequent New Yorkers 's easy understand . highly recommend . take note although hotel 's bar restaurant fine , drink expensive , be hard really enjoy 1 ( eg . $ 17 glass wine ) be important , may also want take follow consideration : pro : housekeeping leave daily complementary bottle water safe room free charge . con : tea / coffee make facility housekeeping never turn service room . minibar available request only . top Tip : shop around price hotel . accord reviewer various site quote travel time , get excellent deal . inevitably affect viewpoint . 
 Oct 26 2009 	 would maybe stay . 	 get amazing deal ( $ 100 ) Priceline hotel , get lucky ! stay one night good experience . downside bath tub get clog shower . weird thing must hair not really fal . not tell not stay another night , tub still clog check next morning . bed beyond amazing , always think Marriott good bed hotel beat . vintage look really nice . staff friendly , area perfect people like near everything . Times Square block 5th avenue two block . good location ! 
