can 	 come London Heathrow , can not beat location . take tube airport , get Green Park , come tube station . stare Hotel Ritz , 5 minute walk Fortnum & amp ; Mason 's , Royal Academy , Picadilly Circus , walk 5 minute across Green Park , Buckingham Palace . , fine hotel world ? nope . like buy house , location , location , location be about . we stay 6th floor , feel like stay different hotel people ' ve leave complaint website . bathroom perfectly modern clean , lot fresh towel ( extras closet ) . room look like American Holiday Inn ( small ) . two double bed , desk , small table 2 chair . stay place London , recognize difficult find room two double bed . the furnishing , include bed covering drape , new . notice , however , carpet room stain dirty . negative comment come abroad stuff suitcase , beware . luggage rack one one suitcase . room anything else . closet big , however , stow suitcase there . if want stay hotel big , fancy lobby , lot meeting room super exercise gym .... place . however , want clean , modern room smack dab center London , not think could find well spot . 
 Disappointing ; 2 star 	 book 4 room , evaluation fair repesentation 6 night stay . math property : rate @ 4 star @ 60 % price = 2.4 star may little high establishment . positive : location , staff helpful . poorly maintain , cleanliness , poor HVAC system , uncomfortable experience . 
 Nov 18 2009 	 Superb location great stay 	 stay 3 night , pay priority club point . give upgrade room great - always think upgrade would not give point . ' ve stay several time , previous occasion daughter . room contain 2 bed little small , time 2 we one bed , sofa , chair , table desk good sized room . as reviewer comment decor tired . bathroom recently re - grouted , overall appearance room date - full redecoration need bring current Holiday Inn spec . we not dine hotel take breakfast - £ 10.75 pp voucher reception . cold selection good - fresh juice , fruit , meat , cheese cereal . cook item ( sausage , bacon , hash brown , mushroom , bean , fry scramble egg ) excellant - restaurant busy dish change frequently . item greasy pipe hot . omelette pancake available request . overall fantastic value money - not want eat dinner . I impress room housekeeping - staff come room whilst dine tidy room refresh toiletry beverage supply . ' ve never experience service Holiday Inns . we not really need much help reception / concierge service , staff friendly helpful - Shaun Lisa make we feel welcome value . niggle ? internet access cost £ 17.50 day . Husband want check e mail , rate ridiculous - today 's economic business climate unacceptable . overall - fantastic location - can not better tourist . good accommodation though date , nice customer service . return . 
 Nov 16 2009 	 Excellent location room need updating 	 stay overnight free point reward , brilliant ! family room first ever stay child bed rather sofa bed - really appreciate ! rest room reasonable nothing special ; bathroom little small ( bath notably narrow ) could update - area round bath begin show sign age blacken area grout bottom bath panel . give plenty towel large one still small bath towel ! extra pillow arrive promptly smile , receptionist meet equally friendly . not eat hotel due large number food outlet nearby . good part hotel location - close many major sight London quite quiet road ( overlook road experience traffic noise ) . 
 Nov 13 2009 	 nice location / very old hotel 	 nice location near green park , piccadilly westminster buckingham palace . good english breakfast . hotel need refurbishing work . room smol clean 
 Nov 1 2009 	 Grubby hotel friendly 	 4th floor disappoint size bedroom 4yr old toddler withus . bathroom grubby need good clean tile ceiling filthy due dampness . complain nothing do first follow morning see somebody else reception immediately move another room much well still needeD new grout general clean bathroom well carpet bedroom . on leave hotel go collect belonging concierge correct ticket forgot give part child 's toy ( expensive ) we . eventually get return homw without coat leftnthere . fault ? really load bag 4 yr old train catch . 
 Oct 28 2009 	 Excellent Location 	 stay book family room represent good value location . want near West end theatre . already mention furniture somewhat tatty would not agree old fashioned otherwise tatty . breakfast adequate dining area cramp hot table low . window not seem open bit mean toiletry importantly bed comfortable quiet night ! . service excellent friendly London ! 
 Oct 28 2009 	 Central Location 	 Hotel expensive . tiny clean room . small bar restaurant premiss . friendly staff . walk palace night club . tour bus entrance Tube accross hotel . breakfast dinner include room rate wich plus . Buffett style breakfast fresh juice cold cereal . dinner include drink obvious reason . overall bad place stay . safely walk nightlife hot spot , club bar . 
 Oct 19 2009 	 5 star mayfair hotel 	 wonderful location . luxurious room comfortable Excellent food . great customer service 
 Oct 18 2009 	 thoroughly enjoyable stay 	 staff could helpful welcome short stay . room clean bed comfortable . wife allergic Glutine problem many place obtain food eat , Holiday Inn Mayfair staff go way , send gluten free bread breakfast cereal advise menu could safely eat . the complaint one lift work ( service maintenance ) rather small . stay sometime distant future wife get way ! 
 Oct 12 2009 	 comfortable convenient need little TLC 	 book discount website see awful review . end , please large , spotless comfortable bedroom quiet room . location great meant could fit lot short stay . we diy breakfast bed Sainsbury 's corner rather room service -bar restaurant not float boat plenty good place eat drink nearby Shepherd 's market . I would pretty disappointed have pay rack rate not think anyone Holiday Inn . 
 Oct 11 2009 	 pleasant stay 	 return pleasant stay hotel . locate around corner Green Park tube station , around 15 minute walk Oxford Street . reception staff pleasant helpful , impressed room – decent size traditionally furnish sofa room attractively drape curtain ( cover view flat roof office block – keep curtain shut get change ! ) . bed comfortable , bathroom clean powerful shower . we ' eat restaurant dinner , breakfast plentiful hot . downside hotel currently one ( small ) lift action want use stair ( get feed wait lift , always full peak time ! ) go outside across car park – strange ! get room Priority Club point pleasant stay . would happily go back . 
