bad 	 Stayed Trop October . Room call & quot ; garden room & quot ; . Checked take elevator ! room ground floor . slide glass door lead parking lot . question safety staying room . old hotel room ever stay ( stay seedy place ) . bed disgusting , sleep clothe . bed old sink middle . stain mattresse . mold bathroom . be upgrade next day tell would check ( stay 2 night Vegas ) .Magic show Trop circa 1984 . Buffet good . would stay . 
 Nov 25 2009 	 would definitely stay 	 review call hotel wear . one old hotel Vegas , service great get upgrade garden room suite jaccuzzi - nice ! ! ! location great seeing sight catch monorail . pool area close , cold anyway . 
 Nov 18 2009 	 simple 	 hotel undergo renovation sorely need . room old & amp ; tired clean comfortable . find staff friendly accomodating , worth dozen restaurant . really , eat one time anyway . nobody go Vegas stay put hotel anyway . find food , shopping , party , club entertainment short walk anywhere magic show Dirk Arthur great , shop nice . overall hotel simple & amp ; pleasant , nice place go back flash & amp ; hustle everywhere else strip . thing not like coffee maker room , seem common thing Vegas . 
 Nov 17 2009 	 Tropicana stay Liz ' 05 	 really enjoy clean , spacious room & amp ; ideal situation end strip . thing creep little opening window . understand big , tall hotel seal window , still bother . 
 Nov 8 2009 	 blast 25th wedding anniversary ! 	 stay Island Tower , big room great view strip . show excellent . Extreme Magic , Hypnosis unleash incredibly fun entertain Soprano 's Dinner right ! husband even get new Mob Boss ! easy walk MGM NY NY . garden pool beautiful fun lay sun relax , easy go atmosphere . buffet good , Lobster dinner deal delicious . great sandwich Player 's Deli . enjoy shopping Trop Shops , lot variety ! staff friendly ready help . room service not good . otherwise great deal like relaxed atmosphere old time Vegas charm ! 
 Nov 6 2009 	 perfect storm : Las Vegas ' incredible Superdump . 	 ' ve stay many type property LV , luxurious downright seemy , ' ve never see anything quite like . figure , reasonable price , age venerable property would deliver not - so hip passable stay , , classic name , surely reputation uphold , right ? wrong . enter depressing lobby , will notice sign post around : & quot ; next time visit we , room look like ... & quot ; pretty render modern suite , future Tropicana . problem , apparently key part reno plan completely let place go abandon customer service housekeeping standard , surpass dump - factor maintain fleabag hotel scatter around town achieve kind supercritical assmass . depress casino dazzle flourescent light occasional burn - out bulb , will even impressed smell room , month worth film window , unsoakable tub , dirty tile , dazzle view silver tar roof , cover roof debris bucket , , oh yeah , roofer . foot window . whole stay . not count & quot ; Player 's Deli , & quot ; cafeteria awash fluorescent light fit condemn hospital , one restaurant : & quot ; Bacio & quot ; italian restaurant , essentially table set hallway , overlook shuttered steakhouse . food good , know . neighboring guest place spend room service meal hallway floor pick - up . 6 pm . 8 pm . 10 , midnight , 1 , 9 am , 10 am , 11 am , noon , finally housekeeping lady come around trip . like opportunity study dynamic decomposition body farm , step door . educational sanitary . every aspect service dismal , complete get little extra attitude wait 20 minute & quot ; Cafe Cubano . & quot ; upon checkout , die resort give we opportunity majestic crescendo dissatisfaction simply man checkout desk , fellow survivor en queue begin rumble share experience . needless say amazed celestially bad experience . one lady say ranch dress bathroom mirror check . hope God ranch dressing , lady . couple thing line provide level hospitality horror , case , spring 2010 renovation , decision say & quot ; f % # k em & quot ; mean time , create truly unique experience . avoid like rabie . come think , wonder guy hardhat outside window rig explosive demolition charge . God hope . 
 Nov 4 2009 	 place dump ! 	 recently stay Tropicana part AARP convention . place dump . restaurant close , bar close , room awful dirty . top , charge credit card afterwards easy get fix . place need tear ........ 
 Nov 3 2009 	 Rotten 	 first night daughter stay Tropicana strip awful place stay 3000 mile road trip . pay $ 180.00 stay night , go casino gamble awhile return room night , 1:00 , get room electronic room key not work , daughter ask security person let we , wait almost 2 hour someone let we , 2:30 , asleep , someone pull fire alarm , go 20 minute someone finally turn ... enough , around bad place stay ... will not stay ever .... 
 Nov 3 2009 	 budget want good location stay Tropicana 	 Tropicana good location good budget . connect MGM Grand Excalibur . hotel inside little outdated . casino pretty good size , much go far bar , club . room need renovation opinion , pressure showerhead , like say , budget want good location , Tropicana good . 
 Nov 3 2009 	 old good price 	 place OLD . rate good close strip 
 Nov 2 2009 	 Perfect location great price yet much room improvement 	 pretty good hotel want great location small price ; hotel visibly old well take care could . first arrive even little grossed carpet , well window , look like not wash year least . hotel amenity like shop restaurant limit , though Excalibur , Luxor NY NY close enough need option . still , think would rather pay little bit stay nice place worry never take shoe hotel room much trip . 
