much 	 travel train QC daughter , 7 5 . walk across street station . check - in easy . room 2139 . average . 's room here . great location . pool great . go swim , inside entry swim deck enter great White North . [ cold . ] Pony - tail lifeguard zero personality , efficient . girl love swim . freeze . concierge staff remarkable . 45 minute face - off , Roberto get ticket ( $ 220 ) 7 row ice scalper . pay pick ticket nearby gas station . thanksgiving ? american ? concierge book we Globe . incredible . the restaurant . breakfast one day . expensive . friendly . good . Waiter make recommendation girl day . problem ? return one day -- door ajar . Maid shut . nothing take . reasonably secure . bar good drink . arrive . wife sort send cocktail . much well . a great location . non - Hilton . personable . Unique . I use point pay spend , good . good . well expect Hilton . kid winter , pool gem . class French - speak child watch one afternoon swam . want jump steamy outdoor pool . and ' m runner . Old Montreal short run . long walk . 
 Nov 13 2009 	 First Class Luxury 	 hotel recently remodle lovely high class touch . room comfortable large bed nice flat screen . tri level floor plan without elevator lot luggage arrival tricky . heated outdoor pool nice location hotel excellent- short walk either Old Montreal shop Catherine . 
 Nov 10 2009 	 good location good service odd layout 	 friendly professional service check check . room clean well serviced , public area always clean ( look like Aleve tablet lie stair outside bedroom 2 day clearly visible dark carpet ; dirty plate leave outside room corridor early morning till midnight ; lint many stair hallway ) . idiosyncratic layout hotel many stair go reach room make wonder guest difficulty walk cope . on last evening loud mechanical noise start close room . hotel staff member come room , could locate noise promise call back minute later move another room . never return reception know staff member question be . be business meeting commend staff charge meeting room , audiovisual equipment , etc . efficient , knowledgeable , polite professional . lunch drink catering also go effortlessly right time . overall okay . bed comfy ( important aspect hotel ) bed linen impeccably clean . would nice wi - fi room ( free wi - fi lobby painfully slow ) . give price would advise go Delta one block away room use sleep save C $ 60 - 70 per night process . 
 Nov 9 2009 	 little austere public area nice feature 	 stay Hilton Bonaventure last week October . unfortunately , room heat . give space heater hotel sell make room warm enough although flip circuit breaker . think could done compensate , though stay 5 day give 20 % 2 day , think bit cheap . nice gym executive lounge breakfast well stock well attendant extremely helpful make latte every morning . good selection appetizer evening , unlike many executive lounge , alcoholic beverage free . although would like try , year round outdoor heated swimming pool think big draw hotel . also build penthouse large office building rooftop do nice garden path plant tree . make nice oasis even though middle city . 
 Nov 9 2009 	 enjoy rooftop layout room odd 	 stay hotel conference . find bit far away main shopping area . walk Mont Royal hotel , however , well old town . connection subway rail right across street . employee hotel friendly helpful . think meals restaurant bit expensive side . enjoy rooftop pool . the room average light smoke detector annoying , bed comfortable . physically challenge , would find difficult hotel get around due stair room lobby . 
 Oct 29 2009 	 Love hotel location 	 beat stay hotel location roof top oasis . room update ( come since 2000 ) . perfect location Montreal . great site see day night life . everything walkable . the room large clean . rooftop pool amazing ( lot fun winter snow swimming 80 degree pool ) . downside outrageous drink price poo bar . besides , love hotel 
 Oct 20 2009 	 great renovation 	 wow ! Hilton Montreal make great renovation since last stay 2007 ! ! ! ! ! spectacular rooftop garden always main attraction architectural Icon sixty . I like new room Lobby , 
 Oct 13 2009 	 hide gem heart Montreal 	 like stay boutique hotel one feel without high price tag . unique hotel set roof Place Bonaventure quite deal . pay US $ 100 Priceline would pay . room bathroom comfy , roomy , clean well appoint . view unique rooftop garden . else find rooftop koi pond duck ? ! also take dip heated rooftop pool . plus , concierge always helpful . take elevator Bonaventure Station access store , restaurant metro station . be also quick walk Old Montreal St. Catherine Street . can not think complaint . sure , pool sometimes crowd occasionally kid running hall , early July Montreal . 
 Oct 12 2009 	 Average Hilton 	 room spacious , furniture bathroom bit date . pity hotel restaurant not open evening . bar nice crowded . overall feel hotel 's date , not get luxurious feel . although staff extremely friendly helpful . 
 oct 9 2009 	 nice 	 Nice hotel , clean , elegant , beautiful roof top garden , kid love roof top pool ! problem we find entrance 
 Oct 8 2009 	 mixed bag 	 spend week bonaventure colleague choose conference . the room fine , clean , adequately appoint . neither shaving mirror bathroom audio work . first $ 12 condom ' ve ever see minibar . the layout bizarre , since supplemental oxygen , tote tank twelve step room laborious , mine one & quot ; handicap accessible & quot ; room . ha ! colleague wheelchair take room service elevator every time come room meeting , shopping meal . underground shopping area generous , , take literally score step access area . would take put wheel ramp ? lunch cater in - house dreadful . Spaghetti frozen meatball pumpkin soup Monday , Pumpkin soup spaghetti curry Tuesday , cold spaghetti Thai dress Thursday ... get picture . the service magnificent . staff professional , helpful , cheerful make many facility ' shortcoming . depend upon goal , could great stay great disappointment . 
