Rude 	 location hotel offer little . stay . front desk staff consistently rude unhelpful exception far . concierge , maintenance cleaner friendly helpful . good way describe room patch . let photo website deceive . walkway room smell old carpet . room next vend machine make noise switch complain . towel bathroom old two tear use . hot water problem 07:00 08:30 morning . end shower time . also often flush toilet once . but override memory hotel rude front desk staff . time threaten completely ruin stay . 
 Fantastic Hotel ! ! even well staff management ! ! ! 	 stay 6 night recently honeymoon hotel perfect ! ! ! ! upgrade amazing suite 21st floor . could see Times Square bedroom window ! ! hotel perfect location access New York offer .. staff always extremely helpful concierge help we question day trip etc .. small problem heat within two minute maintenance guy fix ... lobby really welcome food gorgeous ... hotel perfect brilliant value anyone travel New York staff really make feel welcome .. would highly recommend hotel friend family ! do not rip overpriced hotel keep money holiday ! stay Park Central ! ! ! ! Great Hotel ! ! ! 
 Nov 23 2009 	 Good 	 find staff100 % helpful situation early check , storage , clean help rooom safe . super service . pleasant . room clean , bed comfortable , clean , nice linen , nice room . busy hotel quiet well organize staff . lot staff ask question . elavator great touch screen . miss room coffee lot shop nearby , think 3 offhand sell coffee econnomical meal snack . Carnegie Deli almost next door . great people new city . happy choice hotel . 
 Nov 23 2009 	 Old building cover exist problem . 	 hotel right near everything anyone new New York may want . hotel kinda cool . old look outside lobby bar update nicely nice atmosphere . room cool . first walk room smell like people probably check ... bad . remedy , ask nice housekeeper spray quickly go take care problem . even adjust heat think maybe old heating system circulate stagnant , old air . bathroom roomy could see water stain top shower vent dirty . go sleep swear room smell little like pee do complain night new really air maybe carpet bit . look ok see wallpaper go shabby wall . staff really nice . not check people four nice surprise try accommodate let check noon . happy also give apple . : ) use hotel maybe inspect room finally settle . need work not upset . 
 Nov 22 2009 	 Lucky not listen negative review ! 	 almost cancel reservation Park Central prior departure read many negative review give great price 5 night US $ 1,300 include taxis , take risk . work week LA , go New York bit break head back Melbourne . 13 year since last visit there . after read many negative review , prepare bad . enter large hotel find reception area nice , clean spacious reception staff courteous welcoming . could hotel read Tripadvisor ? give room key 17th floor nervous enter key open door . think , bad room ? shock surprise , room big thought . king size bed massive , widescreen tv great room smell nice . one last check bathroom , lo behold , trace fungus odour , New York single , big enough . I definitely stay hotel sure get room hear room low level may nice . give rate , hotel steal location perfect . great leave hotel 7.30pm walk five minute Broadway play star Bill Pullman Julia Stiles start 8 pm . Heaven ! New York ! 
 Nov 22 2009 	 Disappointed Responsiveness Staff 	 actually stay hotel can not review . daughter stay hotel group school . leave pair UGG boot room . immediately call hotel upon return . course week , talk 3 different people ( Lost Found , Front Desk personnel , etc ) never return call tell would check lose boot . boot find know boot not walk hotel alone . shame transfer Hotel Security first call perhaps could reach person responsible cleaning room soon . four different occasion call hotel course week one ever return call . shame not measure place ensure item leave behind not return owner . pair boot can not slip anyone 's pocket not go laundry . additionally , could take next guest room leave closet door someone would vacuumed . ask reimbursement boot . check purchase price boot want not think unreasonable ask . hotel security measure place eliminate chance staff walk guest item . perhaps sweet room lose Found supervisor people check . 
 Nov 19 2009 	 great location miserable staff 	 spend 4 night hotel , group 14 friend . hotel great location room clean good standard . housekeeping staff helpful friendly reception staff miserable rude ( exception Fred ) . completely mix booking blame everyone else incompetence . everyone charge different rate experience breakfast dining make excuse different charge . book 2 triple room 4 double take extra $ 160 dollar sister account third bed already pay without let know . discover take payment account get back home try get money back . conciege staff well . might know lot New York know little good customer service ! say , still great time . careful check bill leave ! 
 Nov 18 2009 	 rude people 	 back NYC stay Park Central hotel great location middle everything , hotel nice arrival people @ reception rude bit helpfull never smile put room have not clean properly wallpaper peel wall , mildew grow cele bath overall clean , go complain move another room great view room still be not scratch think need word cleaner 
 Nov 17 2009 	 Nice hotel great location . 	 stay hotel 5 night first visit great city . satisfied hotel . room big enough , bed comfortable also like possible open window . use much hotel service not eat restaurant can not say much . people speak friendly helpfull . good thing location value , Central Park Times Square 7th avenue . I read negative comment make little worried , fully agree positive comment . 
 Nov 16 2009 	 Awesome Hotel ! friendly staff ! 	 enjoy hotel much ! staff deal helpful & amp ; friendly . Karen Concierge desk AWESOME ! ! know New York great recommendation ! lobby nice trendy . room comfortable . guy front hail cab ( forgot name ! ) also great ! recommendation - bathroom need vent - get hot steamy shower ! also , hostess restaurant tell include room , pricey . food ok , definitely worth $ 30 / person . feel get money worth restaurant . other - place great . lot review complain elevator , think system work great ! location perfect - 2 minute walk Central Park 10 minute Times Square . & quot ; Irish Pub & quot ; across street usually good crowd lot 's fun ! 
 Nov 16 2009 	 average hotel good noice location 	 stay one night Park Central Hotel . room acceptable ( 150 $ /n ) , renovation would nice ( outdated room ) . location great due high traffic noise disrupt sleep . 
 Nov 15 2009 	 Recommend ! 	 even though hotel old , room ok , small like hotel Manhattan . bathroom work well , celaness good , offer HD tv . important attribute think location , 10 min walk Central Park , 5th av time square . it´s final stop one metro yellow line . besides several option restaurant around , breakfast and/or dinner . 
