maybe 	 let say hotel not really bad thought going get little . room good size . room really not update clean matter ( least not ) . family two room hotel room much well update compare . room & quot ; non - smoking & quot ; room , find cigarette butt floor living area leave see cleaning person would ever pick . unfortunately , answer & quot ; & quot ; . many maintenance issue room address obviously overlook . one think probably important metal handle tub faucet extremely hot even turn water . cold water come , scald water . hotel personnel always personable complaint . even fact travel teen ( boy ) overabundance teen throughout hotel , especially casino behave way hope son never . ' m hotel snob guess like little well . 
 Staying Orleans Hotel 	 strip cheap fun ! room nice huge variety place eat . fun atmosphere ! 
 Nov 26 2009 	 Orleans Stardust ........... 	 really enjoy Orleans , lot people host great old Stardust . complaint player club . gear local market make provision obtain high tier rating out - of - towner . be difficult ( expensive ) become high ranking . 
 Nov 24 2009 	 enjoy stay Orleans much ! 	 Orleans lot nice helpful employee . room restaurantsare also nice . stay future trip Vegas . 
 Nov 23 2009 	 Fabulous Value Wonderful Staff Great Decor Slots Pay Bargain ! 	 love love love Orleans ! staff cheerful professional . large , comfortable , nicely decorate room fabulous view strip . Mardi Gras decor hotel charming fun . slot pay much well many casino . great jazz band pub many local musician sit . appreciate daily ten minute internet access . hotel room clean casino smoke fill . two minor complaint : 1 . coffee maker room one cup deal like coffee bring coffee maker & amp ; coffee & amp ; 2 . shuttle strip one sour driver numerous occasion would even acknowledge friendly hello . shuttle service excellent , drop Bellagio / Bally 's area . actually appreciate fact Orleans strip , energy far less frenetic strip . Orleans fantastic bargain return stay else ! 
 Nov 22 2009 	 REALLY nice PLACE stay ! ! ! ! 	 be conveiniently locate near strip ... literally like 5 min . away ( max ) & amp ; service well casino great ! great customer service ! ! 
 Nov 21 2009 	 Favorite Hotel Las Vegas 	 Orleans Hotel & amp ; casino good place stay Las Vegas . vacation Las Vegas 21 year stay many different hotel , begin stay Orleans last 2 year . discover strip good thing enjoy stay hotel important . love gambling Orleans seldom desire gamble elsewhere . give hotel try , will not disappoint . 
 Nov 21 2009 	 Best Value Vegas 	 value Orleans good Las Vegas . gaming top people great . spend lot strip get less . 
 Nov 19 2009 	 Nice hotel 	 hotel clean secure . staff helpful lot family , site . selection cafe resturant excellent , shuttle strip time clean 
 Nov 19 2009 	 amazing value 	 compare around find hotel meet need . want child care center site , coffee maker room , cheap buffet . find Orleans plus much . room adorable ; cute deco nice sit area sofa . check fast easy . fun special midnight coffee shop like steak & amp ; egg $ 4 . one day wrist band $ 21 buffet good selling point jump ahead everyone stand line seat right away . Shuttle strip work nicely we . 
 Nov 18 2009 	 Wonderful Hotel Off - Strip 	 absolutely love hotel . stay Nov. 10 - 17 , 2009 . ask 2 - queen bed room quiet , far elevator not smell like smoke . get exactly . room nice view south end strip viewable bathroom window . bathroom big comfortable well . issue tv remote . not work well call housekeep another one send within 10 minute . buffet good inexpensive . fuddrucker great ! 's little burger shop food court eat almost every day . staff every department deal friendly . complaint hotel stay . check - get player card ! save money buffet . use Spa , Theatres Pool . not even know pool open . casino smell smoky bad other strip . the shuttle hotel strip fast extremely convenient . hotel within walk distance Walgreens drug store could get drug store stuff gift shop . Walmart Target far away . check - in fast - woman front desk know do . there Seattle 's Best Coffee shop lobby , well Fuddruckers . Sbarro , Baskin - Robbins Subway food court . TGIFriday 's Courtyard Cafe casino . be fan really good prime rib - go Prime Rib Loft . sooooo good . I also attend Wranglers game . Orleans Arena attach hotel . go back hotel sure . 
 Nov 18 2009 	 good value tradeoff 	 stay total three night . first one pay roughly $ 35 king ns room . next two night comp would part limit - time offer promotional package . room cost quite low . room large . king bed firm somewhat noisy . many problem noise room around we . tv channel selection extremely poor ; definitely want spend time room . wireless network coverage room . free wireless coffee shop Casino area . cable network available room , cost $ 13 per 24 hour period . several restaurant inside hotel choose . eat twice ( breakfast dinner ) french Market buffet , good . hotel half mile strip ; would not plan walk . free outdoor parking available , quite walk parking lot room elevator . spotty service various staff . friendly , sometimes slow respond ( bellboy ) otherwise helpful resolve issue ( registration ) . nice fitness center well - maintain equipment . 
 Nov 18 2009 	 still Good Value 	 husband stay Orleans number year . they recently replace carpet casino area , continue remodel expand . clean , well run casino . housekeeping always excellent . the buffet , restaurant always good , lotcheaper strip . we disappoint shuttle long drop Bill 's , go Tropicana . casino 's , main casino area'sallow smoking . well ventilate , not bother , unless ' m sit right next someone . good variety slot , table game . I would highly reccomend Orleans . 
 Nov 16 2009 	 excellent place stay family friend . 	 Orleans hotel casino excellent place stay even child . room spacious , bed comfortable , clean service excellent . we surely back soon . 
 Nov 16 2009 	 expect price 	 stay Orleans evening , really impressed , especially bed . one uncomfortable hotel bed would ever , might well slept floor ! Orleans also mile strip , something aware book . close , well , cheap room strip . New Orleans theme mainly outside hotel , inside , be pretty much standard hotel , disapointe . there couple thing make completely terrible , room large & amp ; clean , have want see movie , theater . would not go back mainly bed . 
 Nov 15 2009 	 extremely reasonably price room food 	 spacious room comfy bed , include lounge area . fridge , request . clean tidying regular . quality complimentary bath product . site gift shop reasonably price offer huge variety . great attraction site huge tenpin alley , many cinema & amp ; Rocky Mountain Chocolate store . great variety restaurant food court - reasonably price crazy pricing special 12 be 6 am . excellent value family . 10Min free internet site cafe - wireless / conecte internet room charge daily rate . 
 Nov 15 2009 	 Love Orleans ! 	 Orleans ! enjoy stay Orleans great staff accommodation . need run Las Vegas gaming fun great variety . great selection restaurant Orleans staff always friendly accommodating . will not stay anywhere else Orleans . 
 Nov 15 2009 	 Unimpressive Orleans Hotel 	 one hotel Las Vegas stay away . 's Strip , 's reason provide low level comfort , cleanliness service . really gambler comment Casino word seedy come mind . disturb feature Casino payday check cash desk long lineup people line clearly could afford lose weekly paycheck ! overall feel room clean . carpet certainly clean room seem fall disrepair . I would never stay , would recommend anyone stay give much appealing option Strip not necessarily much expensive . 
 Nov 13 2009 	 Great price 	 fourth time ' ve stay last 5 year find hotel good value price . room clean hotel itsself . check - in check - out smoothly encounter problem billing reservation . look luxury stay one high price hotel strip hotel Palms , Rio , Ventian , etc . not pretend . price not think one find well hotel . yes , be strip one also not put rush crowd wonder casino strip . let us say give small town feel big city . price great get two night comp pay $ 42.00 night two night , grant Sunday thru Thursday could not find hotel strip offer comparable pricing . every year say be go try another hotel strip keep come back Orleans price , service cleanliness room . room fancy luxury room find strip spend alot time room except sleep . guarantee room clean have stay somewhere else . pool nothing fancy serve purpose . find casino area smoky time previous visit whatever reason . eat Fridays , Courtyard cafe Market buffet food service fine price , ' m great fan buffet . many year ' ve come conclusion 's one casino pay well slot machine happen ' ve slot lose other , come luck . cut back staff not see cocktail girl come around often play slot . stay weekday also limit live entertainment take shuttle strip go expensive hotel watch lounge show . like say look luxury hotel every amenity stay one expensive strip hotel look clean , inexpensive , friendly hotel Orleans fit bill . 
 Nov 13 2009 	 Loved ! ! 	 Orleans strip . staff mostly friendly one . check - in bit cold little girl counter , look bored un - interested we pay guest delt we like fashion . would great op Orleans shine . time tell everything rule ( include 5.00 per day resort fee ) in - room cost internet ( 12.99 per day ) however acess Seattle'ss Best free . also tell we security guard elevator would check right hotel portion casino . Knew Trip Advisor . would rather check . time check shift change , otherwise free come go - need say hello security way remember . Orleans shuttle take strip . run 9 be 12:30 pick every 10 min . prefer cab : cost MGM Grand hotel 6.50 ( remember tip ) french market buffet amazing fairly inexpensive . buy wristband three meal cost dinner lunch . not go reason - go dessert . worth cost alone . all staff floor helpfull . maids food court cocktail waitress floor . I would highly recommend Orleans . decor alone different rest casino - fun . room clean exactly picture . bait switch go . coffe pot actually single serve pod brew cup . Safe not instruction ( check - in explain ) bed clean comfortable . little noise could hear near - by quest room . room great view strip . parking open muli - level structure , walk room 5 bag bit pain valet . secure patrol . pool area pretty close 6 pm . hot tub circular nest palm tree center . Cabana 's available lifeguard nice . 
 Nov 13 2009 	 Yikes - expect - sort seedy poorly maintain 	 choose hotel base Tripadvisor comment . room filthy carpet chemical smell . run cold water faucet 5 minute get cold end hall hot cold pipe must lay close together initially hot come side faucet . hallway beautiful , whole place bit & quot ; scuzzy & quot ; . two small kid not like way hotel center everything around Casino . woman serve Casino wear sort Playboy Bunny outfit bit much small child man would rather focus beauty family . 
 Nov 12 2009 	 comfortable atmosphere 	 Las Vegas general fast , find Orleans much need relax property . Orleans amenity large resort , homey touch . Prime Rib & quot ; Rib Loft & quot ; die , extremely reasonable price . highly recomend Orleans , selfish would prefer keep secret get away . 
 Nov 11 2009 	 getting run 	 stay Orleans November 4 - 8 , 2009 . hotel get pretty run price . room clean comfortable except air conditioning . room would get cold enough we night ( around 70 ) air conditioning unit run night loud . think well buy elsewere . 
 Nov 11 2009 	 another POSITIVE ORLEANS 	 , great stay ORLEANS . service great , drink great , staff friendly helpful . brunch sunday improve imo , meal oyster bar part good part ok . love chowder , crap salad blah . continue stay ORLEANS . would suggest read review vehicle stay STRIP u VEGAS first timer . 
 Nov 11 2009 	 Orleans offer good service good value customer . 	 people orlean friendly , courteous helpful anything need . stay comfortable great time . 
 Nov 10 2009 	 Great Value Vegas 	 want pay hotel room Dad , stepmom , 2 old sister , spend lot time cruise Expedia , read review . want show good time , look deal Strip first . , decide go Orleans Strip , save little bit money could money leave rest solo part trip back States . good choice . it´s lot hotel 35 - 40 buck night pay per room . really didn´t need leave hotel strip , everything . be pretty large . step - mom sister spend bulk money in - house slot , meal ; nice , well - equip gym use 3 day . outside pool movie theater not use , nice available . room spacious .. sister not tiny people small personality , concerned would feel claustrophobic short amount time . however , room 2 queen bed large enough we sleep co - exist comfortably . bathroom nice size , small sitting area 2 - seater couch , another chair , coffee table . room also include coffee machine . parent across hall room 1 king bed comfortable , . clean , spacious , quiet . ' m much gambler , family seem enjoy . seem like offer nice variety game , can not make many comment . thing not like smoke allow gambling hall , suppose 's expect . restaurant good . try chinese place , cafe , morning buffet . relatively inexpensive , decent variety food . hotel give we coupon buffet check . free shuttle strip good feature . take , drop we across street Caesar 's Palace . end take taxi back , not expensive . also take taxi one shopping outlet , pretty good deal . plenty free parking around hotel . overall , great stay easy wallet ! would definitely return . 
 Nov 9 2009 	 stay Clear Dump 	 hotel dump . husband decide last minute want go Vegas Friday night , hotel awful part town , strip club sleazy sex store . smell sewage , drive location blow away . think would affordable clean place due review Tripadvisor . when enter hotel room totally disappoint . room dark , bed pillow hard uncomfortable . shower clog , water come mid leg . sink clog well safe didi not work . if tight budget not care room , sleezy location , clientele place . 
 Nov 9 2009 	 ' ve visit Las Vegas many time Orleans become favourite place stay . 	 enjoy Orleans locate strip away excessive crowd . love walk day without jostle hundred people . want visit strip use Orleans free shuttle . like food Orleans recent visit ten day eat another casino . Orleans great slot variety video poker machine favourite . room spacious comfortable service staff always mange make return breakfast . 
 Nov 9 2009 	 time life staff could not friendly helpful ! 	 stay Orleans ever since Stardust leave . love . staff good , friendly helpful . good trip ever . hit Royal , 4 ace 4 Wild 2 's day course , trip . variety slot , video poker table . whole extended family blast , security man new us end trip . could tell we room casino . BEST ! ! 
 Nov 5 2009 	 good TIMES ... good TIMES ! 	 go Vegas celebrate birthday late October . Orleans favorite hotel . check in / out take 5 minute . staff friendly waitressess always make sure drink . maids awesome ( tip maid ) . room HUGE get coffee maker ! love window bathroom . Orleans strip nice change & quot ; craziness & quot ; strip . Orleans shuttle run frequently take sister property ( Gold Coast ) strip . much fun Orleans table good birthday ! can not comment food mainly hit 24 food court ( good ) . can not wait return June . Orleans ROCKS ! 
 Nov 5 2009 	 like Orleans 	 friendly staff , fun place stay , nice room , good gaming , good food . strip , may convenient location , everything want premise , need go anywhere else . recommend time friend & amp ; family . stay enjoy . 
 Nov 4 2009 	 Orleans everything 	 stay Orleans many time never disappointed . will not find well value Las Vegas stay many place decide Orleans top . love in - room coffee accommodate housekeeping staff make sure coffee , towel , ever need . valet staff always quick helpful want see real value go Courtyard Cafe . else get midnight breakfast steak , egg , hashbrown , toast $ 3.99 ? open 24 hour inexpensive great meal . buffet want , look upscale dining , . Orleans one great place stay . 
 Nov 4 2009 	 Best Value Hotel Vegas 	 stay many different ' star ' hotel Las Vegas , downtown strip . Orleans become ' go ' hotel Las Vegas . staff friendly efficient , room good size well - maintain . never call service recent trip . get room notice smoke alarm beep light bulb . need extra blanket . issue handle within less 10 minute . appreciate prompt response . guess side air cond / heating unit . could bit noisy . get free WIFI Seattle good coffee . always drive Las Vegas ' mind strip location . seem everyone drive Vegas anyway . shuttle bus strip ' car . 
 Nov 4 2009 	 October Getaway 	 escape favorite vacation spot October usual stay Orleans Las Vegas . Orleans always count upon good time , good food fune atmosphere enjoy . room always clean staff friendly receptive need . Staying Orleans become part tradition visit Las Vegas . 
 Nov 3 2009 	 love size room 	 room Orleans freshly remodel big enough call Suite . maid staff efficient maintain cleanly room . price wonderful get . far enough stip avoid traffic shuttle drop middle strip run every half hour . also get taxi hotel plentiful . I love stay go back since earn reward point . 
 Nov 2 2009 	 overall good hotel Vegas ........ 	 many year ' ve go Vegas , Orleans come top . ' ve stay many hotel one way , not begin compare . hotel / casino small strip hotel even outlye hotel / casino . 's strip away strip chaos . be large enough accommodate need one hotel . 's nice variety restaurant plus entertainment entity want break gambling . staff friendly well train . room Orleans always clean well maintain . 's great place stay . 
 Nov 1 2009 	 TOP PLACE KIDS STRIP 	 stay 3 night strip due holidaying kid 12,10,7 . pay $ 36 per night bit Friday . two room occupancy max . 4 people . still price care . room deck New Orleans fashion clean quite spacious . mile strip , hotel free shuttle bus . little hard get shuttle party five pool area awesome include bar , plenty restaurant casino , bowl lanes cinema . casino stink smoke , . room smell smoke ! highly recommend family - big casino strip 
 Oct 30 2009 	 another great stay Orleans 	 third year row Orleans experience always enjoyable . value good get . bud light $ 2 stay & amp ; wine TGIF half price Monday & amp ; Tuesday . we 8 night come back Orleans night meal every night . resturant excellent quality , particulary Loft & amp ; TGIF.Shuttle strip year go Tropicana , bit pain , left tell change back Bill 's Gambling Hall central . can not wait get back soon . 
 Oct 29 2009 	 try place ! 	 stay Orleans single night seven night stay Vegas . Vegas regular ( 3 5 time annually ) usually stay Golden Nugget . night compe we Orleans spend second night there . we impress quality property . room large great view . entire hotel clean well keep . food offer onsite good . movie theatre bowling alley also nice touch . casino great vibe it . after many trip downtown , consider make Orleans new home base town . give try , disappoint ! 
 Oct 28 2009 	 ` ` relaxing 	 past June wife decide celebrate 50th wedding anniversary Las Vegas . choose Orleans Hotel entertainment show room pleasurable experience previous visit . really surprised receive telephone call Anthony Taeubel VP & amp ; GM Orleans . Mr. Taeubel call home congratulate us & quot ; 50 year marriage & quot ; . enjoy visit June past October . opinion Orleans Hotel provide friendly courteous atmosphere good food , clean room excellent service . needless say sure make repeat visit Orleans ..... 
 Oct 28 2009 	 Complete Vegas experience 	 relax fun great service quality . real value . think Orleans fomulawork stay time time . 
 Oct 27 2009 	 Family Friendly Hotel 	 Orleans great kid , lot activity . really nice Pool Spa . parking easily accessible . Buffet really reasonable price food good . 
 Oct 26 2009 	 nice hotel 	 arrive around 1 2pm Saturday wait , desk clerk attentive request room away noise ice machine elevator . even tell concerned quiet view , room face toward strip really nice night . like little window shower ( like sister property , Gold Coast ) , room like suite nice couch table we sit read paper ... also coffee maker room . request King / Non - smoking receive request ... room clean good condition . casino large , usually eat trip since 2 1 buffet , also receive several coupon check - in use property . always rental car , also shuttle service Gold Coast ( think strip ) without car . 
 Oct 25 2009 	 great hotel 	 really enjoy stay Orleans . price good could find large property . check check fast easy . really impressed size room . everything clean . not think could find well view 18th floor look entire strip . food choice good . enjoy go Orleans Arena check Las Vegas Wranglers Hockey game . nice arena 's right hotel . would recommend hotel friend would return . 
 Oct 24 2009 	 beat value money 	 stay Orleans 6 night . may flair Hotels Casino 's strip , stay fantastic . clean , food great , staff friendly , good pool area , even well strip . free shuttle strip 7 min away . huge bowling alley , movie theater , gym , spa . would stay ever Vegas . 
 Oct 21 2009 	 great place family 	 decide stay Orleans Hotel cater child , us fantastic . kid love go play room , would go 2 hour see ready leave never . give husband chance time , able meal drink know kid good hand . big gambler , not know lot casino , find one great staff always drink . the pool , well could not get kid , love lounge pool good size young kid swim around worry get deep end , plenty sun lounge around bar area wish drink . room great , comfortable bed nice size bathroom , clean notice noise room . hotel modern clean lot choice restaurant dine , food nice place eat . buffet breakfast great value money , find get open 20 minute long wait . valet parking free cost tip person bring car , shuttle bus strip need . choose drive strip , seem problem parking hotel along , parking free . venture strip couple time , find full glad choose Orleans stay seem leave mayhem behind step hotel . 
 Oct 18 2009 	 take place go Vegas 	 place definatelly good value money ' ve . arrive Sunday Thursday book prolong directly reception , charge 35 usd + tax ( whic 4,2 ) . great deal ! 40 usd incl . tax pr . night get big room , big bathroom , clean , money box , tv ( around 20 channel ) many thing . many room view mountain - well . no breakfast include price , 8,10 usd incl . tax get full buffet . else , take all - you - can - eat day around 24 usd incl . tax , experience show get full breakfast ( serve 10.30 , change lunch buffet ) will not need lunch : ) place also couple restaurant , 1 staff friendly smily . they also offer fast food station , be , be cheap compare buffet , 's lot choice . the place near strip , free shuttle run every 20 min center Strip . take max 10min , would not pay 50 usd stay close . really go easy shuttle . the casino huge , smoke non - smoking area available . they movie bowling , not try . very nice pool , actually 3 - regular ok big , children pool warm spa pool , really nice , small all . free parking . internet free coffee shop . otherwise charge 12 usd pr . day . the minus waiter buffet ( breakfast / lunch dinner acailable ) smile . not good day every day : ) stay 4 night ( although plan 1 beginning ) , compare . definatelly great value money . 
 Oct 15 2009 	 home away home 	 ' ve make Orleans base operation annual trip since open 1996 . staff friendliest Las Vegas , room quite comfortable . 
 Oct 13 2009 	 excellent value ... 	 first time Vegas book hotel web site . got excellent deal time year.big room , friendly room attendant . they 3 pool , 9 restaurant , fast food buffet . nice restaurant ( 2 ) good service food . 
 Oct 11 2009 	 Good Value Good Food Good Time 	 hotel well worth value get . room good size bathroom area generous well maintain . local come hotel buffet know locals flock reason . shuttle take Gold Coast Tropicana Hotel . love 18 screen Century Theatre hotel well bowling alley . lot family . complaint casino smell cigarette smoke . good size swimming pool deck area . look like pool remodelle recently . 
 Oct 11 2009 	 GREAT HOTEL FEELS like HOME 	 Hotel offer much little ! great room , friendly staff , beautiful pool , Buffets delicious . People say strip disadvantage shuttle run every ten minute strip five minute trip agree . want clean well care hotel stay ! ! ! 
 oct 9 2009 	 good steak town low price suit Vegas ! 	 stayed see many room hotel various Vegas excursion , Orleans always favorite . room cheap clean compare other price range & quot ; mini suite & quot ; nice sitting area . we randomly go Canal Street , restaurant inside hotel serve good steak ever Vegas price reasonable . ( also dine Brand Steakhouse strip find Canal Street much well . ) favorite place eat : Mesa Grill , Earl Sandwich , TGI Fridays . 
 oct 8 2009 	 nice 	 spacious room coffee pot , free shuttle bus strip . maybe good choice people like stay strip . 
 oct 8 2009 	 good money 	 stay hotel May , husband two adult daughter early twenty . shared room - spacious - enough four we . enjoy buffet downstairs use buy one get one free pay $ 5 great lunch ! hotel Strip downtown rent car get around . hotel offer free parking - warn parking lot enormous take we several day figure good place park . 
 oct 8 2009 	 fantastic inexpensive fun 	 second time stay , although time handicap room . great , clean , bed comfortable handicap bathroom bonus ! love slot ( big ) , buffet okay , price outstanding compare buffet strip . overall , pleasant staff , clean comfortable room , great casino not break bank . stay . 
 Oct 8 2009 	 love place 	 travel year read trip advisor forever decide time part . stay least 7 time 15 trip las vegas . travel north carolina usually find good airfare deal southwest.we usually get good hotel deal thru orleans room . pay 35 - 50 dollar night . big gambler get comped.first know casino mile strip . love way go crowd strip come back cozy room casino . also great look strip night get well view whole strip stay it.we rent car , ride bus take shuttle strip . work well rent car time like daytrip outside vegas . look shuttle bus take brother company casino strip . usually 15 minute apart work great free ! ! room huge , always clean never one complaint stay here.we happy stay casino stratosphere , mgm , excalibur on.this reasonabel hotel , casino large great atmosphere . LOVE SPORTSBOOK . table game busy overcrowded still keno alot strip casino do away with . the favorite thing orlean food . reasonable good . buffet favorite though . little average we . migueal , great mexican place ( favorite ) . also subway , new fuddrucker average also friday , ice cream place . compare othe casino good deal food find we here.they also movie cinema bowling . place look earth place , middle road casino great room , bed extra nice bathroom average folk average prices.for we good 8 place vegas stay . back . 
 oct 8 2009 	 Decent Place 	 complaint . bed good ( bouncy , LOL ) , roomy clean . car , location issue . 
 oct 8 2009 	 great casino hotel 	 room large , comfortable clean . dirty bedspread , crisp white bedcover change everyday . quiet . ask room near elevator , hall long . 
 Oct 8 2009 	 honeymoon trip vegas 	 room nice & amp ; spacious , everything need one roof ! movie theater , bowling alley , show , buffet , steak house , starbuck , subway , etc ! shuttle running time take strip . loved pool & amp ; hot tub 
 Oct 8 2009 	 Perfect stay ! 	 stay four night September 2009 . complain all . clean comfortable room friendly staff . use pool every day also try food French Market Buffet Miguels really nice . 
 oct 8 2009 	 really enjoy place ! ! ! ! 	 stay Orleans 5 night help celebrate sister law 's birthday . great time Orleans . room huge , comfortable . nice view strip . room clean , smell nice . air condition FANTASTIC ! ! ! nearly freeze we , , usually hard get room cool enough . end hall , far away elevator , quiet . shower hot water , pressure great . we find plenty . two day , never even leave Orleans . enjoy movie theatre , arcade . casino nice , crowded , certainly smoky . pretty lucky slot , especially first couple day . luck run towards end . oh well ... go check pool , cool autum day wind blow , cold outside stay , pool area nice ! bowling alley look fun , not get time try ! next time . we eat Orleans several occasion . good variety , certainly plenty choice not break bank ! breakfast buffet great , cheap ! Friday night seafood buffet , fantastic , also Sunday brunch . lot food choice , nearly pricy strip hotel . many dessert choice , even gelato bar include buffet price ! ! also hit food court , Baskin Robbins every night ! ! overall , great value ! shuttle run strip great ... never wait 10 minute catch , couple driver really nice . would definately stay ! ! 
 Oct 7 2009 	 great off - strip value . 	 celebrate wife 's 40th birthday , decide stay off - strip Orleans Hotel . hotel great , clean , room nice , overall , great value stay higher - price location Strip . get renovate non - smoking room 13th floor , nice view north Strip . room awesome , comfortable , well bedroom home . room king bed , couch , chair , great bathroom , complaint . hotel offer shuttle strip , actually 2 bus make loop Tropicana , Gold Coast , Orleans , follow 20 minute apart . get breakfast buffet every morning $ 5.49 ( club card discount ) , beat ? $ 5 / day resort fee , cover use in - room safe ( love ) , in - room coffee ( use every day ) , 10 minute internet access business center use fitness center . know go , big deal . slot seem tight though , luck table , 's hotel 's fault . overall , not really anything negative say , would definitely recommend friend , would definitely stay . 
