Excellent 	 Neighborhood nothing much , be great location get everything , near Penn Station Bolt / Megabus stop . new clean . Saturday night noise not factor , base print notice room , & quot ; white noise & quot ; generator room , etc . could problem , especially garbage truck , weekday morning - would ask high floor staying night Saturday . staff extremely pleasant helpful . room decent size NYC . restaurant bar premise ( dinner possibly lunch - breakfast ) . continental breakfast average quality include room rate . 
 Nov 24 2009 	 Wyndham garden timer square south ( beware bed BUGS ) 	 last august , really nice experience , good location , affordable price , nice view city really close time square reallyenjoye stay New york , go back hotel sleep , cameback home month start experience red bump itchingthat noticeable get morning day , partnerboth like cacht alergie something like , go doctor diagnose sort skind disease prescripte ussome lotion pill stop ictchin , make short itching red bump neverwent away research net find Ny city hada big problem BED BUGS . anyways start search matttre indeedthere several bed BUGS cauhght right WYNDHAM TIMES SQUARE SOUTH HOTEL , do not know whole building infest room stay floor 23rdbut 2 cent hope people experincign problemcontribute post , someone return beware . thank . 
 Nov 24 2009 	 Great Hotel Great Location 	 stay hotel early October impressed time check - in . staff friendly give we lot brochure map help we trip . room clean enough space two people . hotel great location subway 34th street . also block Times Square walk bad all . when check hotel , use debit card mistake card use incidental . realize 2 day trip negative balance bank account . call front desk call bank we remove hold would incur bank charge . extra assistance proof well staff willing go please guest . as Wyndham employee work different part company , thoroughly impressed staff . would definitely recommend hotel fellow employee . 
 Nov 23 2009 	 girl Weekend 	 love hotel . freind 2 girl 7 year old daughter spend Friday Saturday night hotel . say enough nice thing experience . hotel staff always helpful , nice , polite . room spotless . travel lot would give hotel plus . 
 Nov 22 2009 	 Good Deal ! 	 husband decide go city day last minute , read review settle not really expensive . staff nice , lobby hallway clean . room modern , clean , comfortable- complaint would pretty difficult two people walk around bed stuff room ( nyc hotel small though ) . bed comfy , enough linen / towel . thing not like bathroom counter sink TINY , make hard wash face without get water everywhere . bathroom super clean , mold shower . pretty quiet room / hallway , could not hear much outside noise . definitely would come ! 
 Nov 20 2009 	 Excellent Service Good Location 	 choose hotel proximity Penn Station . moment check , impressed service overall quality hotel . staff friendly engaged room clean well - appoint . yes , room small , 's way NYC . bed super - comfortable , bathroom clean flat - panel television nice watch long day foot . my suggestion would small tube toothpaste along soap . Duane Reade short walk away , would nice touch . 
 Nov 17 2009 	 Hotel Icing Cake 	 husband plan surprise vacation anniversary . stand 3days 2nights . know begin . first bellman greate we door extremely helpful . amazing CUSTOMER service receive Melissa Channel stay beyond ever experience . lady top notch come assist we information city . direct we great dinner spot evening give we precise direction get back . Channel know city like back hand ! ! ! ! look forward talk see beautiful smile behind counter . do not get say goodbye check Monday ... please give Special thank Soto Family ! ! ! ! aside exceptional customer service hotel immaculate . stay hotel NY one compare one . room bit small that s expect NYC . bed beyond comfortable ! ! ! location could well . two block Penn Station walk distance Times Square . definatley back . please tell Melissa Channel can not wait talk . GREAT ! ! ! 
 Nov 17 2009 	 Great Location 	 back 4 night stay New York . hotel perfect location visitor . room small side , not room price range small . really not spend much time room be ny anyway . hotel really modern compare ' ve stay New York , really clean helpful staff . walk shower great . drink bar little pricey , plenty other choose area . 
 Nov 11 2009 	 great help find lose cell phone 	 Special thank Ahcene , Wyndham hotel NYC , gracious helpful . lose cell phone although already check , go back we room , find cell phone bed . appreciate much . 
 Nov 10 2009 	 friendly helpful staff . room clean good location 	 room clean , well appoint bedroom tad small , ny . staff friendly helpful . breakfast choice excellent convenient . location convenient Penn Station , Madison Square Garden . Penn Station great get JFK Airport , Long Island RR Airtrain JFK . close Time Square without commotion . 
 Nov 6 2009 	 good New York hotel ' ve ever experience ! 	 travel NYC October business trip plus sightseeing holiday . hotel perfectly situate Jacob Javits centre , also quite short ( ish ) walk Times Square Macy 's course . the hotel excellent value ( book hotels.com ) room spacious , well equip room ' ve ever experience 7 8 visit New York . enough space side bed put case , desk , decent view neighbouring building glimpse Hudson River , spacious bathroom lovely shower nice - smell toiletry . bed comfy room extremely quiet . food hotel great - free breakfast voucher - lovely spread breakfast ( cook bacon , egg , etc cost extra ) - fresh fruit , yoghurt , pastry , bagel , waffle maple syrup . Yum ! also eat one evening , although catfish sandwich pretty awful , rest food superb , include bar snack . cocktail fab well . service absolutely BRILLIANT . every experience hotel staff , check room service lady , regular cleaning lift , helpful guy help we carry everything taxi checkout , impeccable . everyone polite helpful ( even have lose room key 2nd time ! ) , make stay even special . we would definitely stay ' ve already recommend plenty friend work colleague . thank much great time ! 
