recommendation 	 book executive room 3 night Friday - Monday give room face interior yard hotel find nice realize room next engine room - hardly possible sleep since hum machine come wall . book special rate expect good room category clearly one able sleep without disturbance noise come ventilation system . bathroom need renovation 100 % clean spacious . ask another room next morning tell pack luggage Hilton staff would move belonging newly assign room . return afternoon luggage still old room finally move suitcase . second room 6th floor , Terrace Floor , must recently refurbish since decoration much nice rest floor / room . room small first one quite . however one could hear guest room next door talk bathroom . ( smell smoke bathroom non smoking floor ... ) one bathrobe room even two . orderd room service , average hotel food . leave evening tray , put outside room still . return hotel 11:30pm want take night cap bar . first thing waiter advise , bar would close 30min . ask drink menue bring wine list wait impatiently next table . actually want whisky never give we menue finally leave take drink . outside room still tray room service , quite surprising since turn service room . maid assume one guest room well . tray still outside room - 24hrs order food - come back next afternoon leftover start smell . 4 employee room next we , seem issue condition guest leave , none remove tray finish cleaning . come back night tray finally remove turn service realize 2 guest room . breakfast executive lounge good table never really clean scrambeld egg old cold . check clerk ask we enjoy stay neither wish we nice day . location hotel great attention detail really strength staff find particullarly friendly helpful . certainly recommend hotel friend avoid book Hilton future business leisure trip . 
 good stay not look hotel give ' experience ' 	 good choice hotel want somewhere convenient stay Paddington , step away Paddington tube / rail station . hotel experience average , staff fumble check mood generally impersonal need . base explore London , Paddington convenient tube station well connect important line . room spacious give London , decor date room smell cigarette even though suppose non smoking . internet access expensive , internet cafe dot surround street . overall , good stay be not look hotel give experience . 
 Nov 23 2009 	 good location wonderful staff 	 good location wonderful staff . room actually large find hotel area , well appoint . 
 Nov 9 2009 	 average experience . 	 stay two night weekend . hotel convient paddington rail station choose . Room get large nothning special bath . excellent baby ! dinner hotel first night . Buffet . food average plenty hungry . service fast . breakfast pretty standard . husband complain tasted like go . Baby agree . would stay location bit not add make excellent hotel . 
 Nov 7 2009 	 Nice Hotel exceptional 	 hotel fantastic location right next Paddington station / Heathrow Express . staff part friendly helpful . room large , spacious extremely clean . breakfast Executive Lounge superb hotel 's location close Oxford / Regent Street ideal . on down - side - shower dreadful - one minute lukewarm 2 second later ( be ) literally scald hot . Saturday night prepare go hot water call reception rudely tell technican available early could address Sunday morning find really unacceptable . price per room would expect big problem like hot water immediately remedie . mini - bar also exorbitantly over - price - need water snack would recommend use & amp ; next hotel entrance ! ! minor note tv selection quality poor . many blockbuster movie be not even available English ( despite advertised English ) . mention reception inform nothing they . overall nice hotel term decor layout esp location , bit let - down term customer service small extra . 
 Nov 3 2009 	 good location nice hotel . 	 hotel location convenient , opposite tube station , two mintue walk train station . we stay two night could fault thing . room nice size , bed comfortable , lobby area nice . hotel room service restaurant good . hotel staff pleasant . little bit expensive think worth . 
 Nov 1 2009 	 excellent location great room great service ! back soon friend family ! ! 	 go day away last minute great time stay hotel . fantastic location - travel train marylebone , two stop away paddington tube station . really pleased see hotel right opposite tube station ! ! welcome hotel cheerful doorman . could not check hour time ( quite early ) go lunch . 40 min later guy work lobby area check we see we wait around . pleased room , great size , load space . clean smell nice . everything look quite new . look window see people office next door - really quiet room hope . face another set room , would rather road . bathroom lovely - towel huge lot lovely toiletry . hairdryer room luckily ' proper ' one - one attach bathroom wall . full size iron board . load wardrobe space hanger . bed huge really comfy . flatscreen tv . tea coffee make facility nice . really could hear sound night 8.30 morning . eat casino restaurant first night - fabulous ! gorgeous surrounding decor . really clean staff really friendly . fillet steak extra veg side fish chip . came look fab - fish fillet prop chunky chip , fillet great size cover pepper sauce . around 3 drink . hotel guest get 20 % - altogether bill come £ 34 ! ! ! fantastic ! ! could fault food service - please - especially price . overall - can not wait stay - hope get room nice one time . love location close hotel entrance station . recommend hotel everyone ! 
 Oct 30 2009 	 Central London 15 minute Heathrow ! 	 ok , hotel mixed review picky Hilton Diamond Member pick hotel sit Pddington Station home Heathrow Express train . 30 minute customs hall terminal 1 hotel . hotel kind hard describe . old hotel Hilton buy put much money . staff friendly , room clean , location great . many market station surround neighborhood get good price food . tube line underneath get around London . look good base hotel . would pay much however , able get Visa 25 % deal $ 140.00 night good London . 
 Oct 25 2009 	 convinient location 	 room 3rd floor spacious , clean . light good , room bathroom . room little worn , wallpaper mark peel . matrasse newest either , fairly cheap quality . bathroom tub little mildewy though smell -even next day- chlorid clean . ( probably clean , somebody make room due Disturb Sign door . ) shower curtain miss interior part . spacious bathroom plenty space place bathroom amenity . room window open little , rely AC , work well ( set cooling , need ) . roomwall thick , lucky neighbor turn tv loudly . internet access expensive PoundSterling 15 , - per 24h . check - in staff allow room early . thank ! breakfast intermediate quality , basically nothing special taste - wise , though staff work friendly , helpful service - orient . say check - in concierge staff . sell point easy access airport . Heathrow Express bring LHR airport hotel locate Paddington Station within 20minutes . underneath / next hotel theTube Station three different subway line , one Bakerloo Line , easily bring within 15 minute west end ... pa system definately work . lucky experience , due London unusual evacuation alarm go one evening . hotel appear pretty secure due plenty CCTV camera locate corner ceiling , though elevator access restrict room key card street emergency exit close either behind evacuation . however , would stay , rather one fake alarm many real fire . evacuation notice room safety exit map post room 's door . 
 Oct 19 2009 	 Okey . 	 okey stay . since Hilton - hotel expect bit get . breakfast okey , room okey , everytime small thing break . like flush toilet AC . 
 Oct 16 2009 	 great hotel perfect location 	 stay hotel October meeting London Thames Valley area . location fabulous , take 40 minute seat plane reception hotel use Heathrow Express - everything go smoothly ! ! location hotel perfect , accross platform easy walk access major site London include Oxford Street . room spacious , good housekeeping , bed comfortable . breakfast restaurant offer wide variety meal drink , staff friendly attentive detail . reception staff helpful too . you may find many cheap option London , look good quality hotel easy access LHR good location , Hilton Paddington tick box . 
 Oct 15 2009 	 convenient location terrible stay 	 listen LOUD party late night hour - could not relax work . reception guest relation desk UNHELPFUL 
