great 	 pay stay 6 we happy . staff fine friendly . would stay problem . room basic clean comfy - towel available ask . its Travel Lodge Ritz people know book ! short walk Wetherspoons full english £ 2.99 fab ! 
 good base put head 	 book hotel read reviewson site , apprehensive say least arrive . first impression not great , road come leave bridge look seedy , however right like usual street . would not come bridge way night . window dirty reception not attractive , however staff helpful check we quickly . book 3 room pleased condition cleaniness 3 . tea / coffee make facility flat screen tv . clean white linen bed . corridor smell musty room do not . use hotel sleep nothing place dump bag ideal we . Nearest tube 5 minute walk awayweatherspon breakfast end road £ 2.99 full englishthis hotel extremely basic that s expect , clean staff friendly . ideal base get head night . 
 Oct 20 2009 	 Cheap Cheerful 	 spend four night total cost £ 127 2 people include cook eat breakfast . it little beat track well use base rather holiday destination . zone one Underground system serve tube station 5 8 min walk away Aldgate East . room ( room 108 ) first floor , whilst basic , bright , modern warm . however , shower tendency occasionally run hot water one reading lamp break - report day 1 fix . window face street open six inch ( security ) . twin bed large comfortable . good choice room site front hotel away noise Fenchurch Street rail station rear . bar area double breakfast room comfortable ; however price , London standard reasonable . there Wetherspoon 's chain pub - Goodmans Field - 8 minute walk away Mansell Street use twice find food satisfactory . all sound base business user , like we , day take couple show . finally , taxi fare King 's Cross - £ 12 . not use anything Black London Taxis ( except Tube ) believe , likely ask considerably . ask Reception get we taxi . unmarked vehicle arrive , take we mystery tour King 's Cross ask £ 22 ! ! ! give £ 10 threatened report . soon clear . aside London break thoroughly enjoyable . 
 oct 2 2009 	 good value hotel ideal group lad 	 stay two night group friend . one couple group hate hotel mostly afraid walk hotel night tube . rest we find hotel ok . decent location five minute walk tube . clean , room ok staff seem friendly cheap . complaint hotel 
 Sep 10 2009 	 Business stay .. 	 room clean , not make problem . in room : phoneno clockno hair dryerno washcloth ! 1 hand towel 1 bath towel . 1 small bar soap . no free internet . option , 5 GBP per hour , 10 /day 20 /week . cheap ! poor sound insulation . ground floor could hear every toilet flush room around mine . sleep Bathroom door close . People hall .. could hardly tell knock door room another . main entrance alley , nice neighborhood . 's bit disconcerne head return evening foot . 
 Sep 5 2009 	 friendly staff . 	 hotel clean lovely helpful staff . ten minute walk tube , know way walk come tube . side hotel side street dark walk night hotel lay breakfast we 05.45 . good size room room view one side train building wall . 
 Sep 2 2009 	 great locate MOTEL 	 stay 2 night 26pounds sterling per night , book line 2 month ahead ; price good motel London ! room 4 ground floor - restrict view quiet . MOTEL [ parking ] ' ve review . much contact staff speedy friendly . 
 Aug 25 2009 	 unhelpful unfair unsatisfactory .... unlikely use Travelodge 	 think room reserve , beware . overbooke common practice - expect ship another hotel upon arrival . staff incredibly unhelpful . the refund be promise part Terms Conditions ? well will well get without go small claim court . customer service response must mail , answer within 10 working day - ' ve wait 18 working day , send subsequent mail , make 7 call back request ...... still wait ! joke company ! 
 Aug 18 2009 	 avoid 	 ' why oh did'nt review hotel website like normally ......... oh well age overconfidance suppose . previous reviewer say really however would like add comment . beware room 303 air con working approach two seperate member staf give script answer ` ` travel lodge gaurentee air con room even though provide fan '' close anything script . tired dirty bathroom enough towel hotel really ryan air hotel world , mind every intention speak mind reception ask obligatory question ` ` enjoy stay '' quite frankly take pity girl reception age daughter hence rant ! ! sorry . short like previous reviewer state ( must ) well hotel London . 
 Jul 14 2009 	 not stay 	 stay many hotel London , far bad one . with Travel Lodge tend expect bog - standard level service quality . however hotel fall far expectation Travel Lodge , usually meet even exceed expectation . location : firstly , hotel situate close proximity Aldgate East Tube Station . we arrive tube station expect hotel visible , walk street realise rather lose ! go Aldgate East Ibis Hotel ask direction , may say friendly happy help . however 15 minute walk rather worryingly dark quiet area London . thankfully , admittedly would feared safety . we gladly spot hotel , actually situate along dark miserable look side street ( say ' alley way ) ... think street name give clue : ' Chamber street' . Appearance / Cleanliness : outside hotel look like secure psychiatric unit , distinguish familiar Travel Lodge sign . inside reception thing look slightly , point resemble ' not bad ' hostel . room , okay ... bedding , linen towel fine . major complaint apart shower basin look like need good scrub window restricter completely break , meant window could open fully , not big deal we - certainly would frown upon health safety , good anyone feel suicidal child . also room seem lack double glazing certainly not aid sleep ! service : real encounter staff arrive check , instead friendly welcome response & quot ; let finish check email , minute & quot ; * roll eye * . colleague not usually bother breakfast feeling peckish decide give go . sign read & quot ; Wait seated & quot ; wait , wait wait , 10 minute gave help ourself fruit juice , seem edible thing offer . so summarise , unless be absolutely vital ( health safety inspector ) stay . much well even cheap hotel Central London . 
 Jul 1 2009 	 Great location - expect noise 	 great stay comfortable room . unfortunately hot open window backing train line . Staff happily move side hotel help lot . 
 Jun 30 2009 	 great value 	 friend stay travelodge room 110 . much well term decoration travelodge stay previously , relatively modern flat screen tv etc . location good 5 minute walk Aldgate east station 10 minute walk London bridge . also 10 minute St Katherine 's dock Waitrose . problem could not figure turn air conditioning . room really quiet London . 
