hotel 	 hilton downtown , lot history , film make , build large hotel world , call steven . 
 Nov 17 2009 	 Good Hotel clean quiet 	 look hotel cleand quiet , one fit bill . roomsare well appoint , bed comfortable . somefood option 3blocks street . parking behind hotel $ 25 per day . I stay stay . 
 Nov 16 2009 	 good overall weak little thing 	 Hilton four day conference . always roommate friend , first experience two bathroom , two closet . make lot thing easy ! room large clean bed comfortable . towel large wonderfully plush . think service good staff pleasant . little thing seem odd : drink tea . use two tea bag provide room first day , never replace , though cup regularly replace . fortunately bring along tea , not hardship interesting oversight . two lamp room -- one desk one bed . barely sufficient room size . also , way one we could stayed read , etc . , without bedside light disturb person . finally , whoever get idea elevator need television fire . must television , least turn ! National Communication Association - 6000 we . talk , even elevator -- especially elevator ! every elevator , sound television loud raise voice talk . coincidence , last day every time get elevator commercial ( yes , commercial ! ) kind welding service run , back heavy metal - style music . woman get elevator ask , alarmed , & quot ; new style elevator music ? & quot ; ...... 
 Nov 14 2009 	 downhill turn great hotel take 	 listen folk , compare holiday inn , wow great stay . Chicago Hilton . know grandeur service , pay ! disappointment ! stay Chicago Hilton several time stay . young girl , place like palace . perhaps become critical aged , GREATLY disappointed stay . first , stay allege 4 star hotel , expcet 4 star hotel service . currently pregnant , travel around go diffucult . depend service order make stay pleasant one . first , call ahaed ask bottled water stock room . nothing fancy , could 4 - 6 bottle water waiting room . pass four different people 15 minute later , tell could order arrive . UGH ! arrive hotel , stand line long time . turn take much long time usual check . ? room apparently heat ! ! ! ! , decide go put smoking room ! ! ! ! hello , could look 2 second , recognize enourmous buddha belly , realize smoking room DEFINITELY work . decide point 1 . pregnant , 2 . smell alone make vomit entire stay , 3 . asthmatic , could DIE person next door smoking , 4 . would rather subject unborn child 2nd hand smoke . 20 minute later FINALLY find room heat non smoking . could offer seat something ? ! stand , pregnant , luggage . . . nothing ! get room double , single , know 2 bed , 2 bathroom , 0 luxurious robe use provide . $ 40 ! ! ! ! ! ! later evening , dinner theater , return find forget contact solution . EEK ! , typical hotel would SOL , chicago hilton . last 4 star hotel stayed pick local store charge arm leg . call front desk tell gift shop , close ( well thank information ? ? ? ) , 7 - 11 3 block away . pregnant people ! ! way walk 3 block downtown chicago middle night contact solution . ask way could assit , afer explain pregnant . nope , thing could . Time time , nothing could response . 4 star hotel answer ALWAYS yes price . : - ) add note , friend say room terrible ( look -- -- dirty , old , icky ! ! ) , towel something would use regular towel home , much less guest towel , shower low pressure . overall , would say going spend big buck hotel stay -- -go 4 season -- want cheap , stay radisson downtown MUCH well service LESS cost . bad . . . use wonderful hotel chicago . . . suggest radisson . also , gym wonderful cost $ 20 extra day ! 
 Nov 11 2009 	 stay wheelchair 	 Hilton wife wheelchair , find property ( honest Chicago ) unfriendly handicap . front entrance Michigan Ave handicap door equip despite two revolving door least 10 other . disappoint Hilton property pay $ 300.00 night stay . stay 3 night , cancellation policy not poor.we would switch another hotel . entrance door heavy close together wheelchair even open double door entrance one time . wife hit twice face door despite friend help open door wind blow make door heavy people would lose grip , wife travel independently throughout nation approximately 80 - 100 night year employer , would rate property one bad nation front entrance . poor entrance hotel grand inside nice go back time enjoy elegance common area . 24th floor & quot ; executive floor . unfortunately Embassy Suite well food selection offer . poor quality wine $ 8.50 glass . fact last Americann Inn stay Park Rapids , MN well breakfast . course could order two egg , hash brown , bacon toast juice hotel restaurant $ 76.00 3 people ? ? ? ? yes spendy inspire least . course $ 300.00 night would expect free wi - fi internet , would another $ 20.00 glad verizon card . guess tell impressed old Chicago feel property . anyone disability think twice even get front door . make difference choose Hilton property . almost forget lakeside count hear elevate train go every 8 minute like otherside property . make conference call difficult . 
 Nov 9 2009 	 hotel get madd elevator . 	 hotel many elevator would switch elevator go high floor . 
 Oct 28 2009 	 second stay well 	 second time stay Hilton Chicago , experience pleasant first . ( note : first experience unpleasant . ) hotel historical , not expect modernized Hilton . expect modern electronic , however . room clean . wall thin Hilton hotel wall tend , not experience street / city noise . convenient McCormick Place , 's bit walk main tourist attraction . complaint , though , be quick cab ride main attraction . hotel restaurant nothing write home , decent . expect hotel busy large accommodate many people . also , not surprise share hotel conference attendee , may attend conference Hilton McCormick Place . 
 Oct 19 2009 	 Fantastic Location ! hotel need renovation ! 	 travel Chicago ACS meeting past weekend . decide bring child along explore beautiful city Chicago . weekend also marathon hotel capacity . overall , location absolutely perfect kid . hotel understaffed need major renovation . stay & quot ; suite & quot ; , sort bar , little room . view lake amazing . location make Chicago 's attraction convienient , worth . husband upset internet free $ 400 plus per night price tag ... 
 Oct 19 2009 	 Classic Grand 	 lovely stay Chicago Hilton . arrive early able accommodate early check 10:30 , plus receive free upgrade room two bathroom large walk - in closet . room clean , linen luxurious soap high quality . stay many nice hotel would put one high list . feel hotel need upgrading . classical feel high quality grand ambiance . room old fashioned TV , not Chicago watch tv . one complaint , room bit warm . 
 Oct 14 2009 	 need renovation 	 classy old hotel lot history . friendly staff . room big typical hotel need renovation . clean though decor somewhat depress color . even problem lock tv . fix time . safe area nothing around . hilton main part Michigan Avenue store shop . right across Grant Park . bit distance close CTA station do not necessary recommend take metro OHare . I meet . come back family , would stay another Hilton somewhere middle touristy area . stay , nice hotel 
 Oct 10 2009 	 Satisfied Hotel 	 wife one night take advantage amenity build . find room quite comfortable , clean . well - maintain . hear street noise sound adjacent room hallway . the problem clock radio set hour early not notice morning . apparently never get set ahead Daylight Saving Time last spring ( October ) . could see -- could figure change time likely one else could either . case center - city hotel , extras free . pay parking , internet service , breakfast , etc . visitor prepare . also , expect pay extra want view room go face building . expect big city noise : siren , garbage truck , etc . 
 oct 9 2009 	 Superb service 	 Superb service begin moment arrive . check - in quick painless . room priceline $ 75 . surprise , award room two double bed , also two full bathroom , 21st floor ! refrigerator deliver quickly charge . bed extremely comfortable linen supply abundance . complaint thermostat room seem broken , chilly . call front desk result 2 blanket deliver short order . mainenance man seem fix thermostat number box seem match temperature room . fan still blow cool air , however . room temperature never get 71 degree , would acceptable . turn fan use extra blanket seem trick . notice bathroom comfortably warm . location convenient Millenium Park , Grant Park , Buckingham Fountain , bit far nightlife . overall , great experience ! 
 Oct 8 2009 	 good hotel 	 nice hotel , price pay bit high ( get pay , right ? ) 
 Oct 8 2009 	 good service busy hotel . 	 stay HIlton Chicago weekend Chicago Triathlon quite pleased service despite fact hotel fully book nervous triathlete wedding participant . staff front desk accomodate . room , view lake want . ' ve stay Hilton several year enjoy proximity race local attration . 
 Oct 8 2009 	 Great Place stay 	 great place stay . stay hotel 4 night really good . enjoy place . 
 oct 8 2009 	 great hotel conference 	 attend customer conference August 2009 impressed hotel . attend customer conference different venue prior year , say hotel / conference experience good Hilton Chicago . charming hotel beautiful room . ballroom amazing . conference space well lay not hike really far get one conference gather another . location wonderful . can not beat able walk front hotel park within short walk Lake Michigan . trouble first two room smell strongly smoke . change room , trouble , wish would offer upgrade -- least lake view ! food serve delicious -- especially conference . 
 Oct 8 2009 	 disappointing ! ! 	 really look forward stay " Hilton " Chicago right front Grant Park overlook Lake Michigan . boy ! disappoint … room carpet dirty , tv break , bathroom old leaky . pay two hundred dollar night hotel charge 20 internet , 6 dollar bottle water 20 parking ! ! room service & quot ; added & quot ; charge obscene ! ! menu unappeale . one colleague get room without temperature control , breakfast order room service Monday still outside room Thursday ! ! ! service regular well , definitely go back " Hilton " Chicago . 
 Sep 24 2009 	 Palatial ! 	 first hotel US ( start Route 66 tour ) pre - book UK . expensive ( far cheap book whilst States UK ) . parking site , multi - storey affair , extremely expensive - $ 49 24 hour . overall feel hotel good , huge somewhat tired - would not call cosy . room big two bathroom ( first time ever ! ! ) think rather excessive , actually enjoy ! ! particulary great view room , one well one . hotel date 1920s ( ? ) elegance beauty , hotel big need bit update . say , really enjoyed stay good position walk Sears Tower ( Willis Tower ) lot attraction . not need use car whilst stay Chicago . staff helpful . not eat breakfast - expensive . turn leave exit main entrance , find place eat far away . ( unfortunately first night turn way could not find anything tired hungry ! ! ) Chicago fantastic ; skyline incredible . worth go tower trip river / lake . we buy sit - nav help we find way around glad . cheap buy one hire one . start Route 66 struggle find begin end get city pick route Joliet ! Doh ! 
 Sep 23 2009 	 Great Location . 	 stay Hilton Chicago first night Route 66 trip . could tell fitting fixture hotel design build grand era . room spacious ( 2 bathroom 24th floor ) . hotel great location close lake ideal start Route 66 . parking expensive usually case prime big city location . 
 Sep 21 2009 	 luxurious stay Great Location 	 spend four night Hilton business trip . take Orange Line Midway Airport , five block schlep luggage . check - in fast friendly , quickly arrive room 20th floor . upgrade king bed two bathroom . probably large room ever stay , forever spoil two bathroom . one bathroom quite large average size hotel . water shower hot plentiful , towel large fluffy . part room pretty quiet , occasional water noise hear . EXCEPT - El train block away . hear room , especially back side hotel . hotel elevator plentiful quick , never wait long despite convention hold building . eat Hilton , enjoy drink wonderful irish music hotel 's restaurant / bar , Kitty O'Sheas . beautiful hotel , find location convenient walk nearby park attraction . big beef ? charge internet service ridiculous - anywhere $ 14.99- $ 19.99 per 24 hour time period depend speed desire . aware charge per computer . husband laptops , one sign service use . can not believe buy dollar cup coffee McDonalds use internet free , can not free internet pay $ 200 per night hotel room . 's robbery ! 
 Sep 13 2009 	 Disappointments Better Average 	 husband spend long weekend Chicago , book room Hilton recommendation friend . lucky get deal online include discount self - parking ; otherwise , think would kept look elsewhere well price . the staff friendly professional get we check quickly , let we know want lakeside room ( mention online reservation request ) , would cost additional $ 25 per night . pass lakeside room , would essentially negate parking discount . , get south - face room 11th floor view Essex hotel next door : say , absolutely view . minor disappointment include lack refrigerator , small bathroom , neighbor toilet - flush / waterpipe noise loud enough wake we night . also , would enjoy winding night television , except favorite cable channel ( Food Network , Travel Channel , Discovery , & quot ; geek channel & quot ; ) not available Hilton . on plus side , bed comfortable , AC digital thermostat ( clean staff not readjust temperature , appreciated ) , hall relatively quiet . elevator 11th floor quick , tiny television show CNN . stop Kitty O'Shea 's Saturday Sunday night dessert drink . live irish duo Saturday night add ambiance , enjoy . the hotel relatively close public transportation -- particular , Harrison exit Red Line . husband not feel uncomfortable walk around neighborhood night , whether get back train station wander around enjoy city . overall , pleasant enough stay , think will look something little personal less pricey next time , even mean stay stop outside downtown . 
 Sep 9 2009 	 Good Value Location 	 family spend long weekend premium hotel . beautiful historic hotel staff professional helpful . partial lake view room two full bath . family four , two & quot ; historic sized & quot ; bath far well one large modern bath . overall room clean well maintain . we choose eat hotel , though Starbucks nearby , place eat within walking distance . also good size lap pool enjoy well . we use transit system primary mean transportation . Harrison ( red - line ) red - line station block behind hotel provide quick access downtown . also appreciate express bus ( CTA # 10 ) Hyde Park attraction leave across street . get Harrison station pass college dorm may come across student student . another option catch bus ( CTA # 3 ) downtown across street . we find people ( student ) Chicago friendly willing offer advice direction . look forward visit Chicago . 
 Sep 6 2009 	 Nice hotel money - grab 	 stay three night start Route 66 Road Trip . upon arrival hotel self parking block ask jump bell boy stupid hat park reservation , rude chap virtually bark full use concierge parking , ' like concierge parking price $ 53 per day case , lazy able drive car park . pull concierge ask self parking say ok , problem . jump bell boy shout guy say concierge really talk . hand key pay scandalous fee . blatant room self parking another way squeeze money customer , review trip advisor state . check swift upgrade room Hilton HHonors member . room nice comfortable bed , two bathroom , plenty closet space clean . even get voucher get complementary bottled water . the hotel great location right Michigan Avenue minute walk Millennium Park . if ' unpleasant experience arrival would give hotel high rating . 
 Aug 30 2009 	 nothing special ... 	 stay one night . check in / out fast belong Hilton Honors Club , would recommend make check in / out less hassle . room high floor face west , not much see far south Michigan Ave unless face east towards lake . room two queen bed two bathroom . neither bathroom big enough swing cat ... date show sign wear tear peel wall paper , dull stained sink tarnish fixture . not eat hotel can not comment area . use indoor pool fine . the location little bit far south way sightseeing . close Art Institute Milleninm Park course Lake Michigan block east . area directly west hotel feel little dicey not somewhere would walk alone nightfall . 
 Aug 25 2009 	 great hotel fairly expensive 	 hotel beautiful inside . lobby big really beautiful . room good part . friend 2 double bed 2 bathroom . I ve never hotel two bathroom one room ! ! location ok . beside state street would rather stay magnificent mile next time there s well shopping way . however provide free shuttle magnificent mile everyday save get bus . one thing go hotel price . expensive . work aroun 200 euro night . afford great hotel kind money could stay magnificent mile would better location . 
 Aug 24 2009 	 many great hotel stay Hilton Chicago ? 	 lobby beautiful , ballroom . check slow , although staff courteous friendly . look room line greatly disappointed open door . small crowded furniture ( although easy chair ) . open bathroom door , hit toilet . ' ve big bathroom Motel 6 . carpet could stand replace bathroom tile grout could use professional work . bathroom well - cover other . & quot ; command view & quot ; next tower Hilton , foot away . request extra pillow , . coffee tea room . could not get answer front desk housekeeping , call hotel operator . someone bring enough minute . like news , sport , Hilton/ Chicago channel ( other ) television adequate . could not find telephone book kind directory ( i.e . : church ; hospital , etc ) . air conditioning system apparently right outside window run constantly . say air conditioning room work well . people mention , internet expensive . find bed soft . restaurant overprice , eat Kitty O'Shea 's one night . potato leak soup ( $ 6.00 ) partner Shepherd 's Pie ( $ 13.00 ) . ' ve eat UK not recognize either dish . Shepherd 's Pie especially bad seem like can beef soup ( light beef ) mash potato top . discernable season either dish . service slow , friendly . trouble several time room key working ( hear people express thing ) . front desk assure we near credit card , cellphone something else magnetic strip . find key work sometimes other . clean staff friendly accommodating . self - parking $ 43 night ; valet parking $ 55 night . street hotel valet parking $ 32 . room service menu show price increase $ 1.00- $ 2.00 per item , 18 % tax , 3 % tax , $ 4.50 room service charge ! bowl oatmeal $ 8 bowl room service ..... one Concierge person talk friendly seemed bother . seem lack attention detail many area . one upside Buddy Guy 's legend block away . for money , would go back Fairmont . 
