phenomenal 	 everything stay flawless . bring check - in area , comparable large living room . sit ( stand check - in desk ) key card bring we , offer bottle champagne , wine water . a special thank go vanessa front desk ( hope ' remember name right ) … she go long way make stay special we ! room awesome . unbelievable view city , furnishing really cool . bed comfortable , bathroom sleek clean . I highly recommend check place , even one night … we ' want leave . 
 Nov 23 2009 	 true New York City hotel 	 town tourist stay one concrete masse Time Square proximity everything touristy . want true sense NYC interested stay brand new , 5 star hotel .... recommend Cooper SquareThe service impecible . ambiance first class , feel like stay people & quot ; NYC & quot ; , versus cattle call hotel full tourist kid . you 10 minute walk Greenwhich village , 5 minute cab ride Little Italy restaurant , subway stop less 200 yard away . overall .. a. great stay have opportunity 
 Oct 30 2009 	 horrendous experience ! 	 one , many , many problem hotel:1 ) want leave immediately check - in impossible take 20 minute bring bag room ; 2 ) room three hanger two people stay three night ; 3 ) could open close window without call front desk . take four hour someone come , prevent we go bed ; 4 ) one know activate Wi - Fi ; 5 ) charge courtesy bar even though never open ; 6 ) two day housekeeping come call 6pm . we could believe bad service throughout hotel . would never go back ! 
 Oct 24 2009 	 really cool hotel confortable bed ever . 	 amazingly cool hotel , love love love . fantastic location . downside - tiny room $ 400 night include tax - although seriously still love hotel absolutely go back . price ( extensive ) mini - bar mean pay $ 8 bottle three small bottle water ( 200ml ? ) , not know much would pay use fascinating personal oxygen cannister . Taxis not know - uncool put name outside ? fact last point almost upside well .... upside - start ? must bed , like . end trip sleep 14 bed great hotel , one completely different league . comfortable , plus amazingly comfortable pillow duvet - go ny rave hotel bed seem somehow wrong sort level , go . upside - lovely staff - friendly , great bar area , nice glass wine arrive . plenty anecdote later - example bar dark husband want read , friendly member staff suggest library . equally dark , helpful man bring scented candle read .... 21st century New York City ! . 
 Oct 18 2009 	 Quality design 	 design sick many call designer hotel market fail deliver - one try . building interior well think obvious quality interior furnishing . great room , wonderful view city floor ceiling window . bathroom also plenty natural light great walk shower ( tub - problem ) . library theme hotel wonderful selection book throughout ( Lobby , well room ) . great distraction regular hotel pursuit TV Internet ! move away hotel experience , getting rid Reception Desk check informal , Lobby Lounge . restaurant bar hip although time enjoy , look popular . location good , still come seem quite lot construction area . however close Bowery Soho , walk distance great shop restaurant ( would recommend restaurant call public , nearby ) . staff friendly helpful , lack little polish . also free Wi - Fi . 
 Oct 12 2009 	 trendy convenient 	 Booked hotel week brother sister stay visit New York . spend night hotel convenience . anybody know downtown area know hotel great convenient location . close ton food bar east village , close number subway line . hotel pretty unconventional . front desk , room look like nicely decorate living room . greet friendly staff check wait couch . room clean . small , New York standard . bathroom spacious though . 
 Oct 6 2009 	 Nice hotel great location . 	 stay Cooper 2 night late september , pay $ 280 night via quickbook , good rate good room . small , be everywhere ny . bed amazing , say . shower good well . nice reception upon arrival . staff overall friendly . location pefect , close bunch shopping ( dangerous ... ) , take run along East River . Whole Foods block away , always convenient . 
 Sep 21 2009 	 expensive 	 Coopers Square one advantage : monopolistic location ' new ' , walk distance NYU - Washington Square , Greenwich Village , West Village , much Soho upper - class ... $ 400 price - tag room bathroom ridiculously small , minor irritate thing like cheap thin toilette paper small towel clearly save fabric - softener add insult injury . 8 ride tiny elevator squeeze room - service 's cart 3 time : would great hotel price half charge .... stay farer away take cab to / from Greenwich Village / Soho area sound well 
 Sep 13 2009 	 good bed ' ve ever sleep . ever . 	 stay one night way somewhere else . jetlagge basically go straight bed . bed . be like sleep cloud happiness . reason would go back . reason would not . room smallish , ( big Standard big Soho Grand - way someone going make website tell we exact size manhattan hotel room ? be need ... ) staff seem nice enough . bar downstairs pretty hot right - shatter even consider . reception area extremely charming , book everywhere . Jetlag send bed 8 pm , noise bar wake 9 pm . ( room 3rd floor . ) ring reception umming awwe transfer 5th floor . princessy ? hey ho . 
 Sep 13 2009 	 non - service get reinvent every day 	 first plusse : great location friendly staff make know ( dress casual clothe ) delta : room walk US $ 500 night room ; price list mini - bar item ; noisy room : ever one neighbour leave room hear ; noisy airconditione pipe - system guarantee wake least three time night ; maitre restaurant inform not work Buckingham Palace , please drop attitude pal : 1 hour wait table 5 table clearly available anal . cooper sq recommend not hold 's promise . checking could make corporate Hotel company . BIG MISS ! ! ! ! Disappointed . 
 Sep 3 2009 	 anything SQUARE ! 	 fact , not get hipper ! travel back US two kid , make weekend pit stop NYC , end one corner suite . kid bedroom - Dad make blow bed living room , suffice . love funky vibe hotel , great little touch - seat lift - state art bathroom , generous assortment goody arrival ( wine , cookie etc ) - complimentary internet even have officially check ! another big plus - close proximity truly wonderful restaurant , particularly Indochine Japonica - within walk distance . if be like not enjoy stick traffic , , take cab Penn station catch train JFK - 30 minute ride . well worth return visit ! 
 Aug 28 2009 	 Brilliant funky modern hotel wonderful staff ! 	 spend 4 night hotel August 2009 write one bad thing ! conservative , go elsewhere . 's modern , cool , yes , hallway extremely dark . go bother , go elsewhere . room small , say , still manage find convenient place two large suitcase without much drama ... still easy access ! bed comfortable , shame Manhattan , could stay bed entire stay ! iPod dock ( Sony ) seriously well ever hear . fact , buy one ! small , amazing sound ( tiny subwoofer bed ! ) . bathroom great . room large amazing shower ... plenty wonderful pressure . bathroom light dim , not bother . staff also wonderful ... always open huge entry door , along friendly & quot ; Hello & quot ; ! whenever order ice iron , always come promptly without fail . checkout , bit disagreement bill ... nothing really hotel , 3rd party website book ... staff friendly , fix bill minimal fuss . manager deal Alison , BRILLIANT . hotel need manager like ! oh , get free pass huge fitness centre across street . definitely big selling point like gym ! ! not see advertised website , pleasantly surprised find check - in ! definitely back ... hope hotel get well review come month ! 
 Aug 28 2009 	 designer delight 	 stay two night , choose Cooper Square pretty last minute . want contemporary hotel bit wow - factor would spoil we without break bank . disappointed ... 's super - cool welcome intimate designer hotel . design really stunning original well think touch ( like classic design poetry book room ) reception bedroom - upgrade give nice chill glass wine sign . could want ? staff helpful happy . stay ' cooper 3 ' rate room - large really nicely think . crisp white perfect cotton bed linen possibly comfortable super - king - sized bed ever sleep . huge die - for shower . view 9th floor ( floor - to - ceiling picture window ) Lower East Side Brooklyn bridge far distance . like area - sort equal distance anywhere serve two subway line Astor Square three minute away . East Village mass great little restaurant . big thumb . one gripe : need learn make tea ! 
 Aug 20 2009 	 would 	 book last - minute business trip NYC via expedia decide try Alonquin ; however overbooke select Cooper 24 hour arrival , knowing exactly expect ( 4 star ) since open month . stayed one night & quot ; Cooper 3 & quot ; room extremely pleased : perfect bed , huge walk - in shower , free wifi , good size room ( tad small side ... ) , well incredible unobstructed city view : could stared floor ceiling window hour . get chance try restaurant , room service , bar , etc . staff nice attitude free , even agree early check - in 6 hour ahead time prior notice argument , book , truly excellent . got great rate via expedia ( much low basic $ 425 rate ) would happily go . 
 Aug 14 2009 	 Great Paris Hilton Wannabes terrible business traveler 	 want wait 10 minute elevator , give attitude rub arm 21 year old look emulate Paris Hilton , place . serious business traveler , . Klaus Ortlieb may boost Ian Schrager protégé , 's evident bad student . simply irritate hotel possess non charm create marriage design service Schrager understand well . want stay hotel , wait year two get room hotel $ 150 Priceline . , guarantee will not wait elevator minute ... 
 Aug 11 2009 	 funky fun especially gig neigborhood 	 stay one night hotel business June 2009 . choose location convenient . location really good thing hotel . choice Bowery / East Village area , good bunch . your cabbie might know hotel , new signage . tell drop Astor Place ; hotel large glass tower right across street . be cool looking , totally place neighborhood . enter huge door always friendly doorman help . lobby small traditional check desk . kind weird . sort wander around check little back room desk . guess space standard lobby also trendy ( guess ) .Yes , light hallway elevator dim , intentionally . 's biggie . 's kind place . I corner room window , nice touch , although not much view . bed sheet EXTREMELY comfortable hotel standard . like NYC room , not room much bed . pop flat screen tv , small armoire , Ikea style desk , small upholstered chair . like book selection room , although not time take advantage . probably 30 book room vary type . not love carpet , indoor / outdoor utility stuff . plush . overall room comfortable . the bathroom do dark slate chrome motif . frosted window near ceiling provide natural light . small vanity much room product ; , NYC . sparse / chic . other mention , issue water leak shower door , biggie . shower product average smell great . selection three robe ; large terrycloth , medium cotton , sexy little silky robe . confess terrycloth might come home , love it . overall , room cute comfortable , luxurious , stylish , immaculate since hotel open . Turndown service night complimentary piece fruit cloth foot bed . & quot ; disturb & quot ; sign actually small silk pillow string . one side black red . somewhat confused side mean stay ! funny . think red side . anyway , problem that . the elevator small staff ride , sometimes big laundry cart . little leather bench elevator , nice guess pass drunk partying . hotel nice restaurant ( hotel ) outdoor seating , large indoor / outdoor bar / nightclub second floor . not get partake , walk day gorgeous cool atmosphere . would definitely check out . all , place winner . can not beat location atmosphere charm spare . little kink need work , hey soft opening . think make work , especially since really option area . ' m definitely stay . 
 Aug 7 2009 	 Hidden Gem ! 	 really like hotel . the location great , tuck far enough away , brisk walk subway / cab ride activity . staff professional & amp ; friendly . really try hard . typical hotel , be small mysterious . 's lobby , staff check walk door . room small ( really small ) make floor ceiling window ( beautiful view ) . bed beyond comfortable . sleep really , really well ! bathroom chic . little dark , think intent . really great hotel . 
