good 	 well would like start think staff early check . must say complementary upgrade room would nice . however , normal room fine . great service throughout stay . valet , bellhop , server Coranado Cafe , everything great . always stay Vegas . 10 minute strip , everything need . strip mess terrible traffic . even see Floyd Mayweather play blackjack great casino . hope come back December . could however drop need charge $ 15 night use internet . 
 doctor order . 	 first , always confuse people downgrade property something could easily research . south Point frequently criticize far Strip . think point , far ' m concern 's strength , weakness . late trip take early morning drive Strip . thank . taste , sp perfect size distance action . rental nothing 10 - 15 minute away anyway . I also would prefer charge internet exercise room , fact norm LV . not know property offer complimentary internet gym access . criticize sp something everyone else not make sense I . so not , offer . money , little need spend stay SP , well property Vegas . recent stay pay $ 100 3- night stay . reasonable price get stay large , clean room would put shame many room high - end hotel . casino perfect size well . big enough offer variety game , large different zip code . during visit two fantastic meal - one primarily Prime Rib Silverado ( pretzel bread absolute good ) . stay SP , try buffet , also decide give whirl . satisfactory . nothing either overly complain compliment . in lead recent trip hard time decide stay . ' m happy choose SP , would happily . happily . 
 cheap NHL 	 cheap room bad sport book ! never see NHL Hockey game play sport book . 
 Nov 25 2009 	 great room bed pool especially price 	 stay multiple time $ 25 night can not go wrong . pro : room bathroom large , nice look brand new . roomservice fast friendly little pricey get not case . restaurant food good . pool awesome . local friend always come pool . gym nice . check - in always breeze . con : beat path . not transportation would recommend stay . casino floor sometimes smell realy smokie irritating . would expect ventilation well . gym addition fee . overall think room , faculty facility great . choose place 's good bang buck . thing know . not come gamble 
 Nov 22 2009 	 nice place car . horse . 	 start , ' m big Vegas guy . consider gambling tax people bad math . relative Laughlin ; stay free . ' m big expert Las Vegas not lot compare Southpoint to . but wife want see Las Vegas , go . we choose Southpoint good review see . Southpoint , like name imply , far southern end Strip . need car ( lot money taxi lot patience bus ) get back & quot ; action & quot ; .but Southpoint nice ; may never want leave . show , great spa , bowling , movie theater course , casino . if be eastern part US , Europe Asia ; check rodeo equestrian event horse arena . 's something may able see live . the room nice , clean big . thing find complain 1 coffee packet coffee maker . leave tip & amp ; asked & amp ; clean staff leave we more . our first day Saturday , eat buffet . bit underwhelming . food much well return Monday . suspect improve quality food attract local . one night , eat Coronado Cafe & quot ; Graveyard Special & quot ; menu . food pretty good . maybe low price give high opinion place deserve ? tell ? couple Spa might worth trip . 's bit pricy . 's relax romantic . to sum , car ; go Southpoint . horse . hey ; trendy , overpriced place strip provide hitching post want ride ......... 
 Nov 21 2009 	 couple change place perfect 	 simple ... great quiet hotel casino .... price reasonable , room nice staff great ... two change required:1 ) Free shuttle strip 2 ) Free Wi - fi two thing happen future , book . 
 Nov 21 2009 	 treat well 	 even though get compe room many place along strip , place become stay choice Vegas . rather lay back excellent restaurant reasonable price . cioppino italian restaurant favorite . the normal room quite spacious , well care leave totally satisfied . unfortunately , gamble successful , give good play money decent blackjack game , decent video poker good player club . location always rent car stay , use little since enjoy hotel much . wife look forward back Christmas New Years year . pleasently surprised check last trip see compe upfront without even speak host . tell management something ball , check booking aware someone like play come . huge player , still act like appreciate patronage . 
 Nov 19 2009 	 take good take bad take 	 interesting property review . real estate nice . room large comfortable . housekeeping staff excellent job . restaurant nice . food good price reasonable . many hotel remotely nice one . look place gamble , sleep eat great choice . overall employee well train . ' m guess resort well think training curriculum focus role responsibility . training could improve focus customer satisfaction . feel like role employee rule rule . want drink South Point two alternative . sit casino floor find relax go upstairs listen bunch television Mexican bar . recognize owner South Point pursue Hip Hop demographic simple club would help . possible would significant selling point resort provide shuttle strip . even charge 24 hour pass go back forth would preferable completely isolate dependent upon taxi cab . cost $ 25 plus tip way want go & quot ; town & quot ; . sixty dollar go dance mall outrageous keep stay South Point future . place great potential . think small tweak could GREAT . 
 Nov 19 2009 	 Swell 2nd Trip 	 stay PBR final . soak sun jaccuzzi ( pool area beautiful / clean , ' perfect ' first visit ) . never handfull people outside whole place one evening . free shuttle strip anymore , valet tell we hourly , reasonable shuttle Excaliber timeshare facility right next door . airport shuttle still free . compe shuttle Thomas Mack , ask manager ( desk clerk insist $ 20 per person ) . rent car next time , really not feel need leave South Point . food excellent buffet cafe . inexpensive , . use fun book coupon free meal , wine , etc . great room , linen lotion housekeeping spotless ! bull ride event hold right South point first trip . probably would enjoy ' country ' entertainer show room , desire see Vicki Lawrence ( ! ) big equestrian facility stand empty weekend . cattle / horse crowd hand , could utilize . event NFR . every Vegas hotel try keep everyone casino long possible . speedy , free cocktail gamble good selection game , although big winning we , decent odd . 
 Nov 16 2009 	 good hotel far strip 	 new hotel . nice , big room bath body work toiletry 's really plus lady like . many thing see round hotel . except course gambling . bit far strip , would definitely need car go around . go grand canyon , hoover dam be not really bother bout strip , recommend be first timer vegas want scene always . overall nice enough hotel lie head evening 
 Nov 14 2009 	 overall wonderful experience 	 travel Las Vegas business meeting hold South Point . room great ... large ... bathroom huge well lay seperate vanity / sink area . nice one we shower , one still get ready . huge Plasma tv , great view strip . check quick easy , staff friendly . would like see refrigerator , possibly even microwave room ... however , staff bring refrigerator medication request . see business , internet must , bit pain get go . many motel / hotel free Wi Fi , think would great addition since wonderful conference center . overall , great experience , will back . oh , bring pillow ... go buy ! 
 Nov 9 2009 	 Best keep secret Vegas 	 start liability location hugh plus . traffic strip make uncomfortable walk . many people ! south Points location quiet really far anymore . hotel price well line people make feel home . 
 Nov 8 2009 	 increase price booking 	 book 3 room 5 day motorcycle auction last January . I aggreed price charge extra $ 40 2 day 3 room . I complain even write letter return UK wich never even reply to . I woud never stay , plenty choice know stay business 
