5 	 travel 13 hour trip abroad decide stay London night . look online hotel near Angel station one nice one could see price range . arrive hotel 10:15 intention dropping case well check time . mention staff 13 hour flight find room let check could get rest freshen . felt go bit extra make day . room lovely , spacious clean . everything need comfortable reasonable price . 
 Nov 24 2009 	 great location average hotel 	 choose stay Jury 's hotel Islington location . hotel close tube station & amp ; lot great resturant / shop etc locate nearby Upper Street . this first time stay Jury 's hotel . think little basic , similar would expect travel lodge , however would definetly stay . pay £ 370 3 night 2 people B & amp ; b travelrepublic.com . reception staff good & amp ; check swift . room available arrival 10 am - big thumb ! room clean , bathroom little shabby . shower , mention previous review , not great , job short term . lady beware - hairdryer job - next useless ! make sure bring . ask reception handheld one , unfortunately ! bed little hard , think complain little pedantic ! good choice breakfast time , however find food quite bland . delay food replenish , little bit iritant . I would definetly recommend hotel , long price right & amp ; expectation not high ! ! 
 Nov 17 2009 	 good group ideal stag / hen friend 	 Date stay November 13th-15th 2009there around 20 we stay Jury 's particular weekend . certainly hotel ideally place 200 yard Angel tube Northern Line one station along King 's Cross . check Friday around 5 pm prove smooth , decent sized room , flat screen Samsung tv set , toiletry use bathroom good quality ( shower gel , conditioner ) room , double single , friend 's room repeat Jury 's certainly gear party booking trade . relatively quiet environment , room face back courtyard . facility site seem reasonably , laugh vend machine dispense essential razor , play card , toothpaste , toothbrush ! breakfast weekend leisurely affair , serve 11 am ( certainly much appreciated stag weekend ! ) 12.00noon check time , thumb Jury 's . self service Breakfast room slightly crowd around peak time . food offer excellent , great selection continental traditional cook food , bread , cereal . however , foodstuff run take minute replenish staff busy period result couple queue . plus warn , normal tea bag already place pot , not hunt round selection around 12 flavour tea ! staff generally friendly , certainly efficient . booking , room cost £ 190 two night , certainly affordably 3 sharing . I would visit hotel . 
 Nov 11 2009 	 Disappointed 	 prevouisly stay Jurys Watford Liverpool , look forward stay Islington hotel business . however could not wrong , outside hotel look grand welcoming along reception . howver enter room , feel like enter hotel room back 60 's . room certainly use Jurys brand . firstly young woman travel alone locate room first floor , normal policy hotel . secondly bed sheet , bathroom sink dirty crack bathroom shabby old . finally gap door concern . could see people foot outside door could put hand door top one another 4 time . young lone woman find gap door concern . tell receptoion room either night stay haad make room . also tell bed make hotel standard know incorrect . staff hotel adverage find stay hotel could helpfull however still make room . 
 Nov 9 2009 	 Shabby cheap London term 	 stay three night last month . room get small shabby . although pay 79GBP per night , feel overall standard room less travelinn , even Ibis . mail manager say plan refurb , still thing whole experience bit poor . awaken 6 am receptionist ask order taxi . guess whether phone every room hotel ask question . I would reluctant stay , would try Hilton Angel , travelinn Euston instead . 
 Oct 26 2009 	 overall hotel good ' seriously ' lack room security . 	 location good sightseeing shopping . room nicely size clean . breakfast generous wide variety hot cold choice suit taste fresh . good reason stay hotel main reason return would ' serious ' lack room security experience day check . sadly disappoint spoil stay hotel overall visit London would encourage return future . 
 Oct 26 2009 	 Excellent vaue money 	 sceptical hotel first review hotel make think Jurys Inn Islington average hotel . however disappointed . let get minor negative way first : • ' get biscuit room• ' get iron room standard ( request one reception ) • Mira shower lack serious power• decor bathroom corridor green & amp ; basic cleanThe positive : • hotel close Angel Tube station northern line• plenty shop , restaurant & amp ; bar include Weatherspoon 's case want eat out• room high standard term size , decor & amp ; cleanliness• room Samsung LCD TV ' freeview channel on• bar Sky sports• food standard bar & amp ; restaurant excellent & amp ; respectably price . although employer pick tab 5 day stay , matter hard try , could exceed £ 25 evening meal bill despite 3 course meal & amp ; two drinks• Breakfast £ 8.50 per head buffet & amp ; good range English hot & amp ; cold food• Hotel check - in check - out lighten fastIf ever visit London would certainly consider bring family hotel provide great value money without feel compromise . 
 Oct 21 2009 	 comfortable 	 stay briefly last month , book four day Lastminute . nothing praise . promise , get many freeview channel SkySports bar . large comfortable lounge need space . sleep well ever hotel always clean fully function . good water pressure acceptable breakfast buffet part lastminute deal . definitely book next visit London . like good thin - crust pizza , find Pizzeria Oregano lane Upper Street . 
 Sep 24 2009 	 meet brief business trip 	 welcome friendly request quiet room grant ( get one back oppose front road - although double glazing would probably coped . the room standard business class , broadband available small fee , spacious comfortable . bathroom need update however . take wet towel lot effort turn shower ( maybe strong armed bloke may struggle much ! ) . strange doorstop ( aka trip - hazard ) middle floor manage avoid ! hotel restaurant bar room service pity would use . breakfast buffet £ 8.50 reasonably price London seem offer comprehensive range breakfast fare . , hotel good value money , particularly consider central ( ish ) location far king Cross . 
 Sep 22 2009 	 good money . 	 stay hotel boyfriend siteseee trip london . know area islington well , cheap hotel availible . £ 90pn b b laterooms.com . term value money , room clean tidy breakfast fantastic hot buffet affair . reception supervisor check helpful - request pay room front cash do not want walk around money purse - problem . also secure luggage room we put bag check in . my quip check Trainee Receptionist deal we . present receipt check tell £ 95pn deal owe another £ 10 . budget certain amount travel home - horribly embaresse . ask room key back went upstairs bin hoke confirmation letter throw thinking do not need . hassle , come back lobby tell everything okay . think situation could avoid , make look incompetent look cheap . receptionist hotel , know importance staff desk know , personally think check out supervise . all though , fab hotel Angel Kings Cross tube station nearby . would stay . 
 Sep 20 2009 	 Adequate need 	 hotel nestle away Islington 5 minute away Tube station Angel . visit short sweet we stay 2 night hotel . room adequate need , not blow we away . rather dull room light go , representative photo post Trip Advisor bright . we stay 2nd floor building - consequence , detect every time exit onto floor strong smell TCP/ disinfectant . smell not continue room , always wonder odour come from . although hotel say come Satellite tv beware consist less channel would get normal free - view box ! - 5 terrestrial channel , Sky 1 , BBC News TMF ( music channel ) - exactly expect . the bed pretty good sheet nice soft , unlike hotel like cardboard . we pleasantly surprise find room large bathroom , rare centrally locate London hotel . room also service Wireless internet , be free . ~£5 per day use facility - not good many hundred free wireless hotspot city . breakfast bit joke we , get downstair morning 1 decide go continental breakfast , rather upgrade cook breakfast £ 2.50 . plenty cereal , pastry counter bit bereft savoury good . mini croissant , danishs goody . morning 2 decide go elsewhere breakfast . all hotel perfectly functional we get we tour city . convenience tube sell we book trip age ago . downfall eye breakfast we , deal breaker plenty eatery open close Angel tube stop . 
