great 	 Location ideal , right Old Town close great street restuarant , museum . hotel old well keep . suite small view brick wall , get bargain deal . would come , much character modern hotel near McGill . 
 oct 9 2009 	 Great Location decent hotel . 	 hotel nice , nothing special . use Marriott Points , great value , pay , rate much high place Nelligan Saint Sulpice run special . breakfast good , serve 6:30 - 9:30 . sleep night want breakfast . service good desk staff really go way help nice . location fantastic , heart Old Montreal short walk Metro . & quot ; suites & quot ; one room , really suite , decent sized fine two we . one issue say room balcony . actually door open onto deck part roof . would fine , area dirty . full old cigarette butts table chair dirty . room public area well keep , go guest use outdoor space , need clean ! overall , typical Springhill Suites high typical price base location . would recommend place , get similar price Saint Sulpice Nelligan . 
 oct 8 2009 	 Wonderful Hotel Location 	 hotel locate heart Old Montreal , within walk distance Notre Dame . many great restaurant shop nearby well . hotel quite nice clean . breakfast morning great way start day . front desk helpful mapping place see , etc . 
 Oct 8 2009 	 Perfect Location Pleasant Room 	 heart Old Montreal make difference world . great access activity tour , easy walk Metro , pool , make two young kid happy . though hotel premium , clean staff attentive . breakfast hotel plus ; enough place around town much preferable . downside , drunk yell alley outside hear clearly deal hotel call make . would still come back hotel . 
 Oct 6 2009 	 Perfect Pick 	 husband never Montreal pick hotel AAA book hope well . hotel Perfect Pick . tuck away quiet street , close everything- restaurant , shopping lot Montreal site - seeing . put car away 3 day walk Old Montreal , come back room oasis tired foot . beautiful room helpful staff . 
 Oct 3 2009 	 Hidden Gem 	 choose hotel AAA Travel Guide base location price range reserve room telephone . although hotel little difficult find pleasantly surprised check - in check - out . room excellent large bathroom , small sitting room , build - in desk , kitchenette ( $ 170 CAD / Night ) . hotel ideally locate Chinatown ( West ) , waterfront ( East ) , nightlife ( North ) , cathedral ( South ) . although tripadvisor rate hotel two star , believe four star base experience quality service . example , staff open business office middle night could use computer internet service ( free ) . buffet breakfast ( include ) staff member find extra chocolate croissant wife busy time . make valet request car park front door get elevator . hotel good experience travel two week Canada ! 
 Aug 27 2009 	 Spring Hill Suites Old Montreal good family / grp 	 good aspect : - quiet Old Town location & amp ; convenient Chinatown delicious food & amp ; inexpensive price . Loc also close waterfront area , Notre Dame Cathedral etc.- large suite ( 2 dbl , sofa bed ) , kitchenette , large workdesk hardwired Internet connection . very good space design kitchenette & amp ; workdesk area.- Separate sink ( 2 counting kitchenette 's sink ) .- abundant bkft buffet , hardworke staff keep food supply & amp ; area clean . this easy task bkft area pack people & amp ; young child make quite mess food ! - large business ctr : 2 pc , printer , & amp ; fax ; 4 comfortable reading chair ( rarity hotel ) .areas improvement : - could open sofabe w/o push one way , & amp ; tv stand way . there seem space design issue here.- window a / c loud side.- weekend 3 - not stay , would late reveler noises bar close.- Bkft area sometimes run seat ( several previous reviewer note ) .- shelf space bathroom . 
 Aug 21 2009 	 excellent location pleasant staff acceptable room good value location 	 second stay , obviously satisfied . ' ve recommend hotel other . room bite small might expect suite , not cramp . bed quite comfortable . ' ve rate location excellent people seem want stay old town , be perfect , find Plateau much interesting area . 
 Aug 20 2009 	 great location good value air conditioner loud . 	 overall good hotel great location within walking distance everything Old Montreal . 2 room extend family air conditioner ( window unit ) room loud cycle frequently turn sleep . recommend hotel hot summer weather . know heat would noisy winter . complimentary breakfast typical Marriott hotel yes enough seat open conference room close food . complimentary coffee tea available area throughout day nice . free internet easy fast . suite sound big actually especially need use sofa bed . sofa bed pull completely block path bed / bathroom hallway door . nice kitchenette area computer desk , chair , microwave mini - fridge . noisy air conditioner hotel surrounding quiet . 
 Aug 17 2009 	 Spring Hill Suites Old Montreal offer Comforts Necessary Fine stay 	 subject : Residence Inn Marriott - Montreal DowntownLocation : Montreal , Quebec , Canada , North AmericaTitle : Great Stay Brillant Hide - a - way spot ! ID # : 35191593I surprise hotel 's location , desert side street right middle Old Montreal . hotel small thought would , & quot ; suite . & quot ; large pullout couch , small refrigerator , one television , two double bed , workstation / desk - certainly enough four us four night stay . warning : pull couch - 's hard move one area room , without jump across bed itself . the hotel front desk get we tix see movie , quite helpful see area . breakfast certainly plentiful egg , yogurt , bread , juice , waffle - seat problem . many people try breakfast 9:30am - many people vie seat . staff make conference room available , immediately get elevator not know - either front desk sign would well organize . worker certainly hard work refill replace breakfast rush . the pool adequate , fine kid able work watch pool - big plus ! internet hotel & quot ; modem / dsl base & quot ; problem getting - easily solve call customer service company carry web capability . incredibly helpful within min . computer . this small city hotel old part town . charm front desk , accessibility Old Montreal , site certainly outshine cramp feel hotel . hotel clean , people nice Montreal , often really room ? 
 Aug 16 2009 	 Great Location ; need update 	 can not argue reviewer location fabulous Old Montreal area . close point interest Old Montreal Basilique Notre - Dame de Montreal . hotel probably good place family business traveler travel family , since room fairly large , continental brreakfast include . however , hotel use tender love care ... window absolutely filthy really give place unseemly character . carpet area wear need replace , particularly room occupy . first Marriott brand greet towel hole come shower . bed soft side room nowhere sit aside sofa desk chair . extra chair room would nice , would take extra space . sink separate bathroom nice , small tight area one person time use . bathroom house tub / shower toilet extremely close together make room door open . air conditioning work , however , in - wall style air conditioner / heat system make lot noise run . difficult hear noise adjoining room people hall . staff certainly friendly accommodating . continental breakfast adequate , however , area mezzanine breakfast serve bit cramp get crowded morning rush . occasion , difficult find place sit . the Metro ( subway ) train station bit walk probably half mile hotel . bus , however , 515 Vieux - Montreal / Vieux - Port take know site area , well Gare - Centrale train station . Buy Carte autobus / metro Carte touristique stay three day more . overall , hotel adequate , good thing , least reviewer opinion , location Old Montreal free internet access . regardless , would likely stay future . 
 Aug 11 2009 	 right center Old Montreal 	 fabulous location , near everything . nice room , service , lobby . easy find , parking facility hotel . around corner main drag eat outdoor , nondecript place good food excellent service . forget detail surround area , Notre Dame Cathedral two block away street outdoor place , street performer , action 2 minute walk . great explore old city . 
