nice 	 okay , will start say teenager travel often , know fair share hotel . go New York mom great aunt visit family see city . choose Novotel picture website ; be modern , clean , white colour . get , lobby nice , like website show , white accent colour granet counter . service good , pretty average . soon get onto floor ( 12th ) , drastic change . wall orange blue accent mark . get room , turn light almost cry . expect nice white room , feel step dingy motel Arizona Mexico . drape bedspread generic hotel print , wall odd splotchy orange , green metal windowframe . almost expect cockroach spider come wall . add , bed uncomfortable lipstick smear pillow . time upset , special trip birthday , beginning not expect . make thing bad , buy wireless internet not work . the bathroom , however nice . part room modern nice lighting makeup , shower not nice . shower floor bumpy , come away floor . veiw also nice , good ; overlook top dirty building , crowded city not shocking . food service good ! one good in - room meal ' ve have . I ' m mean turn hotel people , comfort level . many people say come city see city , hotel sleep . hote one important thing ; 's place feel safe get good sleep long day . feel safe hotel . stay 2 night , switch hotel . 
 Professional friendly staff beautiful hotel 	 Chose hotel due excellent impression make senior hotel manager later staff encounter . room quiet , clean beautiful view Times Square . location convenient everything midtown Manhattan , especially theater district . stay base upon satisfy experience . 
 Nov 17 2009 	 Great Location . Air Conditioning problem ... 	 Great Location . close Broadway Theaters , Restaurants , Times Square . try get high floor , Times Square View . one first day , lot trouble air conditionig system . we change room , problem solve 23:00 h. the Staff gentle . I recommend . 
 Nov 14 2009 	 good clean base New York 	 stay 6 day friend 2nd visit city . room 2 large double bed , safe , flat screen tv , iron / ironing board , hairdryer plenty toiletry fresh clean towel . end corridor ice machine shoe shine machine . the room large enough need window sound proof ! ! room face office block do not mind . staff nice helpful , drink 1st night hotel bar , pricy $ 40 3 vodka & amp ; coke lager shandy . make good use beautiful balcony excellent view Times Square , ( brilliant weather ! ) good base Central Park , 5th Ave , Times Square course many theatre . would definately return hotel . 
 Nov 11 2009 	 amazing hotel one go stay new york ! 	 right time square hotel amazing price location , cleanliness , service , value etc . room lovely , standard size need stay . think ultimate thing hotel definatly location . able go anywhere , service great , help find place , go new york , brooklyn , soho , greenwich village ... even go subway ! amazing time try everything want , never forget ! 
 Nov 6 2009 	 great location big room ! 	 book one high room Novotel first time New York . 28th Floor hotel lovely ! Times Square view although opposite huge skyscraper , room light . clean much , much big expect ( believe , city , hotel room NY usually small ) . not breakfast hotel many place around much cheap . , great choice ! 
 Nov 6 2009 	 unbeatable location . great value NYC ! ! 	 family stay Novotel TS 5 night July totally love . perfect location ( 9 block Times Square ) , also helpful friendly staff . ask room view TS , give right away ( course availability ) . hotel beautiful lobby nice bar , balcony drink snack , outstanding view ts . room good size ( despite fact add extra bed ) . business center , gym , LCD , mini - bar , hardryer basic amenity . would totally stay ! 
 Nov 5 2009 	 Great Location great price 	 extremely well locate Broadway show , Rockefeller Center , Times Square . subway stop half block away . mom stay 5 night . room 2 double bed good value money - room clean well serviced . eat dinner Cafe Nicole- average . catch taxi front entrance easy . go gallagher steak house next door- see review place . european feeling- lot guest french , Germans , etc . ' business center ' free internet access . 
 Nov 4 2009 	 Great experience ! ! ! ! ! beautiful hotel great location 	 Novotel friendly helpful staff . hotel clean . Café Nicole restaurant 7 Th floor amese view . lot fun Novotel ' hospitality 
 Oct 23 2009 	 great surprise 	 good value great location turkey day NYC ! clean . lot kid case matter . room typical . right thick thing . go see ballon blow night make reservation patio see parade . bring warmclothe . 
 Oct 23 2009 	 great location 	 interested Time Square Central Park , great location . easily within walking distance . hotel nice photo suggest not would consider & quot ; nice & quot ; hotel . exactly look , clean hotel good location . room view time square great . time room asleep , work great . 
 oct 22 2009 	 first city east coast US 	 great location Times Square walking distance , luxury hotel , staff pollite , bedroom 's great , hotel recomende traveller n bussiness 
