excellent 	 stay one night wonderful warm hotel recommend highly . suite fully equip kitchenette , comfortable bed , brand - new bathroom . friendly helpful owner process instal new LCD HD tvs room pleasure enjoy new feature . hotel well locate purpose , enjoy breakfast charming cafe corner ( Cafe Imagination ) . suite back quiet . parking conveniently provide , although worried safety car base back - alley location . overall would stay Parc Suites ! 
 great value hotel . 	 area exactly would like hang four young child , be easy walk downtown old Montreal . parking great . leave car two day everything foot . hotel ideal we excellent value money . room clean comfortable . warmly welcome nothing much trouble make stay comfortable . would definitely recommend hotel . 
 Oct 31 2009 	 Central Position clean 	 staff accomodate & amp ; helpful . room comfortable - stay suite seperate bedroom daughter & amp ; boyfriend tell sofa bed lounge uncomfortable management immediately put we seperate room extra cost . enjoy short stay & amp ; hope go back . 
 Oct 29 2009 	 great find . 	 pleasure stay Parc Suites Hotel . pleasantly surprised reasonable cost suite . place spotless . bedroom large extremely comfortable mattress king size bed . sister take turn sleep bed also pull - out sofa living room . kitchen equip everything would ever need - pot pan , cuttlery , dish , lovely wine glass , toaster , coffee maker , microwave . door open onto tiny balcony fold chair stair lead roof building take parking lot back . fair , must mention 52 step front door room . bother we least fit go gym every day everybody could climb stair . person couple could easily live permanent basis could afford $ 120.00 per night pay . sure , whenever will go Montreal , stay Parc Suites Hotel . 
 Oct 17 2009 	 pleasant surprise 	 conference stay expensive hotel 2 colleague want cheap option . hotel could find budget many terrible review amonst good review . , anxious prior arrival , especiialy taxi driver say hotel address . fortunately already drive past previous excursion know . another anxious minute wait buzz , door bit temperamental traffic noise drown buzz sound . narow staircase . anxiety nobody reception several minute . 1st several pleasant helpful receptionist arrive . say go oratory print instruction bus route . place clean well - keep . suite closed bedroom double bed balcony . living room sofa bed see well day . tv wifi work fine . kitchen fine . 24hr grocery store supermarket 30 second walk away . location fine . would happy bring wife kid unlikely event would ever want vist montreal . 
 Oct 15 2009 	 Staying Park Suites Hotel must travel Montreal 	 travel Montreal past September . first second walk Parc Suites Hotel , treat like vip guest . first arrive , Parc Suites employee park car take suitcase . familiar area much , hotel employee give we walk tour neighborhood take we great neighborhood sort trendy bar restaurant , short walk hotel . second day Parc Suites , dinner reservation near Old Montreal , call front desk order we taxi . Turgay , owner hotel call we back tell we would drive we destination save we hassle take cab . little early reservation , drive restaurant , Turgay give we brief drive tour Old Montreal dinner . go beyond hotel ever do we . accommodation Parc Suites perfect ! everything room seem brand new . bed mattress comfortable . tell would use pull - out couch bed , immediately make bed we . upon check , Turgay give we business card cell phone could call anytime problem hotel room . addition , price hotel cheap hotel . would recommend hotel anyone – great location wonderful employee work . next time go Montreal , definitely stay Parc Suites . 
 Oct 5 2009 	 Phenomenal Service Comfy Rooms 	 stay Parc Suites last minute bachelor party , hotel surpass expectation . staff , particularly Turgay , Oscar , Kareem , go beyond accommodate need , help we enjoy city . make reservation , offer advice , even go get food supply we , bent backwards make sure great time . Turgay even call favor get us table restaurant choose available reservation . recommend anyone stay Montreal , whether particular event visit , guy take care . bed ( even sofabed ! ) , unbelievably comfortable ! ! 
 Oct 4 2009 	 Excellent hotel famly stay ! 	 would highly recommend friend hotel ! one good hotels family stay ! location good , room clean ( love full equiped kitchen toiliet ) , staff extemly helpful ! although elevetor available , two year toddle love long stair enjoy jump . excellent hotel ! 
 Sep 27 2009 	 suit need perfectly 	 would not hesitate recommend hotel anyone . location central , staff management extremely friendly helpful , suite impeccably clean comfortable . the stairs hotel issue unless physically disabled . assistance luggage offer soon step lobby . the furnishing room kitchen tasteful functional , bed comfortable , wireless internet connection flawless . look forward return Parc Suites many time . 
 Sep 22 2009 	 not let step scare away 	 yes step mobility impair , want find different location . however , take couple flight stair , great place stay . close everything clean helpful staff carry luggage heavy object room . kitchen everything make simple meal . bed comfortable great place relax sight seeing . also note free call Canada US . 
 Sep 10 2009 	 two flight stair reception desk ! 	 horrible stay hotel . owner / manager tell phone 2 FLIGHTS STAIRS ENTER HOTEL tell 2 young child , one stroller , never would choose hotel . course know opt tell I . the aspect hotel fine include room cleanliness . owner assistant say would always help we stroller bag twice several arrival departure throughout stay . one last note , air conditioning break first night . owner instal noisy efficient portable unit middle night sleep horrible next night . ( hot weekend a.c . option . plus room open ugly public access roof top ready unexpected & quot ; visitor & quot ; enter room window leave open . ) apologetic , degree . believe , horrible stay , one concession trouble go , & quot ; helping & quot ; we get cab leave , offer make we deal price next time come back stay hotel ! ha , bet never happen ! LOUD WARNING , HOTEL elevator ! 2 FLIGHTS stairs enter HOTEL one room floor , mean rooms another one two FLIGHTS ! wonder would done show friend wheel chair . advise risk loose business warn people hotel fill stair . would perhaps loose small profit , would happy client risk review like one taint image hotel . 
 Sep 8 2009 	 Perfect place need 	 Hotel well locate reasonable access metro system get around city . grocery store 24 hour convenience story close well plenty restaurant . room clean good facility stay young child . owner friendly helpful . 
 Sep 7 2009 	 deliver advertise 	 great location , helpful owner staff well equip suite . enjoyable stay . 
 Aug 27 2009 	 australian visitor highly recommend Parc Suites 	 excellent establishment . stay 2 day 11 year old twin boy . staff EXTREMELY helpful ( especially owner Turgay ) , quiet , parking , central location Montreal , great restaurant near .... ask ? live Toronto certainly stay visit Montreal . also hesitate recommend family close friend . regret stay Parc Suites . cosy comfortable exceptionally friendly . could really ask even much high price . FANTASTIQUE ! ! 
 Aug 16 2009 	 nice room great staff 	 moment enter hotel know make right choice . person desk welcoming go way make sure get everything ok everything need . the room nice . everything clean work properly . fact grocery store door hotel handy , especially fridge stove hotel room . make breakfast save we lot money . the location great one . use car even public transit get place . within walking distance everything want see ( Molson Stadium , Old Montreal , shop Saint - Catherines ) . within block hotel grocery store , convenience store , bakery , 24 - hour coffee shop , many cafe store . strongly recommend hotel . 
