pretty 	 book package 1 night , two 1 hour massage , breakfast , valet late checkout available website . consider get , would consider good deal . location good . turn right leave hotel Bell Center , couple resto convenience store / gas station . go leave downtown core . bad sketchy location , not like noise , get downtown . Turn leave center city , perfect location someone want stay downtown Old Montreal , different . check fairly early 3:30pm . ask smoking policy non smoking . offer room balcony , upgrade , free charge . perfect ! room suite , great bathroom , kitchenette , etc ... furniture modern stylich . nice . spa good , super luxury nice 12th floor urban spa . pool nice tough hot tub amazing ! ' m Montreal never see nice view outdoor hot tub . great urban getaway . order room service , touch slow everything good deliver class . Valet helpful concierge seem top notch , overhear people make club reservation , etc ... overall hotel nice , new , friendly hip . satisfied really enjoy downtown vacation . pretty much ideal , especially use hot tub ! 
 Cool Great Customer Service 	 hip stylish room , great space bathroom big clean . attention detail wonderful Martin front desk could sweet . definitely back ! 
 Nov 9 2009 	 Excellent suite boutique hotel 	 like boutique hotel Montreal offer lot good choice try Le Crystal kitchenette expresso machine want early morning rising . standard deluxe suite comfortable offer room many boutique hotel . bathroom roomy . find suite clean quiet . lot extra like robe , slipper , umbrella , bathroom amenity , flat screen tv , ipod play alarm clock . wireless internet access complementary . the downtown location great interest need , although first time visitor may prefer Vieux Montreal location . we also try La Coupole , restaurant lunch bar dinner . lunch good bar comfortable good service . use gym enjoy view 12th floor . outdoor hot tub look like would great . service throughout good . complaint price $ 200 per night good value . 
 Nov 2 2009 	 one Best Mile ! ! ! 	 visit hockey game Bell Centre . location perfect . service excellent . extra Umbrella 's rain . robe Slippers Room . every kind toiletry product could imagine . fluffy pillow throw sofa . good hotel sofa sit . usually uncomfortable . Espresso Machine really nice touch well . really sweet maid Karen , get us cream kitchen lunch break coffee . I love seperate bedroom stay nice dark sleeping . hotel walking distance everything . not understand person complain store . several within 100 step hotel . close esso station , Shoppers Drug Mart several conenience store close . like Italina not sure mixed review Il Campari Centro across street walk Bishop eat Davinci 's . awesome . ask high floor avoid hockey crowd club crawler noise . 
 Oct 29 2009 	 amazing .... 	 good hotel ' ve stay life ! bedroom extremely nice expresso machine make happy morning time ... spa top building pool salt water . 
 Oct 28 2009 	 Beautiful Hotel Bad Location Noisy Morning Shady Character Night 	 Hotel , Nice , Location Bad Part Town , Lots Young Crowds Bars Night , Noisy Early Morning , Garbage Truck , Pumbling Noise , every half hour forth , front desk wink , tell can not possible , make little offering lousy breakfast , top , acosted night shady character hang lobby , , Room Need Sprucing , Bathroom , find Lots hair Shower , fridge not work time , , , pay 155 $ hotwire , , do not pay Room 513 
 Oct 16 2009 	 great modern room great pool great location ! 	 husband stay price , base get Fairmont , Queen Elizabeth , hard beat review Trip Advisor pic ( hotel 's site ) . glad ! hotel couple year old room decor modern . importantly , bed great ! ! also love location pool . would give 5 except bit neat freak feel bathroom quite clean enough . also , coffee room replenish without we ask third day , ask second pair slipper ( one provide ) . , beautiful place stay , especially want nice room good price ; deluxe room suite price $ 200 per night . hard beat ! 
 Oct 13 2009 	 Great Hotel 	 first time Montreal select hotel base positive review find web site . absolutely happy . service really attentive , location perfect within walk distance centre city . deluxe suite , perfect comfortable . nice additional tip Nespresso Coffee machine nice espresso coffee . excellent breakfast quality food fantastic lunch Brasserie Restaurant . really satisfied choice next time stay Hotel Le Cyrstal . 
 Oct 8 2009 	 Chic Hotel Ideal Location First Time Montreal Visitors 	 hotel fantastic . husband normally stay chain hotel & quot ; safe & quot ; set standard easy predict , decide take chance 5 star independent hotel . wonderful decision make honeymoon ! staff friendly helpful ( help we subway map question ) hotel simply beautiful . chic modern luxurious feel . right street one block St. Catherine 's , lot place eat shop . also catch hockey game Bell Centre , could see hotel room . literally take minute walk game ! love hotel , go back next time return Montreal . 
 Oct 8 2009 	 wonderful hotel 	 hotel wonderful : suite well appoint , nice living room GREAT bathroom . location good ; pool nice plus kid . weather good , also enjoy outdoors patio . staff helpful . 
 Oct 8 2009 	 disappoint 	 beautiful hotel outside lobby superb . problem : two computer guest ' use , time assign hard get , continuously order . pay advance room front desk clerk new make mistake . room tiny ... photo misleading , 6 ' 1 & quot ; partner foot end bed . finally , drink cranberry mini bar late night throw ! turn mini bar well date . positive note , food restaurant excellent staff speak good english . 
 oct 4 2009 	 cool suite nice location beautiful gym 	 base largely Trip Advisor review , husband stay 3 night vacation Montreal . Le Crystal new , sleek suite hotel convenient location ( unless want Vieux Montreal ) . love privacy bedroom within suite ; large , well appoint bathroom ; lovely pool exercise room . location good well - near Metro stop , shopping , Mont Royal restaurant . 
