good 	 Silverton great place headquarter tour Las Vegas area sight . close strip excellent interstate access , facility carry Bass Pro Shop theme resort . room tastefully decorate , quite comfortable , plush . little noise room fresh . us nonsmokers nice retreat casino . casino lot fun several restaurant , beautiful saltwater aquarium entrance . stay three time return ambiance good value Vegas . 
 great aesthetic 	 casino 15 minute strip . the theme take place original . different theme throughout casino comfortable place . music choice fun louder somewhat drown sound slot machine . seat always comfy , restaurant good friendly staff . player 's club decent - offering free night 's stay next time visit , big benefit . high speed internet $ 10 - dont pay . take laptop Starbucks free wi - fi . room basic , big perk , wall pretty thin , bed great , enough pillow . first place lose $ 40 playing crap : ( 
 Oct 29 2009 	 good price 	 arrive help offer help luggage . first room face parking lot large & quot ; tent & quot ; set event . 7:30 start time crew . a / C sound like B52 take . go front desk . could gracious helpful . move quiet room reasonable A / c . ( hotel insist lousy window unit ? ) room large , linen towel nice good soap shampoo . one wall paint dark purple tv armoir also purple . , purple color make people uncomfortable , want leave room , preferably gamble . enjoy great lobster tail steak house . lovely room , good price great service . breakfast menu coffee shop offer wide selection good price . server , Betty , great . remember coffee every morning . get ready leave bellman efficient helpful . $ 40 per night . one big complaint . advertise two - for - one buffet breakfast . be SILVER GOLD player card . Silverton ... cheese people . overhear several people grumble practice . cheer ... J 
 Oct 15 2009 	 Silverton Hotel Casino Precious Metal 	 Non - suite room well average ... non - working clock ... bureau drawer fall ... small bathroom ... drain stop non - operative ... room door fully close ... toiletry twice leave room ... Wi - Fi & quot ; standard amenity & quot ; accord in - room literature , & quot ; standard & quot ; place mean & quot ; pay extra & quot ; ... slow morning service coffee shop ( ) ... rude asst . GM ... upon checkout hotel manager express concern problem - then never respond two fair - minded email ... Bass Pro Shop , fish tank , people casino floor -- positive . otherwise -- many much , much , well place stay . 
 Oct 14 2009 	 Limited Amenities Check weekend event prior stay 	 stay Silverton Aloha Festival surprise find lodge completely sell weekend , despite reservation . upon check - in , room available smoking room . room densely profuse smell cigarette smoke . go near drug store get candle , air freshener , disinfectant wipe order get room smell decent enough sleep . hotel also close pool early Friday , Saturday Sunday stay due event hold pool area . would nice relax pool beyond 3:30 afternoon , especially hot weather . housekeeping service nice . 
 Oct 12 2009 	 Bass Pro Shops hospitality 	 husband take advantage Bass Pro Shops customer reward offer free weekend Silverton Lodge Casino . treat ! front desk casino staff ; everyone accommodate . Tom Shady Grove Bar especially . room average , without view , bathroom little tight maneuver 2 people . new pool ( small ) nice , cabanas large lounge couch . treat concert ( hold pool area ) offer nice , intimate venue . 5 mile start strip , offer free shuttle schedule time different location strip local shopping mall / outlet . good location not want spend hour strip . casino lack action . 
 Oct 12 2009 	 Noise 	 hotel , 's concert hall . loud concert nearly every night . outside . can not watch tv . can not relax . can not sleep . noise go late . avoid dump cost 
 Oct 7 2009 	 Awsome Hotel ! ! ! ! 	 5 mile strip . quiet . cheap . huge aquarium ! Manta Rays , Mermaids , huge waterfall , real quiet , big waterfall , bass pro shop right next door . ' m wildlife person . love nature ! place nature Exotic wealthy living theme ! one ! nice valet . protect course . good sized pool , enough space not realize many people actually , quiet . great . think low level room pay $ 65 ? Custom Security Officers , time , wear Tuxedos . great place . downfall , casino well . bit ANNOYING ask . plenty way avoid want . small little mall near couple mile . nice place . 
 oct 2 2009 	 $ 69 night great deal . 	 brand new three star hotel Vegas strip . would compare average Ramada Inn - nice , fancy showy . good casino game , place eat , free parking . like anything else , get good deal - pay two star rate three star hotel , 's good deal . however , pay $ 100 night , would unimpressed . $ 69 night , great deal . good option want stay strip sleep cheap . 
 Sep 19 2009 	 good buffet great price 	 not stay casino , go Sunday brunch buffet - wonderful . opinion , many buffet blan food whereas casino elaborate food ( Salmon cream sauce , specialty chicken dish , prime rib , crab leg ) . decore not favorite ( think old west , log cabin decore ) food service buffet good entire time Vegas . 
 Sep 15 2009 	 Love Silverton 	 stay twice go October . price , room , location wonderful . think pool area truly delightful . several place eat nice bar lounge relax . giant fish aquarium spectacular great family place . would recommend everyone stay every time go back . show not need expensive great ! ! ! ! 
 Jul 30 2009 	 great place money location 	 first place stay Vegas Plaza . bad place ever . Silverton comparison . great location , 2 mile strip ( say 7 's center think ) 1 mile Outlet Mall . get room $ 30 night new FEES ! $ 5.50 night optional . call & quot ; resort fee & quot ; . stuff not use anyways shuttle bus ( rent car ) , use in - room safe , local toll - free call ( cell phone ) , Airport shuttle service ( rent car ) , Fitness center access ( not walk strip exercise enough ? ) . pool could big , think people big pool back yard . overall clean , air work great 110 * weather , keep room stock clean , good atmosphere . can not complan Bass Pro Shop 150,000 gallon salt water aquarium . stop could go . Google want know , worth . 
 Jul 27 2009 	 one bad Las Vegas . 	 one clerk check . go downstairs three different time could not get room . fourth time ask receive new key . work . next evening key work door open inch . safety catch top door somehow become latch take half hour cut . happen breakfast next morning . ask new room give we one . stool fill top walk . flushed course run . maid mope hour half someone fix . run day . ask comp manager tell not natural occurrence . pool outside nice . ( one room . ) food pricey -- front desk man -- bathroom not receive supply day . -- air conditioner run constantly . really terrible place stay . 
 Jul 17 2009 	 Awesome off - strip Hotel 	 get great deal hotwire Silverton , never turn one nice hotel ' ve stay Vegas . be look something quiet strip , Silverton can not beat . also one nice buffet ' ve , $ 9.95 . 
 Jul 14 2009 	 Free Concert great food ? awesome ! 	 recently stay Silverton Hotel Casino Las Vegas able see one time favorite band free ! Silverton hold free pool - side concert put Blues Traveler . attend concert girlfriend eat one good steakhouse long time . Twin Creeks locate Silverton great food , great service ... could not ask well night not even leave hotel . 
 Jun 18 2009 	 Wish Silverton Strip ! 	 get back 5 night Vegas . spend first night Silverton , try save buck want spend time Bass Pro Shop , well check hotel casino . room $ 48 total Thursday night . check do small , cozy lobby , comfortable couch family wait . nice room slight kind hunt lodge feel , 2 queen bed 4th ( top ) floor overlook pool . clean , quiet , far elevator , small refrigerator , tell not need key . good thing room feel new still plenty amenity , like usual shampoo , lotion great soap find good hotel . bottled water bathroom , want charge $ 2.50 stuck tap water . room even clock radio take cd could plug mp3 player . also , room safe would work credit card . not trust , lock watch luggage . the pool area close , know make reservation week . little disappointing , bet would nice new palm tree plant . area schedule open end June . the casino rather empty , make easy convenient parking garage . drink service slow feel ignore play slot wait order beer . waitress walk several time one talk bartender keep try get attention . wonder pool tip ... Airstream RV one bar convert little bowling alley ! unique ! thing go Mermaid bar , feature several aquarium , include one big one mermaid dive every hour . blow big air ring little kid lot fish , ray shark swim by . I late dinner Twin Creeks , upscale eatery . pretty empty still sit service great . one good prime rib dinner ever , price half would strip hotel 's restaurant . next morning 's breakfast Sundance Grill sit counter , read paper nice breakfast $ 10.my overall impression Silverton Good , though tiny issue , beat great restaurant service , cleanliness variety place eat game play . later stay Monte Carlo Strip wish book night ! thing wrong Silverton mostly thing right . 
 May 28 2009 	 great accomodation ..... great food 	 hotel beautiful , invite feeling . husband like eat stay naturally go one restaurant / cafe dinner . service terrible , order wrong .... twice food nothing brag . think , well , try breakfast , mean bad screw breakfast right ? well , ! eat cafe terrible service terrible food . stay , will not eat . 
 May 10 2009 	 rediculous one good thing 	 live vegas gamble alot . stay several time would comp room , room nice . three differant occasion tell balieys frangellico coffee compable beverage , expensive . do not go free drink , usually drink single cola water . three seperate occasion mood particular coffee . spare cost three drink three drink actually cost thousand . good job ! 
 Apr 25 2009 	 Silverton Returning guest return another Silverton Stay 	 return guest Silverton Hotel & amp ; Casino definitely return future . the main reason stay particular hotel location striip Bass Pro Shops next door . stay fourth floor overlook pool area . room non smoking room 2 queen bed meet family 's need perfectly . room clean throughout especially bathroom . promptly make housekeeping staff two day stay . our family enjoy dine Sundance Grill well relaxing / swim Silverton 's pool . however , due location require car transportation walk strip bit hike . close Las Vegas Outlet Center locate south end strip well Towne Place Shopping Mall . another plus stay Silverton , Tahitti Resort timeshare employee greet offer show ticket return attendance one timeshare seminar . we enjoy stay Silverton intend return future . 
 Apr 15 2009 	 treatment supervisor never stay . 	 charge twice room cause account overdraw basically tell supervisor sorry luck wait talk accounting tomorrow see clear . offer anything ammend situation execpt ' m sorry . 's . situation still resolve .... positive experience cafe waitress name Terri . wonderful food amazing . thank . since overdraw account was'nt even able enjoy casino gamble since main reason go ! thank nothing .... 
 Mar 29 2009 	 nice strip hotel great bargain right price 	 return three night stay . room big clean . bed comfortable . get one room view due wall five foot away window , room serve 's purpose comfortable yield good night sleep . I ' m gambler casino seem nice reek smoke . great fish tank . Fantastic Bass Pro store attach lobby . I good meal reasonable price Twin Creeks restaurant . give $ 30 price per night score Expedia sale , great bargain . I ' ve book return trip sale different hotel sight $ 39 night PBR World Finals weekend . 
 Feb 9 2009 	 Cozy Cabin Feel 	 husband stay Silverton Hotel 7 night . pleased hotel . front desk answer several question good place visit within city . think room nice clean . choose hotel husband loves go Bass Pro Shop . also little nervous staying hotel strip . 
 Feb 2 2009 	 silverton 	 trip vegas , go & quot ; silverton & quot ; south town I-15 , beautiful new , hooked & quot ; bass Pro & quot ; be big Lodge type feel , lot wood beam like , huge aquarium really awesome . Played day machine really oblige , nice jackpot can not wait go back . Breakfast & quot ; ok & quot ; , coffee shop nice , food not taste good breakfast & quot ; Orleans & quot ; & quot ; Arizona charlie 's & quot ; Dekature , negative thing say & quot ; Silverton & quot ; outdoorsy , country type feel , George Jones night , Charlie Daniels come , wife country fan think would completely & quot ; country & quot ; feel , disappointed music play whole day kind bad & quot ; Pop & quot ; sound stuff , not bad casino not loud , coffee shop loud really interferre breakfast . take hint & quot ; Sam 's Town & quot ; , be go & quot ; country & quot ; thing , go ahead go way , not try everything everybody , will not work . will visit , please think seriously pipe real country music 24/7 believe long run will well . fact 'd & quot ; country & quot ; music play would stay & quot ; silverton & quot ; next time , will not unless hear ' ve change music selection . go & quot ; hard rock casino & quot ; plan hearing & quot ; hard rock & quot ; be fine . go & quot ; Bellagio & quot ; ' m probably go hear & quot ; country & quot ; . go & quot ; Sam 's Town & quot ; , & quot ; Arizona Charlie 's & quot ; , & quot ; South Point & quot ; , & quot ; silverton & quot ; expect hear good country music . 
