beautiful 	 book hotel June November read TripAdvisor review . read particularyly disturb story shabby bedroom poor service even lady night go business hotel would tempt book elsewhere friend pay full booked option . receive e mail hilton concierge service prior departure reply tell concerned standard room read bad review request refurbish room . recieve reply state request note refurbish room available time check would comply request . arrival check two hour early tell room ready go straight 12th floor . room absolutely fine clean overlook quiet courtyard extremely relieve ! explore public area hotel absolutely beautiful . really impressive hotel fascinating history . everyone hotel helpful , service staff first class could ask . barman mixed cocktail delicious nothing much trouble staff anywhere hotel . trip 50th birthday present friend hotel put bottle spark wine lovely welcome letter room considerate touch . conclusion would thoroughly recommend hotel anyone . lovely time would return future . 
 would not put dog 	 offer & quot ; luxury suite & quot ; compensate previously substandard accommodation e.g . peel paint ( probably lead ) , unclean room , furniture miss part , etc . picture already site pretty much tell story . & quot ; luxury & quot ; suite nothing like brochure would believe . Old 60 's era furniture , utterly unclean . kitchenette still spill coffee previous occupant stove ? not look like clean year . grunge leftover food . downright gross . ruin anniversary . 
 Nov 24 2009 	 Perfect choice save already go back ! 	 live expectation ! staff friendly helpful . we room 14th floor 2 double bed overlook Park Ave . it be not ready arrive give Voucher 2 drink ! thing miss , NY Hotels , kettle tea / coffee . they need take leaf N. Ireland Hotels & amp ; guesthouse . you must try Waldorf Sunday Brunch , expensive worth ! perfect base sightseeing shopping . we walk Battery Park wear comfy shoe . take Staten Island Ferry ( free ) sunset view spectacular ! Breakfast Rock Center Cafe exceptional - we table right beside Ice rink . so meal Benihana . Smith Wollensky also worth money . they minute walk away . go Top Rock early day avoid queue - view breathtaking . buy map 2 $ know look go right top.bryant Park worth visit - Christmas Market Ice skate lovely setting . Times Square Sunday afternoon see believe ! can not wait return . didnt time revisit Central Park enjoy walk East River sun . 
 Nov 23 2009 	 distinguish manhattan hotel - need update 	 stay one bedroom suite , pretty big ( NYC standard either ) first , bad : bathroom little counter space , side od sink bathroom small consider size room . definitely small two people . shower curtain do not stay totally shut water floor everytime shower . the paint room ( esp . near windows ) warp , chip wood expose . I do not think a / c either room work properly . set 65 , leave room hour , return still balmy . , could hear , cold air ( even cool air ) be not come either unit . have cocktail peacock alley friendly , service slow . be not even busy ( much later chocktail hour & amp ; dinner ) even water refill get second glass wine take long , decide leave early . the good : even though hotel busy ( say book full capacity ) check - in quick efficient clerk friendly . location hotel perfect - meeting build mere step away 's great shopping block away.the room huge , bedroom living area . flat panel tv 's big . do not think much & quot ; hallway traffic & quot ; never hear anyone walk neighbour walls.had dinner bull & amp ; bear girlfriend everything fantastic - service , atmosphere ( busy weeknight 10 ) drink & amp ; wine meal ! lot , er , questionable look lady certainly entertain see action loloverall nice hotel - manhattan classic - need updating . absolutely stay location 
 Nov 21 2009 	 NYC Icon 	 beautiful hotel great location . hotel history finesse New York City . guest room small , expect large city . carpet wear would downside . bathroom beautiful . Sunday brunch $ 95 / person . 
 Nov 19 2009 	 scratch 	 first thing note not act like Hilton Hotel , diamond loyalty card etc count little . manange persuade give we breakfast tower lounge regular er voucher StarbucksRooms tire large revolting toiletry ! marzipan soap clove shower gel ! large discrepency btw room choice ask move happy . find service patchy pesistent get right person , willing help . the location outstanding worth lot . public area hotel beautiful interesting - stay historic place . poor level communication regard hotel facility . tell Oscar 's brasserie open obviously not etc . check planning eat particular restaurant . to sum ; bad could much well . 
 Nov 18 2009 	 nice hotel worth money 	 home stay waldorf astoria , read mixed review prior trip decide post review , check slow enough arrive 2 pm despite early check request wait 3 pm , know one hour request book ia 7 month pregnant know have tired also people check around time . everyone else say main area hotel grand expensive , room reflect , serious need refurbisment , although clean bathroom dissapointe . tile come away wall grout discolour , curtain bedroom little grubby . , normally picky pay price expect little money even new york standard . would stay well hotel stay less money . 
 Nov 18 2009 	 stay somewhere else 	 first positive note : can not beat location . like historical hotel , one romantic history . ... website , offer uprade ( certainly free ) request one . request one bedroom suite Concierge floor . tell website wrong upgrade . disappoint , accept one bedroom suite main hoteldo depend concierge service . e - mail prior arrival book reservation nearby restaurant . not hear back . checking , gentleman reception desk say would get back , , say record e - mail have happy make reservation call back . call concierge desk , know nothing , woman say would get back . not . later evening speak person one concierge finally book reservation . ask direction boathouse Central Park , tell & quot ; touristy & quot ; hand direction - wrong . depend map , could easily save hour 's walk . find Boathouse , think delightful high end . breakfast . 2 day , recommend alternate , virtually hold prisoner wish eat hotel . first morning , line almost 45 minute seat . Continental Buffet : $ 32 full Breakfast Buffet : $ 38 excuse , ' m pay $ 38 breakfast , make toast ? ? cheap item menu $ 8 bagel . overprice buffet sub - par runny scramble egg rubber potato . next morning , lined , ask reservation ! breakfast HOTEL ? outrageous . if endless budget , stay Boutique part hotel , mean , stay . otherwise , look elsewhere . 
 Nov 17 2009 	 step back time without loss service 	 fabulous hotel , beautifully present , step back time era luxury style . helpful , pleasant staff , delicious food , central everything lovely retreat bustle , lively city f New York , 
 Nov 17 2009 	 PERFECT ! 	 perfect stay Waldorf Astoria . minute check till leave everything go smooth . we check private office : stand line . room book not available immediately upgrade we room . room get phonecall check everything order wish need anything else . the hotel GORGEOUS ! ! even be stay , go see . beautiful detail floor , ceiling , elevator door , ... even public bathroom die for . the food excellent ( bit pricy though ) , sunday brunch lavish . the staff verry helpfull . our room spotless every day ! night suprisingly noisy room , ' m sure traffic AC , be NYC , Adirondacks . ok , carpet hallway see well day renovate allong couple thing , nothing major . and great location . I would definitely go . 
 Nov 16 2009 	 unmissable experience 	 Stayed Waldorf Astoria mother sister form time arrive escort car lobby treat courtesy politeness . matter jeans fur guest guest . we room upgrade large enough 3 us - although access closet restrict 1 bed , bed , pillow duvet soft comfortable , daily change linen towel too . the room warm window open heating / cool system bit outdate inefficient . eat drink hotel v.expensive even & quot ; Inhouse & quot ; starbuck 50 % expensive outside - there one around corner 50th Lexington . but great locationand sit front lobby watch come going sort guest miss . it bite fade old glory still evident . 
 Nov 14 2009 	 Classy hotel live upto reputation 	 enjoy wonderful time classic hotel , staff exceptional request deal immediately nothing seem much trouble . restaurant expensive food high order worth cost . try steak Bull Bear , fantastic . 
