great 	 husband stay Hilton London Kensington stay London last week . fabulous hotel ! give corner room large room clean comfortable . near tube Shepherd 's Bush walk distance hotel . Westfield Mall nearby shopper 's heaven ! high end regular store ton place eat . husband eat Byron serve burger . food service great . little pricey everything London pricey ! would definitely recommend hotel anyone travel London first time . easy access tube bus , taxis everywhere safe neighborhood ! one negative thing inter 
 small clean . good location . 	 overall , decent hotel . room small side family 3 . clean . good breakfast . location ok , good . 10 min walk tube shopping basic ( well upscale mall ) . 
 wish not bother 	 wife stay Hilton Kensington last weekend ( 27 - 29th Nov 09 short get away busy job . decide stay ta Hilton excellent stay one Hitlon hotel Glasgow ( get engage ) . unfortunately extremely disappointed several aspect stay . select non - smoking room , however room ( 2063 ) receive corridor smell badly cigarette smoke . rang duty manager pleasant offer we two solution - room freshen and/or move room next day hotel fully book . book 2 night stay breakfast one eveening meal . go restaurant ( busy ) show table completely set . Glasgow experience anticipate buffet style meal variety choice . however disappointed find extremely limited unexcite set menu ( need highlight Hilton 's website would probably book without evening meal include ) . option upgrade meal , however supplement question quite exagerate ( example 13 pound go grill chicken dish 15.50 approx al carte menu ) .My wife opt vegetarian option set menu ( vegeterian ) . spinah ricotta tortolleni extremely balnd disappoint feel tesco brand fresh pasta sauce would exciting . wife choose bread butter pudding custard desert . highly disappointed . bread butter pudding dry nothing compare make week previous . custard taste school dinner like certainly powder base . starter bland water ' fresh ' pea soup . main 8pound supplement ( 21.50 la carte menu ) West Eleven ( restaurant name ) fish chip . plate arrive mountain chip , 2 small piece fish ( apparently turbot ) stne cold mushy pea . chip nice tartar suce , whole meal boring . choose set menu lack good choice . dessert mean white choc cheesecake - however available opted stoffee pecan nut cheescake . also bore . summarise meal would say waste money service certainly 4 * .That night go relax room plan busy Saturday . however , sleep 12.30 heard group girl bang door enter room next ( 2061 ) shreke screaming . understand noise , however girl continue get loud intermittent screaming , loud laughter , music , slam door run corridor . continue approx 40 min feel choice ring reception . agree speak rowdy guest . 5 minute later hear member staff knock ask girl kindly keep noise . obviously do not care door close start louder ever . 40 minute later another staff member knock door ( have not make second call assume someone else complain ) . staff member ( introduce manager ) ask quiet . must wait outside room soon knock door inform would leave ahad warn . unfortunately , gril continued ruin supposedly relax stay . end get sleep well 3 am . follow day extremely tired wife decide speak manager disappoint unrelaxing night . duty manager ( female ) helpful understanding say unfortunately unable deduct anything bill pay advance , tell would speak manager could compensate we lose night sleep . return hotel long day give key new room ( 7061 ) size previous room ( relatively small ) , mention make time would compensated previous night . follow morning , relax night 's sleep , go breakfast tell could avail executive lounge , obviously do previous day way compensation unfortunately communicate we , although enjoy relax breakfast lounge , know access previous evening could make use could enjoy complimentry drink canape would feel adequate compensation previous night unfortunately due poor communication feel poorly compensate dissapointing night . on second night go restaurant recommend concierge ( Edera ) - good overpriced lack adequate portion . the hotel situate well original tour bus stop directly opposite hotel . hotelw close shepherd bush tube stationa nd large westfield shopping centre . we come home trip without relaxed overall stay disappointing do not think could could risk book Hilton hotel clearly consistency . 
 good location great service small noisy room 	 Hilton everything right except guest room door slam shut loud enough wake sleep . return London shortly stay repair . this short walk Shepards Bush underground station new mall . 
 Nov 20 2009 	 Excellent hotel staff - stay ! 	 give hotel & quot ; 5 & quot ; everything . stay three night one pleasant . staff go far beyond expect . hotel extremely clean well keep . linen towel excellent . room exactly promise . know say small think accurate state space well utilize . hotel accessible tube bus . tube right around corner bus double decker charm right outside hotel . take tube Victoria Shepherds Bush Holland Park via Victoria Line Central Line . even fun walk station Victoria Street catch Route Bus 148 stop : g towards White City . bus tell next stop re bell stop . great web site travel city http : //www.tfl.gov.uk / modalpages/2605.aspx . find time , stop good route use tube bus Journey Planner . London go walk . taxi available . ' tell much enjoy location , staff room . 
 Nov 19 2009 	 great value nice hotel 	 book hotel hilton.com , get rate 89 pound / night without breakfast . get big hotel room queen bed , desk , separate sit area , tub / shower . really great deal nice room . everyone else say , hotel nice tree line neighborhood easy bus tube access . first time London , problem navigate transportation . really like walk dinner / drink Holland Park ( Bombay Bicycle Company great indian food ) Notting Hill . would definitely stay . complaint second night arrive sore foot see site , key not work . arrive back front desk get reprogramme , staff require wait long line check instead quickly fix hotel 's error we . 
 Nov 16 2009 	 Nice hotel smallish room good pay ! 	 book hotel priceline & quot ; name price & quot ; deal pay £ 60 per night per room . room nice recently renovate although bath , shower , always disappointment go away weekend . location good , Kensington , couple minute walk Westfield shopping centre Shepherds Bush station . criticism would size room although price pay location make . 
 Nov 14 2009 	 Comfortable Hotel 	 stay Hilton Kensington two occasion ; April 2008 Oct 2009 . room bright cheerful ; much improve follow renovation . room size large adequate . irritate point room full brochure first task put everything away drawer re - claim every available surface use . breakfast menu wide selection service restaurant inconsistent depend many staff call late / sick tour group stay hotel . otherwise enjoyable experience . intend breakfast hotel , always book hotel room breakfast time well deal . hotel staff friendly helpful . hotel close underground train station Shepard Bush . stay London 5 day , consider get 7 day underground pass give unlimited use transport system within London . I recommend stay hotel next trip London . 
 Nov 12 2009 	 Fabulous hotel 	 stay hotel 5 night order Christmas shopping . check - in easy give choice room . room clean comfortable towel change daily . staff extremely helpful friendly . breakfast fantastic . . . day full do not need anything except coffee around 5 o'clock ! food am / pm restaurant also tasty . small gift shop hotel also stock toiletry medicinal product . location hotel , although central London , good 5 minute walk Westfield Shopping Centre restaurant . Shepherd 's Bush tube station beside Westfield Oxford Street 5 6 stop away Central Line ( change necessary ) . would definitely return hotel would recommend stay . 
 Nov 7 2009 	 Refurbishment complete 	 visit hotel ten time guess . last year ongoing refurbishment , complete last stay october . room big , really nice clean . upgrade executive room lounge access due Diamond status , enjoy complimentary wine finger food evening . staff lounge , reception , housekeeping concirgedesk nice friendly . Hilton Kensington good value nice area London . Westfield shoppingmall three minute walk hotel , everything Topshop Dior Louis Vuitton . need go Oxford strret New Bond street . 
 Oct 29 2009 	 Best Hotel London 	 's good hotel see London sixth trip London spend 12 Nights hotel , nice location , nice breakfast , nice staff , nice room modern stile , arrive 10 provide room upon arrival long flight trip , bus number 94 & amp ; 148 ( 24/7 ) bus front hotel door 15 minute oxford street 20 mint pecadelyand mayfer , Westfield mall 5 minute walk hotel , many coffee shop nice food near hotel like aria really , check allow sit till 3 pm keep luggage till 8 pm flight 11 pm , really recommend hotel everybody want visit London , room size average London hotel 's perfect 2 person : ) .Thanks Hilton Kensington make trip nice . I love Hilton Kensington : ) 
 Oct 26 2009 	 would stay 	 nicely appoint hotel . room ( 1006 first floor ) v. clean , super - large comfortable . breakfast buffet good . criticism toilet cistern take long time refill mean wait around 15 min able flush again . the hotel technically inside Borough Kensington Chelsea , accurate appellation would Hilton Shepherd 's Bush stone 's throw Shepherd 's Bush tube extremely well situate Westfield shopping centre venue like Shepherd 's Bush Empire ( stay hotel go gig ) . right next central line tube station mean 's well place access central London . be look hotel area , would recommend stay . 
 Oct 23 2009 	 wonderful location hotel 	 stay London couple day prior Easter . find stay amazing helpful , great London hotel experience would recommend anyone . Breakfast well organise , panic , great selection food ( fresh food ) attentive staff . use bar , restaurant executive lounge find department really friendly , efficient welcoming . definitely stay next visit London somebody travel use hotel frequently go top list great service helpful staff relax surrounding . 
 Oct 17 2009 	 overprice Overhyped unwelcoming unless 40 year old businessman ! 	 start ? girlfriend book hotel week prior concert attend wembley arena . first . car parking . large car park underneath hotel . priviledge set back £ 30 24 hour . meaning would cost £ 180 park car amount time spend ! end park low price car park middle canary wharf ( 40 minute train ride away ) £ 50 week ! course spend entire week worry car ! mention fact drop case girlfriend , drive slap bang middle london side canary wharf , drop car get two train back hotel ! next room . nothing wrong . quite spectacular actually . decide splash executive room treat . plus breakfast dinner come £ 1100 . mention website however fact evening meal set menu limited choice . maybe something non veil duck lover amongst we would well bet . despite pay week meal , actually dinner first night . maybe site would opt bed breakfast . now good part . stay , 22 girlfriend 18 . check , immediately tell & quot ; deposit & quot ; £ 50 pay debit card cash would give room . despite 3rd queue people check , yet person ask pay deposit ! wonder ? ! ask tell policy . ask no - one else ask pay deposit draw blank response either pay deposit give room . hmm . even well . less 7 occasion ( ! ) ask security suppose hotel , ask present keycard proof . imagine embarrassment pay £ 1000 executive room everytime enter hotel , ask prove allow , front guest . also upon enter executive lounge ... someone see open keycard , ask side prove executive room allow ! get feeling unless pull BMW drive butler age 45 welcome staff hotel ! 7th night stay , swap bog standard hotel concert - premier inn wembley . treat LOT well staff , food LOT well could park car fiver night ! ... directly hotel ! good park , standard room big nice executive room hilton . despite half price ! hilton kensington could learn lot premier inn ! 
