reasonable 	 boyfriend occasionally go city small get away . first time stay comfort inn . price reasonable service horrible , guy front desk look like not know . disappointed & quot ; city view & quot ; see window another building room small , lot space we put belonging . light break . overall room rather clean.i would advise couple want spend anniversary . would spend money stay hotel instead . parking lot small hard move vehicle , reasonably price . 26 dollar . pretty cheap parking city . 
 Nov 18 2009 	 blatant false description room 's facility view 	 family stay hotel 3 night , 6 November 9 November , prepay booking would left 1st night ! description Hotel Club / V Australia site inaccurate leave we feeling totally rip angry ! pay extra & quot ; large unit Bridge view Bay view & quot ; get large room , room size would expect Super 6 Formula1 hotel . fridge , microwave view distant Golden Gate Bridge bay ! described & quot ; bridge view , bay view & quot ; front desk staff extremely rude patronising , question size room & quot ; view & quot ; offer room 7th floor , two floor already book , exactly facility tell bring baggage etc reception room would available later day . decline offer make difference believe book per description website ! add disgust , zero customer service , one front desk female staff actually snort walk past front reception follow morning ! would tell anybody even consider stay hotel consider circumstance , cost we US $ 600 , add insult $ 30 night parking ! favour not book , even Travelodge position across road large room miss basic requirement would expect far low rate Comfort Inn Bay charge ! 
 Nov 9 2009 	 great location good service ... 	 last five hotel 11 day stay northern California . unfortunately least favorite five . room basic & quot ; city & quot ; hotel room . unbelievable small 18 & quot ; table one chair , nothing . microwave , fridge , even second chair . enormous tangled mess power cord little table make recharge life 's accessory pain behind . bad , service terrible exception nice latino gentleman work breakfast area morning . price fair little get say , great spot . 
 Nov 9 2009 	 Perfect weekend stay -- good price 	 highly recommend hotel . room neat clean everything need comfortable stay . staff accomodate friendly breakfast good . location excellent ; right corner Lombard Van Ness St. several block Fisherman 's Wharf etc . even let we check leave luggage office could still tour around . ' ve excellent luck hotel favorably review trip advisor . 
 Nov 2 2009 	 black MOLD Present Wall Curtains 	 health comfort , pick different hotel . wall behind curtain much black mold refuse stay first room . offer 2nd room black mold curtain well wall . stay 1 night instead plan 2 mold . rain hard rush hour , would left never stay 1 night . regret leave , never comfortable room . parking site horrible , elevator service floor 2 3 subterranean parking . attempt park small car . camry even difficult take turn without back make small move .. 
 Oct 18 2009 	 convenient location upgrade get view 	 stay 2 night disappointed & quot ; city view & quot ; big ugly building next door . ask different room say faced building . upgrade actually get view bridge city , pretty nice . location convenient - within walking distance Fisherman 's warf catch muni transport close . first time get see eveything want . continental breakfast okay - waffle , white toast , oatmeal , cereal , apple / orange , pastry . parking reasonably price area , although cram . be pass 's good hotel , be look romance will spend money elsewhere . p.s . -upon check tell staff celebrate anniversary baby way ( @ 7 month ) could care less , perhaps give little smile . 
 Oct 5 2009 	 single bed room extremely small crowd 	 stay hotel three night . first two night single Queen bed literally put suitcase . suppose city view however even 8th floor build directly front view . request upgrade third night bridge / bay view two queen ( quite inconvenient move luggage hotel storage ) wait check - in yet next afternoon . however , room much large . move 9th floor b / c fog really much view city street quite entertaining . hotel frisco parking fee unreasonable necessity . location hotel quite hike different attraction muni route helpful . breakfast typical continental - Comfort Inn Sunrise Breakfast - crowd / noisy eat area . 
 Sep 30 2009 	 hotel location ok - front desk staff horrible 	 stay hote three night book room bayview . actually request king bed , check tell double room leave happy room 7th floor ( not know one ) . check first experience & quot ; friendly & quot ; & quot ; enthusiastic & quot ; front desk staff . stay deal 5 different people reception 5 either rude , unfriendly absolutely bored , basically wrong job.the room ok . quite spacious really nice view bay bridge . breakfast always bite battle , hotel seem popular group , every morning group come time buffet empty quite quickly many table , one morning not manage get table straight away . breakfast highlight , sufficient.the location goog . cable car walk three block ( steep uphill ) , Fisherman 's Wharf 's 20 - 25 min . walk , also bus go . park US 26 , - ( think ) cheap.there extra service hotel . business center internet access , fitness center , pool , restaurant ... would say ok ' ve pay , want friendly staff - not go ! 
 Sep 28 2009 	 Good Hotel Night two 	 good hotel Comfort Inn standard . 's clean good location . 's 15 minute walk Fisherman 's wharf 3 block Worlds Crookedest Street . the continental breakfast good . lot variety . this seem hotel tour operator use . quite people load bus day leave . 
 Aug 28 2009 	 Good Location Great Base . 	 delay way SF not check hotel midnight . make welcome tove front desk even though late answer question also give we menu takeaway would eaten properly almost 15 hour . get breakfast ok ( free breakfast not expect huge variety ) selve serve waffle maker always line , mini muffin , boil egg , bread toast tea coffee make facility . room spacious , bay view , television variety channel . bathroom not big ok . hotel great location 6 block away fisherman wharf good location bar restaurant evening . would recommend hotel great base , luxurious world good option staff really nice . 
 Aug 9 2009 	 Super close golden gate fisherman 's wharf negative 	 stay trip San Francisco . hotel close golden gate bridge block walk fisherman 's wharf . active night life area restaurant bar . however , place downside . use reward point pay night , average night $ 150 . plus park additional $ 26 per day . parking lose tiny cramp . top floor room tremedous view bridge , would pay extra . room small without desk laptop . tv small wall thin could hear room . bathroom tiny well . atleast sink outside bathroom . pool . breakfeast area large , standard comfort inn breakfast waffle , cereal , toast , bagel , etc ... impossible catch cab city . think hotel fine staying pass , would try someplace else next time SF . 
 Aug 6 2009 	 nice hotel terrible front desk service 	 Hotel convenient visit . front desk treat we rudely . silverware could use takeout even though breakfast every morning . also helpful direction friendly talk . seem care good customer service . 
 Jul 30 2009 	 Bed Bugs Filthy Room 	 not stay care avoid bed bug infestation place live . last night stay , discover bed bug crawl we sit bed . issue bring Front Desk staff , nothing , room not change , not give new reservation different hotel , nothing . sleep bed bug room , feel itchy gross , know check , would quarantine clothe , luggage everything outside house return home . check - out , speak Manager duty compe one night ' grievance . ' ask whether room moldy curtain , dirty ice bucket , bed bug , & quot ; course , & quot ; reply . I call friend back home put garbage bag clean clothe outside house get . change outside . luggage still garbage bag patio . 
 Jul 26 2009 	 comfortable pleasant stay would definately return . 	 stay three night husband , teenage daughter son parent . room clean comfortable . parent top floor first night find air conditioning noisy . staff sympathetic helpful immediately move quieter room . breakfast good offer wide choice ; waffle , cereal , fruit , egg , pastry etc . good location , easy access sight , bus stop outside front door . ( great pizza delivery service advertise lobby . buy pass muni transport , give unlimited access reasonable price purchase bus terminal ) . 
 Jul 24 2009 	 good Clean Hotel good location 	 stay 3 night start holiday . ask two adjoining non smoking room bay bridge view , exactly get . room clean comfortable although bathroom little small . view wake morning ! reception staff friendly helpful . nothing seem much trouble . inclusive breakfast adequate , location ideal , far Wharf parking fee reasonable . , good start California tour 
