Clean 	 husband book Rooms Manor experience really good . sister parent also . even ask , check - in , give we adjoining room . room clean comfortable . room locate ground floor - parking basically front manor . Circus Circus offerre really good buffet meal - 20 usd whole day ( breakfast , lunch dinner ) also offer eat prime rib 13 usd . well worth it . we stay 2 night really great time . probably one cheap hotel facility great . 
 disaster 	 daughter family stay 4 night Circus , Circus Las Vegas . total disappoint past experience . normal amenity i.e. , refrig . , Microwave cost extra per day , room clean , elevator break , walk flight stair get room . talk desk receptionist Supervisor unprofessional sympathic . & quot ; kid friendly & quot ; advertised family set prior year staff rude instance . ever recommend staff Circus , Circus Las Vegas . many family attend football tournament . next year stay elsewhere . 
 cheap ... 	 Somewhat way & quot ; strip & quot ; . price right though like clown , well will love place . room pretty basic , date . room quiet . Shower floor uneven feel somewhat odd ... not know would stay pinch , 's bad choice Vegas hotel . 
 Nov 25 2009 	 newly Renovated room Great ! 	 want something cheap Vegas , go run around day not plan stay much hotel . however , want stay somewhere nice dump . see online Circus Circus stay three night get fourth night free could stay NEWLY renovate tower . skeptical time open door room . main lobby casino dark dreary get room - nice . modern furniture , art work , new bedding , armchair flat screen tv . room huge ! view not much - overlook back parking lot . a / c barely run -- - little sneeze breeze , however leave day seem cool room . room end hall noise minimal . never hear neighbor people us - nice thing . also room safe , welcome addition . the Steakhouse Restaurant hotel / casino miss - exceptional service well worth money spend . go anniversary dinner . great . rest dining option leave much desire . there place sit read book enjoy glass wine partner play table -- - want relax go room . disappointing . would nice decent lounge . the casino say dark feel little claustrophobic . hotel / casino much open / airy not feel constrict . trying find way around crazy . one man elevator say go two floor , get walk hall catch another elevator get go . trying find pool impossible hour even ridiculous ! 15 minute walk ( be walker ) go 3/4 mile strip Fashion Show Mall area . fine we . I would recommend stay hotel reserve room newly renovate section - rest property leave much desire . 
 Nov 23 2009 	 cheap cheerful 	 upgrade normal room ( allocate motel ) everything fine ! nothing special nothing bad , nice cheap cheerful hotel ! 
 Nov 20 2009 	 Fantastic .. would stay would recommend 	 book Circus Circus cheap would therefore spend money . look review beforehand see get vbad review leave expect anything fantastic . friend tell we always ask upgrade check normally always upgrade . check - in say give we one good room book direct rather another site get prioty ( worth remembering ) also upgrade friend check day floor similar suite . guy check - in also say part hotel refurbish stay north tower refurbushe . think say west tower also also nice . we checkend room jaw floor ... room incrediable HUGE ! ! think pay $ 30.00 per night right bargin . clean also . the Buffet cheapest find strip $ 20 per day fantasic . yes - like review food little dry still nice plenty choice fresh bake bread stuff fresh fruit & amp ; veg . expect good service go get Las Vegas . not get standard customer service elsewhere state , polite get want , complaint . location wise little away centre strip - like noise want go sleep take leave . everything short walk away . loved hotel $ 30.00 per night pay room ..... would not try another hotel suit we perfectly ! ! make sure room one re - furbished tower winner ! ! 
 Nov 20 2009 	 we . 	 return Vegas couple day Grand Canyon . stay Circus Circus not thrill place . 's place take little kid RV KOA campground back hotel . the Steak House fantastic , Garden Grill ok compare hotel somewhat short bar lounge . People casino not look happy ( maybe lose lot , ) slot certainly not let win many time . little way hotel / casino unless decent walker , bus ok not seem come often get little cool time year . the room decent clean - Skyrise tower - hotel whole grubby constant hassle vendor remind place lot less Vegas casino ! downtown worth visit , Freemont street state - experience , Golden Nugget fix look good . Miracle Mile shop Planet Holywood hotel outstanding . be sure visit Grand Canyon , awe inspire place nice get away Circus couple day . pay buck stay elsewhere , Circus part MGM Mirage think keep go kid RV crowd stay play . we though . 
 Nov 19 2009 	 1st Time Vegas - never 	 second bad hotel stay . wear , old - keep bad , clean . stain carpet , engraving doorway , dead fly bathroom fixture . would recommend facility . 
 Nov 19 2009 	 would stay anywhere else ... 	 never Vegas hotel , would never go back . service horrible , slow always seem disappear be next line . buffet dump , food taste old reheated . casino .... kid hotel , bad place could take child ! smell smoke revolt , ' m say ' m non smoker smoke casino cover nose would enter casino . good thing say new west tower nice worth extra $ 10 night upgrade , otherwise , stay elsewhere ! 
 Nov 18 2009 	 bit tired 	 stay Circus Circus 3 night . room facility ok especially price pay , can not complain . say though , hotel see well day , gambling area particular could facelift . the Garden Grill meal though , recommend good value money , also delicious steak . finallay , service cafe ground floor excellent . . 
 Nov 18 2009 	 Circus Circus Hotel Las Vegas 	 stay Circus Circus Hotel 8 night , people say 2 section hotel manor room & amp ; tower room . I stay Tower Rooms main hotel , good 2 big queen bed nice bathroom . we also buffet one day $ 20 breakfast , lunch & amp ; dinner . good value nice supply salad etc 
 Nov 18 2009 	 Circus Circus - highly recommend 	 ' ve stay twice ( sept . 2008 feb . 2009 ) . travel work mate choose hotel pretty cheap , compare place , look good good position . depend period travel , get low price - check fee time time . Circus Circus 3 * situate Strip - one easily get point attraction either walk take bus . take 15 - 30 minute get Circus Luxor , walk Bellagio hotel , Caesar Venice . book easy fast , even lot people line - place lot room lot guest . room clean view 18th floor magnificent . one see nice piece Vegas Circus Circus window . casino pretty cheerful ( lot young people look forward fun ) 's cheap hotel . free drink player ! souvenir shop , mini roller - coaster park right inside hotel , restaurant - hotel , although place not luxurious Bellagio . 's also chapel serious intention ( get drunk ! ) .About hotel 's weak point : be big pretty crowded , pay attention get room , get reception get restroom , be casino . circular place casino ( McD zone ) 's easy get lose . lose child . staff prove helpful situation . another issue ( typical Las Vegas ) get hotel police close one end Strip order get guy - order enter Circus Circus , pick different route , sure GPS ( useful US teritory ) .I highly recommend people not wan na spend much money room ( will sleep , many attraction ) , yet wan na able fun nearby casino , stay close Strip . 
 Nov 17 2009 	 Friendly Staff Hotel many kid ! 	 go Las Vegas 1st time 2007 stay Circus Circus part package deal go Grand Canyon , moment check staff nothing short top notch , give we good advice , guilde we around big place ( nothing like Australia ) put hand homework do not know place would packed kid ! hey notice title casino staying ! casino quite nice , Acrade , Krispy Kreme ( us big kid ! ) place always pretty clean , Buffet bit average though , internet good send email love one back home , got to watch people try sell stuff near Adventure Dome walk towards South Strip get bully TimeShare idiot ! watch end con go TimeShare thing take 5 hour day ! room okay , great view bad someone budget place you . we go back Vegas Jan 2010 Visit place , stay see what s go . 
