room 	 would highly recommend hotel - fantastic spot Manhattan ( walk distance 5th Ave subway etc ) be neat , tidy decent price . our room 2 single bed inside , must admit much small expect , not bother we one bit - be New York , be go spend extend amount time room , be crazy ! tiny room suit we sleep . clean comfortable within budget ( $ 1000 5 night - book expedia ) .I highly recommend hotel would definitely stay . 
 Nov 24 2009 	 really nice hotel 	 stay 3 night . really good hotel within walk range many Manhattan must - see place . 
 Nov 24 2009 	 least will not forget stay - 30/30 ! 	 give extremely large room ( corner room ) w/ sofa & amp ; table tv etc .. although lighting not seem adequate enough size . decor neutral minimal even walk reception room good 24hr reception available . bathroom probably really nice renovated need spruce . location wise nothing much exciting look around- lot factory second outlet souvenir shop . good 15 - 20min walk time square subway around corner . bad would probably stay Soho next time round . : ) 
 Nov 19 2009 	 Excellent Hotel . 	 stay hotel time , times excellent experience . great location city . staff service great . love new room , sleek , roomy , clean bed super comfortable . highly recommend cool hotel anyone stay good city world NYC . 
 Nov 18 2009 	 nice surprise : clean comfortable good service 	 early November , friend stay two night Hotel Thirty Thirty , small boutique hotel , offer sleek accommodation quiet location . find ! around corner Park Avenue one block subway , able metro museum district Greenwich Village relative ease . Times Square nearby feel safe walk back hotel show dinner . hotel staff offer exceptional service . courteous , knowledgeable efficient help accommodation direct subway . hotel lobby hip , minimalist design ; room well - appoint clean comfortable bed white comforter small green velor couch relax day walk sightseeing . bathroom roomy wraparound tile simple lighting . concierge service immediately available Sunday morning hold overnight bag breakfast nearby restaurant . good value small hotel . recommend hotel place another waste basket room near desk . also green front , recommend offer re - use towel program . 
 Nov 18 2009 	 Perfect 	 stay hotel every time travel New York . go elsewhere option . room always clean , staff friendly helpful . never disappointed stay Thirty Thirty . also locate extremely well , within walk distance Empire State Building , Times Square , 5th Ave , Penn Station enter depart city . even bar / restaurant connect lobby common every NYC Hotel , 24 hour food convenience store right across street anything might need night . fully recommend hotel NYC visitor , wether business pleasure . 
 Nov 18 2009 	 great hotel location staff reception 	 hotel good location ! ! ! ! ! room clean , quiet . enough space 2 person . staff front dest friendly . resteurat really good price ! ! ! 
 Nov 18 2009 	 3030 great business traveler ! 	 choose Thirty Thirty business trip New York City mainly great location highly reasonable room rate . pleasantly surprised superior room offer cost . superior room clean big equipped basic amenity would need , include free hi - speed internet connection LAN . sum , Thirty Thirty sheer value money centrally locate - near cross Park Avenue Madison Avenue - walk distance good restaurant food joint - italian , indian , chinese ... speak attach diner offer free breakfast hotel guest open till 11 pm dinner . would rate high high - end well low - end hotel like Radisson La Quinta around area . stay 10 day would love go back . would recommend cost - conscious business traveler well holiday maker tight budget . 
 Nov 15 2009 	 room shockingly small - no closet space sink bathroom free wireless internet 	 horrible . walk step lead reception area ( ie ramp ) doorman let alone bell staff , know trouble . lobby front desk staff friendly think maybe first impression wrong . however , walk room see bed room , shock . sink bathroom , do use toilet , walk room forget bring towel , walk back bathroom . set remind hospital room . besides , housekeeping staff clean room 5 pm . leave day 11 am think return 5 , room would certainly ready we use . greet maid embarrase tell we go downstair report complaint . finally get room , want find restaurant net find would charge $ 14.99 day use cable connection . next horror occur 8 am man enter room without knock . luckily , hear yelled leave . assume housekeeper . overall , disappointing horrific experience . would recommend hotel bad enemy . 
 Nov 15 2009 	 perfect price 	 myelf husband stay november 7th till 12th . read previous review nervous ahead hotel . quite contrary , room bathroom , small clean suited need perfectly . go NYC sit bedroom ! ! ! realistic expect 1st clas hotle perfect location trip big apple .... 
 Nov 15 2009 	 look elsewhere 	 not bother hotel . stay New England cruise DISAPPOINTED . understair cupboard big ! ! no - where put suitcase , drawer , chair , even plastic glass water ! ! room depress well tiny . desk staff nothing short rude fact helpful pleasant person deal bellboy . add insult injury not cheap . 
 Nov 14 2009 	 exceptional service value money perfect location 	 stay 11 - 15th nov , moment walk leave , staff always friendly polite . read previous review reluctant hotel . price well worth similar size room would pay $ 300 per night . stay superior room , queen bed . check request room bath lady front go way find room . 18hr flight happy do not fight . location perfect rd 28th subway , want could walk time square ( approx 15min walk top ) . nice neighbourhood . downside could not find supermarket & amp ; r every second corner practically . downside room fridge , take . 
 Nov 13 2009 	 lovely hotel great location . 	 read review slightly worried , need not though . the Thirty Thirty nice hotel good area Manhattan , close local shop , bar , restaurant subway , need New york ? 4 block Empire State Building , 1 block subway , dry cleaner , pub / restaurant hairdresser across road . the staff helpful friendly room , massive , nice , clean presentable . bathroom massive clean modern . I would recommend California Pizza Kitchen corner food , superb . all , great trip New York hotel everything need would hesitate stay . 
 Nov 12 2009 	 great value perfect location not need anything else city ! 	 great find - please ignore reviews- worried unnecessarily . enjoyable 5 night stay first week Nov 2009 . & gt ; bedroom : book basic double . yes be small ( be british use thing small ! ) , absolutely fine ! clean , big bed ( must least king ) , lovely linen , spacious fit wardrobe , lovely bathroom bath shower . big bathroom home ! & gt ; location : perfect . walk everywhere ! ! ! even back Guggenheim hotel ( 60 block away ) - Empire State virtually end road become much like home beacon we . walk Manhattan , would not stay anywhere else . street amazingly quiet centre everything . sleep really well . also feel really safe - 's dodgy area anything . & gt ; concierge : really helpful - can not fault service & gt ; Breakfast - eat 3 time adjoining restaurant . $ 13 full breakfast coffee & amp ; juice . lovely , pay hotel price . go twice Jimmys Cafe 3 min walk away - Madison Avenue , around 32nd street . $ 9 full breakfast coffee & amp ; juice . I would def stay , although New York probably one time visit . want laze around luxury hotel relax lounge / bar / swimming pool etc , not stay . would pay hotel like New York be day , see ... New York ! not go budget hotel , trust - want see New York , stay will sleep well sightseeing ! 
 Nov 9 2009 	 tall people 	 hotel centrally locate attraction easily reach foot.2 minute subway station numerous yellow taxis though needed.we check hotel 11 pm night.found receptionist pleasent efficent.found room horrify small room 2 people let alone 3 people . 2 single bed child like size.for anyone 5 foot 10 inch go problem bed size.the couch bed use 12 year old son reasemble hospital trolley uncomfortable.there little light room .the room good bathroom though excellant shower.not much storage space clothes.it well decorated.when went finally settle first night find one bed broken.it soon fix though report this.on wake first morning view brick wall .hardly natural light could get part one window hold together gaffer tape.certainly family hotel freindly hotel.luckily spend four night .apart location 2 minute empire state building hotel redeem factor . 
 Nov 9 2009 	 Average Hotel 	 hotel average . arrive non - smoking room , overwhelmed stench old cigarette smoke . confirm desk fact non - smoking room . go hang clothe closet , find source smell -- two large bag garbage . stop front desk request remove dinner . course , return 3 hour later , still remove . also , shower old dirty -- bring shower shoe ! seem put enough money lobby make look nice enough -- upgrade end . 
 Nov 1 2009 	 love stay 30:30 clean room central location pleasant helpful staff . would absolutely book . 	 husband return stay NYC , travel 24th October Central Park wedding , reservation hotel review inconsistent . excellent poor . love quiet location hotel , away madness Times Square family friend stay , well within walking distance everywhere want visit . allocate small room 12th floor initially ( 1218 ) , adequate , ask move wedding room street view , get room 704 fab , spacious , overlook 30th street , view Empire State Building , albeit top , hey , view 's view ! staff could not nice , room see clean , communal area , be book hotel , take rating account , be look something akin Waldorf Astoria be wrong place . florist attach hotel flower wedding , crooked knife across road fantastic value dinner drink , use hairdresser right across hotel blow dry hair wedding - everything need right doorstep , fantastic ! 
 Oct 28 2009 	 hotel well average 	 room stay little space , ( single ) bed 2 ft around two side two wall . wet room shower shelve hold toilet article , wardrobe miniscule . the experience depress huge disappointment consider amount levy night 's stay usd 243.my colleague ' room clean peanut floor previous occupant . try avoid hotel . 
 Oct 27 2009 	 great hotel great price great location . 	 stay hotel Thirty Thirty 4 night . travel friend 2 teenager . hotel great would definitely stay again . I worry read previous review , say nothing wrong hotel . because great location able shop , drop shop ! ! double double room , spacious room 2 double bed . bathroom modern . room clean decor ok , amazing basic , need 4 day trip . trendy reception area . the toilet block around 3.00am morning within 5 min someone come room rectify problem . hotel staff reception , concierge plesant extremly helpful . thing restaurant hotel little pricey $ 5 1 liter bottle water . 
 Oct 26 2009 	 Nightmare Midtown 	 arrive late evening . reception look promise almost boutique . book standard room usd 209 night . room awful . one third take corridor behind bathroom lead bedroom big enough bed . room smell bad not even bother venture . receptionist agree upgrade large room . room sizable decor tired wallpaper come away wall . two television , one miss part front . sofa look dirty floor remnant cashew nuts drop previous occupant . floor uneven whilst wardrobe , bedside table occassional furniture neither match good condition . bathroom highspot modern tile decent walk shower , even washing , minute dirty bedroom make feel unclean . nether cheap cheerful . hotel ever return . 
 Oct 26 2009 	 great hotel - Ignore negative review 	 win hotel Priceline , bit worried stay read negative review Tripadvisor . luckily hotel much well expect . ' comment regular room upgrade deluxe room since non - smoking , king - bed room available night arrive . however , upgrade room excellent , spacious NYC hotel . everything clean comfortable , albeit bit date . in - room safe . bathroom possibly highlight room , clean , stylish modern . the location convenient , near several subway station ( near 28 St Park Ave 6 Line , also 28 St Broadway R W ) short walk several restaurant , 24 - hour pharmacy , Empire State Building . essentially anywhere Midtown Manhattan within walking distance ( i.e . ~20 minute walk ) . limited dealing staff , ' comment beyond say find service adequate . , stay trouble - free nothing complain . book Priceline price excellent . regular rate , well hotel though . 
 Oct 25 2009 	 clean friendly excellent location 	 travel New York friend 50th birthday celebration . already book hotel reading review travel slightly worried say least . arrive pleasantly surprised happy choice hotel . friend celebrate 50th birthday room upgrage staff friendly helpful . also room clean comfortable . hotel excellent location site seeing would definitely stay . 
 Oct 21 2009 	 great hotel great staff 	 get back first trip ever New York . stay Thirty Thirty recommendation friend . apprehensive bit reading review . ever wrong ! hotel lovely room staff . room spotless housekeeper always pleasant . everyone friendly throughout hotel always willing help smile . even manager lobby check go way inquire stay offer help ask need assistance anything , even though check ! ! would highly recommend hotel anyone , especially want conveniently locate hotel site shop . definitely return . 
 Oct 20 2009 	 great price . great value 	 NYC , price , impossible find something well Thirty Thirty Hotel . clean , Midtown , every comfort . great surprise . if would need would come back . just one problem : free internet wireless connection . 
 Oct 13 2009 	 Excellent location 	 return 4 night stay Thirty Thirty impressed hotel especially questionable review here . we upgrade check - in superior room . room big enough us suitcase . basic clean . negative noisy fan outside window ( room back building ) . also , staff helpful question have . the good thing hotel location . within walking distance Empire State Building , Macys Times Square . perfect base trip would recommend anyone budget look New York hotel . go cheap hotel mean spend money shopping ! 
 Oct 13 2009 	 Good Hotel 	 minute walk Empire State Building Macy 's . good hotel , nice sized room , clean room helpful service . not eat hotel . 
 Oct 12 2009 	 definetily recommend ... 	 brother stay Thirty Thirty 2 day first trip NY . book Orbitz give we standard room guarantee Queen bed , although brother definetily prefer separate bed one call hotel get need accommodate . great location , center Manhatan , close subway easy move anywhere . room clean comfortable . 
 Oct 12 2009 	 incredible room Value 4 Manhattan 	 stay begin September surprised value location hotel . large , clean room . 
 Oct 11 2009 	 great location nice hotel 	 hotel close Grand Central Station good access public transport . room not big good stuck room smell smoke although specifically request non - smoking room . nevertheless great time NYC . 
 Oct 10 2009 	 good location bad service 	 good thing : indeed close Empire State Building , Times Square within walk distance etc , nightlife bar great . downside , room ( single ) small room ' ve ever ( often Paris know room rather small , ) : staff quite unfriendly . could not find luggage , charge internet access ( freaking room space bed , desk even put laptop ! ) . bad thing combine toilet - bathroom - shower : imagine room 2 m² , one corner hold toilet seat , hold tiny tiny sink size hand , shower - whole room : drain bottom floor , shower right . great way start day , tell ! 
 oct 9 2009 	 want go back Hotel 30 30 please ! ! 	 spend age look nice hotel New York boyfriend keep suggest place stay not keen get great deal junior executive suite could not say ! room modern , clean lot room . bed comfortable hard get sometimes . bathroom good size large walk shower . also really quiet , room not hear noise . the location great , block Empire State building , bar important thing - shop ! ! ! would def go back ! ! 
 Oct 8 2009 	 frill good clean room use sleep shower . 	 wife spend 3 night first trip NYC tourist . not want spend much money , hotel perfect . not expect much far service spaciousness . room small window unit AC , clean serve 's purpose . not great hotel adequate , clean safe . would stay location price . 
 Oct 7 2009 	 4 thing need know hotel 	 ok , let cut chase- 3 thing need know hotel decide factor . please read whole critique 3 not disqualifier everyone- decide . stay hotel 4 night & amp ; skeptical star rating ( 3 - star hotel ) , NYC expensive , run 3 - star . travel friend , 2 bed room . need know : 1 . ) room small 2 . ) a / c unit build window ( issue ) , sound like 747 ( noise issue , sleep ) 3 . ) place put tv 9 ft floor , be lie bed , be look . 4 . ) bed small- do not know ? Queens ? feel like single . kept think go fall out- ' m use Cal king . 5 . ) ' m mention tend check online day leave ( hate check airport ) - main gripe cost print boarding pass- take 30 second , end cost $ 6 since printer run paper , would cost $ 3 , $ 3 , plain dumb ( give we convenience ! ! ! ) Now- hotel quiet ? yes . never hear anyone , anyone wake . hotel staff amazingly polite courteous even help find location want go . cleaniness hotel top notch- maid service extremely well . bathroom enormous . location perfect- close everything- really probably good location right middle . stone 's throw good bar excellent restuarant . location probably one good Manhattan . would stay ? definitely . get great deal Priceline steal compare $ 400 + room see . would rather spend $ elsewhere place would . 
 Oct 7 2009 	 everything look quick trip professional great service ! 	 love hotel , would recommend anyone come see sight NYC . staff professional accomidating , location hotel middle everything , lot . think take 4 minute Empire State building . blast stay , everyone make seem like show great time ! ! 
 Oct 6 2009 	 good deal 	 husband book hotel base recommendation friend . read fo review book extremely worried . overall good experience . room small clean hotel extremely convenient walking take subway ! hotel front desk staff overly friendly especially since make numerous trip reception room key reactivate . room consider superior . foudn rather amusing special way . overall great price great location . would recommend hotel budget conscious traveller . 
 Oct 6 2009 	 kick room hotel overbooke ! 	 business trip two colleague trip two night . first night , hotel call say overbooke , large group come , least one we would need vacate room . hotel nothing help we find alternate lodging . get back room , bag basically pack we , room ready new guest . end put two us room two twin bed ( hard concrete ) nothing compensate we horrible screw handle situation . 
 Oct 5 2009 	 bad price ... 	 search search searching low rate decent hotel NYC , find one decide stay . location not great , depend be plan go NYC not mind walk lot , ok . 's 2 block away nearest subway , not bad . room really small , normal NYC , surprising size bathroom ( really big bathroom ) ! pretty much size room ! thing bother room constantly smell like food ( oniony - smell ) probably restaurant downstair one restaurant street . if want use internet room , cost $ 14 / day 's wireless FYI . overall , not care size room location , great hotel low price . 
 oct 4 2009 	 fab ! ! ! 	 little weary staying read review lovely v. clean staff reception v.nice friendly . 1 small complaint 1 door v. rude apart back ! ! oh check crook knive across road . 
 Sep 29 2009 	 great base 	 not look forward read review , great clean staff helpful . central location bar restaurant , crooked knife , directly opposite welcome place long day visit attraction . would recommend hotel . 
 Sep 28 2009 	 person travel many city worldwide far good 	 12 year old son arrive thirty thirty hotel week long stay greet utmost respect professionalism long flight London . whilst stay suite comfortable keep immensley clean day day basis , hotel 's ammentie superb staff . thirty thirty hotel actually base centre Manhattan close top tourist attraction Times Square , Central Park , Statue Liberty name unbeliveably Empire State Building end street hotel , 30 second walk . would recommend hotel family buisness need gather early Wall street Buiness distict short distance . food , breakfast lunch dinner also excellent restaurant staff also impecable . HIGHLY RECOMMENED ! ! ! ! 
 Sep 27 2009 	 little cracker 	 read many review site prior trip New York little anxious expect . well would like say fab time NYC hotel wee gem . room big , spotless even view empire state building . bed soooo comfy get great sleep full five night . second leave hotel heart everything . reastaurant / bar attach hotel amazing breakfast , busy shopping come back dinner would fully recommend . staff helpful answer quierie . go consider hotel would say go .... leave money shopping . lolwhen return NYC defo use hotel . 
 Sep 24 2009 	 first class accomodation ! 	 stay Hotel Thirty Thirty four night girly trip New York . excellent accomodation , two block away Empire state building central location . go would probably stay near Time Square bit walk day . hotel great three star accomodation would def stay . big room even large shower . toliet flow staff room couple minute later sort problem . great service . tip anyone never New York NYC virgin - would reccomend buying bus tour ticket 48 hour cheap pay taxis from transport . spend one day downtown loop night bus , follow day uptown loop musuem . overall really enjoy short break big apple look forward next trip ! 
 Sep 24 2009 	 second great experience less 3 month . 	 stay Hotel Thirty Thirty second time 3 month experience great time . find satff incredibly helpful , room nice connect Restaurant real plus convenience . I would recommend anyone , anytime . 
 Sep 23 2009 	 good location small old room 	 let start say be really bad 's really good . hotel good location , far subway , empire state building really bad walk Times Square . real problem room . small , old smelly . travel get petit room . website warn room small can not imagine small get . one twin bed push corner . room smell like animal something . tv real old A / c work loud . basically room old . bathroom one open area tiny sink mount one corner pull mirror . curtain come middle room create shower toilet . lot strange stain ceiling tile look old dirty . ' m real picky place stay guess nothing really wrong . leave thinking never want stay . course big room may well nicer . 
 Sep 22 2009 	 Thirty Thirty Hotel be / be nice place ' ve ever stay 40 year travel : 	 NY Tourist Business Travelers : name G.D. McCamey , excite write 30 - 30 Hotel . obviously stay Hotel perfect . wife enjoy superior treatment ' ve ever receive . first , management fantastic , really enjoyable man / woman talk share need fear NY first time . describe helpful management , leave employee super nice , sake well word . let say , fear Ny first time , several hour 30 - 30 , feel like home , actually , safe . staff give room tub shower surgery need soak warm water 30 minute day 8 day stay . bathroom nice , bed comfortable , quite comfortable . surprise safe closet able keep money , medication surgery . little safe could put thing install combination wife one know . one feature worth stay 30 - 30 , . elevator , several eat place across street , 30 - 30 nice restaurant . however , since wife would 8 day , need place quick less expensive meal , find place 1/2 block Hotel Thirty Thirty 's front door . nice deli run italian family make delicious lunch less $ 10 . we . ny , cigarette cost $ 10./ pack , inexpensive delicious mean . problem wife keep ask finish mean much finish . life ' ve tell careful NY , be dangerous place . let say last thing . go smoke 1:30am . , 3:30am . 5 am . surgery keep awake bit pain . find enjoyed stand door Hotel much going see people walk . feel safe wife walk 30 - 30 doctor 's office , 30th . 69th . , leave dark walk feel safe back Arkansas . however , transportation problem 30 - 30 , taxi arrive door less 2 3 minute day night . bus , subway nearby . love location 30 - 30 Hotel . , want say , leave read people comment say stay 30 - 30 past , negative point . kinda worried , let assure , ' m 65 , ' m particular honest , ' m say anything true . find nothing , nada , , nothing negative say stay Thirty Thirty Hotel . even gym guest 30 - 30 treat we special . could work , wife , treat like royalty wait . right middle everything , walk least 10 place tourist would want see , remember , double surgery still able walk see site problem . price surprisingly inexpensive Hotel quality . oh , tell feel safe , even though whole area appear safe , always member management , employee door well doorman . decide stay make sure guest would problem , direction , ect . tell management come back NY soon possible , enjoy much . chinatown , harbor , Statue Liberty happen ' Ground Zero ' Sept. 6 , special service memorial lose 9/11 . special moment we . country person , never NY , experience . well worth time . make stay Thirty Thirty Hotel , will glad . God bless ! 
 Sep 22 2009 	 * * mouse RESIDE * * * 	 arrive first impression clean , room lovely spaceous really good location . spend one night shock discover mouse . go return horrified find mouse eat confectionery leave one bag . SAW MICE ran across ROOM call receptionist complain hope would give we another room . receptionist not seem care . tell fully book hence could offer we another room . thing could send porter look . yes , porter come 5mins later dustpan brush asking & quot ; & quot ; explain appear go via door . seem least bit surprised mouse run around ! leave . assume think capture vermin hold onto . disappoint one bother contact us apologise happen . check follow day leave luggage storage , silly we . collect luggage , shocked find mouse bite one bag try nibble cover plastic container contain chocolate within bag . feel hotel need improve 's customer service . unimpressed way treat hotel , would never stay would like make anyone stay aware experience would hate other holiday ruin . would like say one thing though , be lovely buile 's lovely location 
 Sep 22 2009 	 disappointing 	 room cramp - bathroom door hit bed opening ! disappointed coffee / tea make facility . surprised see trash drag thro bar street evening . but good locality get around decent bar round corner . 
 Sep 21 2009 	 Great Place 	 stay Thirty Thirty early June , great value room order , service fantastic . would definitely stay ' m back area . 
 Sep 18 2009 	 beautiful building great service 	 hotel beautiful , really feel hotel staff care need . need make dinner reservation happy help always recommend restaurant great food . definitly back 30/30 . 
 Sep 16 2009 	 excellent value friendly service midtown Manhattan 	 extend visit New York last May traffic accident knock car Brooklyn . fortunately , able get excellent rate Thirty Thirty include breakfast . petite single room 12th floor everything need , window face south east give great light view . also appreciate hotel 's pet - friendly policy could daughter 's cat companion town one weekend . previously stay Thirty Thirty recommend friend come city last December . will back October ' 09 probably Christmas .. 
