security 	 glow review , sadly , would actively steer people away hotel . everything go along nicely 3 night stay -- think price right , location good room amenity nice . unfortunately , money vanish room safe would feel safe stay hotel .... recommend hotel friend colleague . fact : stay hotel 3 night mid November . stay , use hotel safe valuable extra cash would not carry street . night check , take valuable cash safe , leave $ 250 safe lock security code . check next day though experience traveler always check room thoroughly check , forget empty safe . leave hotel 10 a.m. realize mistake 4 pm immediately call hotel . supposedly , security person duty go room use hand hold device ride personal security code . wait hold check room . get back phone , say , & quot ; ' m sorry , safe empty & quot ; .Of course , word mine , see money safe know lock left room . one open safe meantime , would explain vanish act ? next talk head security hotel several time . first conversation , say personally go security person safe open . next conversation , press whether SAW safe open empty , retract early statement say , & quot ; , not go room , stay elevator . & quot ; therefore , person open safe witness . find revelation bit disturbing . change story ? next , ask speak hotel manager . wait 5 hour receive call back . apologize behalf hotel , could not explain discrepancy security staff 's story promise & quot ; get bottom situation get back & quot ; . say look forward full report wish could get money back , concerned hotel institute well security system follow . nearly two week since incident not hear anything manager ...... credit , offered offer complimentary stay future visit , issue fully investigate resolve , would not feel safe staying hotel . so .... stay Empire Hotel , remember well carry valuable . money lose , could upgrade well ( safe ) hotel . one point , stay , lobby close entire day tv show , Gossip Girl film . ' m sure hotel compensate use space , add nothing inconvenience stay go alternate entrance , etc . make feel like hotel try use space make much money possible without concern might affect guest . mention issue front desk staff , say lobby use film crew nearly every week , one situation , on - go inconvenience future guest . 
 Closet -- -- joke ! 	 absolute bad hotel ever stay ! small understatement . closet size space . broken window . iron . bathroom disgusting . huge disappointment . picture website suite .... not fool . 
 Nov 26 2009 	 great value location . 	 stay Empire Hotel 12 Nov 09 15 Nov daughter , good friend daughter , arrive , check first class reception staff really friendly . unable provide we two standard room , book , upgrade we superior room . room lovely . Shower design leave lot desire however manage soon fathom control pressure temperature ! bed clean comfy , reception area lounge tastfully decorate well staff . location ok , two minute walk Central Park . despite tea / coffee facility room , Starbucks literally next door ideal early morning coffee . downside $ 100 per day per room deposit require . thought bit steep especially take cash credit card , tie spending money check 10 am Sunday 15th Nov ......... hence last minute shopping taxi arrive 6 pm . hail yellow taxi JFK airport upon arrival , make sure agree fare get . give slip paper price - $ 45 plus $ 5 toll flat rate . work way we really good value . Recommend ' Grey Line ' tour bus . pay $ 50 two day ticket great way get around . thoroughly enjoy stay Empire would definately stay . roof top bar fabulous although little pricey . overall , enjoyable trip xx 
 Nov 24 2009 	 hip hotel warm welcoming 	 stay long weekend November 20 - 22 mostly wonderful experience . ( complaints- bathroom size nightclub noise ) . photo hotel true life , rich , hip , urban decor warm comfortable feel . suspicious not photo entrance web , entrance nice . like look photo , will love real life . lobby good size boutique hotel two - story lot comfy seat level rest enjoy cocktail . bar open lobby fantastic drink . lot rich dark brown candle everywhere . plenty nook curl enjoy cocktail long day shopping 5th Ave . staff friendly . we corner suite small far suite go , plenty big enough two we . btw- sofa open bed . Decor beautiful , like photo view upper west side Lincoln Center fountain . room clean since hotel recently refurbish , feel fresh . mini - bar wardrobe bedroom , wine snack buy tray nice bathrobe provide . complaint room ( besides club noise will mention next ) bathroom . tiny ! Teeny tiny ! small shower half door- yes , room get wet ! tiny bit counter space open shelf next mirror put stuff work well enough . club top floor beautiful , crank volume 3 am bed literally shake beat 3 - 4am , 9th floor ! ! ! needless say , wake we could not sleep sometime 4 am . club own different company complain would useless . hear guest could feel / hear 7th floor ! go club early evening , around 7 pm , crowded yet relaxing . lot sofa conversation area , candle , great view city trendy ambiance lighting . small outside area roof sofas , smoke get air . club get line later evening , hotel guest get priority entrance . also small pool open seasonally . two restuarant attach hotel- excellent ! could never leave build eat weekend ! Ed 's Chowder House brand new beautiful enter mezzanine hotel . P.J . Clarke 's nice pub - type place lot window fresh raw oysters- entrance street . Starbuck 's base building , great since not coffee maker room . also , next Starbuck 's Duanne - Reed ( something like ) large drug store 's open 24 hrs . need panic forgot pack something ! hear guest spa good . neighborhood beautiful lot restuarant across street within walking distance . Central Park 1 half block away Columbus Circle 3 block away ton place shop dine . get carriage ride alongside park . walk north hotel along 7th ave plenty nice restuarant shop . hotel situate literally front step Lincoln Center- great place stay see ballet opera . great location want avoid crowd hectic chaos midtown lower Manhatten . cab fare & amp ; Penn station range $ 12 - $ 15 . will hang Soho midtown area , will spend lot time cash cab cabfare . 
 Nov 23 2009 	 stay 	 wife stay Empire Hotel one night late night engagement New York City . check numerous reference Expedia.com Hotel.com decide Empire would work fine . rate four star Expedia Hotel.com . say disappointed understatement . leave light bathroom night keep roach invading bathroom . ' right " roach . " hotel supposedly four star hotel . room small , brightly light , shower next room seem like room location noise make someone take shower . wife stay many , many , fine hotel 36 year marriage never encounter roach bathroom . informed front desk tell we sorry nothing correct problem . swear hotel pay travel site like expedia hotel.com get high rating deserve . ' mind small cramp room bathroom full roach , mean hotel . 
 Nov 23 2009 	 Best Bagels 	 stay hotel last week 11/13 , good mini bagel ever taste ! 
 Nov 22 2009 	 good MAKES website 	 stay 15th November 2009 wife 2 friend . arrival get free upgrade large room week write ask room view wife birthday . appreciate proceeded room , well idea size normal room big , locate second floor room 225 . friend pay upgrade room next door . gym locate floor actually room 225 224 , yes 2 room convert . TREAD MILL WEIGHTLIFTING NOICE early morning good . pool closed winter ! ! ! ! ! ! ! beware want SWIM .Bar price high , 2 beer 2 rise wine $ 70usd . ask barmaid certain place eat recommend we .... do not know infact 2 block away . speak manager inturn ask conceirge proceed google place pc . never eat place Chowdry next door look amazing , nice mexican next block . shower small leak due screen designIf want bed night fine well hotel , stay Roosevelt last time far superior cheap ! ! ! ! ! upstar bar nice , DEPARTING present bill door , check 3 night bar bill , iron hire $ 1400 usd . take bill desk ask pay use card swippe checking ! end . 3 day later check online bank find empire take money twice ! ! ! do not tell check swipe 3 night full amount , i d leave . cancel card wit bank I m wait explanation hotel , also swipe / take 2 transaction I m wait find .... beware traveller ! ! ! ! ! ! 
 Nov 18 2009 	 disaster ! 	 arrive afternoon can not believe pay 300usd place . reason remain business meeting hotel book company next office ... receptionist rude , rude ! room & quot ; uncomfortable - nonsense - design & quot ; ... shower open take shower lake bathroom . they lack basic amenity like toothpaste ( ask ) slipper ( necessary swim lake - bathroom ) .I call service ask another room person phone , , incredibly dry ( borderline rude ) .if NYC , advice go somewhere else .... 
 Nov 17 2009 	 Dog - friendly hotel perfect walk Central Park 	 Months Empire Hotel make debut Gossip Girl , fan . location alone . make quick weekend visit meet friend dinner time find dogsitter Empire perfect solution . rooftop pool deck great , good part proximity Park . room NY boutique - small , nicely appoint . happen find great rate expedia , would defintely stay . one side : night rooftop become club line outside hotel . not really affect visit . kinda lame . 
 Nov 17 2009 	 Great Location 	 Hotel great location , Broadway , 2 min walk central park & amp ; 10 min walk times square . we find stay hotel alot cheap stay one actually times square . hotel complimentary internet access & amp ; would recommend & amp ; stay ! note - room stay quite small & amp ; find reception staff snooty . 
 Nov 6 2009 	 relieved . 	 read review Trip Advisor extremely nervous stay Empire , book hotel discount travel website could change . partner great time Empire . thing people mention review could true be focus negative find place charming . hall design forest wallpaper be like Wild Things . personally love touch . want bright yellow hallway ? yes , room small ... find cozy happy close partner romantic getaway . bathroom also small leave door open sometimes . shower really cool product high quality . view , since back hotel quiet top floor read would disturbed rooftop bar , not . hotel staff professional help we find great breakfast place couple block away . location excellent ... ' ve stay well hotel NYC less money thoroughly enjoy stay will look back weekend great memory . 
 Nov 6 2009 	 convenient location noisy 	 friend stay Empire Hotel past weekend NYC Marathon . location convenient train Central Park . pay extra $ 30 / night upgrade room window . however , put we room face intersection Columbus Broadway 5th floor . night , loud pedestrian noise siren emergency vehicle . first night additional noise A / c unit . upon notify front desk , promptly send engineer room fix . bathroom tiny way show head position make leakage bathroom floor inevitable . always pile wet towel floor . like convenience location , noise level much overall comfort enough . probably return Empire Hotel . 
